vond001jose05_01.TEI.2.text.body.div.head.163.s.1	jozef in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.3	verklicker , welkom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.1	Wat of doen dromer nu weer voorkomen in de dromen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.2	vertellen wij u gezicht , u ' dromen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.3	zingen op , laat horen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1264.s.1	Wat of hij schorten ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1264.s.2	hij zwijgen , hij hebben zijn tong verliezen .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1266.s.1	Jo .	None
vond001jose05_01.TEI.2.text.body.div.sp.1269.s.1	ik broeder , och ik vallen voor uw voeren neder .	None
vond001jose05_01.TEI.2.text.body.div.sp.1269.s.2	Vergeeftme ik vergrijpen , nog een , en dan niet meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1274.s.1	rijzen op , hebben zijn geren wijze , die koninklijk ziel , zien buigen in hebben stof , voor onderdaan knielen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.1	wassen vader niet doen zinnen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.2	wassen moer niet doen manen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.3	wie ster , schoof ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.4	he !	None
vond001jose05_01.TEI.2.text.body.div.sp.1285.s.1	och broeder , laat ik gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1285.s.2	Och broeder , laat ik gaan . ik willen gaarne voor uw bukken , gelijk de jong passen	None
vond001jose05_01.TEI.2.text.body.div.sp.1289.s.1	rijzen op : hoe zullen het hier lukken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.1	Nu koningk jozef , zeg , wij zullen u stalknecht zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.2	wij schrijver ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.3	wij portier ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.4	wij schenker , om mede wijn Te kronen zijn konings dis ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.5	wij kamerling verstrekken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.6	wij muilpaert ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.7	wij kameel ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.8	wij u karrossen trek ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.9	komen herwaarts Naphtali : komen herwaarts Zabulon : komen Asser , Isaschar , Gad , Judas , Simeon , En Dan : deze zijn doen schuiven : vernederen uw schoof .	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.10	duiken ster , zinnen en manen , deze liggen zullen het al verdoven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1304.s.1	ontweldigen hij die staf , en drijven hij na de putten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1308.s.1	Och broeder .	None
vond001jose05_01.TEI.2.text.body.div.sp.1312.s.1	voor , gade voor : deze janken zijn onnut .	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.1	deze zijn d'oude en droog putten : ik willen hier omtrent vertoeven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.2	mare het zij wel nodig zijn mede een stenen te proef , Of ook doen duistre grond mede water staan bedekken , het welk vinden deze heuvel bij wijl herwaarts lekken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.3	Hier liggen een kade , zo zwaar alles enig manna kunnen heffen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.4	Nu mannekracht , heffen op : die stenen willen lydigh treffen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.5	laat val , die hebben kraak : laat rol zonder schrikken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.6	hij plomt niet een , mare ploffen : droge zijn het er : klaar zijn ik .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.7	wezen welkom , o putten wezen welkom , behoeder vinden Jakobs waertsten zode , vinden ik ' verliggen broeder .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.8	verdienen een ' nader , wanneer gij , voor een wis dood , die helder janhen bergen , in uw naar schieten ; zo velen barmhartig dan negen broeder te gader , Al broederslachtigen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.9	o putten , ik zullen uw bij vader , die afgeleefd stok , haasten lof voor deze deugd : Terwijl hij jozef kussen al beven , en vinden vreugde doen traan biggelen lang het aengezicht vol rimpel .	Joy_Emotion_EmotionalAction_BodyPart_BodilyProcess_Love
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.10	Hoe komtge ik te passen !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.11	hoe helptge ik bewimpelen ik heimelijcken raad , tot redding vinden die spruiten , waar in doen dor bodem en schor schor besluiten zo luttel saps , alles die nog hoeven om wat te leven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.12	Hoe zullen doen vers mond aen schraal lip kleven !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.13	mede welk een hartelijkheid doen vader welgezind Zijn siddrende arm staan , om zijn herboren kind , Om die beschutten hals !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.14	mede welk danckbre klank , mede hoe velen zege willen hij Ruben dan bedanken , Voor broeder en vaderplicht , voor zijn godtvruchtigheit !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.15	Dan zweef ik op zijn tong zo oog , alles het onbescheit de broeder , rood vinden schamen , hebben hoofd moeten onder ham , nog diep dan doen putten , daar jozef in moeten dal .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.16	mare zwijgh , och zwijgh , ik dunken zijde komen ginder aen , het verwijzen kind voor uiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.17	Och broeder , laat hij gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.18	nul d'arme janhen wissen zijn uitgekretene oog .	BodyPart_BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.19	nul tigers , hebben gij nu doen menscheit uitgetogen , En voeren gij vinden de mens slechts uiterlijcken schijn , zo velen gevaerlijcker alles woest dier zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.20	Die kennen ik aen gebit , aen gruwelijk klauw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.21	helaas , wat goed ik aen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.22	doen janhen zullen verflauwen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.23	waar goed ik lijf bergen hier ergens in een heg ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.24	zijde naken : och . het zijn tijd , die ik ik nederlegh : wan hoorenze ik stemmen of het ritselen vinden doen dooier , zo zijn het mede wij gedaan , zo gaan bei verliezen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1364.s.1	NU grein hier naar : trek uiten die kakelbont ruk .	None
vond001jose05_01.TEI.2.text.body.div.sp.1364.s.2	trek uiten , eer ik het uw leren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1368.s.1	ja leren hij mede die stok .	None
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.1	Och broeder , kunnen ik uw vermurwen mede ik kermen ?	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.2	Och hebben ik het zo maken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.3	och zijn ' er geren ontfermen ?	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1377.s.1	schudden uiten doen pij , schudden uiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1381.s.1	hoe hebben ik het zo maken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1385.s.1	hij sammelt nog .	None
vond001jose05_01.TEI.2.text.body.div.sp.1389.s.1	helaas !	None
vond001jose05_01.TEI.2.text.body.div.sp.1389.s.2	waar zijn ik nu geraken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1394.s.1	daar gij zullen d'uit komst zieden vinden uw nes droom , In een donckren putten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1400.s.1	waar zijn ik nu komen , daar God wonen nog goed mens , die ik voor het lest beschutten !	None
vond001jose05_01.TEI.2.text.body.div.sp.1400.s.2	helaas , wat hebben gij voor ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1404.s.1	gij moeten in deze putten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1408.s.1	verdrinken in die putten ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1413.s.1	om vinden geren drank te sterven , zullen gij vinden dor vergaan , en wijn en water durven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1418.s.1	vinden hongeren en vinden dor in deze putten vergaan ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1418.s.2	nul putten , ik zien geren ' grond : hier schijnen nog zinnen nog manen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1422.s.1	Die zullen gij in u ' dromen zieden schijnen , ook die ster .	None
vond001jose05_01.TEI.2.text.body.div.sp.1426.s.1	het wassen ik gulhartigheit : nooit denken ik uw te sarren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1430.s.1	het wassen u gulhartigheit , nu het zo te pas komen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1434.s.1	wij kunnen gebeteren , die hij vinden ster dromen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.1	Hoe gij hebben betren kunde , die zullen die putten uw lederen , Een recht schuilen vinden tocht .	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.2	ik moeten zijn oudere eren , doen broeder allermeest , en d'ouders boven al .	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.3	wij zien te pomp verheffen , raken plotseling te vallen .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1444.s.1	Io .	None
vond001jose05_01.TEI.2.text.body.div.sp.1451.s.1	ik roepen zelf doen hemel en Englen tot getuige , Hoe ik gehoorzaam harden genegen wassen te buigen Voor vader , moedren , uw en al hebben huisgezin Misduit ik droom niet : daar steken niet arreghs in .	None
vond001jose05_01.TEI.2.text.body.div.sp.1451.s.2	Och , zaeght gij in ik harden : och , lach ik boezem openen : daar zijn nooit list bedrog nog arghwaen insluipen .	Suspicion_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.1	Hoe zingen hij nu zo kleed ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.2	wat wassen die voor een nuck , torn gij bij vader wij betighte mede die stuk ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.3	Wat wassen die , simpelheid ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.4	of waar het groen pad ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.5	mos gij doen broeder nog zo schendig gaan bekladden , Tot schande vinden het slachten , en rockenen die twisten ?	EmotionalAction_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.1463.s.1	Wat mens leven zo volmaken , die zien niet een vergissen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1467.s.1	hebben komen op een niet aen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1471.s.1	och , zien deze door doen vinger .	None
vond001jose05_01.TEI.2.text.body.div.sp.1475.s.1	Ja zo : hoe zij hij wij hier met om d'ooren slinger .	None
vond001jose05_01.TEI.2.text.body.div.sp.1479.s.1	hebben slim komen achteraen : hebben grondsop drincktmen lest .	None
vond001jose05_01.TEI.2.text.body.div.sp.1483.s.1	Neen , goed het huis vegen vinden deze luchten , en passen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1487.s.1	trekken uiten die rok , trekken uiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1491.s.1	mogen ik ik rok niet houwen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1495.s.1	doen ruk zijn uw niet nut .	None
vond001jose05_01.TEI.2.text.body.div.sp.1499.s.1	hij mogen te nacht verkouden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1503.s.1	Och , mogen ik Benjamin een kus voor ik einde .	EmotionalAction_Love
vond001jose05_01.TEI.2.text.body.div.sp.1507.s.1	Een jarig kind ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1507.s.2	hebben hebben zijn ' broeder nooit kennen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1511.s.1	ik mos , voor ik vertrekken , hij nog een ' kussen afprachen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1515.s.1	Wel kennen uw het kind ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.1	ik broeder , gei hebben ik aengelachen , mare och , voor het allerlest .	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.2	hoe luttel denken ik torn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.3	daar zijn ik ruk : helaas !	None
vond001jose05_01.TEI.2.text.body.div.sp.1526.s.1	wie dienst werk te spoeden , Eer iemand onvoorziens wij komen op het stuk betrappen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1530.s.1	ai broeder , laat ik gaan , ik zullen uw niet beklappen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1534.s.1	wie aanzien in die stuk mede zin al verzien .	None
vond001jose05_01.TEI.2.text.body.div.sp.1538.s.1	komen , langen hebben laddertouw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1542.s.1	nu kunnen ik niet ontvlien .	None
vond001jose05_01.TEI.2.text.body.div.sp.1546.s.1	Twee vleugel schorsen uw : gij zijn een licht vogel .	None
vond001jose05_01.TEI.2.text.body.div.sp.1551.s.1	staan vasten : ik zullen deze touwen gaan knopen aen de beugelen , Of het half breken rad .	None
vond001jose05_01.TEI.2.text.body.div.sp.1557.s.1	zien voor uw , eer gij storten , Of uitglijt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1557.s.2	vallen hebben touwen een vadem of drie te korten , zo blijven hij in de putten liggen hangen , alles een bengel .	None
vond001jose05_01.TEI.2.text.body.div.sp.1561.s.1	zode spring hij voor om laag .	None
vond001jose05_01.TEI.2.text.body.div.sp.1567.s.1	mare neen , hij hebben de Engel vinden vader op zijn hand , die draegh hij in de drek .	None
vond001jose05_01.TEI.2.text.body.div.sp.1571.s.1	En feilen en mest hij die ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.1	zo breken hij voor de nek .	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.2	Hoe herder smak , hoe nut : het fatsoen zijn mare verliezen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.3	Nu wakker , stijgen te paren : doen lijn zijn al scheren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1581.s.1	zo doen hebben : op , klimmen op , en stijgen gewillig neder .	None
vond001jose05_01.TEI.2.text.body.div.sp.1585.s.1	nul God , vergeven zij deze .	None
vond001jose05_01.TEI.2.text.body.div.sp.1589.s.1	voor voor , geren woord meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1593.s.1	vervelen hebben uw , die wie voor het lest wij harden uitspreecken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1597.s.1	gij mogen in deze putten vrijen zeel dag preken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1601.s.1	Och schenckt ik een voor het lest : ik harden verstikken vinden dor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1606.s.1	scheppen water mede u hand , al zien hebben wat bemorsen , hebben kunnen de dor verslaan : doen slijm zijn meest zinken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1610.s.1	nul god , die laven ik harden : nog een voor het lest drinken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1614.s.1	Nu klimmen , daar zijn ik knie : nu zetten de voeden in het touwen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1618.s.1	stijgen af .	None
vond001jose05_01.TEI.2.text.body.div.sp.1622.s.1	leven langen ik broeder : troosten vader in zijn rouw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1626.s.1	Die rouw zijn al maken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1630.s.1	hij daelt mede flauw tred .	None
vond001jose05_01.TEI.2.text.body.div.sp.1634.s.1	zijn gij om liggen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1638.s.1	nog niet .	None
vond001jose05_01.TEI.2.text.body.div.sp.1643.s.1	halen op hij zijn beneden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1643.s.2	maken lossen hebben laddertouw : het willen tijd zijn die wie gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1648.s.1	wij werk zijn nu beschikken : hier moeten een drinken op staan , mede een ontbijt : doen zinnen beginnen alree te steken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1653.s.1	komen gaan , daar wij geloven nog schaduw ontbreken , hij hechten een klaaglied aen : hoe galmen die naar klinken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1657.s.1	ai , lustre wat hij zingen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1661.s.1	doen tijd vallen ik te lang .	None
vond001jose05_01.TEI.2.text.body.div.sp.1665.s.1	horen iemand die geluid , zijn stemmen mogen wij verraden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1671.s.1	het geluid reickt niet zo wijd : ook lopen hier geren pad : doen heirbaan liggen te ver : hebben kreupelbos zwijgen stillen : En wij genaken die putten , alles die ' er wees willen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.1	ik god , ik god , mogen ik geklagh niet baten , En goed u glans en aanschijn voor ik schuil , Voor ik , helaas , vinden uw en elk verlaten , In deze speloock , en onverlicht kuil ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.2	ik zien het gewelf de blauwen hemel blinken , Door een brillen vinden damp en dik luchten ; Al schijnen doen zinnen , zijde schromen zo diep te zinken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.3	ik horen de wind , mare wij horen ik zuchten !	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.4	doen putgalm baeuwt ik kermen naar , ik smeken , En kaatsen te rug de allerlesten tarm .	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.5	doen steen zelf uiten medelijden spreken .	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.6	ik roepen , ocharm : doen putgalm roepen , ocharm .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.7	bedanken ik hij , die nog uiten mededogen ik ziel vertroosten , hij danken ik wederom .	Emotion_BodyPart_Compassion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.8	En schrey ik : wede ik oog ; hij schreien , oog .	BodyPart_BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.9	zitten jozef stom , doen putgalm zitten ook stom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.10	Och haetooft , och hoe bitter zijn u korrel , In mijn keel , schier stickende vinden smarten : mare nu ontbey , daar komen wat zoet op borrelen .	Emotion_Hatred_BodyPart_BodilyProcess_Relief_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.11	Wat mogen deze zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.12	wat troosten verfrissen ik harden ?	Emotion_BodyPart_BodilyProcess_Relief
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.1	zijn die gebroeders ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.2	och , zijde aanzien het lam delven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.3	daar gaenze heen , in schijn ' vinden herder , o die wolf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.4	zijde laten allerlest zij wreed stap hier .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.5	het wassen god die ik ik kennen verbijten . ik hebben ik schier ( ik kroppen wereld vol ) ontdekken mede bulderen en krijten .	EmotionalAction_BodyPart_Despair_Anger
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.6	Ja hebben gij het mare gedaan : zijde mogen uw vrijen smeet In een zelf poel ; zo woerd gij door die raad Niet schuldiger alles zijde , aen zo vervloekt een daad ; Om wij doen vader nu misschien al liggen te bed .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.7	mare neen , het wassen goed dus . ik willen zieden of ik hij redden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1712.s.1	Och , helpen ik , wij gij zijn : och , helpen ik , uiten de nood .	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.1	hij roepen , god lof , die zijn nog geren tekenen vinden zijn dood .	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.2	Hoe zijn hebben Josephbroer ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.3	ik komen u wond stelpen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1721.s.1	Och , Ruben , helpen ik uiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1726.s.1	ik komen , om uw te helpen : ik kind , ik harden , ik zode , bedaren wat : schrey niet meer .	EmotionalAction_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1730.s.1	Och , helpen ik uiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.1	ik broeder , hier zijn geren touw , nog leren : nog weten ik raad om touwen ; ik zij ik kleed scheuren , En strengelen een koord : mare matig uw in het treuren : het zijn om een kort wijlen , een kort stoten gedaan .	EmotionalAction_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.2	ik beloven uw , eer doen zinnen op het hooftpunt komen te staan , Te redden mede deze hand : doen tijd kunnen het nu niet dragen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.3	zijde zieden nog telkens om , uiten achterdocht voor liggen .	Suspicion_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.4	ik Onschuil zij vasten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.5	ik trouwen hebben jozef niet verzaken .	Emotion_Loyalty
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.6	gij zijn door ik bestellen in deze verdrieten geraken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.7	ik bestemmen het kwaad , op die ' er god uiten wereld baren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.8	vergeven ik tocht die trek , die ander woerd verliezen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.9	het gevaar jagen ik vinden hier : leren hard : ik moeten voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1750.s.1	Och , Ruben Ruben , horen : ai , broeder , nog een woord .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.1	hebben lusten wij , om deze duisternis de put , al het hemels liggen te mis : wan zulk duisternis zijn wij schoon dan doen zonneschijn .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.2	wie wil hier een hemel stichten , Verzien mede aengenamer licht Dan aen die blauw gewelfsel staan .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.3	Zijn mond verstrecke een nieuw manen : Zijn oog , op de grond zinken , Twee ster , die de nacht ontvoncken : hebben voorhoofd , daar doen lok om zwaaien , Een zinnen , gekruld mede majesteit vinden zijdezacht haar en blond straal : Wat schemering kunnen het hier bij halen , de morgen vroeg , of zijn avond laat ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.4	Wat avondstond , wat dageraad beschaamd die winckbraeuw , deze wang , Nu mede een ' dunnen mest behangen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.5	alles mede een ' sluier fijn vinden draad , En bruine vinden verf , daar vieren door slaan , En spelen , en schijnen op het zwart te zweven , Te zoet dommelen en verdrijven .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.6	laat d'oogen weide in die kunst : deze schaduw geven deze liggen een gul .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.1	hebben zullen straks rijzen , om te reizend ; Om koninklijk en aertspalleizen , daar al wijze wijsheid suffen , mede zijn vinden god verlichten vernuft Te prop : mare in het eest zijn band En nog een droef dag voorhanden ; Eer het begenadigen vinden een kroon , In het witten beschijn de gouden tronen , Tot heil en troosten vinden veel volk .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.2	hebben moeten , vermommen mede donker wolk vinden ballingschap , velen jaar lang , na een ' bedrukt ondergangk , In arbeiden gaan , aen het baar raken .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.3	deze langkzaemheit passen groot zaak .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.4	Een eik , die mede zijn hoofd vol blad En bladige arm zullen beslaan velen grond , velen lucht , en winterbuien vinden oosten west noorden zuiden , En blixemstrael en donderkloot verduren , worden allengskens groots : Om tegen die geweld te sportelen , verzekeren hij zijn ' voeden mede wortel ; Zijn ' rug mede pit , en houden , en bassen : gelijk zo stout een ' boschreus passen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.1	ik zien Jacobs kind en knaepen Te weiden gaan , en koe en schaepen , In schaduw vinden die hogen bodem , bij een wijd vermaard stroom , vasten bloem gras en klaveren schaar .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.2	ik horen beemd harderlieden lederen ; doen fluiten , aen zijn herder dartelen mond .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.3	ik zien huppelen de vet grond , Op hebben getippel deze vinger , Die toon door malkandren slinger , Tot roemen vinden Abrams god , wie hand hij voeren in zulk een gastvrij land .	None
vond001jose05_01.TEI.2.text.body.div.head.1826.s.1	hebben vieren bedrijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.1	NU op de heuveltop eendrachtig neergezeten , En al het lijden leed mede een drinken vergeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.2	komen broeder , zetten uw aen : hier staat doen dis reden , lang deze verval slot , mede klimmen op groeien bekleden , En mede een veldtapijt natuurelijck behangen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.3	doen breedte lindeboom ( doen zinnen gaan vrijen haar gang , In het Oosten ) noodight uw in het grazige stoelen , mede bruin schaduw , en aengename koelen , En koelen de leckren wijn , om het harden een te verkwikken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1842.s.1	Verquick u harden mede wijn , en laat u ' broeder stuk .	None
vond001jose05_01.TEI.2.text.body.div.sp.1846.s.1	Wat zeggen gij , Judas ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1850.s.1	niet : ik spreken geren enkel woord .	None
vond001jose05_01.TEI.2.text.body.div.sp.1854.s.1	gij zitten niet zacht .	None
vond001jose05_01.TEI.2.text.body.div.sp.1858.s.1	ik dunken ik zitten niet zode het behoren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1862.s.1	komen zetten uw hier : gemak zijn nimmer te versmaden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1866.s.1	het zijn meer dan het half maal .	None
vond001jose05_01.TEI.2.text.body.div.sp.1870.s.1	die hebben gij netten geraden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1874.s.1	Nu , zitten gij wel ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1878.s.1	ja ja , ik zitten nu wel , of schaars .	None
vond001jose05_01.TEI.2.text.body.div.sp.1882.s.1	Neen , zeg vrijen wat uw deren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1882.s.2	wat wringen u voeden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1886.s.1	doen laers .	None
