vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.16	ik schonckze vrijen gelag , en gafze geld .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.17	ik zoeken , Geveinft de arbeid om het hoogtijd uiten te stillen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.18	doen tijd gehengt nu niet uw al te vertellen : Hoe zorghlijck hebben in het schip en onder het krijgsvolk staan , En elk verschelen , en wat een ieder raetzaemst vinden ; Hoe ickze menigmaal mede dreigen helpen aen het zwijgen , En konze , om het leven zelf niet aen het bedaren krijgen : Hoe Arkel , helen verkouden , zijn eigen ponjaard bloot zetten hebben op de strot , en troosten zien doen dood , Om al zijn mackers niet door het hoest te verklikken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.19	Nu schort'er die wie elk wij werreck voor beschikken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.20	hebben zeepaard , zwanger vinden gewapend , zullen gaan In arbeiden , en vinden vracht , voor het opgaan vinden doen manen , Omtrent te middernacht , verlossen , alles doen kerk Op het hoogtijd zijn proppen vinden mens , die het niet merken : Dan zullen doen liggen in twee delen , eer het ymant horen , terstond vermeesteren doen Haerelemmer poort , En rammenze mede kracht : en ik , om uw te licht vinden ver ' , zullen dadelijk branden in het hol zeepaard stichteu , die mijden in doen stad bij d'andre schip liggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1268.s.1	doen maarschalk wachten op uw in het klooster , al bereit terstond mede duizend manna doen muur in te trek , En het leger liggen niet ver : ik gade hebben zij ontdekken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1272.s.1	En ik al weer na stad .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1272.s.2	nu veldheer , passen op het stuk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1276.s.1	god geven die uw en ik deze aenslagh wel geluk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1278.s.1	rijden vinden edelingen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.1	wie edelingen , blij vinden geest , te kerk gaan op het hoog feest de eest baren heiland groeten , En knielen voor doen klein voeren vinden het kind , waar voor Herodes vrezen : hebben kind waar voor een ster verrijzen , Die wijze mede haar straal wijzen doen donker plaats vinden zijn geboorte , En leitse in Davids oud poort , daar d'allerhooghste het laeghste prijzen .	Joy_Emotion_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.2	hebben oosten offeren wierook , goud , En bitter mirre .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.3	doen gaaf ontvouwen zijn kind godheid , priesterdom , vol waarde , En zijn sterflijckheit op d'aerde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.4	Hier liggen hij , die het al hebben bouwen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.5	het gevogelte , die op wiek zweven Zijn nest , doen vos zijn hol hebben , En wonen in berg , en in bos : Een stelen vinden ezelen en os de Schepper naeulyx herberg geven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.6	doen kribbe hij een wieg verstrekken , Die het aardrijk mede de hemel dekken , En elleck die bestellen zijn voeder .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.7	nul kind , gei zijn , gelijk u moer , mede plegen nog hoovaerdy bevlekken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.8	Hier voeren doen neergedaelde god doen trots wereld om mede spotten In zijn triomf , te smaad de hof .	Emotion_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.9	hebben nederig harden voeren hij na boven mede hij in het hooghgeboude slot .	BodyPart_Awe
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.10	Hier schuilen die goddelijk aengezicht , waar uiten doen zon scheppen haar liggen , En al ster glans , en lustre .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.11	Hier liggen hij zonder glans in het duister , Die englen tot zijn ' dienst verplichten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.12	de hemel rei wieg hij In slaap mede hun zoet stemmen , Die nooit vinden vaak en wassen beschieten , En wekken hebben hoofd vinden al groot , In het koningklijck Jerusalem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.13	Augustus rijk verliezen zijn eer : doen rooms scepter reickt niet ver : hebben oogst versmaden latijns nemen : mare deze beheersen hebben al te zaemen , ook daar doen zon nemen haar ' kaar .	Honor_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.14	doen hemel het aardrijk en doen hal Scherp luisteren na zijn bevel , En siddren voor doen zuiver weten , Die hij door visser laat trompet , En blazen over duin en del .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.15	doen doek , daar deze kind in liggen zijn het purper vinden zijn majesteit , waar in doen herder hij aanschouwen , die god doen ziel komen vertrouwen , gelijk vinden oud wassen toegezeit : die god zijn kudde weide zullen , En hoed voor ramp en ongeval , En na hebben afgedwaelde vragen , die schaap op zijn schouder dragen mede vreugde bij het overig getal .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.16	Hier zijn doen wijsheid ongeacht : Hier gelden geren adel , staat , nog plegen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.17	doen hemel hebben hebben kleed verkiezen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.18	Al wij door ootmoed worden herboren , zijn vinden hebben hemels slachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.19	gei die de vorstin hart liggen , gelijk een beek , en schiften en scheit hebben liggen vinden dik duisternis ; laat de tiran zijn ' aenslagh mis , Die de onnozel liggen liggen .	None
vond001gysb04_01.TEI.2.text.body.div.head.1353.s.1	hebben derde bedrijf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.1	Badeloch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.2	Gys breght vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.3	Heer Peter .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.4	Bontgenoten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.5	Arend vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1363.s.1	ik trek zo dra niet aen ik besteden en hooghtijts kleed , Om in doen kerk mede al doen stad te triomferen Voor god , die het leger drijven vinden d'aengevochte waal , En zien vernederen komen in Bethlems arm stelen , Of raken in een stoel aen het sluimeren en droom , En zijn benauwen en bang uiten mijn slaap komen ; gelijk doen dauw tuigen , die op ik kaak liggen .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.1	ik half ziel , wat's deze ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.2	hoe zietge zo beschreit ?	BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.3	Wat nevel vinden verdrieten bezwalckt u blinken oog , En hebben de hemel vinden u aanschijn dus betogen ?	Emotion_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.4	Nu zijn rusten , en zeg , wat zijn hebben die uw smarten ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1372.s.1	baden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.1	ik liggen , helaas , ik liggen een zwarigheid op het harden .	HeavyHeartedness_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.2	ik hebben in mijn slaap iets schrickelijx vernemen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.3	Een dromen bezwaren ik harden : gezicht doenme schromen .	HeavyHeartedness_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1380.s.1	doen droom zijn bedroch : gei vrezen uiten misverstand .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.1	Nicht Machtelt , dochtme , staan voor mijn ledikant bedrukken , en in die schijn , waar in zijde bij haar leven ik dik haar hartewee te kennen plegen te geven , Toenze in haar traan smelten , en , vinden geduld beroven , doen hand deerlijk wringen , hebben haar trek uiten haar hoofd , doen blank borst krabben , en scheuren het kleed aen flard , En zien begruist vinden stof , zo die ik het nauw kennen hard , nog horen al het gekerm , en jammerlijk misbaar , nog het schelden op de graaf , voor schelm , geweldenaar , Verkrachter vinden een vrouw , zo kuis , zo welgeboren .	HeavyHeartedness_Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.2	helaas !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.3	zijde komen ik niet in die stallen te voorn , gelijk haar zuiver ziel , vinden droefheid afgepijnt In het leven , nu voor god en d'engelen verschijnen , mede een pallemtack in haar sneeuwwit hand , En in hebben sneeuwit kleed , en oog , die nu brand In het hemels paradijs , alles ster aen doen luchten .	Emotion_Happiness_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.4	ik sprackze al schreien aen , naar een diep zuchten : nul adelijcke spruiten vinden het hoog huis te woord , Om welk ongelijk doen held oorlog voeren , die oorlog , het welk , naar die gei in de heemel trockt , zo onverzoenelijck tot nog toen smoken , en wrokken ; Wat oorzaak drijven uw hier op ongerust pad ?	EmotionalAction_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.5	Of komtge om ons willen , mede zwarigheid beladen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.6	Om d'uwen bij te staan , in het kommerlijk beleg ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.7	Nicht Machtelt , het zijn vergeefs : doen vijand zijn weg .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.8	Wat treurtge ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.9	wie zijn vrijen vinden liggen , vinden bespringen : Dus helpen wij nu om oog bij god triomf zingen .	Joy_Emotion_EmotionalAction_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.10	Omring u hoofd mede liggen , in stede vinden lauwerkrans , En liggen de englen rijden mede vrolijckheit te dans .	Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.11	zijde schudden het hoofd , en scheiden vinden gramschap te veranderen In het aengezicht , en slaan doen hand vinden elkander , En stenen , en zuchten zwaar , en barsten in het einde dus uiten , mare mede een hees keel en dof en schor geluid : onnozel , zijtge nu vinden vijand ontslaan ?	Emotion_EmotionalAction_BodyPart_BodilyProcess_Despair_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.12	En slaeptge zo rusten ?	Aquiescence_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.13	en vreestge niemand liggen ?	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.14	daar gei , om mijn willen , op het alleruiterst zijn , En naast aen uw vallen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.15	op op , hebben zijn geren tijd vinden slapen : hebben zijn tijd na ander gewest Te vlijen vinden deze huis .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.16	doen vijand hebben doen vasten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.17	doen zeestadt staat in branden : hebben zijn mede haar gedaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.18	Oom Gijsbreght hebben vergeefs zijn burger voorstaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.19	geren tegenworstelen nog strijd mogen uw baten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.20	god heilige aanzien kerk en outers langen verlaat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.21	Op op , berg Gozewijn , voor al ik enig panden , Klaris , ik eigen harden , eer het heilig klooster branden ' , Eer enig booswicht haar mishandele en misbruicke , na zijn ' vervloekt lusten , en zijde haar oog luicke .	BodyPart_BodilyProcess_Shame
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.22	Al zjjn doen straat dichten bezetten , en nauw bewaren ; ik zullen Gijsbreght , ongequetst vinden spiets of enig zwaard , En , zonder een nop vinden het kleed door het vieren te zeng , Geleiden , en gezond op deze drempel brengen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.23	verlaat dan fluks deze slot : steken af , op god genade , En geven uw zeewaert in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.24	voor , voor , eer het worden te spade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.25	Al d ' englen zullen uw voor storm en voor strand Behoeden , die doen vlieden behoudens mogen belanden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.26	gedenken een welk een schrikken ik slaeprigh harden bevangen .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.27	ik haar die rijzen te berg , en aen een ieder hangen Een druppel nat : hebben zweten beginnen ik uiten te breken .	Fear_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.28	ik lijf wereld kil , alles ijs : ik wouw , en kosten niet spreken , En schieten uiten mijn dromen , al beven en bevreesd , grijpen toen , en zoeken vergeefs t'omhelzen haar geest , Die door ik arm druipen , en wechstoof uiten ik oog , En lietme helen verbaasd , en vinden hebben spook bedriegen .	Fear_Emotion_EmotionalAction_BodyPart_BodilyProcess_Love
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.29	deze zijn hebben datme storen , en in doen zin spelen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1453.s.1	het zijn louter ijdelheid , die zien hebben brein verbeelden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1458.s.1	Och of hebben ijdel waar !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1458.s.2	ik hebben ik uur verslapen , Om na doen kerk te gaan . het zijn spade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1460.s.1	Pe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1462.s.1	Wapen , wapen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.1	beschermen wij , goed god : behoe wij voor gevaar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.2	ik horen onraad .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.3	och ik zorg ik dromen zijn al te waar :	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.1	Heer Peter , wel hoe dus ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.2	wat porren uw zo te roep ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.3	Wat jagen uw hier bij nacht ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1477.s.1	god lof , die ik doen troep de vijand zijn ontvloon , te dood toen afmatten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.1	Wat vijand ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.2	hoe ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.3	gij razen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.1	doen vijand zijn in stad .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.2	hebben zijn mede Amsterdam en mede zijn hoog wal gedaan : zijde zijn doen wraak in het einde te buiten geval .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.3	doen gruwelijk Reus hebben een poort vermannen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.4	hebben zeepaard lust zijn vracht , en Vosmeer stichten de branden , In het branden vinden het gevecht , mede schimpen en braveren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.5	doen wachter vechten flauw , en zieden heen niet te karn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.6	hebben leger trekken vasten in mede duizend , een macht zo groots alles Waterlant nog ooit te vellen brengen , En Kennemer , en fries , en Zeeu en Hollant t ' zaemen , mede al die , op wij bijten , herwaarts komen .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.7	doen kerstnacht hebben dienen tot deze verraeders werk , bestaan voor maeneschijn , torn het volleck in doen kerk mede offeren bezig wassen , en zingen in doen koren ; Terwijl doen stad , volvreught , alles Christus scheiden herboren , wie weder uiten doen muil de bleek dood verlossen .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.8	Vergeefs hebben deze beleg uw zo velen zweten kosten , En bloed en arrebeyt , nu al lopen verliezen .	Fear_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.1508.s.1	ik zullen terstond om oog gaan zieden vinden Schreiers torn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1508.s.2	gei dienaers , brengen ik ' helm en harnas bij de hand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.1	helaas wat goed ik aen , in deze droef stand !	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.2	zijn die triomf ?	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.3	heten die zijn vijand verjagen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.4	Nu kennen ik Haerlem eest : nu blijk Egmonts liggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.5	Nu lachenze om ik stad , zo langen vinden zij benijden .	Emotion_Envy
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.6	ik goed vroom manna goed kwijnen , en verbijten Zijn leed de dag , en brengen doen nacht door mede waken .	Aquiescence_Emotion_EmotionalAction_BodilyProcess_Sadness_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.7	ik vinden hij menigmaal mede traan op doen kaak : En vraag ik wat hij deren : hij zuchten , en antwoord niet , En kroppen zijn hartewee , verdubbelen ik verdrieten .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.8	Hoe velen gelukkig zijn arm en slechten dorp , En hut liggen bouwen , minnen storm onderwerpen Dan enig herenhuis , die door het geboomte steken , En daar hebben bulderen de wind zijn kracht op breken .	Emotion_Happiness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.9	weten hier vinden enig mens , ik weet'er vinden te spreken : alles ik de gans tijd ik leven overreken , vinden mijn bruiloft af , vinden die ik zitten verloofd : Wat storm waeiden ik niet sedert over het hoofd ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.10	Wat torn zijn zo oog , vinden waar ik oog doen baar , doen zee kunnen overzien vinden al ik wedervaren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.11	En wij zien nog hebben einde vinden die beginnen strijd ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.12	Hier met gade ik mijn'man , naast god ik toevlucht , kwijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1536.s.1	geduld mevrouw , geduld ; god proeven zijn uitverkoren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.1	ik kunnen bescheielijck en klaar het geklicklack horen En rammelen vinden het staal : het geluid komen dicht bij .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.2	doen schip brand al , en schitteren in het ij , En in doen Diemermeer en al burgwal .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.3	ik zien hebben groots gebouw , Jan wit gevel , val : hebben naast huis daar aen staat reden in licht branden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.4	doen klokken klep vasten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.5	doen heel waterkant zijn al in reppen en roeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.6	hebben bloedig zwaard goed weiden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.7	ik steeckt'er doen trompetten : ik horen doen mens schreien .	BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.8	brengen hier ik harnas .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.9	voor dienaers , schacht geweer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.10	Al wij in het harnas sterven , die sterven mede krijghsmans eer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.11	waar vriend in de node ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.12	waar zijn wij bondgenoot ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1561.s.1	Voor het huis vergaderen doen treflycksten , doen groot ; Heer Heemskerck , die vol vuur om uw zuster komen , Oudshoren , en Polaen , hoe grijs hij zijn en stram , Heer zweten , Teilingen , en Waermont , en u broeder , En Kuick , en Kraienhorst .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1561.s.2	geren leeuw zijn verwoed , Om aen te gaan op roven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1565.s.1	ik roepen ' heen voor de dag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1567.s.1	bonten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1570.s.1	ik heer , het zijn vechten tijd , zo vechten helpen mogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1570.s.2	wie zijn troosten mede uw te leven en te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1579.s.1	gei zullen in eeuwigheid bij god u lot verwerven , Voor deze trouw dienst , in mijn lest node .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1579.s.2	gei zien hier ander niet voor oog dan doen dood : Doch zooge zijn zinnen de vijand te verletten , zo velen wij mooghlijck zijde , en het leven op te zet bij stad en burgerij , zo volghtme : die zijn uw voor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1583.s.1	wie volgen algelijk , en houwen het zelf spoor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1587.s.1	beschermen ik ' lief manna , die bidden ik , vrome heer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1591.s.1	Mevrouw , betroume vrijen , ik zullen zonder hij niet karn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1593.s.1	rijden vinden Klaerissen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.1	OKersnacht , schoon dan doen dag , Hoe kunnen Herodes het liggen verdragen , die in u duisternis blinken , En worden vuren , en aanbidden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.2	Zijn hooghmoedt luisteren na geren rijden , Hoe schelden die in zijn oor klinken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.3	hij pogen onnozel te vernielen , Door het moord vinden onnozel ziel , En wekken een stad - en lantgeschrey , In Bethlehem , eu op de akker , En maken de geest vinden Rachel wakker , Die waar goed door beemd en wei : Dan na hebben west , dan na het oosten .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.4	wij zullen die droef moer troost , Nu zijde haar lief kind durven ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.5	Nu zijde zij zien in het bloed versmoren , vergaan , die nauwelijks zijn baren , En zo velen zwaard rood verven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.6	zijde zien doen melleck op doen tip vinden die besterven en bleek lip , rukken nog vers vinden moeder barsten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.7	zijde zien doen teder traentjes hangen , alles dauw , aen druppel op doen wang : zijde zietze vuil vinden bloed bemorsen .	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.8	doen winckbraeu dekken nu mede zijn booghjes Gelokene en geren lachen ooghjes , Die stralen tot in zijn moeder harden , alles ster , die mede haar gewemel hebben aanschijn scheppen tot een ' hemel , Eer het mede een mest betrekken wereld .	Joy_Emotion_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.9	wij kunnen d'elende en jammer noemen , En tal zo velen jong bloem , Die vroeg verwelckten , eerze nog haar fris blaar ontluiken , En liefelijk voor ieder ruiken , En zijn morgen drinken het eerst zeug ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.10	zo vellen doen zicht doen korenairen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.11	zo schudden een bui doen groen blad , Wanneer hebben stormen in het wild woud .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.12	Wat kunnen doen blind staetzucht brouwen , Wanneerze razen uiten misvertrouwen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.13	Wat luiden zo schendig die haar rout !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.14	bedrukt Rachel , staken deze waar : u kind sterven martelaar , En eersteling vinden hebben zaad , die uiten u bloed beginnen te groeien , En heerlijk tot god eer zullen bloeien , En door geren tirannie vergaan	None
vond001gysb04_01.TEI.2.text.body.div.head.1646.s.1	hebben vieren bedrijf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.1	Gozewijn vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.2	Klaeris vinden Velzen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.4	Gysbreght vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.1	hebben lopen mede Amsterdam , gelijk gei horen , te eend , En wie verwachten delen aen d'algemeene ellende , het En zijde die elk vinden wij zien daetelijck verzien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.2	Voor ik , ik zijn oud en traag : ik voegen niet die ik vlieden ; zo veel moeite zijn deze leven ik niet waardig .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.3	believen hebben god , hij komen '; zijn dienaer staat al vaardig : hij halen ik in zijn ' tronen en aengenaeme rusten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.4	mare gei , ik dochter , wieden hebben leven goed lusten , En in hebben bloeienst zijn vinden uw jong jaar , zetten gei het op vlucht aen , of jezus uw wouw sparen , En helpen in de node .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.5	Klaerisse , rein maagd , Die t ' onrecht nog de haten vinden vader Velzen dragen , begeven uw op doen vlucht : al d'andren zullen volgen .	Emotion_Hatred
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.6	doen vijand , blind vinden wraak , zijn bitter , en verbolgen , En allermeest op uw , o moer , vlucht voorheen .	Offended_Emotion_BodilyProcess_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.7	ik helpen uw in die node mede traan , en gebeen , En volgen uw mede ik harden , daar ik geren voeren brengen .	BodyPart_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.8	gade hene , Machtels kind , of god hebben wouw gehengen die gei bergen wereld : ik zijn meest mede uw begaan .	Worry_Emotion_Compassion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1670.s.1	Kla .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.1	Och , vader Gozewijn !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.2	waar zietge ik voor aen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.3	zo ik uw dus begeven , hoe zij die ik betamen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.4	gei zijn ik maagschap tocht , na vlees en geest te zaemen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.5	zij ik uw hier allee verlaten tot een ' roos , Die ik een vader strekken , en het christelijk geloven In het hart prenten , vroeg vinden kind been af herbaerde , de geest versterken , en het lijf in reinigheit bewaren ?	None
