huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.5	vergeven het ik ; ik zeggen hebben niet , om uw hier door te honen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.6	gei weten u ' dapperheid wel eer zode klaar te toon , die niemand daar aan ooit twijfelen hebben .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.7	mare ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.8	Al uw roemen versterven op deez rampzaalgen dagge .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.9	ik weten , wat ik uw voorlang te Phthie dor voorspel , die gei de trots waal vinden Ilium zullen vel , doen bloem de Troische macht doel sneuvlen door u ' hand , mare nimmer karn , naar die zege , in Griekenland .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.10	zijn gei hier voor beducht ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.11	willen ik te strijd zenden , mede uw wapen , mede u ' Thessaalsche bende .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.12	Ik zullen , zode moedig alles Achilles niet , mare , mede zijn slagzwaard in doen hand , zijn helm op het hoofd zetten , velen moediger , alles ooit , de vijand tegen treden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.13	doen Trojer , langen verschrikken door uw dapperheid , zullen beven zien te vluchten begeven , alles hij wanen , die gei wij zelf de wegge te overwinning banen .	Fear_Emotion_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.14	zode hebben doen Griek weder tij , om zien in staan te stillen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.1	Neen , neen , ik waard vriend , ik liggen mede die voorspel : wan alles ik Troje een mogen zieden val door ik zwaarte , zode hebben ik langen genoeg zwerven hier op aarde .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.2	mare zeggen ik een , voor wieden zullen ik ik leven waag ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.3	Om Agamemnon , die ontmenschten , te behagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.4	Om weder een ' schoon maag te winden , die hij ik Dan weder ontroven kennen door zijn dwingelandij ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.5	Neen , neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.6	Brizeis , ik op het smaadelykste ontnemen , weten ik strydzieken arm en eerzucht in te tomen .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.7	doen Griek moeten zijn straffen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2035.s.1	straffen Agamemnon dan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2035.s.2	hij zijn doen dwingeland , hij zijn allee doen manna , Die uw misdoen hebben , mare die gei hebben volk doen sneeven Om zijn schuld , zijn iets , die ik uw niet kunnen vergeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2040.s.1	deze zijn hebben noodlot vinden de droef onderdaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2040.s.2	zijde leiden om hebben kwaad die doen overste begaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2044.s.1	staan ik ik ' bede dan toen , en laten ik voor uw strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2052.s.1	Of schonen u ' dapperheid , ik vriend , ik kunnen verblijden , Ik kunnen niet toestaan , die gij u leven waag zullen .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2052.s.2	Wanneer ik ogen uw , naast ik ' zijden , in het veld aanschouwen , zijn ik rusten ; dan kunnen ik uw ik bijstand bieden , Indien gei , bij geval , voor sterk macht moeten vlijen .	Fear_EmotionalAction
huyd001achi01_01.TEI.2.text.body.div.div.sp.2060.s.1	zode zijn het besluiten dan vasten nemen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2060.s.2	Griekenland woord , door u bitter toren , op het Frigiaansche stranden veroordelen tot zijn vallen !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.1	Ja die doen griek sterven , Eer ik , om hunnentwil , zode waarde vriend zij durven !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.2	Neen , ik Patroclus , neen : gei zijn ik al te woerd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.3	het zijn goed uw allee , alles al hebben volk , sparen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.4	Tot zulk een prijs willen ik geren Ilium verwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.1	Dan staan ik u ' gul te duur !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.3	denken een in u ' zin , Hoe gei dus zelf u roemen en eer mede voeren treden .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.4	Die heerlijk oorlogsdaen , die gei voor deze deedt , verdwijnen al , door deez schadelyken toorn .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2086.s.1	laten ik die wreed naam vinden eer niet meerder horen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2086.s.2	Ik hebben gene eer meer te verlies , naar die dagge , die ik door de dwingland ik zode fel beledigd zien .	Offended_Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2090.s.1	hij hebben uw immers weder voldoening aanbieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2096.s.1	hij zelf zullen ik tot zijn ' vriendschap komen nood , En val ik te voeden , en smeken om genae , Eer ik ik bewegen laate , en weder te strijd gaa .	EmotionalAction_BodilyProcess_Compassion_Awe_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.1	moeten mijn dapperheid in het veld voor doen uw zwichten , gunnen ik die ik in deez ' zaak uw weder mooge onderrichten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.2	Rampzalig zijn hebben volk , wie Vorst en Opperheer zijn eigen zelfsbelang , zijn eigen wellust , meer alles zijn land welvaren achten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.3	Gaa heen , bestorm doen wal vinden het hatelijk Ilium ; doen zijn toorn val ; Verf uw klink in het bloeden vinden Hector ; bieden doen vlieden u bijstand weder aan in deze jong node : zode hebben gij uw in u plicht voor het Vaderland gekweeten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.4	kunde gei die bitter honen daar naar nog niet vergeten , wreken , wreken uw dan op hij , niet op het onschuldig volk , En wis die smaad uiten mede de punten vinden uw dolk .	Offended_Emotion_EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.5	zode kunde gij u Vaderland verlosschen , en mede een de Dwingland sterven zijn ' misdaad doel bewenen .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2121.s.1	achilles , patroclus , alcimus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.2123.s.1	automedon	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.1	ik Heer , vertoeven gei nog doen vlieden u ' helpen te bieden , gei zullen de vijand haasten zelf in u ' schip zieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.2	wie zijn in het uiterst .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.3	Ik zelf komen te aanschouwen , Hoe Ajax , die tot nog de vijand kennen weerhouwen , Vermoeid en afmatten door het strijd zonder einde , verzwakken door winden op winden , zien hebben te rug gewennen , de vijand meest vinden zijn ' schip hebben gelaten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.4	doen dol Hector , tros en moedig boven maat Door zulk een ' voorspoed , steken terstond mede eigen hand hebben vuur in doen eerst kiel , die licht laag branden .	Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.5	hebben volk , vol wanhopen , smijten doen wapen uiten doen hand .	Emotion_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.6	zij droefheid groeien op het zieden de schip , die rijden brand .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.7	u ' troep wil , in u weerwil , gaan te strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.8	het zijn tij , geducht Held , die gei doen vlieden bevrijden , te minst die geren , die nog over zijn blijven : Daar , daar vinden hand allee ons uitkomst , en wij leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.1	hebben zijn genoeg .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.2	laten wij gaan zieden , hoe die hebben staan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.3	Indien ik zelf hebben vuur aanschouwen kunnen , ik laten uw gaan , ik waard vriend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.4	Daar wild ik slechts na wacht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.5	weerhouden de vijand , die te ver komen , door u ' kracht , En mijn wapen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2162.s.1	Ik zullen hij weerstaan , Of sterven op hebben bed vinden eer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2166.s.1	laten wij gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.p.2168.s.1	Einde vinden hebben tweede bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.head.2171.s.1	Derde bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2175.s.1	achilles , patroclus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2184.s.1	IK hebben hebben Troische vuur doen grieks vlieden zieden blaken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2184.s.2	terwijl ik ' bende zien te strijd vaardig maken , moeten ik uw , waard vriend , tot vordering vinden ik ' wraken , rechte lederen , hoe gij uw zullen gedragen in deez ' zaak .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.1	u willen strekken ik een ' weten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.2	wij kunnen ik goed lederen , alles gei , ik vriend , gewoon alom te triomferen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.3	uw onderwijzing geven een kind ervarenheid , En zullen ik harden voorzien mede kennis en beleggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.4	u ' scherp klink , gewoon de vijand te doel beven , u ' wapen zullen ik meer kracht en sterken geven : Daar bij zullen doen ijver voor doen glorie vinden wij landen , En het na zichten de vlieden , die rijden aan een ' zijde branden , ik moede verdubbelen .	Fear_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.5	u ' dapper soldaat , Die gei zode langen de strijd in stilligheid hebben laten Aanschouwen , thans verhitten op moordlust en op wraken , Die zullen ik , in deez ' gewicht en groot zaak , oprecht blijk vinden zij moede en kracht geven .	Emotion_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.6	doen vijand , rijden vermoeid , doch blindelings drijven Door zijn voorspoed , en het geluk , die hij verzelt , zullen aanstonds vlijen , op het zichten vinden zulk een held , schonen door inbeelding , en een vals schijn bedriegen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.7	ik dunken , ik zien hij rijden het veld ruim voor mijn oog , Wanordelyk doen vlieden verlaat , en mede haasten doen poort winden vinden doen Stad , die zijde voor het laatst begeven aanzien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.8	zijn doen troep nog niet vaardig ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.9	ik ' ziel haken na de strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.1	gei zijn ik ' vriendschap waardig , nul edelmoedig !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.2	alles ik uw in het slagveld zien , zijn het griek even , of Achilles strijd , of niet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.4	u ' dapperheid kunnen mijn ziel ontroeren .	Emotion_BodyPart_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.5	Verlosch doen bang vlieden , mare laten uw niet vervoeren Door hopen vinden groot winst .	Fear_Emotion_Hope
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.7	die ik uw drukk ' In beide mijn arm ! ik vrezen , ik vrezen voor ongeluk .	Fear_Worry_Emotion_EmotionalAction_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.8	ik harden , benauwd , beklemd , te uiterst verliggen , voorspellen ik niet velen goed , schonen ik ik vinden de zege verzekeren houwen durve .	Fear_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.9	u ' jonkheid , niet gewoon , mede paard , zode gezwind , mede wapen , zode schonen , Te treden in hebben veld , zullen mogelijk verblinden , en Te roekeloos , zij graf in haare zege vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.10	keren , god , keren die slag !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.11	of zijn deze u besluiten , zode roeien mede mijn vriend vrijen al doen griek uiten !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.12	gei zien , ik waard vriend , doen tranen lang ik ' wang Neervloeien , door doen rouw , die ik mijn ziel veel prang .	Emotion_Loss_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.13	deze zijn doen tweedemaal ik leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.14	torn ik ik Door Agamemnon , en zijn ' trots dwingelandij zode bits beledigd zien , hebben ik u ogen zieden schreien .	Offended_Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.15	Nu wie , helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.16	misschien voor eeuwig , moet scheien , zien gei zulks wederom .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.17	deze beide wassen uiten rouw .	Emotion_Loss_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.18	mare alles ik naar de strijd uw levend weder aanschouwen , zullen gei te derdemaal ik ogen zieden natten vinden tranen .	Joy_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.19	Dan zullen het vinden blijdschap zijn .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2275.s.1	u vriendelijk vermanen strekken mijn ziel een spoor , om mijn hevigheid En moede te paar mede verstaan en goed beleggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.1	hebben zijde uw niet genoeg de vijand te overwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.2	bewaren het gedenken aan ik ' wraken in uw zin .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.3	doen griek aanzien ik vinden doel in deze staan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.4	zode gei het geluk dan hebben , die gei de vijand slaan , En weder te rug drijven , zode laten uw niet verleiden Door ijdel zuchten , om in hebben Troische bloeden te weide .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.5	ik zenden uw niet derwaarts , om de juichenden Trojaan Te drijven in doen Stad , of ganschlyk te verslaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.6	kunde gei doen schip vinden zijn ' woede slechts bevrijden , zode komen ik weerzien , en varen niet voor mede strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.7	Niet , die ik uw benyd de roemen , die gei verdiend .	Emotion_Envy
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.8	Ik minnen uw , alles ik zelf .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.9	gei moeten ik ook alles vriend u bijstand bieden in deze uiterst de zaak .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.10	wan zode gei het grieks heir de stad kosten meest maken , Hoe zij ik schimpen mede ik ' gramschap , alles ik zien , die Troje , zonder ik , in puin en as lach !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2314.s.1	zode groots een werken , waarom wie meer alles negen jaar strijden aanzien , zullen hebben loten voor uw bewaren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2314.s.2	mare stellen ik zelf een perk , hoe ver die ik mogen gaan : ik zullen uw gehoorzaam zijn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.1	tassen eest doen troep aan , Die het vijandelijk vuur in Ajax schip ontstaken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.2	Straks zullen uw Hector , die zij overste zijn , genaaken ; ik weten , die hij uw terstond zullen zoeken , alles hij zien , die gei , o braaf , ik ' Thessaliers gebied .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.3	hij hebben ik steeds zoeken : wie aanzien dik strijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.4	moeten gei dan mede hij slaan , zode doen hebben , alles u ' lid nog onvermoeid zijn : wan ik kennen zijn ' sterken en kracht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.5	gei zijn , om Hector te weerstaan , niet opbrengen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.6	gei zijn Achilles niet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.7	Doch , kunnen hebben mogelijk wees , ontvlieden zijn ogen ; mare geven geren blijk , die gei zullen vrees .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.8	jagen dan de vijand door de muur , en door doen gracht : mare gaa daar zelf met niet over .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.9	uw macht hebben uitdienen , alles gei heen zode ver hebben verdrijven , die zijde zien wederom voorbij doen gracht begeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.10	Dan zijn doen vlieden genoeg beveiligen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.11	wan zode gei , verlokken door u geluk , en door doen vleierij de weifelen fortuin , heen volgen tot doen vasten de vijandelijk stad , zode zullen gei uw te lest bedriegen vinden , door uw alte klein macht : Wanneer hebben heir , die voor uw vluchtte , nieuw kracht zij krijgen uiten doen stad , en uw , mede fris lid , uw , die vermoeid zullen zijn , zij komen tegentreeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.12	denken ook , voor het laatst , aan het geren ik rijden zeggen hebben , die mijn eer uw streng verbieden te naderen aan doen stad .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2360.s.1	achilles , patroclus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2367.s.1	ik Heer , u ' troep staan rijden vaardig , en verlangen , Voor het laatst uw order tot de strijd door ik te ontvangen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.1	Op het naderen vinden de tij , veel ik ik ' vrezen in het harden Aangroeien .	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.3	ik vriend , gei zien mede welk een ' smarten Ik uw zien heen gaan .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.4	gedenken aan mijn rijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.5	alles gei mede voordeel hebben een kort tij strijden , de vijand door de muur en over ons gracht drijven hebben , zode kaar , en matig uw macht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.6	En gei , Automedon , die , aan Patroclus zijden , ik ' paard mennen zullen , en voer hij te strijd , Beteugel het moedig paren ; gei moeten allee doen vlieden , En het overschot vinden het heir beschermen in deze node .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.7	ik verbieden uw , schonen hij vluchten , de vijand na te jagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.9	die mijn oog uw rijden weder verwinnaar zien , vinden welk een ' bitter zorgen zijn mijn ziel bevrijden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.10	gunnen die ik uw voor het laatst omhelzen mogen ! het woord tij .	EmotionalAction_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.11	varen wel , varen wel , ik vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.12	ik hart schijnen te breken vinden droefheid .	Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.13	Hemel kaar , ai kaar deze droevig tekenen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.14	varen wel , ik halsvriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.15	maken , die gei ik danken verdiend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.16	varen wel , Automedon !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.17	dragen zorgen voor mijn vriend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.1	gei staan ik eindlyk toen voor het Vaderland te strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.2	Ik vrezen doen dood niet vinden een ' Troische hand te leiden : mare willen hebben noodlot zulks , ik bevel uw mijn wraken ; En strekken zulks het landen tot heil , zode sterven ik mede vermaken .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.3	varen wel !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.1	WAt zeggen hij ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.3	hoe snijden deze woord ik door hebben harden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.4	helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.5	wild gei uw laten moord , u leven offeren , op die door uw vallen doen Griek zien meest maken ' vinden Trojes hogen waal !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.6	Patroclus !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.7	ach ik vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.8	mogen u Achilles kies ; hij willen doen zege niet , zode hij uw moeten verlies .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.10	een doods schrik bekruipen ik angstig harden .	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.11	zullen ik weder gaan te strijd , o dodelijk smarten !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.12	naar Hectors woende hand ik halsvriend hebben doorsteken !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.13	zullen ik ik waap'nen , om Patroclus dood te wreken !	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.14	Neen ; uw dood , ik vriend , slepen , tot wij al straffen , Achilles te gelijk mede uw in het naar graf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.16	laten u bijstand hij beteuglen in zijn woeden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.17	mare kunnen ik zelf niet nog die ongeluk verhoeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.18	Ja .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.19	ik zullen hij volgen ; doch vinden ver , op die ik ' hand hij bijstand biede , indien doen node hij overmannen .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2439.s.1	achilles , brizeis , cephize .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.1	WAt zieden mijn oog ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.3	zijn het mogelijk ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.5	zijn het waarheid ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.6	of een spook te affront uitrijzen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.7	zijn gei hebben zelf ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.2447.s.1	brizeis	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2449.s.1	Ik zijn het , en vallen voor uw te voeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.1	rijs op , Mevrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.2	mare zeggen , hoe komen gei hier ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.3	wat doen , Wat zoeken gei ? ik staan verbazen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.4	wij hebben uw aangedreeven ik hier te zoeken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.5	wij hebben uw die lassen geven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.6	hebben Agamemnon uw deez ' vrijheid toestaan ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.7	willen hij ik tegen danken bevredigen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.1	Welaan , wie zijn hier nu allee .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.2	laten wij vrijmoedig spreken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.3	doen wijze Ulysses kennen u stenig harden niet breken , nog Ajax uw tros vermurwen .	Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.4	ik weten , ik wagen Zeer velen , die ik komen zieden , of ik uw nog behaag , alles eertijds .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.1	Hoe , Mevrouw ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.2	kunde gei ik zelf zulks vragen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.3	deze zijn het allee , die ik in uw niet kunnen behagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.4	hebben gei nog geren bewijs genoeg vinden mijn minnen ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.5	Om uw blyf ik steeds onveranderlijk vinden zijn : En om de bitsen honen , uw aandoen , te wreken , laten ik ik zwaarte mede rusten , en in doen schede steker .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2489.s.1	gei minnen ik alte zeer ; of , zode ik het zeggen mogen , gei minnen ik rechte verkeren .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.1	sinds uw ik ogen eest zien , torn ik , zenden door doen griek , om doen wal vinden u Lyrnessus mede ik ' troep te overval , doen Stad vermeesterde , hebben ik vinden u zichten hebben levendig beeld in mijn ziel stichten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.2	doen dwingland dor uw ik weder mede wellen ontroven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.3	Straks hebben ik al zorgen vinden mijn hals geschooven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.4	Ik gaa niet meer te strijd , ik laten de vijand woeden ; Hoe zeer hij bidden , die ik ik weder mede hij verzoenen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.1	moeten ik deze aanzien alles bewijzen uw trouwen ; Ik moeten bekennen , vinden wat zijden ik die beschouwe , ik begrijpen u ' mening niet .	Emotion_Loyalty
