noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz doen Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1084.s.1	deze kleden !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1087.s.1	laten bord , mede verbaasdheid , zien vinden zij losrukkende .	Emotion_EmotionalAction_Other_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1092.s.1	mevrouw laten bord , op hij toetreden , mede drift .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.1	schikken hebben aan , om zeker wegge te vlucht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.2	Vermomd in ik gewaad hebben gei geren wachten te duchten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.3	houden , alles gei uiten deze hol voorbij doen wacht trekken , ( Alsof gei bitter wenen , ) u aangezicht bedekken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.4	winnen ons woning straks , en laten u vlug flaven , En zijde , die vinden zij trouwen doen sterk proef gaaf , uw vergezellen door doen bos , of lang het stranden , Tot bij het Fantynsche volk die diep zien hout in het landen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.5	gei weten voor langen hoe trouwen die neger uw beminnen : gei zullen die dapper volk liggen tot u helpen verbinden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.6	Ik geven , zode gij u gewaad ik voor ik kleed gunnen , uw tijd genoeg die gei deze vlek ontvlieden kunde : Ik zullen , om het hoofd de wachten al achterdocht te onttrekken , Op deze tafel het hoofd mede mijn arm bedekken , Alsof doen hevigheid vinden het pijnlijk harteleed ik het spreken moeilijk maken , en het daglicht schuw doen ; En , om de hoofdmans ogen zolang het kunnen zijn te blind , zullen hij , wat hij ook zegg ' , volstrekt ik sprakeloos vinden ; Dus eer hij merkel kunnen hoe loods hij worden misleiden , En hij uw volgen doen , zijn gei in veiligheid .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.7	verwerpen ik ' voorslag niet ; gei moeten die niet weerspreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.8	het loten hebben uw langen vervolgen , gei kunde op het loten uw wreken : Daar het uw tot op deez ' dagge zode hoogst ongunstig zijn , schenken het nochtans wij een gul : een lyfsgestaltenis !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.9	bedienen uw vinden die gul om het loten mede roemen te straf Voor al zijn ongunst : het zullen niet liggen ik kans verschaffen uw weer allee te zieden ; wan worden u dood bestemmen , Dan zijn doen toegang tot deze kerkerhol stremmen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.10	komen , grijpen hebben middel aan die ik uw aan durven bieden , Om streng Valkenburg , de raden , doen dood te ontvlieden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.11	het zijn loffelijk mede dulden te leiden het geren ik moeten ; het zijn pligtlyk , alles ik kunnen , het gevaar te ontgaan mede spoed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.1	All ' wat ik horen ontroeren ik !	BodilyProcess_Moved
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.2	Ik zijn nauw ' tot myzelven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.3	moeten gei , ik gemalin !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.4	mijn eer die affront delven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.5	Tot welk een ' prijs stellen gei ik leven in ik hand ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.6	gei wild slechts die ik leven , al leven ik in doen schande ' ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.7	ik hebben uw tonen uw eer meer te acht dan ik leven , En gei , gei wild mijn eer een ' wis doodsteek geven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.8	hebben ik minnen waard aan doen eer dan het levenslicht hechten , Ik staan nu niet te doelen aan het streng wraakgerecht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.9	Ik , vlugtende , uw te prooi de trots rechtbank laat !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.10	Ik zij ik vriend , ik trouwhartig soldaat , ik broeder , die ik steeds na waard hebben geacht , weer trouwen ik lichtnis in ik boeien hebben toebrengen , Bedriegen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.11	en daardoor gelegenheid verschaffen Aan stug Valkenburg om heen op het strengst te straf !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.12	gei zullen doen gul een man bewegen mede u ' rouw , een vrinds , die , hoogst rusten op ons goed trouwen , bewerken die gij u ' gemaal in het kerkerhol moogt spreken , misbruik !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.13	en op het snood doen goed trouwen verbreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.14	ik zij leven mede doen blaam die ik uw hulpeloos laten !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.15	verwachten vinden u ' gemaal zode groots een lafheid niet !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.16	doen ladder en doen strop zijn minnen voor ik te duchten , Dan het denkbeeld zijn de schande ' vinden op die wijze ' te vlucht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.17	doen dood ik toedenken zijn wreed voor het ogen allee ; mare zij zijn niets voor de manna die zij durven tegentreen : doen pijn worden uiten gevoelen , uiten ander niets !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.18	baren ; het gevoelen worden door doen straffen , in het vonnissen , ik beschoren , bijna niet aandoen : te ladder afstorten zijn wij gevoelen straks wegge ; dus zijn wij leiden korten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.19	mare op een laf wijze ' doen goed trouwen te schenden , te kosten vinden ons eer gevaar af te wonen , Te leven mede doen blaam , die wij hebben leven meer behaaglijk zijn dan het hoogst vinden zijn mens goed , ons eer ; deze al baard de manna , die hebben leren te sterven , En denkbeeld hebben vinden doen eer , meer smarten dan het liggen te durven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.20	laten u ' gemaal , wie plicht eisen die hij het middel doemen ' die wij onteert , vergaan ; en gei ... bewaren u ' roemen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.1	gei wijzen ik ' voorslag af ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.2	Gyzelf , gei eisen te sneven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.3	gei wild die ik uw derv ' ?...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.4	ik zullen uw voldoening geven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.5	mare wanen niet die ik laf in deez ' gehaat waal bij die barbaar , die uw dreigen , leven zullen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.6	torn ik uw doen eest ; malen na het moordschavot zien ruk , laten ik doen krankte , ontstaan uiten drang vinden ongeluk , Niets dan een asscheid toen , die ik hebben harden doorsnijden ; deze harden , door tij gewoon aan het onverdraaglykst lijden , kunnen thans hebben groots besluiten , waarvan het hier all ' zullen beven , Volvoeren , tot bederven vinden wij uw willen doel sneven .	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.7	Ik zeggen uw eens vaarwel , ik denken daaraan , en yz ' !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.8	ik zeggen uw thans weer vaarwel , mare op een ander wijze ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.9	Ik , door u reden mede schrik om u gevaar bevangen , willen vinden doen ruiter gul u hoofd niet af doel hangen ; Ik stellen , uiten liefde , u loten trouwhartig in u macht , dewijl gij uiten zuchten voor ik zijn in het verderf brengen ; gei vinden hebben minderen wreed door een onteerend sterven u gade , tot zij dood , u ' bijstand te doel durven , Dan , mede zij bitter wede , die zij om uw lijden !	Fear_Emotion_BodilyProcess_Love_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.10	begaan , zij liefde een poging uw te redding toen te staan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.11	Een kiesheid zode barbaars aal schaars na traan horen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.13	daar ik , nevens uw , uw aanmerk alles verliezen , schikken ik niets over dan die ik deze plaatsen begeev ' , uw redden door wellen ... of voor deez ' kerker sneev ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.14	ik zullen voor het Fantynsche volk in het rouwgewaad verschijnen : minnen wreed dan gei , naardien het zullen deel in ik pijn , zullen het op de streng aard de landvoogds rijden verstoren , Daar het uw beminnen , door ik te opstand aansporen , zien , voegen aan doen zijde ' vinden Englands waterbenden , te breking vinden u boeien na deze muur wonen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.15	doen neger zullen ik groots doen dood trotseren zieden , En , moedig uiten de aard , ik poging bijstand bieden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.16	hebben bloeden de raad , die wreed u bloeden willen doel vergieten , zullen , zode ik wij weerstaat , in deze muur vliet ; Of het volk door ik leiden zullen ik , in het oorlogswoen , Verdelgen zieden door het rotten die uw willen sneuvlen doel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1209.s.1	laten bord , zij wederboudende .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1211.s.1	vertoeven , wanhopige !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1211.s.3	ik bloeden verstijven in doen adren !	Fear_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.1	besluiten dan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.2	het zijn , te laten !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.3	ik zien Valkenburg wij naderen .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1221.s.1	mevrouw laten bord , valkenburg , laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1224.s.1	valkenburg , mede levendigheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.1	ik vriend !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.2	komen , scheppen moede , en wezen verheugd mede ik : wie zieden doen gans vlieden : doen Ruiter zijn nabij .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.3	hij , die wij harteleed voorzeker zullen genezen , Die held , alom beminnen , zullen binden het uur hier wees .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.5	vinden zijn die schrik , prenten op het aangezicht !	Fear_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.1	ik vader , ach !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.2	u deugd hebben rijden genoeg verrichten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.3	gei hebben wij klaar doel zieden hoe sterk ons ongeluk , Die zonder voorbeeld zijn , uw op hebben hart druk .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.4	rijden hebben gei vinden u ' zode een weigring ondergaan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.5	Wat bij doen Ruiter uw doen vriendschap doen bestaan , Om een ' gemaal die zien doen dood niet willen onttrekken , In het uiterst vinden de node , mede kracht te steunen te strekken , wij ogen voorzien daarin geenszins die zekerheid waarmee u goedheid wij zode gunstig hebben vleien .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.6	Dus , niet voorzien om gewis laten Bordes boeien te slaken ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.7	ik zullen , door eene enkel daad , doen wereld kenbaar manen , die liefde , eens aansporen tot wanhopen , in de node oneindig sterk zijn dan doen yzing voor doen dood .	Emotion_Love_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1244.s.1	Wanbopig .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1250.s.1	zijde vertrekken , mede doen uiterst drift .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1255.s.1	valkenburg , laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.1	laten bord , welk een schrik mogen zij de geest ontroeren ?	Fear_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.2	Wat mogen zij opzetten zijn ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.3	wat trachten zijde uiten te voer ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.4	Wat sporen zij , daar ik helpen zij trouwen te dienst willen staan , die zij verheugen moeten , tot zulk een wanhopen aan ?	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.5	het berichten de komst vinden het hoofd vinden nederland watermagten , doen Ruiter , vinden wie aard ik niets dan goed kunnen wacht , Op wie meedoogendheid zijde straks nog hebben hopen , zijn doen oorzaak die zijde nu wanhopig ik ontlopen !	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.6	vinden zijn die omkeer tocht ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.7	Wat doen zij al vrees , Daar zij al hopen mogen ?	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.8	kunnen ik zij smarten genezen , hebben worden op het ogenblik door ik in het werken stellen .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.1	geren smarten houden ooit ik ziel meer dan deze uur beknellen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.2	zode gei u helpen , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.3	ik gunstig wild doel blijk , volgen straks ik echtgenoot '; laten zijde uw niet ontwyken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.4	zij harden zijn teder en fier , en zulk een harden kunnen liggen , Door wanhopen overheerd , niet horen na de plicht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.5	In zijn hemel naam , vliegen heen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.6	ik hebben verder niets te smeken , Dan die gij ik vergunnen ik rijden af te breken .	None
noms001mich01_01.TEI.2.text.body.div.div.head.1283.s.1	Zesde toneel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1286.s.1	valkenburg , allee .	None
noms001mich01_01.TEI.2.text.body.div.head.1299.s.1	Derde bedrijf .	None
noms001mich01_01.TEI.2.text.body.div.stage.1301.s.1	hebben toneel zijn in doen groot zadel vinden hebben kasteel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1306.s.1	valkenburg , mevrouw laten bord , een soldaat .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.1	ik zeggen andermaal , ik kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.2	gei hebben geren lijden te vrees .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.3	ik moeten jegens u ' gemaal altijd erkentlyk wees : het zijn op zijn ' sterk drang die ik uw hier bewaren ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.4	Ik vrezen u wanhopen meer dan u ' gemaal gevaar .	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.5	Daar hij ik weigeren blijven het geren gei ontwerpen te ontdekken , En het ik niet mogelijk zijn uw u geheim te onttrekken , Ja ik door lang drang daartoe geren poging doen , zijn het billijk die ik zorgen uw voor uzelf behoe .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.6	Doch zwijgen wie hiervan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.7	doen Ruiter zijn komen : ik hebben vinden zijn ' schouwen bij nacht , op het ogenblik , vernemen die nederland admiraal ik ' zode verzoek doen , die niemand , wij het ook zijde , hij aan zijn boord begroeten ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.8	deze zijn ander doen eerst plicht vinden opperhoofd en rad .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.9	zode nederig zijn doen held , beroemd door groot daad .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.10	geloven tocht die ik nooit mede wanen uw hebben vleien : doen grond vinden mijn hopen zijn zijn menslievendheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.1	Hoe zeker uw doen grond vinden uw hopen moog ' schijn , u hopen kunnen uiten ik harden ik ' angst niet doel verdwijnen .	Fear_Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.2	het Begrip eens enklen man beslissen laten Bordes loten : hebben brengen hij in ik ' arm , of het brengen hij op het schavot : ik hebben vinden het kloekst vernuft een wanbegrip te vrees .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.3	doen gul de admiraals moeten niet onzeker wees ; En evenwel wij staan , tot lichtnis vinden ik pijn , ik in die deze gul niet zullen onzeker zijn ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.4	doen Ruiter zijn een mens , dus vatbaar voor verblinding .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.5	Ik hebben vinden het menselijk harden slechts weinig ondervinding , Dus worden een ijdel schrik ik mogelijk inprenten ; mare ik gemaal , mijnheer , die het mensdom goed kennen , de aard de groot harden hebben weet naar te spoor , weten die zijde meer het belang dan het mededogen horen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.6	Een ogen door tij verlichten bedriegen zien zelden ; mare ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.1	Een ogen door ramp verblinden zien doorgaans velen gevaar .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.2	zijn u gemaal , ik kind , schaars vatbaar voor verblinding , Ik hebben vinden het menselijk harden een lang ondervinding , ik ogen zijn niet bedwelmen door walm vinden tegenspoed , ik zijn in mijn eerst jeugd bij groot opvoeden ; Besef dus wieden vinden wij gei meer geloven moeten geven , ik , of een ' driftig ' manna , door doodsangst aandrijven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.3	Ik kennen de admiraal ; ik kennen hij torn hij In uyvren Lampsins dienst nog voeren te koopvaardij ; En hebben tot op deze uur geren rijden om te vrees , die hij niet heden nog doen zelfde manna zij wees , Die hij in liggen staan , voordezen , zijn wezen , die zijn , meedoogend ' , groots , en nederig vinden geest .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.4	Ik zelf hebben vinden de Zaan , zijn ' schouwen bij nacht , spreken ; En deze hebben in ik harden nog meer doen hopen ontsteken waarmee ik mede vermaken , in uw omstandigheid , u droefheid , ik te troosten , gedurig hebben vleien .	Joy_Emotion_Hope_BodyPart_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.5	doen braaf vlootvoogd komen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.6	Ik wachten hij mede verlangen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.7	treden , daar ik plicht vereischt hij in deze zadel te ontvangen , In het ginds zijvertrek .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.8	Bedwing uw ; nader niet , Voor die gei , op ik ' lassen , het bestemmen teken zien .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1373.s.1	zijde vertrekken , en doen soldaat plaatsen zien , op de wenk vinden valkenburg , voor doen door vinden zij vertrekken .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1386.s.1	doen ruiter , valkenburg , doen jong valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1386.s.2	hoofd de vlieden , scheepskapiteinen , raadsheer , hoofdlieden ; en soldaat , aan de ingang .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1388.s.1	doen ruiter .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.1	ik steken een eerbewijs die ik geenszins verwachten , die ik altijd ontwijken , en altijd weinig achten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.2	doen staatkunde , eigenbaats en heerschzuchts boos spruiten , vinden al die ijdel praal voor haar dienaars uiten , Om hun rank bij het volk , die liggen zien laten verblind , te steunen de dwingelandij meer aanzien te doel vinden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.3	hij , die zijn broosheid kennen , zoeken ' , doen all ' het geren hij Voldoening in zijn harden : al het ovrige zijn een lassen .	Aquiescence_Emotion_BodyPart_Trust
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.4	laten wij , door krijgen dreigen , de dierbren tij besteden passen , Aan zijn land verdediging , en niet aan kleinigheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.5	doen zuchten voor het landen allee verdiend de eerenprys ; u ijver tot zijn land dienst strekk ' ik voor eerbewijs .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.6	ik doen doen vlieden voorzien : deze zijn doen eerst mijn zorg .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.7	gei voeren doen licht kiel : vertrekken vinden hier op morgen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.8	u tocht zijde Westlyk heen lang deze kussen richten , Doch houden , zode velen gei kunde , hebben landen in u zichten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.9	gei , steven zuidlyk aan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.10	En zode gei lang doen vloeien Een kiel of vlieden vernemen die har waarts schijnen te spoed , doen , door u zwaarst schudden , die straks wij volk verstaan ; wijken , schieten , achterwaarts , en hout dus op wij aan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.11	uw voegen hebben boven all ' hebben zeevolk in te tomen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.12	vergunnen geren groots getal gelijk aan landen te komen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.14	vinden weer trouwen ik al dienst verwachten , gei weten hoe oog ik harden doen tocht bij het zeevolk achten ; ik kunnen niet zonder zij een vlieden mede vlucht bestieren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.15	mare wachten uw , straffende , ooit die drift de tomen te vier Die , eens aan het woeden , de mens een ' mens doen zijn in schijn : bestieren u bende zacht ; denken die zijde mens zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1403.s.1	Tegen een ' de kapitein .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1408.s.1	Tegen een ' ander kapitein .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1411.s.1	Tegen heide .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1418.s.1	Tegen doen hoofd de vlieden , en verder kapitein .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1435.s.2	soldaat , aan de ingang .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.1	mijnheer , die deze dagge aan deze dreigen strand hebben zorgelijk oog bewind uw zien stellen in hand , Aan wieden ik op deze stranden ik vinden ik plicht kwijten , u vlijt zijde mede ik vlijt te dienst de land besteden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.2	ons eerst zorgen in het wede , die wie mede rijden vrees , zijn meest vinden hebben harden vinden het volk de land te wees .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.3	zijn het minnen beschaven dan wie , hebben hebben geren ' minderen ' moede , En het wagen voor wieden het beminnen , mede blijdschap zelf , zijn bloeden ; Vooral het Fantynsche volk .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.4	vertrouwd gei die die bende , te vallen vinden het Britsche volk , zien veldwaarts zullen wonen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.2	uw edelheid houden ' zien verzekeren vinden Een volk waarvan ik niets dan goed verwachten kunnen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.3	het wassen eest , door list de britsen , tot Englands dienst gewinnen , het hebben zelf rijden tegen wij doen vijandschap beginnen ; mare vinden zij dwaling , door de Brit heen instorten , Genezen door wij volk , wassen deze krijgen slechts korten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.4	zijde aanzien vinden zij trouwen wij blijk op blijk geven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1468.s.1	een krijgsman doen deze volk mede wij in vriendschap leven , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1468.s.2	hebben achten hij , zode om zijn ' stout aard , alles om zijn minzaamheid ; en hij zijn achten woerd ': zijn vuist bestreed zij macht , zijn tong bestreed zij dwaling ; En bij de roemen , verdienen door deze zegepraling , voegen hij nog doen eer die hij ik ontrukken hebben aan doen dood .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1482.s.1	wij zijn die oorlogsman ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1482.s.2	zien hier zijn echtgenoot ' !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1480.s.1	valkenburg wenken de soldaat , die terstond doen door ontsluiten , waaruit mevrouw laten bord schielijk te voorschyn treden , en zien aan doen voeren de admiraals werpen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1480.s.2	terwijl vervolgen doen gryzaart , tegen de admiraal .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1485.s.1	mevrouw laten bord , doen knie de admiraals ombelzende .	EmotionalAction_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1488.s.2	ik zijn het , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1488.s.3	zien hier doen droef gade een oorlogsmans hoogst woerd ' u edelheids genadig .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1492.s.1	doen ruiter , mede verwondering , zij opheffen .	Emotion_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.1	Wat zijn deze !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.2	doen gade een man , die zode velen hebben bestaan , smeken ik genae voor hij !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.3	Wat hebben hij dan misdoen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1500.s.1	zijn misdrijf sproot uiten doen eer , mijn eer te wraken , te horen .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1500.s.2	Hierom zijn ik ' gemaal het afgryslykst loten beschoren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1504.s.1	Die talen verwekken ik smarten , en velen verwondering !	Emotion_Sadness_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1512.s.1	het Geval haars echtgenoots zijn waarlijk zonderling .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1512.s.2	Indien het uw edelheid op het gunstig mogen bedragen deze wonderbaar geval zien voor te horen dragen , Ik stellen voorzeker die , bij het horen vinden doen schuld , gei het vonnissen vinden de raden niet weerspreken zullen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1517.s.1	Of het ik behagen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1517.s.2	Ik eisen het uiten uw mond te horen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1520.s.1	Tegen mevrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1522.s.1	dragen zorgen zijn land opperhoofd niet in zijn reden te storen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1525.s.1	Tegen de janhen valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1527.s.1	spreken vrijen .	None
