hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	persoon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.4	doen Hemel weten wij hier zijn doen verrader , wij meest doen eendracht mind , wij meest eerbied zijn Vader !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2749.s.1	Hassan , spreken op u beuren , mare dragen zorgen die u mond doen waarheid niet besparen , of niet ...	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2761.s.1	Daar zijn het verbinden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2761.s.2	doen vlieden daar in vermelden zijn wel nog niet vernemen mare zullen gewisselyk vinden daag of morgen komen : zijde hebben rijden gisteren zij anker oplichten , zode ras doen duisternis zij dekken voor het zichten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2764.s.1	abdul , apart	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2766.s.1	nul Hemel !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2774.s.1	nul profeet !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2774.s.2	ik hopen zijn dan verliezen , Daar zijn voor ik op aarde ' geren stil rusten beschooren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2774.s.3	trouweloos gedrocht !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2783.s.1	Wel nu , wat misdaad zijn het voor ik die ik zoeken naar u dood t ' ontvlieden slavernij ' ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2783.s.2	Ik zien aan Hassan rijden Fathema's hand geven , En het rijk die ik behoord , en binden korten ik leven !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2783.s.3	het zijn tij die ik ik moede die ik ik wanhopen tonen ' , En ik zullen eest ...	Emotion_Despair
hare003agon01_01.TEI.2.text.body.div.div.sp.2787.s.1	houden op !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2803.s.1	Sinan hebben zijn ik zoon !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2803.s.2	geven over uw kris : gei brengd hij wegge gevangene .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2803.s.3	En wild zijn misdaad hier veranderen doen belang gaan heen , laten elk vinden uw , die mind hebben Vaderland Verzaam'len al zijn macht tot dekking vinden wij stranden .	Emotion_Love_Loyalty
hare003agon01_01.TEI.2.text.body.div.div.sp.2816.s.1	schonen in hebben afschrift het geren ik aan uw hebben geven doen naam vinden die het verbinden sluiten niet staan in schrijven ; weten ik in het zeker die Steenwyk zijn doen manna Die uw vinden deze verbinden goed onderrichten kunnen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.1	nul Hemel , welk een straal vinden hopen komen ik verlichten !	Emotion_Hope
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.2	Steenwyk , zeggen gei , kunnen ik hier vinden goed onderrichten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.3	Ik zien klaar in doen zaak ; het zijn die Europeaan Die Abdul deze daad , zulk ' een feit hebben geraden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.4	hij hebben die jongeling leren Europa's zede , hij hebben zijn harden vervullen mede zij verfoeylykheeden , mede heerschzugt , gierigheid , drift vinden al soort , Abdul allee , hebben nooit denken aan Broedermoord .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.5	Hassan , u harden en moede , beproeven in doen gevaar , zijn nu doen steunen vinden het rijk , en vinden u vader jaar ; vergeten die ik vinden het rijk u geven hebben klein delen , Ik zien hebben groot zijn voor Hassan niet te velen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2840.s.6	maken die u laag hier zich mede verhaasten schrede Nog vinden bij Bantam's waal , zode het moog'lyk zijn , op heden : die al in doen Stad , wapenen , zijde reden , En ieder op zijn pos bij d ' eerst waapenkreet .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2853.s.1	hebben laag zullen hier zijn : ik dapper Javaanen Verlangen onder het ogen te zieden d ' Europeaanen : wie aanzien rijden vinden heen verscheiden zien , Onder Tartassa's Volk mengen , wij Crissen vlieden .	Emotion_Desire
hare003agon01_01.TEI.2.text.body.div.div.sp.2853.s.2	mare Holland , nu ontdekken , zullen zich naar elders wonen En misschien zij verbinden mede uw zode liggen niet schenden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2860.s.1	D ' uitkomst zullen uw doel zieden , hoe zeer g ' in het laatst dwaald , D ' onkosten zijn braden , die vlieden moeten nu betalen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2860.s.2	zij mercantile geest reekend alree doen winst vinden ons slavernij ' , of vinden wij gelden te minst .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2883.s.1	Hoewel ik menen die wie heen wel dubbel zijn bestand , En ons macht allee beschermen kunnen u landen , wie aanzien frans hier , en engels , en Deenen , volk , die altijd in u belang scheen ; schonen al die christen zijn even heten op roven ik zeggen die zijde hechten zijn aan zij bijgeloof : Misschien die mede aan zij alhier een plaatsen te geven Om daar naar hun weten en plegtigheen te leven ; Of hier de handelen zij allee te bieden aan ...	Emotion_Greed_Desire
hare003agon01_01.TEI.2.text.body.div.div.sp.2900.s.1	zijde aanzien hier geren macht om Holland te weerstaan : En schonen zij hand wij helpen , zode zijde wij al verlossen , zij bijstand en zij helpen zij wij niet minderen kost : zij vriendschap zijn altijd doen prijs vinden het hoogst bot , En het gelden zijn inderdaad doen Europeers God .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2900.s.2	Daar zijn alhier voor wij geren uitkomst te verwachten alles vinden wij dapperheid , en vinden wij eigen kracht : doen vijand zullen allee tot Vree mare zijn gezind , Wanneer hij wij voor hij te sterk wapenen vinden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2900.s.3	gaan , op hebben nodigste te eerst orde stillen , u Vader zullen wel haasten uw volgen en verzellen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.1	de hemel goedheid laten te minst ik een zoon , bij wieden Natuur , en Deugd en trouwen , nog hout zij wonen Ik zullen die Hollander zijn verraad duur verkopen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.2	mare waarom vinden Abdul zode spoedig te wanhopen ?	Emotion_Despair
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.3	hij zijn jong , hij zijn verleiden : helaas , doen teere Jeugd staan altijd wankelen ' in het voetspoor vinden doen Deugd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.4	doen drift vinden zijn harden aanzien zijn geest bedriegen , doen Heerschzugt of doen Liefd ' aanzien verblinden zijn ' oog , En doen Verrader , die Batavia wij zonde , hebben listig aanstoken het misnoegen die hij vinden : deze gruwelstuk zijn nooit in u ziel opkomen Abdul !	Emotion_Greed_BodilyProcess_Love_Desire_Disgust
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.5	ik hebben te velen zorgen voor u jeugd nemen Ik weten het zijn niet u harden het welk deze ' misdaad beging hebben zijn doen raden vinden die eerlose Vreemdeling : En het zijn vinden deze gedrocht die ik ik het zwaarst moeten wreken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.6	Gardes !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2931.s.7	zeggen aan Sinan die hij ik hier komen spreken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2946.s.1	SInan d ' Europeaan die hier voor drie jaar komen , En Mahomets Godsdienst , en ons weten , aannemen , Steenwyk , moeten door u hand te spoedigsten gevangene ; gade heen , die orde zijn vinden d ' uiterst belang .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2946.s.2	laten Abdul onderwijl alhier worden brengen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2959.s.2	geven aan ik hebben oordelen en doen kracht Om ik zoon naar behoren te straf , zode het moeten wees !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2959.s.3	Of lief , maken zijn harden zode alles hebben wassen voor deze !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2992.s.1	ALschoon u misdaad geren toegevendheid verdienen ik zullen voor een ogenblik geren recht zijn , mare Vriend .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2992.s.2	Onzinnig Jongeling , wat woeden ' hebben uw bewegen Daar gei hebben voorbeeld hebben vinden het gans oogst voor oog Om door doen tweedracht , hier te brengen in wij waal , Een Volk , zijn aan hebben oogst verschuldigd zijn zijn vallen !	BodilyProcess_Anger
hare003agon01_01.TEI.2.text.body.div.div.sp.2992.s.3	Wat noodlot wassen voor uw tot Bantam ooyt te vrees slim , alles in u rijk een ander slaaf te wees ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.3012.s.1	het zijde ik hier voor ik Vriend of voor ik recht komen Ik durven ik reden bekennen zonder schromen : Te meer , om die tot welk vinden beide ik ook nader Ik weten die elk vinden zij ook wislyk zijn ik Vader , En die ik hopen die die , eer die hij straffen ik schuld doen grond vinden ik doel zullen wegen mede dulden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3012.s.2	zode Hassan tot zijn wensen niet eind'lyk zijn komen En ik niet voor altoos ik Vader hebben benemen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3020.s.1	gei zijn ; voor ik en het rijk , beschuldigd vinden verraad , verschonen , indien gei kunde , die ysselyke daad : geven rijden vinden hebben geren g ' hebben durven onderwinden , u Vader wensen die hij uw mogen onschuldig vinden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3031.s.1	Wat ik ook hebben trachten vinden ik boren ' af aan Ik hebben nooit wel bij uw , nog in u gul staan : En Hassan hebben altijd , wat ik mogen ondernemen , Aan ik , ik vader Liefd ' en harden , weten t ' ontvreemen !	Emotion_BodyPart_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.1	Ondankb're ; alles hebben liggen eest voor u ' oog komen En ik , alles een geschenk , uw , vinden doen Hemel nemen , alles mijn arm uw voor d ' eerst malen omvingen , En ik ik harden vinden vreugde ' voelen ' in ik boezem spring !	Joy_Emotion_EmotionalAction_BodyPart_BodilyProcess_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.2	vinden die tij hebben ik ziel altijd op uw waken , En u opvoeding het witten vinden mijn zorgen maken !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.3	doen God die al kennen , kunnen ik getuige wees mede welk verrukking ik hebben horen voor deesen doen eerst woord die u staamerende mond Op een verstaanb're wijze ' tot mijn oor zonde !	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.4	mede wat vreugde ' ik het verstaan zien vinden ik ' eest baren , rijden in zijn kinds tij een ieder harden bekoren !	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.5	En mede welk ' zorgen hebben ik altijd , mede al kracht , hebben voorbeeld vinden doen deugd voor uw ziel brengen alles in het vermeerderen vinden u hoedanigheeden , Ik d ' eerst straal zien doorschynen vinden doen rijden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.6	Hoe groots ook Hassans geest , hoe goed zijn harden ook scheiden , Ik vinden die syne woerd ' altijd bij uw verdwijnen , ik hebben niet geluisterd naar doen stemmen de hoveling mare uw lof zien in het ogen de vreemdeling .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.7	het zijn die verstaan wezen , hebben zijn die geest allee , Die hier aan elk zo groots , en zode doordringen , scheiden , Die ik doen hoop die voor uw doen wegge zij banen Tot nut wetenschap vinden schrand'r ' Europeaanen , En doen Verraer aan wieden ik hebben die zorgen vertrouwen , hebben op ik vallen doen hopen vinden zijn fortuin bouwen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3098.s.8	Door laag vleierij ' trachten naar uw gunst , En in plaatsen vinden aan uw te wijze haare kunst , doen misdaad vinden Euroop ' aan uw ziel tonen , En misschien , in zijn landen , doen Vadermoord belonen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3118.s.1	ik bekennen ik hebben denken die ik mede goed rijden Misschien verschonen kennen het geren zijn gebeuren op heden , mare ik harden zijn te vol , u goedheid zijn te groots ; Ik werf ik noodlot neder in mijn vader schieten : hebben zijn genoeg voor ik die ik u kennen mishagen Om geren doen minst zorgen te dragen voor ik dag .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3118.s.2	mare God en zijn profeet weten die mijn smarten Niet zijn die ik verliezen hebben leven , mare u harden !	Worry_Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.3118.s.3	En d ' allerwreedste dood zullen ik verdraaglijk schijn zode ik mare voor ik dood u gramschap zien verdwijnen , zode ik mede deese troosten naar d ' eeuwigheid mogen gaan , die Abduls loten uw kosten te minst een traan !	Emotion_BodyPart_Sadness_Anger
hare003agon01_01.TEI.2.text.body.div.div.head.3121.s.1	zevende toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3150.s.1	EEn nederland vlieden , zode alles ik klaar zien vinden doen wal , hebben aanstonds op doen rhee doen anker laat val : En het zijde s ' een ander dreigen , of wel wij eigen kussen , hebben zijn klaar die zijde zijn tot iets groot uitrusten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3150.s.2	doen licht schip die doen Oorlogs vlieden verzellen schijn door zij gedaant ' een landing te voorspel , doen vaandel die ik zien , doen trom'len die ik hoord , zijn teken die doen vlieden een laag hebben aan boord .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3150.s.3	zode ras voor winden en stroom doen schip veilig waar , zijn vinden de Admiraal een bieden naar landen gevaar , Die voortdrijven door doen stroom en roeier hand Twee officier hebben brengen op Bantams stranden , En doen bieden mede doen welk zijde zijn vinden het Schip komen hebben weder in zij plaatsen Steenwyk naar boord nemen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3154.s.1	Steenwyk !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3159.s.1	Ik zijn redden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3182.s.1	verbergen in een huis Op het stranden , allee bewoond door het allerslegts gespuis ; En buit achterdogt , hebben hij op doen gerucht vinden het geren hier zijn gebeuren , u macht weten t ' ontvluchten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3182.s.2	Een vinden die Officiers wachten hier naar u gesprek En d ' ander zijn brengen naar Fathema's vertrekken , Beide zijn zijde lassen , te minst naar zij zeggen , bij uw en Fathema een boodschap af te liggen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3190.s.1	hebben zijn genoeg Sinan : laten hij die naar ik wachten , Ook worden naar het vertrekken vinden Fathema brengen : Ik zullen ik zode aanstonds naar doen prinses begeven .	None
hare003agon01_01.TEI.2.text.body.div.div.head.3194.s.1	achtste toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3202.s.1	zien het vergif die u hand storten op u vader leven	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.1	ik hand ! ik hebben zode hopen die Steenwyk hier stellen Aan u doen waarheid hebben vinden mijn lassen gemeld !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.2	ik zijn zeker die in hij , zoeken door wreed pijn , ik Onschuld , in zij glans , voor uw hebben kunne schijn .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.3	hij zijn op ik lassen naar Batavia gaan , mare ik zijn onbekend wat hij daar hebben braden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.4	Ik wassen allee bezorgen die Hassan ik zij laten hebben geren u goedheid ik zij geven vinden u staat , ik hebben Nederlands vriendschap daar toen allee zoeken , En ik zien die ik die hebben mare al te duur kopen !	Worry_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.5	mare het koomd ik zeer vreemd voor die Steenwyk zijn verdwijnen alles zijn getuigenis hebben nodig zijn gescheenen : het Schynd ik hebben bang maken of wegge jagen die manna ; doen enig ' die alhier doen waarheid weten kunnen Of die tonen verbinden , en door wieden zijn sluiten , Of zijn een hersenschim uiten Hassans geest spruiten ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.6	doch ik stemmen toen die ik zijn Verrader vinden ik landen zode gei vinden die hebben zijn tekenen door ik hand !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.7	mare het zijn zijn Hassan hebben ik ijver aansteken Ik zijn in haastigheid te schielijk uitbreken , En zijn zijn doen jonkman die eer bezitten en harden , Die niet opvliegen zij op zulk een honen en smarten !	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.3260.s.8	Die mede koelheid zij zieden die ik hij voor Verrader Uitkryte vinden hebben rijk , vinden zijn huis , vinden zijn Vader , Ik hebben te zijde zetten doen eerbied , en verdienen doen straffen , die ik wachten , het zijde vinden ik recht , of ik Vriend .	Aquiescence_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.3270.s.1	doen tij laten nu niet toen om mede bedaard zin hebben nodig onderzoeken in deze te beginnen : kiezen een vertrekken op het Hof , blyf daar , tot ik zullen zieden Wat zijn land belang vereisen die ik uw moeten gebieden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3270.s.2	Gardes , bewaren ik zoon , mare niet alles Staatsgevangen .	None
hare003agon01_01.TEI.2.text.body.div.div.head.3273.s.1	Negende toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3287.s.1	zode hebben ik eindelijk verkrijgen ik verlangen !	Emotion_Desire
hare003agon01_01.TEI.2.text.body.div.div.sp.3287.s.2	Ik zullen nu binden korten , en misschien voor doen nacht Wel zijn uiten hebben gevaar daar Hassan ik in brengen , En tot een voorbeeld hier , voor die Abdul durven honen , hebben bloeden vinden niemand , wij die hij ook zijde , verschonen : wraken !	Emotion_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.3287.s.3	deugd de vorstin !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3287.s.4	vuil ik harden te deezer uur !	BodyPart_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.3287.s.5	En bannen meedogendheid , en eerbied en Natuur !	Emotion_Compassion
hare003agon01_01.TEI.2.text.body.div.head.3293.s.1	vieren bedrijf	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3316.s.1	NEen , Mevrouw , neen , gei zullen u schuilplaats niet verlezen , En Agon zullen velen eer hebben uiterst verkiezen alles die hier ooyt door hij verlaat zijde hebben pand , hebben welk zijn stervend Vriend vertrouwen hebben aan zijn hand mare , wat ik bidden mogen wild doch u moede bedaren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3316.s.2	gei zijn niet aan hebben hoofd vinden uw Maccassaaren ; Een Vorst die veinzen kunnen , hebben dikwyls door doen tij , Op het onverwagst zien hebben geren zijn harden verblijd .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3328.s.1	schonen mijn razernij te toppunt zijn gereesen , Ik zullen niet haastig zijn , ik zullen gematigd wees .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3328.s.2	mare wede die Volk , die nu ik dulden zode velen vergd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3328.s.3	die ik langmoedigheid , ik haten zode bloedig tergd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3328.s.4	het schuim vinden Europa zullen Fathema weten geven !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3328.s.5	ik zij vinden Batavia afhankelijk kunne leven ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3338.s.1	gei zijn nog vrijen , Mevrouw , en ver vinden die geval ; het zijn nog niet zeker wat ik wij hier voorslaan zullen : En door wieden , of voor wieden , deze ' zaak ook zijn beginnen wie zijn nog niet dreigen , en velen minnen overwinnen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3347.s.1	Ik denken die die Gezant zode voorzichtig zullen zijn vinden niets te zeggen het geren hier het minst honend schijn ' En die Fathema niets uiten syne mond zullen horen ....	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3392.s.1	hebben zijn geren tij om nu aan woord zich te storen : Hassan hoe sterk wij macht , hoe groots u moede ook zijde , doen staan daar wie in zijn band al hoovaardy .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3392.s.2	Ik hebben Batavia rijden meermalen haar kracht zieden zenden in hebben oogst tegen doen sterk macht , En ik hebben altijd bespeuren , welk vlieden die zijde ook zonde , die d ' uitslag aan doen keuren vinden haare Veldheer staan : En zode zijde tegen wij een vinden die hebben verkiezen Door wie lafhartigheid Formosa gaan verliezen , zode het niet wassen St. Martin die heen hier komen gebieden gei zullen ik zonder zorgen en ongerustheid zieden : mare ik weten die vinden die geren ' die in wij Indien varen Niemand hij in Krygskund ' en moede kunnen evenaren .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3392.s.3	Ik vrezen hij nochtans niet , mare doen voorzichtigheid vereisen maatregulen tegen zijn kundigheid : hij hebben zode wel naar uw alles naar ik laat vlaag , het zijn goed die gei eest hoord wat hij uw zullen voordragen , het zijn nodig die hij zien die gei in vrijheid zijn , En , schonen in Bantams Hof , echter geren meest kendt ; die ik aan u alhier geren weten willen voorschrijven , En niet bevreesd zijn uw allee te laat blijven : ik zullen naderhand , bij uw , aanhoren zijn gesprek , En hij het verzoeken gehoor geven in deze vertrekken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3392.s.4	gei , dragen zorgen om doen tij te nut te besteden Wat ook hebben loten aan wij bereiden mogen op heden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3422.s.1	WAt ook hebben loten voor ik heden bereiden zullen , Ik zien niet die ik hebben te vrees laag vallen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3422.s.2	ik Vader hebben wel eer , door het stalen vinden die barbaar , verliezen op een dagge duizend Maccassaaren zijn schat , rijk , Vrouw !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3422.s.3	en ik , boven die al Nog mijn Vader zelf in deze droef waal !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3422.s.4	En zij laatdunkendheid durfd nog zich onderwinden Om hier Fathema's hand aan Abduls loten te binden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3422.s.5	Fortuin , gei hebben tonen u macht over ik landen , ik leven en ik harden zijn buit uw hand .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.3427.s.2	St. Martin .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.3429.s.1	st. martin	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3457.s.1	mede hoe velen lof ik hoord Fathema's schoonheid prijzen , Ik zien zij bijzijn daar doen waarheid vinden bewijzen , Ik zien die Agon's Hof bezitten doen groot schatten Die Indien in zij schieten , of het gans oogst bevatten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3457.s.2	Batavia verlangen zij eerbied u te toon , En mede zij ' eigen hand Fathema's hoofd te kronen , En zij Regeerings raden zoeken aan Fathema's harden zode velen alles doenlijk zijn t ' afnemen al smarten ; Te doel vergeten hebben gebeuren ' in vroeger tijd , En zij geluk en het wij ' te vasten aan weerzyden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3457.s.3	ik lassen zijn die ik deze op al wijze ' betrachten ; En ik zullen gelukkig zijn wanneer ik het hebben volbrengen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3473.s.1	doen naam vinden St. Martin , en zijn hoedanigheid , zijn hier niet minnen bekennen , alles zijn beschaafd zede , En zode ik kennen iets goed wachten vinden Hollands kanten zullen het waarlijk moet zijn door zulk een Afgezant ; En het besteden middel om ik harden naar zij te wonen wassen zeekerlyk , ik Heer , om uw alhier te zenden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3473.s.2	mare hoe vergetelheid tussen wij kunnen bestaan , naar het geren Batavia ik Huis hebben aandoen , week Kroon op ik hoofd plaatsen door haar hand Aan ik vergoeden zullen Celebes rijk land ; zijn iets het geren ik verlangen mede velen nieuwsgierigheid Te horen uiten een mond vinden zode velen kundigheid .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3528.s.1	Indien Fathema's Huis gelijk in vroeger jaar zitten vredig op de troon vinden het rijk de Maccassaaren , zode all ' doen rijk vinden Celebes , alles voorheen , waar onder een Hoofd , en in zij macht allee , zode enig Vorst voor zij hebben zwaarte bestaan te trek , Of voor zij zaak in het oogst doen minst onlust wekken ; Dan zij het vreemd kunne zijn Fathema voor te slaan Om hebben geringst gehucht aan Neerland af te staan : mare nu hebben loten de Krygs doen rijk vinden die strand hebben sedert zestien jaar hechten in nederland band , die sedert zestien jaar het Eyland geren ' and're weten Of Vorst , erkennen , alles die Batavia daar zetten , Schynd doen voorzichtigheid aan uw een wegge te wijze Die geren welsprekendheid u behoefd aan te prijzen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3528.s.2	Batavia bieden u doen Kroon vinden Boni aan Mits gei hebben verder Celebes af zullen staan ; Door die Batavia voor niemand hebben te vrees , kunnen deze allee een blijk vinden haare vriendschap wees .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3528.s.3	En voor die landen , hebben welk aan u zijn onbekend , dewijl gei , nog een kind , vinden daar komen bendt , vinden het welk d ' inwoner uw misschien al hebben vergeten , zullen ik een beeter Volk voor u , en nader , weten : En wild Fathema's deugd versieren zullen een troon zijn ons praal die zijde in wij nabuurschap wonen , En voor een muitziek Volk , en voor Barbaarse land , Verkiese Java's rusten en Bantams stil strand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3533.s.1	wij zijn op Java's kussen die Vorst aan ik zode vreemd , Aan wieden Batavia , voor ik , zijn rijk afneemd ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3547.s.1	zij hand zijn niet gewoon te nemen , mare te geven : En wild Agon alhier ver vinden doen troon willen leven , hebben zij besluiten Abdul alhier tot Vorst benoemen , Abdul door zijn verstaan in het oogst zode oog beroemd : En nederland zij aan u die Gemaal niet aanprysen zode het oogst een groot Vorst voor uw weten aan te wijze ; En alles Fathema nu zij zijn ' belang kiezen , winden zijde door het Huw'lijk meer , alles zijde door het loten verliezen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3582.s.1	Wanneer voor zestien jaar , hebben loten op ik verbolgen , ik in ik kindsheid dwingen ik Vader hier te volgen , zijn ik leren Agon alles Vader aan te zieden , En ik hand zijn voor hij die Agon zullen gebieden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3582.s.2	Ook zijn ik voornaam niet ooyt uiten belang te trouw ik laten die lafhartigheid aan europees vrouw ; Ik zoeken in het huwelijk een waar en duurbaar vreugde , Die ik twijfel die ik vinden buit zijn Ega's deugd .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3582.s.3	En zode ik vijand ik kronen ik benamen , het zijn niet aan ik , het zijn aan hebben loten , om zich te schamen : mare ik denken niet , die door doen mond vinden St. Martin , ik ongeluk aan ik verweeten zullen zijn , die Kooplien uiten hebben West ooyt zullen durven hoop Om door Fathema's hand zij rusten in het oogst te kopen , die zij ' vermetelheid zode ver zij durven gaan , Om Agon , in zijn Hof , zij weten voor te slaan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3582.s.4	het Schynd die zijde het gans oogst rijden aanzien alles zij slaaf !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.3582.s.5	Daar zijn nog vorstin vrijen in het oogst , en ook nog braaf .	None
