hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.15	hebben braaf of zoet gespeel vinden wind , of teder snaar , hebben liefelijk gekweel vinden mens of vogel keel , speld en sang-menging edel Door het oor , mede lusten , geheel te ziel invaren .	Joy_EmotionalAction_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.16	doen wierook , diemen mede doen mirre plegen te voegen , muskus , Ambre , scherp Civet , groeien kruid , en bloemkens netten , Roos , lelie , Violet mede reuken onbesmet versterken , en verheugen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.17	Een vol overvloed vinden veel drank , en spijs , de mens lichaam voeden alles hei mede lust zoet zijn graag hongeren boete ; mare bruickt hei zijn meer , daar moeten gebrek , en lassen uiten rijzen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.18	vinden al zijn wereld lusten zijn zoet branden vinden min Voor d'heftichste bewust , Wanneer zijde worden blussen alles lief bij lief rusten ; daar aertsche mond kussen voldoen voor een godin .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.19	deze lust allegaer , En duizend vinden gelijk , alles oefenen , aesmen mare , En d'ongetelde schaarde vinden al wij handgebaar , Voor Liefd ' oprichten , en waar , Nochtans in vreugde wijken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.20	zijde doen die vreuchd ' ontspring , In twee verbond hart ; En maken die ieder dingen dubbel lusten in bring , Door haar vereniging ; ja het dragen onderling trekken zoetheid uiten doen smarten .	Joy_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.21	deze zaligen deugd Op aarde kan doel smaak Een goddelijk vreugde , Die luttel lien verheugd , wan meest een ieder voegen zien om zijn geneugte vinden leur , of niet te manen .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.22	Och hoe zwaar zijn te raak Aen vriendschap onbevlekt , daar vriend keuren ontbreckt !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.23	die lusten tot staat en eren Boven doen maat verheffen , moeten deze lusten ontberen Die het al overtreffen .	Emotion_BodilyProcess_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.24	wan onder luttel lied daar hei uiten kies goed , kan het swaerelijck scheiden , die een hij annestaet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.25	vs. 793 -796 Wat vriendschap vol vinden trouw En vinden geneuchten blij kan Liefd ' en min bouw , daar geren bedragen zijde ?	Emotion_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.26	doen nacht komen op aarde geval mede haar schim , En mede haar bruin paard Berijden ons kim .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.27	Morgen het gevecht zullen manen ik vrouw huwelijk klaar , En in zo groot zaak kiezen hebben geluk voor haar .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3069.s.1	granida , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.1	Ach wat bekommering komen ik ziel bespringen !	Worry_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.2	doen nacht , die het al ontlasten , maken die ik zorg wassen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.3	doen zwarigheid genaken hout ik gedachte wakend : Villicht die hier voorbij Coom zang of speld , om ik Wat uiten de zin te stillen doen zorg die ik kwellen .	Worry_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.4	mare wij komen ginds gaan Bij het schijnen vinden doen manen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.5	Wat !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.6	Soudt Daifilo zijn , ik zullen doen venster sluiten , vinden binden kan ik zien door het glas , hei niet vinden buit .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.1	Kond het lichaam alles doen ziel vervolgen daar het na staat , het wassen nu bij ik Godin , en niet hier op straat .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.2	mare het zoeken , na zijn vermeugen , zien , volgend te voegen daar het vinden zijn leidsman het harden heen trekken wereld .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.3	Ayme , Granida !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.4	doelen vinden ik genegentheiden , Hoe node ' zijn Liefde vinden haar lief lief verscheiden ?	Emotion_Love_Dedication
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.5	mare wat vertoeven ' ik langen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.6	goed zijn , die ik vertrekken , Eer yemandt , ik gewaer hier worden , begeck ik lief alles verwaand , en zonder grond verheffen kasteel inde luchten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.7	Dan , ik zijn niet drijven Door een begeerte vinden bezit gelijk alles zijde , na dienst zijn die ik trachten , en niet na heerschappij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.8	Juppijn , prinses waardig , zijde voor uw sorrechvaerdich , En het haar vinden zijn hemel god doen wachten vinden u Persoon .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.1	Hoe menig claecht vinden Liefd ' een onbeproefd smarten ?	Emotion_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.2	deze openbaertse niet daar hijse voeden in het hart : mare zijde ontdekken haar zelf , en ongeveinsd vlammen worden nooit verbogen die zijde niet te voorschijn komen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.3	nul recht zonder reden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.4	nul weten zonder weet !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.5	mede rechte macht het opperst rechte wel het opperst onrecht heten : bezit vinden staat , vinden land , vinden geld ontelbaar som , die delen ghij na het geluk , niet na doen rijden om , de vaak , doen slecht krijgen hier vinden doen groot winst , En die hebben meest woerd zijn lijden hij mede hebben minst : vinden d'erfgoen die natuur wij achterlaten gemeen , Deyldij de een velen , de ander ganslijck geren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.7	verkeerd mens lusten , en snood schelmerij aanzien uw voortbrengen ; wan in doen gunnen tijd , doel ' swerelts kindsheid zoet niet doen , dan slapen , of lachen , doen niemand vorder alles voor noodruft zorg dragen , En hadder niemand velen , mare ieder hebben genoech .	Emotion_Unhappiness_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.8	doen waerdij onbekend , mare nu , door boosheits woeden , Sijdij een nodig kwaad , om kwaad te verhoeden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.9	doen koosmen Lief na lusten , nu dwingen hebben onderscheydt vinden staat , vak wij te manen Lief vinden liggen : En d'overvloedt die maken de allermeest vinden macht behoeftig vinden hebben geren die allermeest zijn t'achten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.10	Twee eis ik tot lief , doen strijd zullen recht zijn , En wij die winden , helas ! het verliezen zijn altoos ik .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.11	wan wieden ik het blind geluk vinden beiden toen zullen liggen hebben kosten ik leven rusten .	Aquiescence_Emotion_Happiness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.12	zo luttel hebben te zeggen Een koningin , in zaak , die haar zo zeer betreffen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.13	doen spits zijn hoog , mare eng , daar het Luck wij op verheffen .	None
hoof001gran01_01.TEI.2.text.body.div.div.head.3199.s.1	derde delen	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3207.s.1	Ghij lieft Granida ' en hebben te hof dienst nemen Om haar te dienst ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3222.s.1	ja , ik heer , en zijn gecomen In uw dienst , op hopen , die zijde u echt vrouw , En door die middel ik haar dienaer worp zij , Om te besteden , in alsulcken dienst , ik jaar , daar al mens toen , denken ik , scheppen waar ; die ik doen rijden wijzen , kan ik niet laat na , verzuimen het anderlien haar eigen schuilen en schade ; Dies die ik voor haar strij , ja sterve , dats ik leven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3230.s.1	voorwaar , vinden edel god zijn u gemoed drijven : Dan die ghij voor ik vechten , ik eer niet en lijden .	BodyPart_BodilyProcess_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.3235.s.1	mare wij zullen weet , heer , die ghij hebben niet en zijde ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3235.s.2	uiten een besluiten helm zullen het niemand kunne raam .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3239.s.1	ik zelf soudt weet , en ik in ik hart schamen .	Emotion_BodyPart_Shame
hoof001gran01_01.TEI.2.text.body.div.div.sp.3244.s.1	ik vechten hier om u Lief , en het rijk , en niet om eer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3248.s.1	Dats waar .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3252.s.1	kiezen , wijselijk , dan hebben sekerste , ik heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3256.s.1	mare of hei uw versloech ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3261.s.1	die hei dan uw verbeiden , zo het uw believen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3268.s.1	ja , wan gans pers hei ontzeggen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3268.s.2	mare proev ' ik hebben zo goed dan niet te eerst ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.1	Neen , wan hei lijden meer gevaar vinden tweelien , alles vinden een .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.2	En of doen wreed Parth niet en wassen te vernielen , alles mede de ondergang vinden bei doen vechter ziel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.3	Wat cond het uw baat die ghij hij te hel zonde , Indien ghij ( God behoedts ) beven dootelijck wonden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.4	mare zo die ik gebeuren , wat isser aen liggen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.5	doen vrucht vinden doen winst door mijn dood verkrijgen En zulle niet mede ik verrot in hebben graf , mare erf ghij , ik heer , zullen hebben genot daar af , En doen prinses , die het velen saliger zullen wees Te leven mede een Prins de pers uitgelesen , alles mede een waals rauw , en overdwaels tiran .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3300.s.1	Daifilo ' , u reden zijn groots , doen deze wapen an .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3300.s.2	doen god wil uw en ik hebben goed verlenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3308.s.1	het zijn hoog tijd , ik heer , vaart wel , ik spoeden ik heen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3308.s.2	Op die ik niemand kennen vinden die wij vechten zien , zo zullen ik zonder spraak het gezelschap eer bieden .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3311.s.1	ostrobas , daifilo , koning	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.1	waar blijven ik vijand ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.2	liggen hij het harden in ijle rijden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.3	hebben hei berouw ?	Emotion_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.4	Of zijn hebben harnas nog te smid , Om dat geren maken in het heel pers zijde daar hei zien in rusten vertrouwen tegen ik ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.5	mare al beswoer het Vulcaen mede dubbel hardigheid , zo zullen hebben weerstaan ik punt , nog ik snede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.6	Die zorg verletten hij niet , denken hei zo ver , ik achten velen eer die hei zien goed sinds gisteren hebben bedenken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.7	Dan , soud ' hei daar wel zijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.8	zo wild tot bloedig teken vinden de aengaenden strijd fluks doen trompetten steken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3341.s.1	eeuwig god groots , verstrekken ik nu doen kracht , waarmee , doel ik nog wassen herder , ommebracht doen vreesselijckste vinden doen wrede wild dier ; Voor al Granida ghij , die ik goed herwaarts stier , verdubbelen ik de moed , en kracht onder het slaan : ik vijand wachten op ik ; daar goed hebben teken aen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.1	pers , u prins winden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.2	verheugd , ik ondersaten , de Hemel vechten voor uw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.3	Ontslaeghen zijn ik staat vinden d'ijsselijcke vrezen : daar liggen doen Parth vellen .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.4	die Tisiphernes leven ' !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.5	geluk , grootmoedig held !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.6	de groten scepter ghij zullen voer na ik leven , En u gewenst lief ik uw te echt zullen geven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.7	ontwapenen uw terstond en na doen rusten trachten , Op die u wond , of vermoeidheid zijde verzachten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.8	laat wij doen god gaan mede danckbaerheit vereren , Die op de vijants hoofd zijn dreigement karn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.9	opperst god , en ghij opperst Godin Granida , die u troon in het diep hebben vinden ik zin , uw komen doen zege toen , ook zullen gh'er het not af erf , En ik zijn nots genoech om u not , not te durven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.10	Wat naakt uw blij mare , nul Tisiphernes , zullen u ziel cunnen wel doen blijdschap dragen al ?	Joy_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.11	hebben zullen schier zijn vinden node die ik uw die verberge , Op die haar hefticheit niet al te velen en vergen u innemen harden mede overig feest , En haar omhelzen streng verdelgh ' u zwak geest .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.12	Lof , goedertieren god , woerd te vier , Die , doel wijden wenen , kracht , en moede verlenen Over wij sije , In hebben bitter strijden Om d'heerschappie .	BodilyProcess_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.13	vs. 947 -953 doel zijn wereld jaar Jong , en onervaren In boosheits list , vinden geren eigen weten , kennen doen lied dienst , nog gebieden , Wat hebben beduiden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.14	ieder behoefden Luttel ; d'Aerde proeven ploeg nog delven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.15	willig , uiten haar zelf , Droechse doen goed , Die doen mens voeden In overvloed .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.16	mare het overtreden vinden nootdrufticheden , die dompt ' een ieder Inde zorg wijd , doen , mede pijn het veel luttel schijnen , heen komen hebben mijn .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.17	wan , doel hebben vechten daar s'haer eest na recht , Haerlie bezwaren , zijde verdeeld d'Aerde : gracht en staken Sachmen doel eest maken , muur en dak .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.18	Voorts mede elckandren , Om mede crijch de ander Niet meer te storen , zijde een koning koren , Die haar twist mede zijn oordelen slissen Dats' oprichten gissen ; Die haar ook tegen volk bij liggen , die overvallen Om haar te vernielen , lei te strijd , daar hei t'geenen tij , zien zelf mijden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.19	deze rechtvaardig waar het rijk waardig , mare haar naesaten , hebben verlaat D'oprechte weg , lusten in het heersen krijgen , En het ontucht plegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.20	zo die ( daar d'ouden lief dienst zullen ) Een koning heden nauw en zijn te vrede mede zijn plek , Om het gebied te rek haar zin strekken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.21	D'oude niet garen heersen , daerse waar daar toen bidden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.22	deze , niet te vrede mede die het haar bieden , Dwingen ook doen lied Die voor haar vlijen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.23	Wat ongeluk komen het land verdrukken het welleck moeten lijden vreemd tirannie !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.24	Nevens hebben plaag de tyrans , het moeten dragen Sijns vollix knagen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.25	Lof , goedertieren god , woerd te vier , Die , doel wijden wenen , kracht en moeten verlenen Over wij sije , In hebben bitter strijden Om d'heerschappie .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.26	Al peinsend ' op zijn bed ik liggen vinden ik Heer , matten vinden hopen , en vrezen , door het trek heen en weder .	Fear_Emotion_Hope_BodilyProcess
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.27	Mits hei ik wier gewaer , vliegen op mede heftig vragen , wat d'uitgang vinden de strijd ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.28	u vijand zijn verslaeghen , zeggen ' ik ; waarop hei ik omhelsend ' hebben zeggen , geren eeuw zullen wis uiten zijn heet danckbaerheit ; nog ik getrouw dienst uiten zijn gedachte vlijen , zo langen alles in zijn ziel Granida zullen gebieden , dewelke morgen hei te gaan bezoeken denken Indien zijn blijdschap hij laten leven deze nacht .	Joy_Emotion_EmotionalAction_Relief_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.29	Morgen , die waar te langen , indien zijn ingeboren Geneichtheit t'haerwaerts hij mede aenhoudende sporen Prickeld ' alles doen doen ik .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.30	doen naar nacht verspreid haar schaduw over het kruid , en d'eedel zon weiden zijn afrennen jacht achter doen steil berg ; doen zorg , die de dag hebben woelich vollick tergen , Die slaap mede de mens ; het gevogelte en hebben vee zijn stom , doen maan slapen , en liggen Granida mede : mare altijd leven ik liefd .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.31	Een trek om te verenen drijven ik na ik Godin .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.32	zijde drijven ik herwaarts heen zo na alles het lichaam kan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.33	deze zijn doen venster deze , daar , alles doen zon opgaan , doen tegen-Son verrijzen , En jagen hij schaemten aen .	Emotion_Shame
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.34	uiten deze venster plegen Te toog ik Godin haar aanschijn op de dag : alles op het onwaarde volk haar gunst zijde laat regenen , En het haar believen daermeed ' Hemel en aard te zegenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.35	Ach , zalig ik die het zien !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.36	zo zalig niet misschien zijn die het genieten zullen , en niet zo wel zullen zien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.37	Aymij !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.38	ik vechten , ik wannen , een ander zullen braveren !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.39	Dats niet ; mare die het zullen zijn kan uw niet vol waarderen !	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3613.s.1	granida , voedster , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.1	Hoe nu , Granida ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.2	kloek , en vaerdichlijck besluiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.3	Voedster .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3624.s.1	ik vrouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3630.s.1	daar goed Daifilo , treden een uiten , Om hij te roep , ras , wan ik uiten zijn mond , garen , doen staat , waarin zijn heer mogen zijn verstonde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3634.s.1	Dochter , ik vlieden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.1	Nu dan , die zwakheid vinden gemoed uw niet hebben minst gronden in rijden kies doen , zien dapperlijcken toen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.2	die ingesoghen wan , die het merg en het harden zo na , , liggen , Door die vinden kindsheid af zijde wij worden inplanten , Niet mede haar nevel dek doen klaar naakt waarheid , Die doen Natuire prenten in het redelijk verstand .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.3	Voorgangen overleggen mede rijden vinden gewicht , En d'ondervinding zelf hebben ik wel onderrichten die zoet lusten en rusten gemeenlijk worden genieten In hut , alles te hof , of op beveste slot .	Aquiescence_Emotion_BodilyProcess_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.4	alles die al niet en waar , mare die een herder staat wassen vol vinden arbeiden , moeite , vol sorchs en kommer kwaad , En ik daerinne mogen zo trouwen liefd bejagen , Wat vreugde soud het ik zijn daeromme smarten te dragen !	Joy_Emotion_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3674.s.1	Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3674.s.2	hei keren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.2	Aym ' !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.4	Wat bezwaar Cond ik kwetsen bij uw , te waar het hebben uw waar ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.5	Granida , deze tijd zijn gunst vinden god verkrijgen , dienen ' er uw vinden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.6	hei naderen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.7	ik gaan beneden hij tegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.8	hebben zwaar meest moeten weg .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3689.s.1	ik vrouw , zien ik hier tot uw dienst bereiden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3689.s.2	believen uw iets vinden ik ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3700.s.1	Niet ander alles bescheid , Daifilo , vinden doen wel of qualijckvaert uw heer , ik vrouw komen zelf of , en zeggen die zijde begeren hebben , om uiten uw mond hebben zelf te verstaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3706.s.1	Voedster , het believ ' uw aen een zijden wat te gaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3714.s.1	hoog Prinsses , ik bidden de hoog Prins de god die hei uw wensen geev ' doen kracht vinden zijn gebod , En dank hij die ik dienst uw iets wat komen te staan .	EmotionalAction_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3719.s.1	Ach , Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3724.s.1	Hoe ik vrouw ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.1	Neen laat die na .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.2	Daifilo en hebben ghij ik niet ver boven al , doel ik uw eerstmael zien , verheugd en welbevallen , En u te pas dienst ik harden geneicht tot dij , zo soud ' u heusheid trouwen plegen te hof , bij ik doen gunst aanzien verwekken die ik uw dragen te voorn .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.3	Nu heeftse die vermaard ; mare in ik zijn geboren Een lusten om weet wat hebben zijn mogen , die uw hier Dus in doen naar nacht omtrent ik venster stuur ; ontdekken hebben vrijelijk en antwoord op ik vragen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.1	Een oprichten harden , ik Vrouw , darf vinden zijn grond gewaeghen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.2	prinses ' , alles ik verscheiden deze heilzaam aanschijn schoon , deze zeldzaam wees , die zo rijcklijk stellen te toon doen grootheid uw ziel , haar hoog ' en heussche goedicheit , haar ernst , oprechticheit , bescheidenheid , cloeckmoedicheit ; hebben een vurig god ik harden doen niet leren , die uw de hemel aen doen wereld hebben vereren Op voorwaarde , die al , die kennen u waerdije , zullen voor het hoogst goed kies u slavernij , zo moeten ik vinden het slachten de eyckenboomen harden , Of wel een rots zijn die niet bewegen en worden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.3	Grootachting uw persoon zijn voogd vinden al ik zin .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.4	Die drijven ik vinden hebben veld , en doen ik het hof beminnen , Om doen genegenheid ik ziel te uitren ; wan Die zoeken haar aen hebben schoon te geven die zijde vinden , En mede die een te zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.5	mare waard de godin , Hoe wel ik daar na wensen , ik hopen hebben niet te winden ; zo waard en achten ik niet bij een Godin een mens : Om ik ootmoedig ' hopen , verschonen ik trots wensen .	Emotion_Hope_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.6	ik wensen hebben niet , mare zullen daar wensen aen te raken , mogen ik door wensen eest ik zelf dies waardig maken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.7	deze doen , ik vrouw , die ik op het naast u bij zijn zoeken , En ver vinden uw te zijn ik vallen doen zwaar vloek .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.1	Ach Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.2	Door het glas verstaan ik doen gerucht vinden u verliefd klacht , en ongeveinsd zucht : nog het zijn nu d'eerste maal die ik die hebben verstaan , nog het zijn nu d'eerste maal die ik bespeurdt hebben aen u uiterlijcke gunst , u innerlijk vlam . ik en achten geren beuseling vinden onderscheiden de stam , doen deugd maken edel ; uw en overtreffet dan te wereld , die ik weten , geren Prins nog edelman .	BodilyProcess_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.3	Daifilo ' , ik hebben uw lief en zullen u liefd betalen hebben dier die ik kan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.4	doen tijd verbieden te dralen In het openbaar vinden ik ongemeten vieren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.5	Daifilo , diets ik raden , liggen ik terstond vinden hier , Een harderinnen kleed , in plaats vinden goud , en zijden zijn ik vrolijk troosten .	Aquiescence_Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.6	Indien ghij uw cundt leiden mede ik in zulk staat , zo vlieden wij ' eer die hebben daecht .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3846.s.1	ik kussen d'aerde , ik Vrouw , die uw voeren dracht .	EmotionalAction_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3846.s.2	Een hartzeer dood ik , groots , mare liefelijk boven maat , die ik zo groot gunst moeten onvergolden laten , Door die ik macht gebreeckt .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3846.s.3	mare overleggen , ik vrouw , ( wan lief alles u druk hebben ik ik eighen rouw ) vinden welken hoocheit ghij soudt klimmen gans beneden : Een koningin , niet geeert , mare aanbidden , haar geven tot een staat , daar niemand achten op slaan ?	Emotion_Sadness
