stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.5	Ik zullen , door zijn vijand gul , hebben keizerrijk regeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.6	o schrander Nadir , die , om achterdocht te weer , Staatkundig , door een ' glimp vinden edelmoedigheid , ik bits bejegenen , dus ik ' meegezant misleiden , ik ophoud in u heir , om ik alleen te spreken !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.7	ik zullen toon die ik klaar u doelwit zijn blijken ; ik zullen ik bedienen vinden deze gunstig ogenblik .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.8	Doch , schonen ik vol vinden hopen , vervreemden vinden dwazen schrik , In uw ik ' toeverlaat blijmoedig durven aanschouwen , ik zullen echter op u gul ik niet te velen betrouwen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.9	o Triomferend held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.10	vrezen , vrezen , misleiden gij ik , die Alikans verderf tot Nadirs vallen gedijen ' .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.stage.1088.s.1	Einde de tweede bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.head.1092.s.1	Derde bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.stage.1095.s.1	Nadir , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.1098.s.1	Nadir , tegen Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.1101.s.1	gei zullen , vinden wachten verzeld , de keizer komst verbeiden , En hij eerbiedig in ik legertent geleiden .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.1104.s.1	Alikan , terwijl Malek vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.1	Vorst Nadir , niet vernoegd die ieder heldendaad vinden zijn gevreesde klink het geloven te boven gaan , En die zijn strijdbaar arm het heelal hout opgetogen , begeren doen glorie vinden grootmoedig mededogen !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.2	gei sparen een ' vijand , die , vinden al hopen ontbloten , ellendig zij vergaan vinden zwaar hongersnood , het En waar het uw behagen wij ongeval te stuiten !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.3	zelf bieden gij wij gunstig aan een vredesverdrag te sluiten !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.4	u weldaad , wij beloofd , u deugd zijn ongemeen : Die edelmoedigheid , o held !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.5	voegen uw allee .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.1	gei , Alikan , gei kunde , door deze gul te rome , u waar mening , uiten bevreesdheid , loods verbloemd !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.2	Die talen verbaasd ik niet : een hoveling , alles gei , Doorslepen , uitgeleerd in list , in veinzerij , zullen zijn gedachte steeds uiten achterdocht bedekken , zode hij doen oprechtheid zij tot nadeel kunne strekken .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.3	mare deze loosheid zijn onnodig : spreken oprichten .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.4	verwachten gij , vinden ik gul , niets ander dan gei zeggen ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.1	Indien een ander held , in staan te triomferen , beloven vinden wij rijk de ondergang te weer , En zelf doen vrede begeren ; ik zij , op wis grond , Vermoeden die zijn harden , in weerwil vinden zijn ' mond , Een ' loos toeleggen smeden , om , zonder krygsgevaren , Een kroon te winden , door een ' vijand heir te sparen ; die hij de keizer , alles uiten ijver voor doen vrede , Door kunstig staatsbeleid lokken in zijn legerstede , Om , alles vorst Mahomet behendig zijn ' gevangene , hebben machtig ryksgebied vinden Indostan te erlangen ; die hij , door bijstand , uiten wij rijk hij aangeboon , Door ons groot helpen verwinnaar vinden de tronen , ( ik kunnen mede rijden vinden die toeleggen heen verdenken , ) Aan een ' die groot het rijk te leengebied zij schenk , verzekeren die wij volk , bevredigen , hij getrouw , Door een ' uiten wij bestieren , zijn zege staf zij .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.2	zode zij een ander zien ontwijfelbaar dragen , zien vleien op die wijze zijn glorie niet te waag .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.3	Ervaren staatzucht denken die doen opperheerschappy mede rechte verkrijgen worden door list , door veinzerij : zijde zullen een loods bedrog , het geren teder ziel doemen , Een loffelijk daad vinden waar held noemen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.4	liggen wraken gei die denken : onzeker , weten ik niet Of Nadirs eerzucht doemen wat staatzucht hij gebied .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.1	gei , aan de toeleggen vinden u groot medepligtig , zijn , in het ontveinzen vinden u stout bestaan , voorzichtig : gei vrezen die ik uw , uiten eerzucht , mogen versmaden ; En bieden door ander ik u ' vreemd bijstand aan : Nu toetsen gij ik ; en pogen , zolang uw ik gepeins nog niet blijken zijn , u ' aanslag ik te ontveinzen : In twijfel wat ik harden vinden u besluiten voelen , Bewyst gij , door u list , wat oogmerk gei bedoelen ; Opdat ikzelf , bewust vinden het geren gei pogen te smoren En tevens ik ontdekken , uw ik besluiten doen horen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.2	gei vleien uw mede doen hopen die Thamas Koelikan , Die Thamas tronen bekleden in het vorstelijk Ispahan , de naam vinden dwingland , vinden verrader , niet zullen vlijen , Indien hij Indostan alles keizer kunnen gebieden : mare het schijnen uw onbekend , die , zin ik Nadir worden , Ik het Persiaansche volk rechtvaardig hebben bestieren ; die , torn ik het gans rijk tot koning hebben verkiezen , doen aloude lustre vinden ik staat worden herboren ; die Thamas , ik te wraken , rechtmatig worden onttronen ; Ik , voor ik dienst , uiten erkentenis kronen : Ik plegen geren wellen ; ik schenken ik het rijk vrijwillig .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.3	ik zuchten tot heersen en u staatzucht zijn verschillig : Ik wensen om het heil de volk ; gei wensen uiten eigenbaat : ik oogmerk wassen oprichten ; hebben uw zijn kroonverraad .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.4	Die talen behagen uw niet : gei denken liggen , uiten ik reden , die ik , uiten deernis , zijn genegen tot doen wreed : mare schorten u oordelen op , totdat gij onfeilbaar zien Of Nadirs eerzucht doemen wat staatzucht hij gebied .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.5	Een vijand zullen niet liggen een keizerrijk versmaden .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.6	Misschien bereiken gei het witten vinden u geheim daad .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.7	het zijn rechte , nu Alikan voor ik behendig veinzen , die hij verhalen zijde wat Nadir waarlijk peinzen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.1	het zijn vruchteloos die ik poog door veinzerij te ontdekken , Of wij doen hongersnood tot schade of heil zullen strekken .	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.2	Ik durven ik vinden u deugd beloven die misschien ...	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.3	doen keizer naderen wij ; ik zullen haasten u doelwit zieden .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1202.s.1	Mahomet , Nadir , Nasser , Nizamelmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.1	o Vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.2	u ongeluk , u komst , u vasten betrouwen Op ik geven woerd , verplichten ik uw te aanschouwen alles mijn bondgenoot , ja alles ik ' waarde vriend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.3	Door deze omhelzing blijk ' hoe Nadir uw beminnen .	Emotion_Dedication_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1211.s.1	Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.1	uw edelmoedigheid , in wij gevaar te weer , doen ik , o koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.2	uw alles ik ' verlosser eren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.3	gei hebben , door dapperheid , ik groot legermacht mede weinig oorlogsvolk bykans te vallen brengen : Nochtans verwerven gij , o held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.4	door het al vernielend strijd zode groots een ' lustre niet alles door u medelijden .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.5	Ik zullen de rijk tronen vinden groot Tamerlan , En het Persiaansche landen , hechten aan Indostan , na inhoud vinden de eisen , mede rechte ik voorschrijven , Aan u zeeghaftig rijk vrijwillig weergeven : Ik zullen doen schuld , weleer aan Abas niet voldoen , En ik verbinden , vinden uw in oorlog bij te staan , Waarin ik schuldig beven , uw t'eenemaal vergoeden : ik zullen juichen uw voldoen , opdat hebben yslyk woeden vinden krijgen , vinden hongersnood , vinden tweedracht , tot uw eer In wreed , in overvloed , in zijn geluk verkeren ' !	Emotion_Happiness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.1	hebben woedend oorlogswee vinden all ' u legerschaar , Door onverhoopt gul , door vrede , te doel bedaren , verwekken meer blijdschap in ik mededoogend harden , Dan uw het verrassend einde ' vinden uw onlydbre smarten : Ik , die ik ' lusten nooit stellen in moord , in vernielen , smaken thans een waar vreugde ; ik redden ontelbaar ziel ; ik verwerven , door zijn vijand heir te ontheffen vinden elend ' , Een gadeloos geluk , voorheen ik onbekend .	Joy_Emotion_Happiness_BodyPart_Compassion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.2	doen macht tot weldaen zijn een voorrecht vinden doen groot ; Een voorrecht , meest , verzuimen , vinden weinig genieten ; Een heil , waardoor ik zien de grootheid waardig maken , Waardoor een eedle ziel doen zoet weelde smaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.3	ik hebben dus , al spaarde ik uw hebben keizerrijk , ja het leven , velen minnen voor u geluk , dan zelf voor het ik ' bedrijven .	Emotion_Happiness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.4	laten wij , tot sterking vinden wij weerzydsch ryksgezag , wij nauw verenen door een eeuwig vredesverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.5	Een dierbaar echtverbond zullen wij het vermogen geven , Waardoor wij , aaneen verknopen , doen koning doel beven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.6	doen schoon Milko , die , door edelmoedigheid , Voor u ' gedreigden staan een uitkomst hebben bereiden ; Die , door zij vaderland meer dan zichzelf te min , hebben waardig voorwerp zijn vinden ik verbaasd zin ; zijde , die ik hoog dan u kroon en scepter achten , vinden wij ik neef wensen uiten Tamerlans slachten , En weer uitmuntendheid ik ' zode in liefde ontvonken , zijde tot een echtgenoote aan deze prins schenken .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1262.s.1	Alikan , te zijden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1264.s.1	o fel spijt !	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1267.s.1	Nasser , tegen Nadir .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.1	ik vorst , u dierbre gul , gewoon ik niets te ontzeggen , tonen u liefde voor u ' zode .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.2	vergunnen ik , daar gei eisen alles koning , alles verwinnaar , die ik ik bede doen alles onderdaan , alles minnaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.3	maken ik , doorluchtig vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.4	ik , zuchten om u ' druk , Een ' blijde deelgenoot vinden u aanstaand geluk ; staan toen die Nasser zien aan schoon Milko huwe , Opdat ik jeugdig bloeden , verenigen mede hebben uw , En dus veredeld door het aloud heldenbloed vinden groot Tamerlan , u nederlaag vergoeden ' !	Joy_Emotion_Happiness_BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.6	ik zullen voor uw , alles doen yvrigste uw maag , deze bloeden , uiten Nadir zelv ' spruiten , moedig waag , Daar gei , dreigen , ontrust door het Zuidlandsch muitgespan , geren waar keizer zijn vinden het machtig Indostan ; Ik zullen , verzekeren vinden de goed willen ik vader , u wraken gestreng voldoen op deze ryksverraders .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.7	bedenken , opdat u gul een ' vijand zode verplichten ' , Hoeveel die vijand eest voor u geluk verrichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1273.s.1	Tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.1	ik zijn genoeg bekennen , o edelmoedig koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.2	Hoeveel ik schuldig zijn voor uw gunstbetooning .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.3	Hoe wensen ik die ik macht , om uw een waardig blijk vinden danken te geven , aan u weldaen zijn ' gelijk !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.4	mare die u goedheid niet in grimmigheid verkeere !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.5	die Nadir voor zijn ' zode een ander gift begeren !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.6	Een keizer zijn altoos verbond aan zijn woerd .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.7	gei eisen vinden ik een bruid die Alikan behoren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.1	Ik hebben , alles koning , alles verwinnaar , u beschermer , u ryksbehoeder , u verpligter , u ontfermer , verhinderen die ik zode uw smeekte , zode hebben niet Om het weergaeloos bezitten vinden Milko zijn ' geschieden : die voorwerp zijn allee die onderwerping waardig .	EmotionalAction_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.2	gei zijn , in het schenk vinden u gunst , onrechtvaardig : u stout weigering , waardoor gij ik versmaden , geschieden , misleide vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.3	voor een ' die uw verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1315.s.1	hij , onlangs vals betigt , hebben , door zien vrijen te spreken , ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1319.s.1	zijn schuld zijn , voor u komst , onfeilbaar ik blijken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1324.s.1	ik trouwen voor het keizerrijk zijn aan ik ' vorst bekennen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1327.s.1	Nadir , tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1331.s.1	zijn heimlyk vloekgespan veroorzaakte uw elend ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1331.s.2	Ja , vorst , ik hebben voorlang , uiten staatzucht vinden die snood , ik schandlyk , op zijn ' naam , u ' scepter aanbieden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1336.s.1	ik hebben op ik bederven arglistig toeleggen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.1	weten u behoudenis danken aan het heilige gast vryrecht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.2	u krygswee , ik voorzeggen , tonen die zijn vloekgenooten , ik vleien op zijn ' naam , voor hij u ' vallen besluiten : zij snood raden allee , door uw te velen betrachten , hebben u verwaarlozen heir tot hongersnood brengen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.3	gei zullen , opdat ik uw voorzigtiger doen wees , zij trouweloos geschrift te overtuiging lezen , Zodra wij vredesverdrag , en doen echtverbintenis vinden Milko mede ik ' zode , door uw bevestigen zijn .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.1	Hoe kunnen ik Alikan , ik ' gunsteling , verdenken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.2	ik durven , door nijd bezielen , bij uw zijn glorie krenken .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.4	vergunnen ik , die , in het wenschlyk vreebesluit , Ik ik beloven houden aan hij en aan zijn bruid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.2	kunnen ik woerd bij uw dan geren geloven verkrijgen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.3	vermoeden gij , die ik hij onschuldig zij betygen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.4	Een ' listig ' hoveling , door schandelijk kunst , Door laf vleierij dringen in u gul ; Een laag ziel , betigt , bekwaam toen gruwelstuk , Gewoon uiten eigenbaat u volk te onderdrukken ; die snood achten gij ( o smaad ! ) meer u betrouwen woerd ' , Dan Nadir , die u heir , u rijk , u leven sparen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.5	gei , die niet vrezen u woerd , u die verbinden te breken , durven , tot een uitvlucht , ik vinden u beloven spreken , terwijl u rampspoed , tot behoudenis vinden de staan , uw , bij een ' onderdaan , vinden die beloven ontslaat !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.6	zijn deze erkentenis voor ik genadig toon ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.7	vermetel !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.8	moeten gij ik , u ' overwinnaar , honen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.9	ik mededoogendheid misbruik in u ' druk ?	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.10	gei vleien uw rijden te velen mede u aanstaand geluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.11	ik zullen , eer ik grimmigheid aan uw te vallen mogen strekken , Tot vordering vinden u heil , uiten u zichten vertrek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.12	plegen raden , terwijl ikzelf ik ' fel spijt bedwing ' , mede Nizamelmoluk , of mede u ' gunsteling .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.13	Rampzalig keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.14	beven , zode ik getergde goedheid verkeerd in haten , in wraken , in wreedheid , in verwoedheid .	Fear_Emotion_Hatred_BodilyProcess_Anger_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.stage.1389.s.1	Mahomet , Nasser , Nizamelmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1403.s.1	Ik zullen , nadien u harden , onbuigzaam voor ik bede , geren achten slaan op u heil , op doen aanbieden vrede , Voor u behoudenis een ' dierbren bijstand kies , Eer Nadir uw doen hopen vinden uitkomst doen verlies ; ik zullen toon , schonen ik wraken , ik ' bits smaad te zoenen , Onfeilbaar door u ' vallen ik liefde kunnen voldoen , die ik , zelf meer dan gei , u deerniswaarde ellende , u ' wis ondergang vinden uw poog af te wonen .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1403.s.2	het zijn nodigen , daar gyzelf uw storten in het groot gevaar , die ik , uw ondank , uw doen kroon en het leven sparen ' .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1408.s.1	Mahomet , Nizamelmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.1	Wat ijselijk overmaat vinden wede staan ik te duchten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.2	Ik , die ik ' vallen bewenen , ik stervend volk horen zucht , ik ' vijand nederig vleien , zien ik beroemd slachten , mijn eedle afkomst door die vijand tros veracht .	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.3	zij ik , ( o bitter spijt ! ) om lyfsgenae te vinden , ik oud doorluchtig huis aan het laai slachten verbinden vinden Thamas Koelikan , een klein hoofdmans zode , Door schandlyke overmacht bezitter vinden een ' tronen ?	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.4	o groot Tamerlan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.5	wat smaad waar uw beschoren , Indien het ik lusten na deze vredesverdrag te horen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.1	Ach , vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.2	tergen Nadir niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.3	Wat kunnen , in deze node , Verhindren die zijn macht uw dwinge ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1431.s.1	Milkoos dood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1436.s.1	wild gei , die het moord haten , doen onschuldig doel sterven ?	Emotion_Hatred
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.1	zij hand voldoen ik ' willen : ik zullen het vinden zij ' moede verwerven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.2	Ik stemmen veeleer zij dood , waarvan ik zuchten gruwen , Dan die zij wij bloeden besmetten , ik zij aan Nasser hu ' .	Emotion_BodilyProcess_Disgust
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.3	ik wanhopen gade zij voor : ik willen , om ik ' ramp te weer , Op Nadir door ik dood kloekmoedig triomferen .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.1	gei worden door fel smarten , door wanhopen , wreed misleiden : u sterven zijn ' geren moede ; hebben zijn ' lafhartigheid .	Emotion_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.2	vergeven ik deze talen : u heilloos offerande , schikken tot wering vinden een ingebeeld schande , zijn ' dodelijk voor u heir , verderfelijk voor de staan , En voor u oud slachten een onvergeetbre smaad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.3	voorkomen die ongeval ; ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.4	duld niet die ik melde :  Vorst Mahomet , die dwaas tot wanhopen overhellen ,  Ja om een hersenschim zien angstig hebben ontzielen ,  hebben , door zijn laf dood , zijn talryk heir vernielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.1	u weigring zijn gronden , ik vorst ; mare zij zijn gevaarlijk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.2	u dreigend doodsgevaar te weer , vallen bezwaarlijk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.3	Mislei de vijand ; veinzen te stem in de prijs vinden u behoudenis , opdat hij het leger spyz ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.4	ik mogen een vreeverbond , uiten dwang stemmen , verbreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.1	o Neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.2	behelpen uw niet mede eerelooze treek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.3	Indien gij ( o gruweldaad ! ) die veinzerij bestaan , zullen gij , om het verbreken vinden een heilige vreeverbond , Daar Nadir blijk geven vinden edel mededogen , Verdienen die gyzelf arglistig worden bedriegen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.4	doen vijand , die u heil en wis ondergang In zijn vermogen hebben , bestaan geren ' snood dwang , Wanneer zijn ijver , ver ' vinden door hebben stalen te woeden , Door onverhoopt wreed uw gunstig pogen te hoed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.5	voldoen hij ongeveinsd ; verlaten uw op ik trouwen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.7	die ik raden u heir , u rijk , uzelv ' behouden ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.8	die Nadirs dierbre gul ..!	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1487.s.1	Die gul gaan uw te hart .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.1	gei zullen zij niet versmaden , het en zijn ' zij uw hevig smartte .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.2	herstellen wij ryksgeluk , ik keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.3	horen na ik .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.4	gei worden te langen misleiden door laf vleierij .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.5	deze echtverbond , die uw geren onheil kunnen verwekken , zullen uw ontwijfelbaar tot waar glorie strekken ; Ja , in het volmaken geluk vinden het juichen Indostan , u ' stam doel rome op een ' tweede Tamerlan .	Joy_Emotion_EmotionalAction_Happiness
stee033tham01_01.TEI.2.text.body.div.div.stage.1504.s.1	Mahomet , Milko , Nasser , Nizamelmoluk , Alikan , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1509.s.1	Prinses , voldoen u ' wensen ; trachten zijn keizer vallen te stuiten : het Gevaar eisen korten beraden : doen hij tot vrede besluit .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.2	duld die ik smeken ' voor het angstig vaderland , Erbarmelyk dreigen , in hopeloozen staan , Voor het stervend talloos heir , voor u gelieven vrouw , Voor onderdaan die zij welzijn uw betrouwen , En voor u dierbaar kroos , die om meedoogendheid , Om uitkomst in doen ellende , erbarmelijk mede ik schreien : Betoon u liefde alles vorst , alles echtgenoot , alles vader : u goedheid zijde voor wij !	Fear_Emotion_EmotionalAction_BodilyProcess_Love_Dedication_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.3	niet voor een ' staatsverrader , Die , zijn ' zijn trouwen oprichten , aan het rijk ik af zij staan , zijn minnen beteuglen , uw vinden u beloven ontslaan .	Emotion_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.4	u mild gul , beducht een vrye ziel te dwingen , Een vrouw uiten u slachten een echtkeur op te dringen , Genadig deelende in ik blijdschap , in ik smarten , beloven aan Alikan ik hand , indien ik harden Volkomen zijn ' geneigd zien bij die gift te vroeg : Ik tonen uw tegen hij nooit enig ongenoegen : ik zijn ' mede die bruigom rijden , nadien het ik ' vorst behagen , verenigen , zode doen krijgen ik ' echt niet hebben vertragen : mare thans bedienen ik ik vinden het rechte , aan ik geven ; Ik redden u legermacht , ik vaderland , u leven , te kosten een minnaar die ik liefde onwaardig zijn : ik weigring maken uw vrijen vinden u beloftenis .	Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.1	Mevrouw , deze gaan te ver ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.2	ik tegen rechte te honen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.3	Ik , vaardig in ik trouwen voor het vaderland te toon , wensen yvrig die ik vorst mede Nadir zien verzoenen ': ik Verzaak ik ' minnegloed .	Emotion_BodilyProcess_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1547.s.1	ik zullen zijn konings eisen voldoen : Ik zijn tot weigering de vrede niet meer verbond .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1551.s.1	gei hebben , o Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1551.s.2	u ' keizer weergevonden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1555.s.1	Nizamelmoluk , tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1558.s.1	ik geven in al ijl , opdat ik het onheil stuiten ' , Aan Nadir kennis vinden deze heugchlyk vreebesluit .	None
