hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. hoofd speld vinden  Achilles en Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.4	Melijdlijck ik beklag uw oud grijsharich hoofd .	Emotion_EmotionalAction_Compassion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.5	velen oorzaak hebdij wel om droefheid te betonen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.6	staat op , bedroeven vorst , en wild uw selff verschonen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2458.s.1	nul Pryamus , dienen kwaad , gelijk alles uw , behagen , wereld vinden doen god dus rechtvaerdelijck plagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2458.s.2	In plaats vinden getruer zout uw wel beeter vroeg Te denken , die ghij wij eertijds wel mogen vernoegen , mare op de huessen eijs gaeft spijtig antwoord gram , Wanneer ik alles gezant aen uw tot troijen komen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2469.s.1	Ghij griecse prijs wijze , zijde gh ' oijt beleefd gebleecken , helpen ik Achilles om ik zoon dood ' lichaam smeken .	EmotionalAction_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2469.s.2	Een ieder duncke die hei met sterfflijk zijde , En zitten hei nu wel hoog , hebben kan hij gaan alles ik .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2482.s.1	Troijaenschen koning oud , Achilles hebben vernemen , die ghij om sijnent willen enten laag zijde gecomen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2482.s.2	Indien hebben uw believen mede hij te spreken ijet , hei zullen uw hoorn , goed daar ghij hij zitten zien .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2484.s.1	Pryamus op zijn knie	BodyPart_BodilyProcess_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.1	Ghij zijde doen oorsaexk niet , Achilles , vinden ik kermen , mare iemand vinden doen god , in plaats vinden hij t ' ontfermen Over ik ouderdom , laat ik deze leed geschien , naar die ik hebben mede smarten ik kind dood gezien , doen welk jong en dom haar op hebben rijk betrouden , En doen dicwils t ' geren , daar s ' haar voor wacht zullen , volgen haar zot lusten door wulpshaijt onbedacht , het welk hebben haar beijd ' en ik in dus een staat brengen .	Emotion_BodilyProcess_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.2	het zijn niemand onbekend , al geven hebben groot schade , die jongeluy altijd de ouderdom versmaden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.3	Indien die door ik dood doen crijch ophouden mogen , Vrijwillich ik verwachten de dootelijcken slag .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.4	Ghij zullen ik , hoepeloos vinden immer te verblijden , vinden deze benaude geest en zwaar elent bevrijden .	Joy_Emotion_BodyPart_Sadness_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.5	doen mede ik wat ghij wild , k ' geeff ik in uw geweld , Off ghij ik ommebrengt , off in gevancknis stellen , wan al ik leven eijnt zullen ik in treuren leiden .	Aquiescence_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.6	lezen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.7	niet dan tegenspoed en hebben ik te verbeiden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.8	Ach , Troyen staat niet meer !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.9	Wanneer alles Hector vallen , doel vallen hebben hoog slot daert tros zijn hoff op houden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.10	Dan , naar ik kind dood , en commerlijck bezwaren , naad moord vinden ik volk en crijch vinden negen iaren , hebben ik de griek wel drievoudich straf betalen Voor t ' geren , daar in ik zoon mede onrecht hebben dwalen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.11	Gedenct een aen doen god , stellen trots moed bezijden , hebben mede ik ouderdom , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.12	doch medelijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.13	zo ghij deze klein kind doen ziel niet geven cunt , te minst t ' lichaam hij vinden zijn vader gunnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.14	Gedenct of zwaar zullen zijn , en hoe ghijt zout betreuren , die diergelijck aen uw vader zullen gebuur .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.15	Die zorg voor uw dracht , uw welvaart stag betrachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.16	Dan , daar voor hoeden ' hij god , en al zijn slachten , Die gunnen hij al t ' gene die hei wensen en geven , die hei een zoet ouderdom dan ik beleve .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2582.s.1	Priamus vallen in onmacht .	Emotion_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.1	helaas , beleefd Prins !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.2	indient niet mogen geschien , die ik t ' begraven , laat ik te minst t ' lichaam zien En deze onnozel kind , die zo velen hebben verliezen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.3	klein Astianax , waar toen zijde ghij baren ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2602.s.1	staat op , bedroeven vorst , vinden oud beweeglijk bloed , hebben hopen in ongeval , versterken uw zwak moeten .	Emotion_Hope_BodyPart_Sadness_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.2	doen beleeftheijt , woerd bij mens en bij god , daar griek roemen aff dracht , waar zijn die nu vlieden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.3	t ' geren zonder onderscheid ghij iont aen elk een , Weijgert ghij die , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.4	aen Pryamus allee ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.1	Ghij hebben ( o koning oud ) doen jeugd behoren te dwingen vinden uw kind zot , alles s ' haar te buiten gaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.2	mare doel laten ghijt haar toen en hebben in het kwaad geduld .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.3	Dus sijdij zelf ik deelachtich aen doen schuld .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.4	En over negen jaar woerd ghij zo niet beladen mede ouderdom , die zijde uw ganselijck versmaden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.5	zijde doen om geren vrouw die schandelijk geweld Tot Lacedemon , mare om Atreus schatten en geld .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.6	Hierom deze uw straf zijn niet allee rechtvaardig , mare alsse groot waar , ghij waertse goed beeter waardig .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.7	doen griek zijn altijd vinden oud zo heus wezen , die , alles haar vijand hebben geven zijn geest , hebben lichaam wederom zijde aen de vriend gaaf , En laten lichtelijk toen datmen hebben zullen begraven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.8	mare Patroclus ik vriend , alles Hector die versloech , Om t ' lichaam schant te doel uit hebben gevecht hijt dragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.9	Dus hebben hei aldereerst doen goed wijze breken , hebben welk zijn nodig die op hij woerd wereld gewroocken , Op die door zijn wraak doen gantse wereld leren d ' oud beleefthaijts weten te breken nimmermeer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.10	Om Heleen en om t ' goud , die ghij luijd ' hebben nemen , En zijn wijden griek niet dus ver vinden huis komen , mare om te toon mede doen wapen in doen hand , Hoe velen wijden cloecker zijn alles enig ander land , Hoe wel doen vrouw en schatten rechtvaardig oorzaak waar .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.11	wan zijn uw lusten mede roof vinden ander weg te varen , liggen over dat strekken tot droefheid en verdrieten de gene , die vinden uw deze ongelijk geschieden .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.12	zo ik doen Parque sparen , en wild Jupijn gedogen , die ik een troijens vallen mogen zien mede deze ik oog .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.13	ik zweer doen vals hoer , dijen wij bezuren doen , die zijde bekopen zullen mede haar oncuijsche bloed , die ik ik ouder en ik vaderland moeten durven , En zien ik troutste vriend , die k ' meest beclage , sterven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.14	Dan , Pryamus , blijven hier , ik zullen een weinig gaan En zien wat in doen zaak ik deze prins raden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.15	Ghij Capiteijnen groots vinden macht , en wijze heer , uw zijn genoech bekennen ik hartelijk begeren , Dats die hebben uw gelieven een ieder ik te raden , hebben geren hij dunken die goed hier en waar gedaan .	Emotion_BodyPart_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.1	Ghij , Nestor , hebben alree meer dan twee honderd jaar , zijde nevens uw verstand in al dingen ervaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.2	uw zijn t ' gebruik en stemmen vinden veel volk cunt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.3	En hebben god ik nog teen zulk man gunnen , Die zo wel connen raden , die zo velen ding weten , ik acht , Troijen waar langen woest , en schier vergeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.1	hebben dood lichaam doen wij nergens in profijt : te swact wij vijand niet , mare doen hij groot spijt ; Spijt maken moedig , moed maken willig om te vechten , mede die te weijgren zijn dan gans niet uit te recht .	Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.2	Dus nemen velen lief t ' goud , die brengen met nutheijt in .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.3	Wat dunken , Ulysses , uw ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2780.s.1	zo zijn ik ook vinden sin.	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2784.s.1	Wat zeggen ghij , Aiax ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2784.s.2	ik dunken , dat niet kunnen schaeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2788.s.1	ik zeg , grootmoedig Prins , die zijde uw wijselijk raden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2797.s.1	blijven , Aiax , ghij bij ik , ik dank uw , prins kloek vinden uw wijze raad , en uw beleefd verzoek .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2799.s.1	Polyxena te voeden vallen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.1	helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.2	Achilles , een verwinner al ding En kan die zijn moeten vinden gramschap niet bedwingen ?	Emotion_BodyPart_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.3	Dan , zo ghij zo verhard na wreed wraken talen , uw op hebben lichaam kouten ik broeder niet verhalen .	Emotion_Desire_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.4	grootmoedig zijn , wild mede geren dood lichaam strijd , En ook hebben hei geren schuld , Achilles , aen uw leiden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.6	vinden uw gequel wassen hei doen oorzaak niet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.7	zien hier , Achilles , hier , d ' oorzaak vinden uw verdrieten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.8	koelen hier uw wreed gemoed , door het winden opgeblazen .	Emotion_BodyPart_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.9	zien hier , Achilles , hier , een oorzaak vinden uw razen .	Emotion_BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.10	zo gh ' onverbidlijck zijde , en niet dan wraak en dor , komen , dwt uw moedig zwaarte in d ' onversaechde barsten , En maken geren zwarigheid vinden t ' hart te door kerf de gener , die in dank zullen nemen t ' droevig sterven .	Emotion_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.11	Off dunken uw deze wraak genadich en te kleed , belasten mede keten zwaar ik teder zwak lid .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.12	Die ghij geleect corts bij d ' onsterfflijcke godin , houden die voor d ' alderslechts , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.13	vinden uw slavin .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.14	En vallen hebben lichaam vinden ik broeder niet zo straf , die ghij doen zelf bannen uit zijn voorouder graf .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.1	Ghodin , voorwaar godin , ghij blijven altoos ghodin , En sturen Achilles hart , schonen juffrouw , na uw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.2	helaas Polyxena !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.3	alles ghij uw wang betraand , versieren hebben off onciert hebben schreien uw gedaent ?	BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.4	ik twijfelen wat hebben doen , t ' mogen sieren off ontsieren , ik weten wel , t ' buijcht ik hart op velerlei manier .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.5	staat op , godin !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.6	Hoe nu ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.7	moeten dan Achilles zien t ' Uutroijen vinden blond haar en t ' buijgen vinden doen knie , daar hei zijn knie voor buijcht ; wat knie ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.8	zijn hart moedig , die noch hebben vreesselijxst vinden doen slachorden bloedig , nog vinden verwinnent heijr doen wrede rasernij , nog bleek dood ontsach , mede schrikken en angts daar bij .	Fear_Emotion_BodilyProcess_Awe_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.9	Autumedon , wild hier terstond wat spijs beschikken Om deze oude Vorst een weinig te verkwikken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.10	Nu , Pryamus , staat op , stellen aen een zijde uw leed , droogte aff uw traan , en uw droeffheijt wat vergeten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2893.s.1	grootmoedig Prins , kennen zullen , t zijn tegen hebben behoren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2902.s.1	verwachten dan niet , die ik laat val mijn toorn .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2902.s.2	wild ghij ik te geval uw niet tot eten spoeden , ik zullen op geren manier aen uw begeren voldoen .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.1	Liefts hebben ik , die ghij ik ik ongh'luck laten betreuren .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.2	Dan , mogen ik ander niet t ' dode lichaam gebuur , ik zullen ontveijnsen mede hebben aanzicht ik verdrieten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.3	Dan , t ' hart en laat daarom t ' gewoonlijk treuren niet .	Emotion_BodyPart_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.1	Ghij hebben nu negen jaar , o Pryamus , lijden Een oorloch , tot bederff vinden al uw land en stellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.2	doen volk , die uw eest bijstonden in doen plaag , Die val vinden uw aff , deze zien ik al daech .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.3	Ghij zenden niet wederom nochtans doen griecse vrouw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.4	Wat oorzaak hebdij doch , die ghijse nog goed houden , Die haar zo schandelijk te buiten hebben gaan ; haar vaderland , en al deze crijsluy hebben verraden ; haar eijgen broeder mede ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.5	die doch zo heijlich waar , wan zijde en wild niet mede wij na Troijen varen Om deze vuil hoer weder te brengen in haar land , wie dood haar lief wassen , tot wraak vinden doen schant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.6	Wanneer ghij dagelijxs saecht uw kwaad daerdoor vergroten , waarom hebben ghij zij niet te poort uitstoten ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.7	Hoe vallen deze draechlijck voor uw oud edel lijden , D ' ier zoon al daech deerlijk vermoorden zien ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.8	hebben god uw altemael beroven vinden uw zin , die in alsulcken stad niemand en zijn te vinden , Die door zijn vaderlants verdrieten bewegen mede rouw , Een wreed straf nemen vinden deze valse vrouw ?	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.9	te aanzien ws ghebedts en vinden uw oud leven , zullen ik uw t ' lichaam vinden uw zoon weder geven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.10	daar in ik houden die ik vijand hebben misdoen , die zelf zullen ik nu nog nummermeer beghaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.1	wij kan de god schikken , grootmoedig Prins , ontvlieden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.2	zonder de god willen deze ding niet scheiden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.3	Op verna wassen eertijds gheen koning ik gelijk In grootheijt vinden slachten off machticheijt vinden rijk vinden al doen gunnen , die t ' rijk Asien bewonen , wan tot verscheiden dracht gewinnen ik vijftig sonen , waar vinden elk een ik heet geluckich .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.4	mare op passen , die Hecuba , ik vrouw , vinden Paris zwanger wassen , zo droomtse , dats in plaats vinden kind een toerse baren , Die Troijen steken in branden , twelck wij altsaem vervaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.5	wan doen waarzegger wijze songen mede droeff geluijt , die hier door warren de vallen vinden ons stad beduijt , waar door die ik bevelen hebben kind fluks om te brengen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.6	doen moer veijnsden , die zijde gaern soud ' gehengen , mare vrouwelijk bewegen over haar eijgen bloed , Gaft zeker herder en die hebben opgevoet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.7	En groots worden wassen zo schoon in elk bedragen , die zijn dood wij scheiden onmogh'lijck te verdragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.8	Dus komen hei in ik hoff uit hebben Jidaesche woud , En hebben Oenonen voorts tot zijn vrouw trouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.9	mare weinig tijd daar na beginnen zijn hart te brand mede lusten om te zien doen vreemd en ver land , doen welk lusten ik niet mishaechde nog verdrieten .	Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.10	de vinden gezelschap en een welgeruste vlieden ik hij verzien , en zo trek hei vinden deese stede naar griek , daar hei uw , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.11	deze ongh'lijck doen , Door die hei tot zijn willen doen griecse vrouw vinden , Die elk hier welkom wassen , en niemand tegen staan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.12	Een ieder wassen zijde lief door haar manier hoochvaerdich , Een ieder acht haar een oorloch bloedig waardig .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.13	ik houden , die een god wij tot deze sotheijt dwang .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.14	t ' scheiden tegen ik nog tegen niemand dank .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.15	Antenor hebben zijn zoon gaan op doen schip vroeg , mare op doen wedercoompts tonen een kwaad genoegen , En zand hij buijtenslants .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.16	deze manna , zeer rijp vinden raad , doen zaak vinden hebben rijk en t ' oorloch wel verstaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.17	zo velen alles ik belangen , ik zien ik eijnde komen , En zijn ik aangenaam , k ' en derff daar voor niet schromen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.18	mare voor ik kind , lezen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.19	en d ' oud koningin ik ik op deze tijd in zwaar vrees vinden , Die naad verliezen ik rijxs , helaas !	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.20	in slavernien k ' En weten niet vinden wat heer doen trotsheijt zulle lijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.21	Dan , nemen , beleefd Prins , deze cledren en deze goud .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.22	ik dank uw voor ik zoon zijn dode lichaam kouten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.1	dracht weg , Automedon , de oude Conings gaaf .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.2	daar zijn uw dode zoon om eerlijk te begraven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.3	daar zijn uw dochter ; nemen , als uw believen , uw kaar .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3140.s.2	beleefd Prins , geven ghij ik die nog weder ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3140.s.3	Behoutse tot uw dienst , en wiltse niet versteken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3148.s.1	de tijd zijn niet bekwaam om nu daar aff te spreken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3148.s.2	wijden sullent stillen uit tot op een ander dag .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3155.s.1	ik dank uw , hoghe Prins , ghodt hoeden ' uw voor geclach .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3157.s.1	3e handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3157.s.2	3e Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.2	Hoe schoon , hoe tros , hoe spijtig dat schijnen , doen wereld doch niet ander zijn alles wind .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.3	haar staat verkeerd gestadelijck en ras : Nu zijn niet hebben geren zijde gisteren wassen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.5	Die gisteren tros op rijcdom zwaar en schadt Weygerden t ' brood aen die hij daar om bidden , worden te nacht beroven vinden schatten en land , Heden voeden vinden iemandts mild hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.7	Die gisteren mede zijn adel groots vinden plegen Betrouden op zijn rijk en oud slachten , Op gul vinden volk en capiteijnen braeff , dienen heden aen zijn vijand voor een slaeff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.9	Een hoofdman vinden velen kloek oorlochs lijden , Die door zijn nader en daad wassen ontzien En menig rijk vervaard doort geweld , wereld vinden doen dood op deze nacht vellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.11	Die gisteren liggen door armoedt zwaar persen , vinden staat en wijd beroemtheijt aldervarst , Wanhoopten niet mare warren boven zijn wens Heden misschien een rijk beroemd Prins .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.13	Die stadig wel op deze veranderen ogen , Door voorspoed zijn moeten hei niet verhogen , nog ook verlagen , als ongeluk hij storen ; geren hoverdij nog wanhopen hij becoort .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.15	Die doort geluk zijn moeten verhoegen laat En zien betrouwen op rijkdom , macht , off staat , Al dwang hei gans doen wereld mede zijn iuck , hei zijn een slaeff vinden wankelbaar geluk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.16	8 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.17	Een die door ongeval of tegenspoed wereld moedeloos of val laat zijn moeten , doen wanhopen wegen hij zwaar alles doen druk , Die hij komen uit lichaemlijck ongeluk .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.18	9 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.19	mare dijen moeten in tegenspoed off node Gestadich hebben en altoos even groots , Al hebben hei god nog staat , nochtans zijn hei Gheboren tot de wereld heerschappij .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.20	10 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.21	alles zulk manna een koninkrijk aanvaarden , mede slavernij zijn volk hei niet bezwaren , mare goed hij tot doen lantbestiering spoeden , Om aen zijn volk doort heersen dienst te doel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.22	11 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.23	alles zulk Prins , rechtvaardig waardig hoofd , warren vinden zijn staat en koninkrijk beroven , t En deren hij niet , die hei zien zien verlagen , mare t ' ongeluk sijns volxs hei beklagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.24	12 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.25	alles zulk Prins alleen trachten na d ' eer vinden t ' god te doel aen t ' vollick tallen kaar , En te besteden zijn leven en zijn dood Tot welvaart vinden zijn volk in de node , 13 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.26	diets t ' hoogst die doen sterfelijk mens verkrijgen kan , en deze wassen Hectors wens , vinden te besteden tot schade vinden zijn vijand zijn leven en zijn dood voor vaderland .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.27	14 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.28	Hector vercreech zijn wens , en voor gewis geenszins deze Prins hier te beklagen zijn , mare wijden , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.29	beklagen t ' oud rijk , die door zijn vallen vallen neder te gelijk .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3340.s.1	[ 4e. handeling . ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3341.s.1	4e. handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3341.s.2	1e Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3342.s.1	Achilles , Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.1	vervloekt hand , en wel waardig uit te rooien , Die uw besmetten mede d ' edel bloed vinden Troijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.2	vervloekt voeren , die doen stout barsten betradt de vroomsten capiteijns , die Asien hebben gehadt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.3	En ghij zijde ik vervloect , o overwreede oog , Die zulk moorderij t ' aanschouwen kont gedogen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.4	En nog vervloecter zijde ghij , overwreet moeten , dijen moord vinden ik lief haar aldernaeste bloed Verdragen cunt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.5	vinden wat slachten zijde ghij baren , Achilles ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.6	die doen geren , die ghij hebben wtvercoren Tot een schoonbroeder woerd , ghij zelf die vermoorden !	None
