ross006zing01_01.TEI.2.text.body.div.head.278.s.1	doen zingen kraamer , kamer speld .	None
ross006zing01_01.TEI.2.text.body.div.sp.1779.s.1	Ik disserteerde , en vinden op doen Mookerhy een Savoyart mede een Lier , Die daar , rusten op zijn Bakboors oor lach te luimen , Ik denken wel aan , nu moeten ik hier geren tij verzuimen , En ik nemen knaphandig doen Lier , en binden die op ik zijde , En daar ik trek ik heen , en lied de arm duivel op doen Mookerhy , wij weten hoe bedroeven die hij wel hebben staan keyken , die een ander zode onverwagt mede zijn kostwinning wassen gaan strijken , Wat hebben hij wel gedeabelt , en geboegerd , alles een uytzinde gek , doch wat bruid die ik , ik lopen bij doen boer , en kloppen dan aan een door , en dan weder aan een Hek , En roepen : a , mak een spelen voor doen duut , of doen stukje Brooten , En zode komen ik al aan doen kosten , ook spelen ik doen noot , alles of ik al ik leven , bij een Musekant wassen op voeden , En raden een , zijn ik al heen trek mede deze waal pop god ?	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1779.s.2	Ik bruyde doen Trekvaart lang , die vinden doen Blinkert lopen tot aan Oostinje .	None
ross006zing01_01.TEI.2.text.body.div.sp.1786.s.1	Voor weinig gelden daar vinje , d ' Alder kostelykste Thee .	None
ross006zing01_01.TEI.2.text.body.div.sp.1793.s.1	het zijn goed op zijn voeren daar naar toen wandelen , alles te swerve bij doen Zee , En in Oostinje zijn , vinden ik ik Maat daar ik zode even vinden hebben gesprooken , Die zitten buit doen nupoort , bij twee Mustise , een pijp Vaderlandse Tabak te roken , Ook horen ik die een vinden die Matresjes deze vaarsje zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1809.s.1	buit Batavia , gaan ik ik een vermeien , buit Batavia , Niet ver vinden Iakketra ; Daar vinden ik , o wat vreugde !	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1809.s.2	Een Mustiesje wel besnijden .	None
ross006zing01_01.TEI.2.text.body.div.sp.1816.s.1	doch zode alles zijde ik zien , zode sluiten zijde haar rijden , En ik gaan zoetjes voorbij , en houden ik alles of ik ik Maat niet en kennen , wan hij zijn zeer veranderen , en verbranden vinden doen zon , doch ik beginnen deze deunen op ik Lier te draad .	None
ross006zing01_01.TEI.2.text.body.div.sp.1823.s.1	Hoe ruyst'er doen Zee , hoe zullen hebben nog wade , Viva Victoory , nu zijn ik te vrede .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.1	met beginnen ik Maat te spreken , en ik luisteren naar zijn reden , En horen die hij vragen , hoe beginnen hier ook al Savoyaare mede Liere te lopen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.2	Ik antwoord op zijn Waals , a ja .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.3	datte moeten ik open .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.4	Wel Waaltje roepen hij doel weder , spelen een vinden het Varken zonder zog , Ik antwoord alles hebben jouw blieven zijn Jilles zonderbedrog , Hoe spreken hij wederom , Waal kennen gei ik naam , ik roepen die zijn zeker , Ik zijn Krispyn , die te Amsterveen wonen in doen vergulden Bleeker .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.5	Ha doel wassen het voor bestemaat Krispyn , welkom hier , mare zijn alder eerst vragen zijn , hoe henker komje aan die Lier ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.6	Hoe die ik aan die Lier komen , spreken ik , die hebben ik in Savoye laten maken , Om die ik ander geren kans zien om eerlijk aan doen kosten te raak , Wel vragen hij doel weder , zijn dan vinden Savoye tot hier aan Batavia overland gaan ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.7	Ik antwoord , ja in negen dag , doch ik hebben weinig stillen staan , En daar met nemen hij zijn afscheid vinden die twee lief Susjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.8	god wat worden ik groeien , wan hebben zijn niet alles kusjes , kusjes , die deze jong god aan elkander geven , En daar op zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1867.s.1	laten af , laten af , deze domineren , En smeren , brengen wij in het naderen Graf , schonen gei doen minnen , plegen na uw zijn , gei zullen hebben in hebben ynd bezuren , doen minnen , doen minnen , hebben raaren kuur , stoken vuren , En storten velen ramp in	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1870.s.1	hij spreken	None
ross006zing01_01.TEI.2.text.body.div.sp.1874.s.1	zode die niet zijn zijn Musjeurs , zeggen vrijen die ik een loogenaar binnen , wan een die in Oostinje te velen mede doen Vrouwluy in doen bocht willen spring , Die mogen of zullen wel haasten deze lietje zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1885.s.1	Ik hebben ik Geltje door brengen , mede Meysjes vinden plyzier , mare nu zode worden ik uitlachen , die komen al vinden doen zwieren .	None
ross006zing01_01.TEI.2.text.body.div.sp.1895.s.1	Ik en ik Maat drinken op elkanders gezontheyt een vlies suiker Bier , wan wijn , mogt'er bij ik zool niet op over schieten , En wij zij zes schelling geven , voor een Bottelje die niet goed woerd zijn , alles om in doen gieten te gieten , En zode leven ik op ik maat genade , wel een wijken of teen , mare doel mos ik arm Krispyn op een god heen komen zieden , wan ik Maat gaan op een tocht om noot , en Naag'len te halen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1902.s.1	ach !	None
ross006zing01_01.TEI.2.text.body.div.sp.1902.s.2	doel raken ik aan het dwaalen , Zonder geld ik rijs Kompas .	None
ross006zing01_01.TEI.2.text.body.div.sp.1923.s.1	Ja ik buik menen altemet , die ik keel hangen wassen , Door die ik velen hongeren leed , wan ik Lier hebben ik gaan verkopen , Aan een Schaapharder , die zou'er ik achter zijn schaap lopen , doch evenwel bonkouragie , ik nemen doen pos waag zijn , Die vinden Oostinje naar Muscovie rijden , mede Neteldo ek tot das voor de groot tsaar , Ook Sits tot nacht japan , voor hij , en al zijn vriend , mare onderweg zijn een Tolhek , daar wassen doen drommel te binden , wan de waag rijden door , en ik hieldese vasten , geven geld roepen doen venten , zode niet ik ik legje deze stikken omje hals en bassen , Of ik stuurje ik Bulhond op het lijf en laatje vernielen , Ik beginnen te schreien , en gaan in het Wagenspoor neder knielen , En roepen , o !	BodilyProcess_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1923.s.2	ik lief Mannetje , ik hebben geren een duit , Ja ik schutten ook voor zijn oog al ik zak uit , lopen dan heen spreken doen venten , en ik menen doen waag weder te kreygen , mare die wassen al uit ik zichten , schonen ik lopen die ik wel een uur naar ik aam staan te heygen , doch al heygende beginnen ik deze dreunen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1939.s.1	Of ik zucht of ik kreunen , hebben zijn om niet , wan doen waag zijn op een hond , En doen Voerman voor de drommel , Snelder , Rebelder , vinden Iirre , Iirre , Iut , En doen Voerman voor de drommel .	None
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.1	Ik denken wel duyzendmaal , ach !	None
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.2	zitten ik nog in het Leger en spelen op ik Trommel , wan ik zijn helen droevig ; gelijk een ieder wel denken kunnen , doch ik zien een hogen toorn , daar lopen ik regelrecht op an , Ja ik denken die zullen gewis die Koop'ren toorn wees , Daar Danae vinden zij Vader opsluiten wassen voor deze , En daar Jupyn alles een goud regen , helen listig in komen , Dan denken ik weder die hebben doen Wester toorn wassen hier te Amsterdam , En zode lopen ik al pynzende , die ik niet weten zijn ik zij geraken , mare s'avonds vinden ik een houden huysje , zijn in een oud venten , bij een Lantaarentje klomp zitten te maken , god !	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.3	wat worden ik bang wan ik menen die ik aan hebben Tooverhol vinden Circe zijn , Of voor het minst denken ik , hier komen ik bij een oud Moordenaar , wan zijn knevel groeien elk wel een spannen voorbij zijn oor , En zijn Baard geloven ik zijn in geren vijftig Jaar scheren , doch ik houden ik zode stoutmoedig alles ik mare kennen , En beginnen te zingen .	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1965.s.1	zitten Diogenes in een Ton , alles een monnik in zijn Kluysje .	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.1	mare zode alles ik deze zingen hebben , komen de oud uit zijn huysje , En licht mede zijn Lantaarentje voor uit , wan hebben was'er helen donker , en na , En al wat hij roepen , die wassen : ander niet alles wij daar , wij daar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.2	Ik trek ik stout schoen aan , en treden een weinig nader , En roepen : ik zijn een manna die verdolen zijn goeye Vader , Wel vragen hij doel weder , zijn liggen doen reis na toen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.3	Ik antwoord , daar het geval ik stuurd al zijn het naar Boxtehoe lopen dan al recht uit roepen doen Pay , en sluiten zijn door alles of ik een schavuit wassen , zode die ik geloven , die die oud knevel mede de kop gebruyt wassen , wan hij moeten te minst gezyd aanzien , alles ik rechtuit lopen , zijn ik dan te land komen , Ik vloegten , en scholt hij lustig , wan ik zijn drommel gram , doch al ik tier , en razen , kennen zeer weinig baten , zode die ik heen gaan , en hebben die oud klomp maker verlaat , En daar op zingen ik .	Emotion_EmotionalAction_Anger
ross006zing01_01.TEI.2.text.body.div.sp.2002.s.2	knor potten , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.2002.s.3	Greyze zot , Die in die schot , uw leven zode versleyten willen , Ik lach , ik lach , om zulk een grillen , Blyf vrey allee , Ik kuur been , maken klomp wezen te vrede .	None
ross006zing01_01.TEI.2.text.body.div.sp.2018.s.1	Ik gooyden tegen zijn woning mede een groot stenen , Om te horen of hij niet iets tegen ik zij snak , mare hij houden hij stillen , zode die ik zoetjes af gaan zak , En lopen wel twee etmaal eer ik mens , of mens gelijk zien , En doen alder eerst die ik vinden , wassen een Boer die op hebben landen te slapen lach , Ik zijn niet lieden , mare voelen of zijn zak wel gelardeerd wassen , doch ik vinden niet alles elf duyten , en een neusdoek die braaf mede snot besmeren wassen , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.2018.s.2	denken ik , laten die de arm duivel mare houwen hij hebben hebben wel vinden doel , En daar met zode trapten ik hij een heen weder op zijn Smoel mede doen pollevij vinden ik schoon , En ik beginnen te zingen , alles een blind vink zonder treuren , wan ik denken vinden deze manna zullen ik gewis onderregting gebeuren , zijn ik zijn , wan al die dwaalen staan ik veel te die ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2037.s.1	Al hebben een ruiter groots plysier , bij trommel , en trompetten , En dragen een sluier naar doen zwieren , Op het hoofd een Hellemet , Nog lief zijn ik een Boer , En lach rusten op het landen , alles steeds te leven in Rumoer , bij roven , mogen en branden .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.1	met ontwaakten hij , en slaan twee blik op alles een Olyfant , En vragen wat ik begeren wassen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.2	ik antwoord mede beleefd rijden , die ik graag weten wouw , alles ik oostwaard aan gaan zijn ik dan naar toen gaan treden !	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.3	Ik krijgen tot antwoord , daar gaan gei naar Konstantinopelen , daar de groot Turk zijn Hof zijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.4	Ik bedankten hij , wan die rijden maken ik een weinig fris , Ook zode hebben die zoet , lief Boer , niet geloogen , wan ik lopen omtrent een uur , doel hebben ik die plaatsen al voor ik oog , god !	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.5	wat zijn ik blij , doel ik daar doen Poort in treden , En wat zien ik daar vent , mede sabel op zij gad , vinden anderhalf el langen , en een zode breed alles hier doen Beschuytbakkers mesten .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.speaker.2054.s.1	hij zingen	None
ross006zing01_01.TEI.2.text.body.div.sp.2059.s.1	En ik boren zij wel zwetsen , mare ik kennen hebben niet verstaan ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2064.s.1	Ik denken o wede !	None
ross006zing01_01.TEI.2.text.body.div.sp.2064.s.2	hoe zullen het mede ik nog gaan , zode ik geren Kristen mens ontmoeten die duits kunne spreken .	None
ross006zing01_01.TEI.2.text.body.div.sp.2071.s.1	hij !	None
ross006zing01_01.TEI.2.text.body.div.sp.2071.s.2	wat vallen hier meer te preken , Ik lopen zonder kruis , of munten .	None
ross006zing01_01.TEI.2.text.body.div.sp.2087.s.1	doch t'savonds worden ik evenwel Herberg vergunnen , bij een Rynegaard , die ik al ik avontuur vertelden , Die maken ik zijn Lyf-knegt , zode die ik hij overal verzelden , mare naar verloop vinden vieren week , spelen ik een aardig rol , want hij hebben een Jong paren op stelen , daar gaan ik met aan doen hol , En bruid vinden Konstantinopelen , naar rome , alles of ik doen Nikker achter het gat zijn , En daar veylden ik hebben paren uit , door die ik hebben reien al zitten zijn , nu ik raken het nog al wel kwyd , wan ik verkopen hebben aan een Frans kapitein , Voor honderd Hollandse gulden , en twee kunnen Rinssew yu , Ha , doel zijn ik een manna , tros croesus , tros Alexander , Ik eten , ik drinken , en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2098.s.1	Ik Hollander , tros Brabander , s'Nagts op straat , Zeer laten .	None
ross006zing01_01.TEI.2.text.body.div.sp.2109.s.1	Ik leven vinden die honderd gunnen , niet alles een gedisserteerden Soldaat ; mare alles een banjer Heer , doch hebben beginnen helen ras te mind'ren , wan hier verteren ik een dukaat , daar een Ducaton , en smullen alles doen Wittebroots Kind'ren , Hoewel ik beven niet langen te rome , mare trek helen ras , naar Parys , daar horen ik die Konink Lodewyk overleeden wassen ; o !	None
ross006zing01_01.TEI.2.text.body.div.sp.2109.s.2	roepen ik wel driemaal , zijn Konink Lodewyk doen veertiende overleeden , Dan zullen hij niet meer mede zijn Fulpe muil , op hebben geborduurden tapijt treden , En daar op zingen ik doen spreuk vinden Solon .	None
ross006zing01_01.TEI.2.text.body.div.sp.2116.s.1	hij , wat mens hoe rijk , of groots , Niemand gelukkig voor zijn dood .	None
ross006zing01_01.TEI.2.text.body.div.sp.2128.s.1	wan ik schilderd hebben geluk , mede zijn een been op een ronden kloot , En het zijn ook wel doen waarheid , wan een die heden zitten te pralen , liggen morgen neder vellen , die oog vliegen raken aan het dalen , gelijk Ikaris , die mede zijn was vleugel zode oog , dor vlieg , die Febus gram worden , en hij wel drommel bedriegen , Vermits zijn vlerk lossen gaan , en hij vallen pomp verliezen , Over hals over kop in Zee , doch om niet in ik rijden te smoren , zo weten die ik tot Parys ook niet langen beven ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2135.s.1	mare ik beven , mare ik beven , mare ik beven , mare ik beven ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2147.s.1	Nu mogen doen heer vragen , hoe Krispyn beven gei ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2147.s.2	Ja Mesjeurs , en het hebben ook zijn rijden , Mits ik niet zonder beven verhaal kunnen wat ik doel hebben lijden , wan voor eest gink ik een Bosscagie door , vinden ruimen twintig mijl langen , Daar dansen doen wolf en tijger , poten aan poten , doch elk op zijn rank , Wat verder zitten een leeuw , die kraude aan een tak die vinden de bodem gewaayt wassen , Ja het wassen ' er zode vol , alles of het ' er mede dier zwaaien wassen , Ook ontmoeten ik een Draak , die wassen vinden kleur alles een Pappegay , en kijken alles of hij ik vreten willen , En ik zien een Slang , die wel zode langen zijn , alles vinden Ouwerkerk tot Abkouw , doch , doel ik half wegen zijn , schootme deze deunen te binden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2155.s.1	Onlangs geleen , gaan ik bedroeven vinden zin , Al door een Bosje , daar het zode eenzaam wassen .	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.1	Ik bidden menigmaal aan Diana doen jachten Godin om een vrijen passen , En zode stellen ik ik koers na Engeland , mare ik vervallen in hand vinden doen schots rebel , zijn jouw een vinden doen Wigse , roepen de graven vinden de Mar , dan zullen ik jouw drijven te neder vel , Neen , Heer graven antwoord ik helen beleefd , ik zijn een manna , Die Jacob voor wettig Koning vinden Engeland , Schotland , en Yrland kunnen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.2	god roepen hij wederom , wild dan mede wij voor Jacob uw leven waag , ach denken ik !	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.3	nu zieden ik voor ik een droef zinnen opdagen , Ook vroeg zijde ik nog wel honderd malen of ik een Torris wassen , ik roepen al : Jis , Jis , Door die ik wel weten die deze woerd op zijn engel Ja zeggen zijn .	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.4	Ook horen ik een vinden deze drollig knevel zingen , wie zulle hij dwingen , mede Snaphaans , en kling .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.5	Ja denken ik gei zijn ' er een venten naar , wan hij zijn zode stijf , die hij passen over een strootje kennen spring , doch doen eerst nacht doen besteden , nemen ik ik Gat in ik arm , en ik bruide voor , alles of ik wedden hebben , in een uur te lopen vinden doen wijken naar Santpoort ; En zode komen ik in Engeland , en zien doen graaf Kentmorre en Derwntwater , de kop af bruijen , Ook zien ik de Pretendent zijn beeld op een kruiwagen , door doen stad kruid , mare hebben staan ik daar weinig aan , door die ik ik lijf niet zeker zijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.6	wan al avond zitten doen Wigse en doen Torris , elkander in het zij , de een die roepen : langen leven Koning George , de ander roepen : langen moeten Jacob leven , En die kloppen elkander mede stok en knuppel , die ' er al meenig dood blijven , En liggen op doen straat , half verzuipen in hebben bloed , zo die ik beginnen te zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2194.s.1	Karon bouwen mare goed moeten , Hier waard uw vracht helen god , kijk , hoe die ik in hebben honderd , hakken en steken en kerven en slaan .	None
ross006zing01_01.TEI.2.text.body.div.sp.2218.s.1	Ja , daar ik zode houden kloven , weten ik die hebben op een spaander raap gaan , En zode beven ik daar tot vinden doen Winter , en zien al velen aardig klucht spel , mare doel komen ' er een Noortse Boer mede een Narre-slee vol Eeke deel , die hij daar verkopen , doch wild hij zijn geld ontvangen , zo maken ik doen Nar lossen , en rennen alles of ik om doen Vroemoer gaan ; En bruide doen Noott Zee over , zonder die ik bang wassen om mede ik gat in het ijs te raak , En ik komen weder tot Scheveling , bij Heyn doen woerd die zijn verbranden stelen weder op laten maken , Daar beven ik twee dag , en verplakten doen Nar , mare mede hebben paren brusten ik heen , vinden Schevelingen na de Haag , en daar vinden naar leiden , en vinden leiden naar Amsterveen , god !	None
ross006zing01_01.TEI.2.text.body.div.sp.2218.s.2	wat kijken ik varen , ja ; hij slaan twee blik , gelijk Prometus , wanneer de Arend bezig wassen om hij zijn leveren te pikken , doch hij onthaalden ik goed alles doel ik doen eerst reis thuis komen , En ik hebben ook geren lusten om weder te reizen , wan ik zijn al een weinig tam worden , door al doen ongemak die ik hebben lijden , Ik gaan bij ik Buurman , en verhaalden hij mede reype rijden , alles die ik zijn zode Jilles zonderbedrog in Oostinje gesprooken hebben , bloed daar worden ik s'avonds onthalen mede een wild katten , Zoet ik willen zeggen , op een braden Haas in doen veen gevangene , En de manna zijn zeer verblijd , die ik hij naar velen verlangen , Deze aangenaam tijding brengen .	Joy_Emotion_Desire
ross006zing01_01.TEI.2.text.body.div.sp.2227.s.1	mare ik zoeken , En ik Kogt , Deze Kraamery .	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.1	Om eerlijk aan doen kosten te geraken , en daarom hebben ik vinden doen mei , Hier een huis huren , daar doen heer ik of ik hond altijd kunne vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.2	mare nu ik Kraamery een opgenoemt , zij die wel kwaad zijn vriend !	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.3	Ik geloven vinden neen , wan wild ik ik avontuur hebben verhalen , zode hebben ik mede ik Mars mare wat in het honderd malen , zien daar nu beginnen ik , en staken al and're gril .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.1	hij , koopt'er niemand , Kristalyne bril , Voor blind kip die niet kunne zieden , komen bij ik Kraam , wan doen faam , hebben ik naam , Nog nimmer uit blazen no die ik beraam .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.2	Balletjes om doen baard met te vreyven , olie doen Sassemyn bij Vlesjes vol , Ook Gespis trant , ronden , vierkant , Abondant , haak , oog , en kurejeuze kousse band .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.3	zandloper om de tij te opzerveeren , kurkentrekker vinden hebben fijn stalen , Snuyfdoozen schrik , tinne , en blik , Even dik , Koeragie , dan liefhebber wan ik wachten goetschik .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.4	pen , die helen wel versnijden zijn , poeder al zode witten , en zijn alles pop stront , Ook Naaysters schaar , hij zien daar , kijk hebben mare , slijpen vinden een Waal te haarelem op hebben sparen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.5	Ook hebben ik dompertjes , en kaarse snuyters , koop profytjes voor doen zuynigheyt , Ook naald god , o gans bloed !	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.6	Alsje moeten , uw kous stop tot verwarming vinden jouw voeden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.7	Ook hebben ik spiegeltjes zoet lief meisje , Daar gei uw krulletjes in sier kunnen , Ook Muskeljaaat , Dillekaat , alles gei praten , mede uw beminnen , dan ruykt gei alles een privaat .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.8	Ook hebben ik balletjes , voor doen wit muil , En vlakballen om een duit hebben stuc , Ook potlood pennen , Ik bekennen , die jan heen , zullen zeggen die , ik een verhruyden Kraamer ben. A , B , Bortjes om verstand te kreygen , Mallemoorie boekjes voor een dom droes , Ook pypedoos , Voor Mattroos , worden gei boos ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.9	Dan zullen ik een wat ander zingen voor een pozen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.10	blikken Veerekykers , om te zienen , vinden Amsterdam zode rechtuit tot japan , Ook spellen fijn , Glad , en rijn , groots , en klein , Pennemessen , veter die mede blik beslaan zijn , Naaldekookers , hout , en luvooren , tin knoopjes na doen alder nieuste zwieren , ik hebben ook lynjas , netten vinden passen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.11	hij de , de brassen , Speetsje boekjes die nooit enig koopman lezen Fluytjes , Trompjes , en hout Rammelaaren , hoeden schuyertjes vinden het fijn trijp , Ook Grinse netten , vinden portret , vriend lid , Om kind bang te maken , en te jagen naar hebben Bed .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.12	Ook hebben ik halsband , voor alderhande binden , Slootjes om die te hangen aan het dressoir , die knecht , nog meid , buiten tij Niet ontbijt , vinden uw kosten , die daar dan in verbergen liggen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2407.s.1	zien zode Musjeurs daar hebben ik nu al ik Kraamery op zeggen ; uitgenomen doen Lietjes , en al doen Liedeboeken Daar hebben ik een netten Register vinden zode die ik niet langen hoeve te zoeken , alles voor eest , zode hebben ik die vermakelijk deuntje te koop , vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2416.s.1	Knoop Meysjes knoop , Die het knoop wil lederen , Die moet bij ik verkeren .	None
ross006zing01_01.TEI.2.text.body.div.sp.2421.s.1	Ik hebben hebben lof vinden Bregje mede eren , Ook hebben ik vinden ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2428.s.1	scheel Frans verzuipen zijn kleed , wassen hij doen niet wel gebruyd ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.1	Ook hebben ik doen ontmantelde Apotheker , rotkeel zonder kuit ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.2	Ook Aran en Titus , boertig bereymd door ROSSEAU die gek Poeeetje , Ook hebben ik een treuren dichten , vinden een kaal Jonker die op de Amstel in het ijs vallen , mede zijn Narre Sleetje , Ook vinden een Boer , die aan vieren valse speler zijn geld verliezen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.3	Ook vinden een frans Barbier , die voor vieren duyten de Baard scheren , Ook vinden een Hengelaar , die zode langen hengelen , tot hij om zijn hengelen weer gevangene ; Ook hebben ik vinden boezelaars Jaap , die zich zelf op doen kleed zolder , aan zijn dasje gaan verhangen , Ook hebben ik vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2455.s.1	Ionge Meysjes luister toen , Die hebben werk nu zijn moede ; laten hebben voor sunt Velte varen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2455.s.2	Ik weten een ambacht vinden plyzier ; Daar gei sebatten met kunde garen , En kleden zijn naar doen zwieren .	None
ross006zing01_01.TEI.2.text.body.div.sp.2460.s.1	Ook hebben ik een deuntje die ik zelf dichten hebben t's wild ik agterlant lopen mede doen Lier , En dorren zijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.2473.s.1	Daar zijn een meid geboren , t'savonds al bij doen kaars , zijde bidden geren neuzen , geren oor ; geren oog , nog geren Naars , En wat dunkje , zijn het niet raar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2481.s.1	Ja ik zijn een wakker Poeet , alles ik achter een Ham zitten , of achter een schieten !	None
ross006zing01_01.TEI.2.text.body.div.sp.2481.s.2	mede Baars , doch hebben mogen geren kwaad want ik zullen mede rijm doen kosten niet winden , Hier hebben ik een boekje , om uit doen Tas te lederen spel , en ook een boekje voor die min ; Om te lederen , wat ik al doel en laten moeten , aan doen geren die ik beminnen , Ook hebben ik vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2495.s.1	Blind , blind , blind , roepen Klaartje , zijn hebben Kind , Die mede zijn buigen en pylen , springen , en vliegen , En wij bedriegen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2505.s.1	Ik geloven die doen Mesjeurs wel denken , die Krispyn zij wat te voorn liegen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2505.s.2	wan niemand maken enig beweging om wat te kopen , doch ik hebben evenwel handgift , en zullen niet zonder gelden naar huis lopen , zo tonen dan die jouw lezen kunnen , en koop wat , zode niet , ieder doen zijn zijn , Ik hebben velen historie ook , vinden Jan doen Plug en Kaat doen Brakkin , Ook vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.1	Wat zijn een Koopman zonder waar , alles een Bakker zonder malen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.2	Wat zijn een Speelman zonder snaar , alles een Zanger zonder keel , Wat zijn een herder zonder schaap : alles een visser zonder wan , Wat zijn een groeien Boer zonder raap ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.3	alles een Huisman zonder landen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.1	bloed wat wereld ik doen keel droge .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.2	Ja hebben zijn alles of ik daar victorie branden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.3	Ook rommeld ik de buik vinden hongeren , alles of'er beer dansen en spring , mare ik hebben hier nog een vermakelijk deunen , die moeten ik een voor doen heer op zingen , Ja een zeer pleizierig vers onder hebben plengen vinden de wijn , Ook zullen doen Mesjeurs bekennen die hebben wel willen op zulk een tijd zingen zijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.1	wijn en Bier , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.2	pleizier , bij een vet dis , o vermaken !	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.3	voor een snaak , zode alles ik , heide gezwind .	None
