weye002holl01_01.TEI.2.text.body.div.head.158.s.1	doen hollands zinnelijkheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.2	geren ons of drachme : stillen , ik dodelijk Quid pro quo , Klarindes bed en hebben tand geren klisteer vinden node .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.3	gei zullen ook nimmermeer te samen akkordeeren : gei zijn voor d'oudheid ; zijde voor lint , moesje , veren : u spaansche mars mishagen Mejuffers luchtig tred : u smaken zijn droog vis , doen haare het Huiwlyksbed .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1180.s.1	Ik zijn zo droge niet lam , al schijn ik oog in jaar , En zij doen Huiwlyk-zee , hebben alles Alfons bevaren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.1	gei d'Huiwlyks - zee !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.2	jouw blaken ( ik moeten lachen bij ik ziel ) alles dood schelvis in een schevelingsche kriel ; gei zijn komkommer-heet , verwarmen alles aardbeijen , zode blank alles het goud leren , of oud turk spreijen .	BodyPart_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.3	ik juffer koets schrikken voor een meerzwyn of een kalf , mede poten olyvet vinden populieren zalven .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.4	Wat drommel zouje doel , alles het schaap bij nacht te kwellen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.5	Een Juffer willen geren klok bij ronkers toon tal .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.6	wan ofje slapen of waken , ( het zijde openlijk gezeit ) jouw zijn een kegel , die of zwikken of nederleit .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.1	Ik zijn geren kegel , kind , geren meerzwyn , licht Juffer , Komkommer of tapijt , nog een bekruiden suffer .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.2	Wat meer beleefdheid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.3	Wat doen duiker , ja en neen , zode zeker alles ik leven ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.1	doen duivel , die zijn een !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.2	d'Apteker vloeken zo zoet alles frans confituur ; Nu , het geren niet hevig zijn , kunnen eeuw en tij verduren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.3	mare voor u eigen eer ( volgen een een meisje raden ) zode vloeken bij rottekruid , doen dood , of sublimaat , bij maankop , hels kwik , purgaatsjen en klisteren , En zulk Recipees , die mens ruineeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.4	laten voor een fijn zus , en mennoos effen doek Die protestaatjen vinden banket en peperkoek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.1	Ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.2	Antonette lief , ei wild wij niet begeven !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.3	Ik zullen gelijk een mus aan Venus lymtak kleven , Ik zullen ik slingeren alles groeien veil om uw lid ; komen doen u deurtjen op , en lopen zode ras niet heen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.4	laten Herbamuf doen piek vinden echt liefde plant Op u fortresse , laten ik klauteren lang doen kant vinden het snee-wit Bastion , tot op hebben zoet gebergt .	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1222.s.1	wegge klein Ciampion , die wassen doen mond tergen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1227.s.1	hebben spreekwoord zijn , langen stro geven dikmaals weinig koren , Een hogen bergen korten gras ; indien ik kennen deurbooren u wreedheid kind , jouw schelden ik voor geren endje vorst .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.1230.s.2	die zij gewis een vliegen zijn op een kallifs barsten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1231.s.1	SPAD .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1233.s.1	zien daar , ik vereerje een prenten vinden Ceuta , Stad de moor .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1238.s.1	Al gaafje hebben koninkrijk , nog wassen doen moeite verliezen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1238.s.3	schrandren Spadulaan , blijven doch bij d'Apotheek , doen Juffer passen uw alles een preekstoel aan een lijken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1242.s.1	Wel Kamenier de manen , u tong zijn vreselijk vaardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1243.s.1	ATNONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1245.s.1	Gezalfden substituut , ik zijn ruimen d'uwe waardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1246.s.1	HERBAM .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1248.s.1	Ik hebben beleefd talen voor wij muziek verwachten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1251.s.1	Doodbidders komen dag , mare nimmermeer bij nacht .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1252.s.1	HERB .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1257.s.1	Wel sletvink , kamerkat , gevleugelde bodinne , Beplaastert popje , faktores vinden duistre min , Geplukte koolmees , half-gezengde winterhes , ik Lagch mede u stout tong , geraffineerd tas .	Joy_Emotion_EmotionalAction_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1263.s.1	Decoktje-ketel , zalven , klisteer en pleisterkruijer , Besmeerde traanton , moordklok , schelms vyzel-luijer , Die koperen doodbus , door quaatspreekentheid bewonen , zijn waardig datze worden mede deze krans bekreunen .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1265.s.1	zijde werpen doen waterpot op zijn hoofd .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.stage.1265.s.2	Spadulaan en doen muzikant vlucht .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1278.s.1	wij die doen zoet rusten verlaten om geil pop , Of alles een uil , doen nacht kiezen voor hebben zonneligt , worden dikmaals overstulpt mede diergelyke sop , vinden pispot , bezemstok , of krabben in het zichten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1278.s.2	zien jong wat een lot het nagtraven en rinkinken wij geven in deze serenaad , ik walgen die saus , ik bespuw het gebraad , En slijten voortaan mede vrolijk drinken de dagge en nacht , en laten die vink , zijn vinden het berouw volgen naar doen daad .	Emotion_Disgust_Remorse
weye002holl01_01.TEI.2.text.body.div.head.1281.s.1	Derde bedrijf .	None
weye002holl01_01.TEI.2.text.body.div.stage.1284.s.1	MEVROUW KEIZERS-THEE , ZUSJE feniks , SPADULAAN .	None
weye002holl01_01.TEI.2.text.body.div.stage.1284.s.2	hebben Toneel vertonen een Salet .	None
weye002holl01_01.TEI.2.text.body.div.sp.1287.s.2	hoe verdrietig zijn het , naar het geren ik wenst te wachten .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.sp.1291.s.1	Dat's zijn Mevrouw , en zode zijn al minnaar klacht , Al ik verlangen zijn na u beminnen Nigt .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.sp.speaker.1292.s.1	ZUSJE feniks .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.1	Tut tut , daar's niet hebben geren voor het huis sieraad niet zwichten .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.2	Een Juffer zijn voor het bed , mare al die raarigheden zijn schat die doen ziel vinden ons sekse bekleden .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.3	Daar komen doen Dame zelf !	None
weye002holl01_01.TEI.2.text.body.div.sp.1301.s.1	zode komen d'Amandel - vocht En laven een sterveling !	None
weye002holl01_01.TEI.2.text.body.div.sp.1306.s.1	zode worden doen zee bezoeken vinden Phoebus flonkrend liggen !	None
weye002holl01_01.TEI.2.text.body.div.sp.1310.s.1	zode zien m'een roos verwikken .	None
weye002holl01_01.TEI.2.text.body.div.sp.1310.s.2	Door dauw en het zilveren natten .	None
weye002holl01_01.TEI.2.text.body.div.sp.1314.s.1	zode komen naar het dodelijk hikken Een Apoteekers kroos mede hyacint Siroop !	None
weye002holl01_01.TEI.2.text.body.div.sp.1320.s.2	nader zonneligt , ik kind , ik zoet hopen .	Emotion_Hope
weye002holl01_01.TEI.2.text.body.div.sp.1320.s.3	komen wand'lend Kabinet , vervullen mede dierbre schat , Ah ! ik zijn onmachtig om het genoegen te bevatten vinden deze uw blijde komst .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.stage.1322.s.1	ANTONET , JAN in vrouw kleed .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1327.s.2	wat ik zien zijn glans , En zode nauwkeurig of hebben mede een gouden balans verdelen wassen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1330.s.1	Ja , juffrouw gelieven die zode te zeggen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1334.s.1	ik moeten barsten zode m ' een zeer of vezeltje zien liggen , Ja niet een stofje zelf vinden d'alderminste soort .	BodilyProcess_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1341.s.1	d'Ondeelbre vezeltjes die ruim straks doen poort , Wanneer Mevrouw deze plaatsen bezoeken mede kurke muil En een vergrootglas , op die niets zich zij verschuilen Voor hand of oog .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.1	ei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.2	ik Heer ik krijgen een kleur alles conchenylje : ik Salet !	BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.3	foei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.4	wat een leur , Een Garderob-kantoor bij het u te vergelijken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.stage.1344.s.1	Jan spreken terwijl stillen mede Zusje feniks .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1352.s.1	Mevrouw die zij gewis mede het vonnissen heen gaan strijken , zode Zusje feniks daar omtrent zich uiten willen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1354.s.1	ZUSJE feniks , helen opgetogen .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.1	zijn het zijn ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.2	ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.3	porselein gestoelte .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1360.s.1	Zoetjes stillen , het zijn ik allee bewust .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.1	Neen Juffer , geren secreeten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.2	Mevrouw , Mevrouw , deze nieuw die moetje vliegens weten , stoelen vinden porselein , ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.3	die doen staan doch lid Op deze inventie !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.1	Ah zijn het mogelijk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.2	ik willen netten ik groot zadel mede twee dozijn fluks zieden pronk .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.4	mede wat liefde en drift zullen ik die dan belonken !	Emotion_Love_Dedication
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.5	wegge nu mede zilveren stof , stoelen vinden porselein !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.6	wegge zijden damast , fluweel , gestadig door het stof onrein , En die ik in een dagge vijf zesmaal af moeten stof , wan meisje zijn te leuy , die zullen die versloffen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.8	porselein stoelen , ja al komen tand ik Voor het ogen alles porselein .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.1	Nog zij het wat ander zijn zagen gei een tafeltjes vinden het fynst japans linnen , mede maagde-parkement voeren , u ziel en zin Die zullen voor gewis onrustig zijn tot die UE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.2	in eigendom een half dozyn bezitten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.3	Die splijten door geren zinnen , die kunnen ik altoos zijn , zode blank alles maagde-was ; die schaarde nogte kras , Al hebje meisje uiten doen Meijery of Twent , mare buit ik Mevrouw zode zijn die onbekend .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1395.s.1	Mejuffer ik zullen deze dagge vinden vreugde , eeuwig vier , En flus ik Kamenier na uw verblijf toen stier , o !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1395.s.2	lief Koopvrouw vinden scribaan en porselein Gestoelte !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1400.s.1	Ik hebben nog iets , die zij uw gading zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1400.s.2	Die mat zijn kurieus , en glimmen alles sukade doch vreselijk ouderwets .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1411.s.2	doen ik doen genadig , Juffrouw zijn ergens iets vinden het nieuwste , schonen vrijen duur ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1411.s.3	Ik hebben nooit gelden sparen , ja die ik een Garnituur vinden gouden of zilveren lint , gebruiken in plaatsen vinden mat , Ik volgen fluks die trant , spijt al hebben tegenspatten de man op mode ; z ' zijn een slegthoofd , die zij storen Aan dwarse griek , wan hebben nieuw altoos bekoren doen zin vinden een vrouw .	EmotionalAction_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1417.s.1	Gewis die zijn waarachtig , man woord geld niet , wanneer mare ietwets prachtig vinden oogst of West , of frans of engels aardigheen wij sekse bevallen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1421.s.2	storen wij niet in deze rein .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1421.s.3	Juffrouw die mode ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1424.s.1	Die zijn tand punt doen Marselje .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1427.s.1	ai ik !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1427.s.2	zijn het mogelijk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.1	Zoetjes nu Mevrouw ontstelje zode hevig niet .	Emotion_Awe_Wonder
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.2	Ik hebben nog ander rarigheen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.3	bij voorbeeld ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.2	juffrouw , hoe sidderen al ik lid .	Fear_BodyPart_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.3	Ik zien geren ogenblik deze mat voor ik oog .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.4	foei , foei , ik zinnelijk , oh neen , ik zijn bedriegen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.5	Ik zijn een morsebel , een Domheers kamenier vinden het Mofs Westphaalen , foei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.6	ik branden vinden spijt alles vieren .	Emotion_BodilyProcess_Remorse
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.7	Ik zullen ik zuiver vloer mede deze mat spreijen , Al zullen een brief vinden cessie ik binden het jaar gelei .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.2	die zijn niet mede al , ik hebben tapisserie vinden zuiveren berg-kristal , klaar-blinkend alles kandij ; doen lijst zijn stalen vergulden , een kunstwerk vinden Milaanen , doen lambrisseering zijn vol goud en zilveren zwaan , festoen vinden agaat , en het Ormus parelmoer verdelen het stuc voor stuc .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.3	Wat denkje , die doen vloer zijn plankwerk , spiegelglad alles deze ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.4	bagatelle !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.5	Neen , het zijn een pronkstuk het geren u machtig zullen onstellen .	Emotion_Moved_Wonder
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.6	ik vloer zijn verlakken , verzilveren of verstalen , doen keuken wand zelf zijn om eend om bemaalt mede Fresco , schilderkunst vinden italiaans meester , Bataaljes , bloemgewas , bosschaadjen vol vinden heester , vallei , Meermans , Amasonen , toverij ; Ja duizend ding meer , mare zetten die aan een zijde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.7	Ik hebben een porseleinen grot vol Hagedissen , vinden jaspis , zeekraal , mede goud en zilveren lus .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.8	Prins Robberts stoofjes , die mede atlas zijn bekleden , mede voorloop-lampjes , wan die blijven altoos heten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.9	Ik branden nooit turf nog houden , nog koolvier , neen Madame , ik huis zijn ik te woerd , ik zij ik deze botheid schamen : Een steentjen uiten een pees , olyf of melkoton , die zijn een helder vlammen , zode zuiveren alles een zinnen .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.10	ik hebben kabinet mede uitheems rariteit , Medaaljes , Mineraal , velen parel , Crysolyten , turkoois en Esmaraud , Saphier en hyacint : ik hebben een japans Pop , velen groot alles een kind , uiten parelmoer gesneen , doen oogjes zijn granaat .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.11	Ik hebben ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1474.s.1	M. keizer TH.	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.2	ah ik stikken , wat kunnen hebben ik nu baten die Zusje feniks , Marmelade en Spadulaan , Ja Delft en zijn Gravenhaag ik rome alles een zwaan vinden zinnelijk huis cieraad : ah ik !	BodilyProcess_Shame_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.3	ik zullen gaan sterven .	BodilyProcess_Shame_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.4	wijken Spadulaan , die brommen , die niemand ooit zij durven In punten vinden nettigheid , zich vroeg nevens u .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.5	Hier zijn een diamant .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.6	vlucht alles doen nagt-uil , schuwen Voor het helder zonneligt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.7	Ik zullen vergulden Altaaren Opbouwen t'uwer eer : ja nimmer reukwerk sparen , juffrouw , mare dagelijks mede gebooge en bloot knie u offeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1492.s.2	juffrouw , gei zullen ik nooit verbieden die ik u schoen kussen , of boord vinden uw kleed .	EmotionalAction_Awe_Dedication
weye002holl01_01.TEI.2.text.body.div.div.sp.1492.s.3	Ik zijn een poddegroes , een quab-aal ; ik zij graag lederen hebben minst en slegtste delen vinden al uw zinnelykheen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1504.s.1	zode immer een dokter worden in u huis geleen , Om mede een slagboom vinden purgatien , kruid , drank , Te stut het woedend heir vinden quaalen , die doen kranken Bestormen dagge en nacht : zode immer een klisteer Door d'Apothekers hand zetten ( te tij wanneer Natuur verbolgen wassen ) uw hinderst kennen bedragen : gunnen die ik door u helpen , d ' uiten spoor geholde waag vinden het superfyne netten , herstellen op d ' echt baan : ei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1504.s.2	Juffrouw , nemen ik dienst mede mededogen aan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1507.s.1	Mevrouw ik hebben	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.2	laten wij niets vinden aanzien horen , o !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.3	Al die aanzien priemen ik alles een scherp deur .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.4	Ik hebben nog gelden Juffrouw , indien hebben mare een reizen Op prijs stellen worden : lam , ei lief doen een ijzen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.5	Eist , vragen , ik hebben nog gelden , eisen half republiek , Ik zijn een Dame die geren mens behoeven te wijken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1518.s.1	ik hebben waterpotjes die ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1521.s.1	het geduld die worden gestoord .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1527.s.2	droef geheb .	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.1530.s.1	Ik worden hier schelms vermoorden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1533.s.1	Die waterpotjes zijn	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1537.s.1	juffrouw ik bidden genadig .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1540.s.1	Fluweel ,	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1543.s.2	hebd niet meer , uw aanzien zijn wij schade .	Emotion_Greed
weye002holl01_01.TEI.2.text.body.div.div.sp.1549.s.1	Ik kunnen niet meer .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1552.s.1	Ik hebben .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1555.s.1	helaas !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1555.s.2	ik sterven .	HeavyHeartedness_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1556.s.1	jan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1559.s.1	M. KEISERS-THEE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1561.s.1	geren leven meer , te zijde ik iets verwerven .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1572.s.1	zode ooit een bee verhoren worden bij een Koning , Verzoek ik hebben braden .. eisen huis , landen en woning ; Eist het geren ik niet en hebben , of nimmermeer bezitten , Ik zullen hebben geven voor die dierbre netheids schatten eisen al ik huis-cieraan , juweel , wisselbrief , Karos en paard .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1578.s.1	eisen juffrouw mede u believen zeemonster , Armodils , een Walvis vijf a zes , Pisdiefjes , Kaimans ... een gebalsemde prinses , Rynosters ....	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1585.s.1	Hoord ik beed , al zijn ik vinden doen lest .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1585.s.2	Ik geven doen zuiverheid ik maagdoms graag te goed zode die tapisserie vinden blinkend bergkristal Daar veil voor zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1591.s.3	neen Juffer ik zijn niet mal . ik zullen geren spiauter voor ducate-goud ontvangen ; ik worden te dikwijls in die koopmanschap gevangene .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1591.s.4	Mevrouw mede u verlof .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.2	mede autoriteit , prinses , godin vinden doen fijn nettigheid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.3	Gebied , eist al , vragen , ik zijn tot u kommanden , ik leven of ik dood staan in u lief hand .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.4	doch haastig , schielijk ; wan ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1602.s.1	hebben ook Mevrouw een manna ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1602.s.2	wan koopmanschap ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1607.s.1	Daar zijn niets die wij beletten kunnen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1607.s.2	ik manna zijn tot u dienst : ik zullen ik doel onttrouwen , Indien ik het tiendepart mogen vinden u schatten behouden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1615.s.1	die zijn het niet , mare een manna zijn meest na ik gissen , En vrouw koop zijn nul , voor het minst ongewis ; schonen die ik mede Mevrouw mogen komen t'accordeeren , ik Heer , alles meest , mogen daar tegen protesteren , En dan wassen het faliekant .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1639.s.1	ik manna , ja wel ik worden dol , Die protesteren , die het akkoord verklaren nul !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1639.s.2	Neen , neen , d ' autoriteit de mennen zijn hier veilig , alles zijn onbekend : een vrouw zij woerd zijn heilige En bondig hier te landen , doen manna .. doen manna zwijgen stillen , zijn onderdanig en gehoorzaam aan doen willen vinden zijn huisvrouw , kind .. ik manna .. zien par exempel , zode ras zijn voeren mare genaaken ons drempel , doen fluks zijn schoen uiten , en trekken zijn muile naan vinden leren of villen , die dicht omtrent de ingang staan ; liggen stikken en degen af , alles of hij een gevangene bezoeken , dan moeten doen meit zijn oud nagt-rok lang , En fulpe nagt-muts , dus gebakert , stillen en tam sluipen het Heerschap naar het kantoor , helen zedig alles een lam , En zitten duiken in papier en oud boek , gelijk een huisrat ; komen hij iemand een bezoeken , Die gaan nooit verder alles doen grenspaal vinden het kantoor : doen resten vinden het huis zijn wij , vinden achteren tot voor somtijds gebeuren hebben , doch het zijn raaf en bij deugen , die vriend , deze of geren , een glaasjen drinken mogen Op het blauw plaatje , of wel te hoogst in het klein Salet , mare die zijn bij genade , en het beuren mare altemet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1648.s.1	ik zeggen die Engeland zijn het paradijs de vrouw , doch zode die deurgaat , moeten ik het gewis mede Holland houden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1648.s.2	Wel aan , ik weten raden Mevrouw , die die tapisserie , Gestoelte en Kabinet , ja al dat bij behoren , in eigendom mede ap - en dependentie uw kosten en schadeloos geworde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1652.s.1	Wat sententie !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1652.s.3	Juffer gade niet voor , mare laten ik ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1653.s.1	SUSJE feniks	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1656.s.1	laten ik d'eer Om eest te spreken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1660.s.1	Zoet , ei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1660.s.2	doen doch geren zeer , Ik zijn hier Heer en Voogd , en zullen hebben vonnissen strijken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1664.s.2	die zijn tirannie , die nooit in republiek lijden zijn Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1665.s.1	M. keizer THEE	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1669.s.1	Ja ik lagch mede tirannie : hebben geren ik niet behagen , die stellen ik aan een zijde .	Joy_Emotion_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1669.s.2	laten doch d'Apteeker daar , en Zusje feniks temen	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1673.s.1	Ah ! het geren onmoog'lyk zijn , die zullen ik ondernemen , Ik bidden en smeken , ik polsen slaan onbeweeglijk stillen !	EmotionalAction_BodyPart_BodilyProcess_Desire_Despair
weye002holl01_01.TEI.2.text.body.div.div.sp.1677.s.1	Ik sterven !	BodilyProcess_Desire_Despair
weye002holl01_01.TEI.2.text.body.div.div.sp.1677.s.2	hebben zijn braden ; ik veel zelf die doen spel zijn op hebben leven rad snel omdraait , zijn aan het zak .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1681.s.1	Ik nemen ik afscheid , wan doen dood zitten m ' op doen hak .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1685.s.1	doen vlug deeltjes in deze aard alembek zijn al geconstipeert .	None
