rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1406.s.2	mare al het geroep die gei vinden Duivel hebben vernemen , zijn enkel mare doen naam vinden een ' heldhaftig ' manna , Een ' Krygsheld vinden de Prins , een ' Geus , die zijn Paussen bannen , En Bloedraad , Alvaas trots , het wellen de Buitenlandren , En die vinden al dwang , mede zijn medestandren , Voor wij bevechten zullen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1410.s.1	zo zijn het mare beuzlaary ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1416.s.1	Voorzeker , ander niet .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1416.s.2	Wanneer gei vinden nabij die Duivel kennen zullen , die zien alom horen rome alles Krygsheld vanden Prins , zullen gei hij Engel noemen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1419.s.1	Kornelia , terwijl ik doen trom roeren .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1421.s.1	Wat of die wees mogen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1421.s.2	Ik horen doen trommel slaan !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1424.s.1	Koppestok , achterwaarts na binden zien .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1433.s.1	Wat zij die zijn ; Treslong voeren zijn soldaat aan , En vander Mark komen met vinden doen ander zijden naadren .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1432.s.1	Onder een gedurig Krygsgerucht , geschreeuw en gejuich , trek Vander Mark , vinden doen een , en Treslong , vinden doen ander zijden , op hebben toneel , hebben ieder matroos en Krygsvolk achter zien ; doch doen burger , vrouw , boer en kind , vroeg zien op de voorgrond , voor hebben ander Gevolg .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1439.s.1	Vander Mark , Entes , Treslong , doen rijk , Koppestok , Rochus , Philipszoon , Elizabeth , Kornelia , Frederik , Maria , Gevolg vinden mennen , vrouw , boer , kind , edel , matroos , en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1442.s.1	Vander Mark , tegen hebben Oorlogsvolk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1463.s.1	ik vriend , gei kunde thans een ' goed roven vergaderen ; Behoudens die gei hier doen burgerij niet schaden gei moogt doen geestelijkheid vervolgen mede u ' haten , En het Kerk - en Kloostergoed in ons schip laden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1463.s.2	gei Hedding , d'Ovelens en Vlierhop , zullen doen schade de burger verhoen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1463.s.3	vinden Warmont , Thomaszoon .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1463.s.4	vinden zweten en vinden vlijt , zijn mede zij volk bieden doen post deezer Stad nauwkeurig te bezet .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1463.s.5	gaan , burger , na u huis , op uw goed lid ; wan doen uitgewekene hebben hun worden door ik verbeuren verklaren ; mare elk die treden op ons zijde ' hebben aan doen Hoofdwagt zelf zijn ' naam mare op te geven , bij Hopman looi , daar hij alles Vriend woord opschrijven , Om deelgenoot te zijn vinden wij en ons buiten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1448.s.1	matroos en soldaat binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1454.s.1	Drie edel binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1462.s.1	burger , vrouw , boer en kind binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.1466.s.1	achtste toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1469.s.1	Vander Mark , Entes , Treslong , doen rijk , Duivenvoorde , Gevolg vinden edel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1472.s.1	Treslong , aan Vander Mark , Duivenvoorde doen tonen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1477.s.1	Rentmeester duif voorde , alreeds te Zuidpoorte uiten , En op doen vluchten gaan , verzoeken ik weer te karn ; gelijk gei zien die hij braden hebben ; en velen ' heer vinden doen oud - en niuwe - weten brengen hij aan ons kanten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1484.s.1	Dus tonen hij zijn vlijt , te dienst vinden het Vaderland ; zo worp wie stijven door meerder prinsgezind .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1484.s.2	gade , yvraar ons zaak , navorsen hoe velen ' vriend het veroveren vinden de Briel aan wij hebben toebrengen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1490.s.1	Nu elk uiten deze beginnen een wenschlyk einde verwachten , zullen het allergrootst getal de hier blijven ' mens haasten voor Oranje zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1497.s.1	wij zij niet lief wensen de Koning en de Prins getrouw te wees , dan het uitlandig wellen en die vinden een ' tiran ?	Emotion_Desire
rivi001vero01_01.TEI.2.text.body.div.div.sp.1497.s.2	wij zij zijn eigen nut dus uiten hebben ogen verlies ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1501.s.1	voldoen dan wij verzoek .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1503.s.1	duif voorde .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1507.s.1	naar een u zijde ' te kies , blijven , tot de Prinssen dienst , ik helpen uw toegezegd , terwijl gei , in zijn ' naam , de Vryheids gronding liggen .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.1510.s.1	Negende toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1513.s.1	Vander Mark , Entes , Treslong , doen rijk , Gevolg vinden edel , matroos en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1516.s.1	Vander Mark , terwijl doen zijn bezig zijn de buiten over hebben toneel , en alles na doen schip , te brengen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1526.s.1	wie zieden wij volk de roven in ons schip dragen ; Daar het hout beeld werken thans aanstukken woord slaan , En die vinden stenen niet minnen verbrysling ondergaan : het Niet waardig schilder werken en onnut Kerksieraad , doel wie geheel en al in flenteren hervormen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1526.s.2	Ik zien mede Zielsvermaak hebben driftig beeldenstormen En Altaar breken aan !	Joy_Emotion_BodilyProcess_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.1526.s.3	zijn het geestelijk geklag , Geprevel en geschrei , mijn oor kittelen mogen , Daar baden ik ik in een zee vinden allerlei genoegen .	Joy_Emotion_BodilyProcess_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.1532.s.1	doen burger zullen zien niet bij doen plunderaar vroeg ; de Kerkenschendery behagen niet algemeen , mare baard in veeler harden , spijt , afkeer en geween .	Emotion_BodyPart_BodilyProcess_Dissapointment_Sadness_Disgust_Benevolence
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.1	Wat winst trek wie van breken en verscheuren ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.2	Wat voordeel geven hebben wij die medeburger treuren , Om het laf verbrijzelen vinden kalk , vinden houden en stenen ?	Emotion_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.3	die wie juweel , gouden - en zilverwerk byeen Vergaerden , en het metaal , zo koperen , lood , alles ijzer , Gebruikten t ' ons dienst , wie doen waarlijk wijzer , En zullen doen ander gezindheen niet in het harden vinden wij vervreemden doel .	Emotion_Disgust
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.4	Oranje horen mede smarten Zulk ongebonden werken , en zij hebben gaarne beletten , Om al hebben Neerlandsch volk op Alva aan te zet .	Emotion_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.5	laten elk gevoelen vrijen en zonder aanstoten : wan Hoe eigenaardig zijn het , in het vrye Nederland , Elk aan zijn eigne keuren het weten vrijen te laten !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1549.s.6	geren dwang veest ooit mede vlucht zijn ' tronen in vrye staat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1555.s.1	ik moeten doen geestelijkheid betalen voor de honen wij eertijds aandoen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1560.s.1	geven dan rechtvaardig lot Aan die meest schuldig zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1564.s.1	zijde zijn al t ' samen schuldig .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1568.s.1	En echter maken zij straffen doen rooms ongeduldig .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1572.s.1	zijde zijn tocht altemaal niet even straffenswaard .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1586.s.1	zijde zijn nochtans doorgaans heerszuchtig in de aard , En durven op het gezag de opperheer smalen ; geren Wolf zijn zo zetten op telkens roven te halen , alles het grosse die geestelijkheid , weer harden vinden eigenbaat , vinden hoogmoed , schraapzucht , toren en wraaklust zwanger gaan ; wij zij slechts tegenspreekt of fout aan durven toon , woord Ketter , Geus of schelm , onwaardig te verschonen , En't zwaarte , of wel doen Koord , of loutering door hebben Vuur , woord straks zijn delen ; zij wraken staan vast dan een muur vinden het allersterkst metaal en ijzer t'saam klinken ; En zij deze doel wij harden tot weer wraken niet ontvonken !	Emotion_Greed_BodyPart_BodilyProcess_Anger_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.1590.s.1	het zullen wij zelf dienstig zijn zachtzinnig voor te gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1597.s.1	Wanneer hebben al hier in vuur en vlammen zullen staan , kunnen hij die't mede zij hout in deze puinhoop blijven , Of elders gaan : die elk , wieden wij belang willen stijf , zijn afbranden Stad vergeete op ons vlieden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1601.s.1	Wat zijn deze zeggen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1607.s.1	Ik willen die Brielle straks , ontbloten vinden zijn vervoerbaar goed , zullen door de branden verteren ,	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1611.s.1	spreken gei in ernst !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1615.s.1	o Ja .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1641.s.1	Wanneer wie ooit begeren wij zelf te vestigen op Hollands grond , alwaar wie veilig kunne zijn voor d ' aanval en het gevaar , waarmee Tolede wij dreigen , en daar hij zijn te stuiten , Daar ons watermagt gelukkig kunnen vrijbuiten , het zijn hier , het zijn in de Briel en het Brielsche Landgebied : doen mond de Maas , die gei hier openen gapen zien , woord aan de Zuiderkant genoegzaam dicht sluiten , Hier mogen wie doen helpen vinden ons bondgenoot verwachten ; ja , ik kunnen alhier hunn ' onderstand Ontvangen , en heen weer , te water en te landen , Wanneer zulks woord vereisen , gemakkelijk ondersteunen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1641.s.2	Vrouw Fama zullen de lof vinden wij door het landen doel dreunen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1641.s.3	zo wie wij hier mede kracht versterken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1641.s.4	Al wij vrezen Voor Alvaas haten , door hij bannen zijn wezen , En het Vaderland bemindt , zullen zien , op die gerucht , begeven aan deze oord en zijn dwang ontvluchten : Dus woord wij dagelijks ver meerdering vinden macht , vinden helper en vinden goed , blyhartig , toebrengen .	Emotion_Hatred_Love
rivi001vero01_01.TEI.2.text.body.div.div.sp.1641.s.5	mare zo wie deze plaatsen verbranden of bederven , Dan zullen wie altoos alles balling moet zwerven ; geren Burger zullen wij weer ontvangen in zijn Stad , woord eenmaal ons naam mede zulk een vlek bekladden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1667.s.1	Treslong begrijpen deze wel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1667.s.2	het waar al te snood misdrijven , een ongegrond vrezen zo laf gehoor te geven , die wij een gelegenheid vinden zulk een groots belang Ontslippen laten ; neen , wie moet , buit dwang , deze Eiland nog doen Stad begeven of verlaat : Zulk aarslen zij gewis wij Zeevolk en soldaat verflauwen doel in moede , en brengen wij in haten vinden ons Landgenoot : geren nederland onderzaat Die deze vertwijfeling en lafheid niet zij vloek .	Suspicion_Fear_Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.div.sp.1667.s.3	wie moet nu veeleer , mede al ijver , zoeken wij te bevestigen .	Emotion_Dedication
rivi001vero01_01.TEI.2.text.body.div.div.sp.1667.s.4	wie staan hier mede de voeden Op Hollands drempel vasten , indien wie mare , vol moede En heldendapperheid , deze voordeel kloek bewaren , hout hier doen teugelstreng , te gesel de barbaar , En onderstand vinden heen , die , hopen - en ademloos , doen helpen vinden ons kanten verliezen voor altoos , zo wie , nu wij het geluk alles in de mond komen lopen , deze voordeel mede de voeden verschopten .	Emotion_Hope
rivi001vero01_01.TEI.2.text.body.div.div.sp.1667.s.5	laten wij hoop , naar de Oranje vorst de kondschap zijn braden , die wij die Held terstond kloek moedig bij zullen staan ; geren aarsling hebben hij ooit zijn volk welzijn doel vergeten ; geren misslag vinden gewicht worden ooit die Prins geweer .	Emotion_Hope
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.1	Voor ik , ik hebben menigmaal bidden , slechts op het stranden , Een Graf , voor het koud gebeente , in het lief Vaderland Te vinden ; mare , o vreugde !	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.2	nu zullen het ik in doen wal vinden een die stellen zelf , na wensen , te beuren te val .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.3	komen laten wie doen veest versterken ; laten wie Niet vrees voor het wellen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.4	verkiezen nu ras , of gei alles bloodaard sterven wild , vinden wieden ik zullen verhaal : zijde , die de trots wanen vinden Alva deedden dalen , Wanneer , mede zijn burger willen , hebben Eiland vinden de Briel , En deze schoon Stad , in hun hand vallen , Waardoor hebben Slot de land mede een vallen in zij hand , Versmeetten roeke loods zijn ' Sleutel , door het verbranden de Stad , weer burgerij , te Geuzen helpen reden , storten zijn in het bederven vinden die zijde bijstand deedt .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.5	uiten zulk een over maat vinden bloheid zullen ik horen , die groot overmaat vinden opspraak woord baren .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.6	Of wild gei die ik zullen vermelden tot u ' lof : Twee honderd vijftig manna , door list vinden het Spaansche Hof , hebben Britsche rijk ontzeggen , mede vierent wintig schip , zijn aanlanden te Brielle en aanzien het aangegreepen , Ja het Eiland en zijn Stad niet enkel overheerd , mare in het vervolgen vinden daar de aanval afkeren vinden Hertog Ferdinand en al zijn medestander ; die toomeloozen hopen vinden In - en buitenlander , verliezen moede en kracht ; daar doen eer en yverzucht In het edel nederland volk , door het loffelijk gerucht vinden Lumeys heldendaen , zo wonderbaar herleefdden , die , door zij braaf bedrijf , doen Kastiljaanen beefdden .	Fear_Honor_Emotion_BodilyProcess_Dedication
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.7	Aldus hebben vander Mark die hoeksteen vinden hebben landen vestigen , in de Briel , waarop de vrijen hand , Door Nassauws vlijt bewegen , hebben Staatsgebouw volmaaktte , Waarin een ' vrijen Staataltoos voor het wel zijn waaktte , En nog blijven wakend , voor het vrye Nederland , Ja daar doen vrijheid zelf bestieren de staat hand En haare woonplaats hout ; terwijl doen Oranje brand Aan tak vinden die Stam , voor allerhande schade vinden het een en ander Kruis en hinderende zinnen , doen maag beschaduuwde en altoos beschutten kennen ' !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1711.s.8	wij zij , om naar zijn ' dood dus eeuwiglyk te leven , Niet duizendmaal voor doen eer die daad het leevengeeven !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1716.s.1	mare wie zijn veel te zwak , te weinig in getal , Tot hebben ver ligen vinden Eiland , Stad en waal .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1720.s.1	doen burger zullen wij voorzeker bijstand bieden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1724.s.1	ik kunnen zien niet rusten vertrouwen op die lied .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1729.s.1	zo slechts een delen vinden heen vrijwillig medewerkt , zieden wie in weinig tijd de muur genoeg versterken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1734.s.1	Hoe karn wie vinden hier doen Spaansche Legerbenden Die Alva en Bossu wij op de hals zullen zenden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1742.s.1	wie , die doen menigte de spanjaard nimmermeer Ontzagen , zullen nu , ontbloten vinden schaamte en eer , In een bemuurde Stad , die saamgeraapte macht Ontwyken , en zij komst niet moedig durven wachten !	Honor_Emotion_Awe
rivi001vero01_01.TEI.2.text.body.div.div.sp.1746.s.1	wij harden hebben nooit voorheen die laf vrezen voeden .	Fear_Emotion_BodyPart
rivi001vero01_01.TEI.2.text.body.div.div.sp.1760.s.1	die nooit zij groots getal vermindere ons moede .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1760.s.2	wie wil nu niet meer zij vluchteling tal , mare toeslaan in de hopen en hij te aard vel .	Emotion_Hope
rivi001vero01_01.TEI.2.text.body.div.div.sp.1760.s.3	die elk hebben Vaderland strekken te Aristides , Timoleon , Tyrteus , Locrens , Themistokles , te Cocles , Scevola en Fabius , weer daad Huns vijand overmacht verachtten en versmaadden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1760.s.4	Daar nu Miltiades voor ons Vlootvoogdt zwichten , En Brutus zwaar deugd oranje wegen te liggen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1760.s.5	moeten geren vinden wij voor Griek - of rooms held wijken , mare ook zij oude roemen voor d ' ons doel bezwijken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1763.s.1	Vander Mark , naar enig bedenking , tegen doen zijn , tot nog mede dragen vinden de huid bezig zijn wezen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.1	die ik doen buiten niet meer in ons schip lae ; mare , mede de Burger , Muur en Poort verstrerken gade .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.2	Ik zijn mede uw troosten hebben uiterst af te wachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.3	Op uw stemmen Treslong , zullen het volk zijn ' pligtbetrachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.4	geven te versterking lassen daar gei zulks dienstig achten En stellen zijn het nodigen zijn behoorelyke wachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.5	gei , Entes , laateen delen vinden het grof kanon ontschepen , En daadlyk op de waal , door ons Zeelien , sleep .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.6	zieden wie inmiddels toen zijn doen opening allerbest de vijand nuttigen schijnen te nadring deezer veest , Om die , mede nodigen tuigen , te stop en te sluiten , Op die wie , dus dekken , de aanloop mogen stuiten , waarmee hij wij welhaast op het felst bestormen zullen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1791.s.7	Ik moeten zijn Hoogheid straks vinden deze gewenst geval Omstandig kondschap doel , door een ' getrouw bieden , Om zijn Doorluchtigheid tot ons helpen te node ; Op die die held alhier betree de eerst trappen , En voorts te zetel styg ' vinden het Stedehouderschap , mede Vorstelyker glans dan hij het voorheen bekleden , Eer Alva herwaarts komen en nederland kluister smeden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1767.s.1	edel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1767.s.2	matroos , en soldaat binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1773.s.1	Treslong , binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1777.s.1	Entes , binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1793.s.1	Einde de derde bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.head.1797.s.1	vieren bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.1801.s.1	Rochus , allee .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1824.s.1	Hoe werkzaam tonen wij volk zien nu aan al kanten !	None
rivi001vero01_01.TEI.2.text.body.div.sp.1824.s.2	doen Vesting woord sterken , en mede schudden beplanten ; Op die doen tirannie voor zij hebben hoofd mogen stoten , woord ieder openen wegge , te naadring , afgeslooten , vullen en toestoppen mede ton , die , vol aarde ' storten en instampen , hier zijn byeen vergaren ; Waartoe de eigenaar zijn vatten werken zelf ontleedigt En aanbiedt , op die Brielle aldus mogen zijn verdeedigd , Ja zijn vatten zelf , te plaatsen de vulling dragen Of aanrollen , en het verliezen daarvan veelmin beklagen , Dan zien gelukkig achten vinden het zijn wat geven te besteden vinden hebben landen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1824.s.3	doen vrouw , aangedreeven Door liefde tot de Prins , zieden wie zij schortekleen ontknopen , en , mede drift , verslentren ondereen , Om vinden doen ontweefde draen vervolgens lont te draaien ; ik zien de grond mede schroot vinden ijzer werken bezaaijen , En het buskruit brengen ik ook vinden al zijden aan , Om , alles doen Spanjaard komen , hebben schietgeweer te laen .	Emotion_BodilyProcess_Love_Dedication
rivi001vero01_01.TEI.2.text.body.div.sp.1824.s.4	Dus hebben graven vander Mark geren rijden vinden te klagen , die zien doen burgerij niet yvrig hebben gedragen ; wennen zij oranje deugd in het harden schrijven staan , En nooit dan door de dood uiten zij gedachte gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1827.s.1	Treslong , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1830.s.1	Rochus , Treslong tegen gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1835.s.1	Wat dunken uw nu mijnheer , vinden ons stedeling ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1835.s.2	Of zien gei nu niet klaar die ik uw bij zullen spring Op zijn vijand nadering ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1835.s.3	daar heden Vrouw en manna , Voor uw en voor Lumey , rijden doel wat ieder kunnen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1840.s.1	wie zieden deze duidelijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1840.s.2	mare ik moeten uw nog iets vragen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1844.s.1	Wel wat , mijnheer ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1850.s.1	Wanneer doen Spanjaard op komen dag , Of dan door watervloed , geren groot hindernis , te aankomst deezer Stad , in het landen , te maken zijn ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1855.s.1	die kunnen ik zelf wel doel , en al binnenwegen Bederven alles ik willen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1859.s.1	gei zelf !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1864.s.1	zijn niet verliggen ; Ik weten daartoe de wegge .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1868.s.1	mare kunnen deze ras geschien ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1878.s.1	Ja , in een ogenblik .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1878.s.2	gei hebben mare te gebieden , En ik , zo het nodigen worden , hakken Nieuwlands Sluisken openen , zijn door het benedens dyks geheel zullen onder lopen , En hier hebben laag landen , in een waterplas verkeren , ongangbaar woord , door modder , slykendras ; Dus blijven doen hogen dijk dan enkel te betreden te naadring deezer veest .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1883.s.1	gade heen , verhaasten u schrede , En laten hebben water in .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1890.s.1	deze zijn alsnog te vragen : naar zijn vijand landing zelf hebben ik nog tijd genoeg , Om hij , het onverwagtsten spoedigst , te verrassen , En te bedremmelen in zo velen ' waterplas .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1895.s.1	Vander Mark , Treslong , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1898.s.1	Vander Mark , Treslong bij doen hand nemen , en mede hij te zijden treden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1914.s.1	Bossu , na het schijnen , voor wij en voor deze oord bevreesd , zijn , mede teen vaan volk , in aantocht rijden wezen , Om wij bij Rotterdam , of dorren , of Sluis , in het landden Te stuiten ; mogelijk hebben hij aan al schandden denken , die Brederode aan Maximiliaan , Weleer , in deze strijken , zo dikwerf hebben braden ; wan ons willen alhier hebben hij niet kunne weten , Daar wie door weer en winden zijn aan deze stranden smijten : Hoe het zijde , ik horen die hij vinden Utrecht op Schiedam trekken zijn , vinden zijn hij het nodigen Vaartuig nemen , En thans op Maaslandsluis rijden over zijn gevaar .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1914.s.2	Ik geven aan Koppestok bevel om deze meren , vinden Simonsz , Fokke en bruine , verzeld , straks naar te gaan ; gelijk zijde heden doel , en al gade slaan , In een snelzeilend jachten , die Voorne zijn om lopen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1917.s.1	Treslong , op Rochus wijzen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1923.s.1	wie kunne zeer velen goed vinden deze Burger hoop : hij zijn rechte Prinsgezind en een doorkundig manna , Die hier al het laag landen mede water vollen kunnen : doen gei slechts Nieuwlands dijk mede grof kanon bestrijken , En wie , wie zullen hier doen spanjaard af doel wijken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1926.s.1	Vander Mark , na Rochus gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1928.s.1	zullen gei wij zulk dienst bewijzen kunne ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1936.s.2	mijnheer , ik kunnen en zullen zulks doel , om doen ongenade die beul ook te ontgaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1936.s.3	Maarzoo ik , aan ons zijden , vinden uw verwerven mogen een weinig medelijden Voor ongelukkig , het wassen ik zeer aangenaam .	Joy_Emotion_Compassion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1941.s.1	zo het in ik macht staan , spreken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1947.s.1	Ik weten gei zijn bekwaam het moede willig Oorlogsvolk , op geestelijk persoon , Te teuglen in het woeden .	EmotionalAction_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.1953.s.1	Hoe , zij ik zelf verschonen Een haatelyk gespan , die , trosch en wreed vinden aard , wij overal vervolgen en dood en wond baard !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1957.s.1	sparen dan doen zulk slechts weer schuld niet zijn blijken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1981.s.1	zij schuld zijn algemeen : deze lijden geren tegenspreken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1981.s.2	naar Egmond en vinden Hoorn hebben leven zijn ontroven , hebben mijn ruiterij zweren , zien hebben hoofd , te denking aan doen wraken , gedurig kaal te schaar , Tot zijde wreken hebben hebben moord deezer heer ; En sedert aanzien zijde doen geestelijkheid geplaagd , Voor haare opstookery , knevelen en verjagen , zijn het mogelijk wassen , om het kwaad die deze bedrijf doen .	Emotion_Vindictiveness
