vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.1	gij die voor kroonengoud , en vorstelijcke band , Nu voeren de koperen helm , en mede u ' dapper hand vinden het Asiaensche staal doen vonk stuiven doen , En Simois vermengen , en verven mede brein en bloeden : ik zullen uw voorts doen reden , en oorzaak gaan verklaren , waarom ik t'ontyds dus de krijghsraed doen vergaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.2	doen Phrygiaen , die het heyr verspiedende bij nacht , vinden Diomedes hand zo vers zijn ombrengen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.3	( alles hij doen ronden doen hij komen verbaasd ontmoeten , En slepen hij dood en warm voor uw al voeren : daar gij hij liggen zien ) wassen mede een ' brief beladen , Dieme ' uit zijn boezem trek en iemand schijnen te raden Tot gruwelijk verraad .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.4	ik zullen uw laat horen hebben inhoud vinden deze blad , het welk vreemd klinct in ik oor .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.5	Neptunus waarde zode , die u grootvaders stad begunstigen waar gij mogen : doen letter vinden deze blad betuigen mijn gunst , waar door ik zijn genegen Te strekken over uw ik ' koninglijcken zege , die gij ontvangen hebben het jong toezenden gouden ik uit de spie verstaan : wie mond gij toevertrout het Geheymnis vinden uw harden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.6	ik hebben alree genieten doen vrucht vinden het bestand voor luttel tijd besluiten , En wachten op het uyterst vasten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.7	zijn ergens gul te koop Om gouden , zo spaer geren ' munten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.8	ik Priam leven op hopen ' daar zijn het geheym de briefs .	Emotion_Hope
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.9	wat dunken uw Griecxsche vorste ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1453.s.1	Verdelgse nul luno doch !	None
vond001pala01_01.TEI.2.text.body.div.sp.1453.s.2	die na wij leven dorsten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1457.s.1	Ontdeckse nul Hecate !	None
vond001pala01_01.TEI.2.text.body.div.sp.1457.s.2	die na de ondergang vinden ons tent staan .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1459.s.1	NES .	None
vond001pala01_01.TEI.2.text.body.div.sp.1462.s.1	Ontdeck doen waterslang Die schuilen in het groen gras .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1464.s.1	AI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1467.s.1	Saturnus brengen doen waarheid te lest een in het liggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1472.s.1	wij twijfelen aen doen klaarheid vinden het goddeloos verraad ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1476.s.1	ik twijfelen mede verlof , Die al trek kennen , en saus vinden hebben hof .	None
vond001pala01_01.TEI.2.text.body.div.sp.1479.s.1	Nu Ajax geven gehoor , en wezen niet ongeregeld .	None
vond001pala01_01.TEI.2.text.body.div.sp.1482.s.1	zijn het koning Priams markt ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.1	doen brief wassen toegezegelt mede zijn konings eigen ring : doch het wapen zijn mislukken In het zeeglen , en zijn hand in het schrijven wat drukken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.2	mistrouwen gij aen ik woerd , geloven uw eygene oog .	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.3	daar vader lezen de brief .	None
vond001pala01_01.TEI.2.text.body.div.sp.1495.s.1	Een ' dochter vinden doen logen , Een vondeling vinden het hof , een bastaard vinden de nijd ' En overjaerden wrok , het uytbraecxsel vinden doen spijt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1498.s.1	het Schrift zwijmen naar Priams hand , zo doen doen druk vinden het wapen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1499.s.1	AJAX .	None
vond001pala01_01.TEI.2.text.body.div.sp.1502.s.1	zo paeytme het slechten volk : zo leydmen kind slaap , mare Ajax nimmermeer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1506.s.1	het zijde hoemen het stuc verschonen , doen koning Nauplius zijn God Neptunus zode .	None
vond001pala01_01.TEI.2.text.body.div.sp.1509.s.1	ja Palamedes zijn het ik hout ' et uw te goed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1513.s.1	Neptunus eigen stad zijn Trojens hoog vasten : Die dragen d'Eubeer gul , zo doen zijn heyloos zaad .	None
vond001pala01_01.TEI.2.text.body.div.sp.1517.s.1	ja Palamedes zijn het , die brouwen wij deze verraad , Die booswicht moeten vinden kunnen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1520.s.1	beschutten wij goed god .	None
vond001pala01_01.TEI.2.text.body.div.sp.1524.s.1	die treffen Laomedon .	None
vond001pala01_01.TEI.2.text.body.div.sp.1528.s.1	Of eer in tijd vlieden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1532.s.1	die ongeluk en zijde wij nimmermeer bescheert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1538.s.1	Hier gelden geren loochenen , het zijde hoemen het wenden of keren , het zijn Priams tekening .	None
vond001pala01_01.TEI.2.text.body.div.sp.1538.s.2	wie twyfflen nu niet lang , Of Palamedes goed vinden deze boosheid zwanger .	None
vond001pala01_01.TEI.2.text.body.div.sp.1542.s.1	die heeftmen langen gefocht , en onder het volk gestroyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1542.s.2	En nu mede deze brief hebben schelmstuck optooien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1549.s.1	gij heer zien wel toen , het zijn zorgelijk zaak , hij vangen wat wightigs aen , die tot een ' schelm zullen maken , Een ' wel baren vorst , een ' manna vinden groots bewind : Dies wensen ik die geren ' wraak uw oog en verblinden ' .	Emotion_BodyPart_BodilyProcess_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1549.s.2	hebben stuk mede rijden wikken , en vellen geren onrijp oordelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1552.s.1	daar d'hoogheyd worden kwetsen , hebben niemand enig voordeel .	None
vond001pala01_01.TEI.2.text.body.div.sp.1556.s.1	Of d'hoogheyd zijn kwetsen die hand hier in geschil .	None
vond001pala01_01.TEI.2.text.body.div.sp.1559.s.1	hij markt doen misdaad liggen , diese ander merken willen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1562.s.1	Die iemand hatigh zijn zeer liggen een ' brief kunnen dicht .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.1565.s.1	Nabootsen hand en markt , d'onnooselheyd betighten ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1568.s.1	die zijn wel eer gebeuren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1574.s.1	alwaar hebben nooit geschieden ' zo derfmen het nu bestaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1578.s.1	Die het leger hebben verspieden , mede brief africhten , hier voor uw liggen verklaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1581.s.1	Indien hij levend waar ik mogen hij ondervragen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1584.s.1	doen dood melden doen zaak , hebben zijn een Phrygiaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1587.s.1	Een slaaf , die kortelings in het oorlog waard vaan ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1591.s.1	zo soumen al wel in twijfel kunnen trek .	None
vond001pala01_01.TEI.2.text.body.div.sp.1594.s.1	zode soumen altijd wel de vrome nader bevlekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1597.s.1	Die mens wassen langen verdenken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1601.s.1	zode wassen doen vals tong de groot logenaers .	None
vond001pala01_01.TEI.2.text.body.div.sp.1607.s.1	gij Ajax zijn te jong , Om Agamemnons mond zo korten te heet liegen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1607.s.2	Of lusten ' et uw , zode wild uw zelf niet bedrieghen : mare die u degen pas op het koninglijcke staal ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1610.s.1	zo doen hij .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.1	hout gemak gij heer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.2	laat doen schaal vinden waar billickheyd beslechten d'ongelijcken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.3	Hoe kunnen u hevig zwaarte een wettig vonnissen strijken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.4	Die het rechte hebben op zijn ' zijde vaak sneuvelen door hebben spits .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.5	bezadigd brein uw schey ': die recht zijn te bits .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.6	hebben mest zijde op Dardans meinedig zaad verbitterd : Dryf Hector op doen vluchten , alles het bliksemen schitteren In d'appel zijner oog , velen eer dan het God geheng ' die d'eene bondgenoot hebben bloeden de ander plengen ' , En het Dorisch leger rijden zijn zellefs ingewand , zijn wapen vermeng , verwarr ' zijn rechterhanden .	Fear_Emotion_EmotionalAction_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.7	Wat hebben doen vijand stof te lachen in wij ' dood .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.8	Hoe zij hij vieren en toorts in wij gedeelde vlieden Dan slinger mede macht , en mede bebloede sabel het Gedraeyde kennep gaan doorhouwen vinden wij kabel , En zenden branden doen kiel zeewaert in : In het aanzien vinden doen stad , en Priaems hofgesin .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.9	het Geschil aen ik verblijven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.10	vertrouwd ik ' silverhayren , En grauw ouderdom .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.11	die velen zijn wedervaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1637.s.1	Al waar het ik eigen bloeden zo willen ik datmen straffen doen stichter vinden het verraad .	None
vond001pala01_01.TEI.2.text.body.div.sp.1642.s.1	ik die een openen graf heen levendig verswelgh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1647.s.1	wie stem het all ' te saemen ; mare waar doen boosheid schuilen schijnen donker om te raam .	None
vond001pala01_01.TEI.2.text.body.div.sp.1650.s.1	doen goddeloos die nemen doen schemering tot zijn wiek .	None
vond001pala01_01.TEI.2.text.body.div.sp.1653.s.1	ik stell'dan het oordelen uit tot die hebben ieder blijk .	None
vond001pala01_01.TEI.2.text.body.div.sp.1656.s.1	ontberen deze schijn en blijk ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1660.s.1	hebben zijn te twyffelachtigh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.1	Wat eyscht gij voor bewijzen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.2	hoe bondig ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.3	of hoe krachtig ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1666.s.1	die klaar en helder liggen gelijk doen middag doen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1669.s.1	hij kwetsen het gemeen goed die boos feit voeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1672.s.1	ik voe niet quaeds , mare vrezen ontschuldig bloeden te storten	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1675.s.1	gij vrezen niet een de staat door slapheyd te verkorten .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1679.s.1	doen recht handelen wijze , die velen quaeddoenders sparen , Om een onnozel ziel te vrijen vinden hebben zwaard .	None
vond001pala01_01.TEI.2.text.body.div.sp.1683.s.1	zo kunnen geren rijf bestaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.1	zo kunnen hebben eeuwig duren gerechtigheid die botten doen koninglijcke muur ; daar onrecht en wellen palaysen ommeruckt ; vinden elk druppel bloeds de geens dieme ' onderdrukken , En doemen door het schendig staal , ontspruyte duysend wrocke , Die barsten uit tot wraak ; wie zwaard een uittrekken keren langzaam in zijn ' schede .	Emotion_BodilyProcess_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.2	die heilig bloeden vergieten tergen Nemesis .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.3	zien toen , en roeren deze Hydra niet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.4	het zijn liggen een hoofd vellen in reuckeloozen toorn ; mare kunst zijn het , lid hier op , de wortel gans te smoren , Wanneer de hals in plaats vinden een veel hoofd telen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.1	ik oordelen vinden hebben u hier en niet verschelen , ik kniel voor Themis troon , ik ' daad die betuigen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.2	het waar dolligheyd hebben rechte uit haten en nijd te buigen .	Emotion_Hatred_Anger
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.3	ik zullen niet wetteloos bestaan door onbescheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.4	wij tegen het algemeen , en d'oppermajesteyt zien zelf schandelijk , noch eerloos hebben vergrijpen , Die lopen geren lijf gevaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.1709.s.1	Och waar nooit ik schip verzeilen vinden Salamin in d'haven Tenedos .	None
vond001pala01_01.TEI.2.text.body.div.sp.1713.s.1	Gevaltet uw zo maken uw anckertouwen lossen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1713.s.2	te steken de Grajen niet op teen of twaalf kiel .	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.1	mare doel twee Ajaxen het gans leger tegenhielen , En redden uw vlieden : daar het al scheiden overmannen , daar Hectors fakkel rijden doen zeil steken aen branden ; doel stackter nauw genoeg .	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.2	hoe of deze uit willen val ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.3	ik vader Telamon wassen d'eerste die doen wal vinden Trojen eer beklimmen , en Hercles stijven mede kracht : Een vinden doen vyftigh ook , die om doen gild vacht , Door het klinken gedruis de Cyaneesche rots , naar Colchos toog , en de zeevooghd gaan trotzen ; ik volgend de aard vinden een ' zo braaf held , hebben Helles vloed kruisen , en hier in het vlek veld spannen mijn tent , en nemen hebben leed te hart vinden Menelaus , en het verongelijckte Sparten ; diets ik besolding nu , diets Ajax al uw eer ; Wat drael ik , ik hebben verlof , ik guntme die ik kaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.1	Vw vader Telamon , doen terger de Trojaenen ; wassen oorzaak vinden velen bloeds , en veeler griek traan , wassen oorzaak die doen vlieden de Phrygen overwoey ; die Alexander in vergelding zijn mooi , ik broeder bedgenoot , en dierbaar pand vervoeren , En door zijn ' roven Europe , en Asien beroerd .	BodyPart_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.2	Wat uw reis belangen , gij stoffen al t'onbedocht , alles of aen uw allee hangen d'overzeesche tocht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.3	Neen , Ajax , staken die roemen , en wiltet ik vergeven , Om een Ajax waar doen tocht niet nablijven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.1	gij heer waar toen dienen deze onderling verwijten ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.2	hebben baard afkeerigheyd alles d'een de ander bijten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.3	ik bidden de oppervorst hij willen zijn ' gramschap sussen , En niet de oorlooghsmoed vinden deze kryghsheld ' blussen : wie braaf daad volgen onsterffelijcke nader .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.4	doen mond een yegelijcx goed zwanger vinden zijn ' faam .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.5	Een veldheer die mede honen zijn hopman lonen na'et stryen , zijn eigen heirkracht goed doen seenwen stuk snijden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.1	daar liggen het vervloekt geweer , doen god straf ik Indien ik immer god de degen op ik zijde ' .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.2	geren held behalen hier lof , hoe dapper , hoe rechtschapen , Hoe vrome hij zitten te paren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.3	die zien een ander wapen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.4	ik die geren dwingeland , noch geren vermetel hoofd : die niets prijswaerdigh achten alles het geren zijn hersenen loven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1764.s.1	Nu Ajax tomen de moede , beweren u ' zaak mede rijden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1768.s.1	wie zijn deze langen gewend , het zijn d'oude korselheden , goed die hij eest bedaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1775.s.1	het zijn heftig gekrackeelt , hebben drucktme doen gemoed te zieden aldus verdelen , En wensen die die twisten beslechten waar en bevredigen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1778.s.1	ik wensen hebben desgelijcx .	None
vond001pala01_01.TEI.2.text.body.div.sp.1783.s.1	alles elk hebben zijn verdedigen , En trekken zijn streng naar macht , zijn het wild en ongezien .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1784.s.1	AAG .	None
vond001pala01_01.TEI.2.text.body.div.sp.1787.s.1	Wat Agamemnon drijven die moeten voor al geschien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1787.s.2	het betamen de minder voor meerdre macht te duiken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1790.s.1	Een Koning kunnen zeer liggen d'ontfange macht misbruik .	None
vond001pala01_01.TEI.2.text.body.div.sp.1793.s.1	die oordelen staat aen hij .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.1	En ook aen zijn ' menen , vinden wij hij zijn macht , en heerlijckheyd ontlenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.2	doen Koning zijn om het volk wijze die zich weten te vroeg naar zijn tijd gelegenheid , en ieder kunnen vernoegen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.3	Insonderheyd die zijn vinden zijn ' geheymen raad , En lid vinden hebben rijk , en pijler vinden de staat .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.4	Vwe hooogheyd al ramp , en ongeluk verhoeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1810.s.1	ik spreker zo velen in , ik hout ' et ik te goed : die elk de vorst verschonen , en kwaad vermoeden schorten , zo langen naar luiden de briefs geren gouden vinden worden omtrent doen legerplaats vinden Palamedes tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.1810.s.2	ik ondersoecke hebben stuk , en staken ' deze dreigement .	None
vond001pala01_01.TEI.2.text.body.div.sp.1813.s.1	Die raad ik wel gevallen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1816.s.1	Wat zeydter Nestor vinden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1820.s.1	oprecht munten doen proeven gewillig leiden kunnen , zo zullen het navorsen ook geren eerlijk manna beschamen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1823.s.1	wij nemen die lassen op zich ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1826.s.1	uw beide zullen het betamen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1829.s.1	hebben waar wij aengenaemst , indien hebben ander doen ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1832.s.1	volbrengen gij ik bevel : verrichten deze mede uw twee .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1837.s.1	CALCHES .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.1	ONsterffelijcke god , weer overgroot vermogen u ' priesterschap beschermen , alles d'appel uw oog : Die uit u ' stoel daelt , beweven mede een ' wolk , En handhaven u ' menen , u eer ophoudend volk , En waarde speelgenoots : die over hun wade doen zoom vinden zij kleden , en mantel laat zwaaien : weer langgebaerde kin vinden haar hand vermast weer winckbrau en gebaar niet lochent , hoe zij passen Een wetteloos macht : die prat op vorstenbanden , En keyfers kronen treden : weer hoed breedte vinden rand , buigen vinden te zijde ' , voor spits en achter spits , Beschaduwen het gelaat , daar het liefelijk , en bits zien in hebben statig mengen , tot styving vinden gebod , En sielentuchtiging : ontsterffelijcke god , Die ons deemoed hebben heffen uit hebben stof Op uw tempeltroon : nul god , uw zijde lof , die gij uw eer wreken , en straftse dievermetel opdragen het kerckenrecht de weereldlijcken zetel : Die al te zeker staan op het slibberig en steil , En schroef het heiligdom te dienst vinden burgerheyl .	Honor_Emotion_EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.2	die Palamedes wij nu muylbande , en tot spotten maken het gezag de tempelier , doen zekerheid de godsspraak : die hij op het outer nu zijn ' nieuw gruwel zetten , En wuft , en onbesuisd ons outerkleen besmetten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.3	Nu zullen hij lederen wat hebben in hebben dus t'ontyde zijn ' vinger te slaan aen het priesterlijk gewijd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.4	wie staan mede god in ontbreeckelijck verbinden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.5	Al wij wij weerspreken , die weerspreken god mond .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.6	wie zijn afdrucksels god , onsterflijckheyds gezant .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.7	wie zijn hullen , zalven tot Iupiters trawant , En voer zijn ' livrei , en maken zijn stoot , En door ons hayligheyd ik godheid spreken moeten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.8	Wat wereldlijk macht wij stout durven tegenwroeten , die zetel zijgen , en staat op waggelen voeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.9	ons wenken blicxems zijn , en donder ieder woord .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.10	wie zijn een muur om het rijk , doen sleutel vinden stadspoort , doen fackels om een landen in licht branden te stillen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.11	Gezart wie geven aen d'uytbraecxselen de hel , En vloek vrijen tomen : en geren Monarch zo gauw zijn heyr brengen op doen been , alles wie hebben woest grauw .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.12	daar komen Eurypilus .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.13	wel zoon , ik ' zin hangen In twyfiel tussen vrezen , en hartelijk verlangen .	Fear_Emotion_BodyPart_Desire
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.14	Hoe zijn hebben speld vergaan ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.15	zijn het boschswijn een gejaegt ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1889.s.1	nul eer de priesterdom , ik hebben te rechte gedaeght , de vijand ons naems : naar datmen opgraven hebben in zijn ' legertent d'ontfange Troische gaaf .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1891.s.1	CAL .	None
vond001pala01_01.TEI.2.text.body.div.sp.1896.s.1	ik harden vinden blijdschap zwellen , en geven de geest meer bot : ik ingewand ontspringen nu een die vijand god te lest zijn betrappen door d'Ithakoische strikken .	Joy_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1896.s.2	hebben noodlot deze bestuurt , geren menselijk beschikken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1901.s.1	mare of die schalk nog deze lijfsgevaer ontspringen , Door zijn ervaren brein , en slibbergladde tong ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.1	doen zaak en lijden geren ' lassen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.2	wie zulle het zo bestellen die zijn dood vijand , en hater het oordelen vel : naar datmen het oud , en langvergeten uit de hoek halen hebben , en doorsocht wel nauw sijns leven boek .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.3	vinden ding die hij zijn ontschieten door doen jaar : En waar doen logen gelden , daar zalm waarheid sparen : En geven het valscheen schijn vinden oprichten , en een ' verf vinden bloedbad , vinden verraad , vinden lijden en landbederf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.4	zijn vonnissen boven aen zullen in hebben voorhoofd voer : Hoe die hij driest bestaan hebben haylige aen te roer , En brak mede een band zijn rijcx band altemael : hebben heyr verwarrende mede een ' gedeelde taal : Beswangrende een gedrocht , en Hydra vinden geschil , vinden node , gebeurlijckheyd , vinden moet , en vinden wil : En eisen in deze geschrei , die slechts zijn bovensang allee zullen zijn horen , door kerk , en priester dwang : ja weten geven , waar naar die d'outerknechten , Een hemels Godvryvolck , zien zullen moet recht : En stijven hebben onderscheyd vinden nodig , en vinden nut : En strekken door gezag de nieuwigheid stutten : Afslaende een wettig verzameling vinden Paepen : En brengen om zijn ' tent vreemd krijgsvolck in doen wapen , zelf buit zijn veldheer lassen : en duizend ding meer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.5	mare gaan binden , wan doen raad vergaderen weer .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.1	nul Nacht , wie donker kleden beschaduwen al mens , zo wel die heerlijk zijn , alles die om noodruft wensen : Wat boosheid decktghe doch mede dik duisternis , wie liggen of bedrog u ' naerheyd gunstig zijn ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.2	ik vordertme in de raad , hoe durven ik ik vertrouwen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.3	hebben zijn op ik munten , daar zijn wat quaeds brouwen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.4	ik mompelen allerleyds : ik stroyt een vals gerucht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.5	ik ' vriend zijn bezorgd , ik raedme die ik vlucht .	Fear_Worry_Emotion_EmotionalAction
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.6	Hoe kunnen een vrome gemoed , gij kentet Hemellieden , die niets en zijn bewust , verstaan tot eerloos vlijen !	Fear_EmotionalAction_Shame
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.7	Hoe kunnen een edel harden verzwelgen , datmen segg ': Die druipen voor schelm door voor Trojen in het beleg , nog ' dor gedaghvaert niet zijn ' zaak voor rechte bepleiten : Vermits hij wassen berucht vinden schandelijk feit .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.8	Neen Palamedes , blijven , en houden nog lief stelen : Al schietmen pijl uit dopen in bitter gal , zo brandmerk door u ' vluchten , uit ijdel vervaernis , doen glorie niet uw naems , uw zelf tot beswaernis , u ' maag tot verwijten , u ' vijand tot vreugde ': mare beuren u voorhoofd op , en tonen die waar deugd ' , alles d'eedle palmboom , geren ' lassen te dragen weigeren , En tegen het zwaar gewicht de lastering steigeren .	Joy_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.9	hebben onverbreeckelijck rechte vinden het oud Grieckenland , d'Handvesten ooit schatten een die en heilig pand , doen gild vrijheid , die vasten treuren , en slaan aen het kwijnen , ik reis aen reis dus langen , hebben tegen het ondermijnen de boos voorgestreen : ik blijven haar schutsheer nog , En voorspraak tegen list , en uitmaken bedrog , zo langen een ' druppel bloeds zullen uit ik ' ader leken : zo langen ik ' zuiver tong kunnen zuiver waarheid spreken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.10	doen macht ontbreecktme niet om deze gevaar t'ontgaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.11	Jupijns manhafte zoon , zijn neef doen Peleaen Erbieden zich om strijden , mede hoog en haylige eed , Te karn zijn veldheer grim en ongerechtigheid .	Emotion_Anger_Spitefulness
