stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin vinden Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.6	storten ik dan het onheil neder , durven hij zijn ' plicht vergeten , Ik zullen mede roemen vergaan , en mede een vrijen weten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.1	gei minnen , en voeren die talen !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.2	die glorieryk besluiten , Waardoor ik liefde groeien , terwijl het wij huwelijk stuiten , hebben Amstels wijze raden gewis uw ingeven .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.4	u hoog deugd zijn moeilijk naar te streven , En storten ik blaken harden in eindeloozen druk , naar het vleien denkbeeld vinden ik inbeelden geluk .	Emotion_Happiness_BodyPart_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.5	Ik zien , mevrouw , ik zien wat deugd wij betamen : u minnen tot Lodewyk behoeven gij uw nooit te schamen : Ik willen , terwijl u plicht hebben huwen wij ontzeggen , u liefde waardig zijn ; ik staven een wettig rechte ; ik Verzaak ik hoogst geluk , eer het uw gedijen ' tot schande , En doen voor Adaas heil doen erbarmlykste offerande .	Emotion_Happiness_Love_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.6	Vaarwel in eeuwigheid ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.7	wie zieden elkaer nooit weer ; gei zullen u ' bruidegom vergeten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.1	Neen , mijnheer : ik afgemat geest , hoeveel het ik rusten zullen krenken , willen onophoudelijk uw eedle minnen herdenken .	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.2	het zijn nodigen , tot ik ' troosten , die gei ik zwakheid weten , Opdat ik bruigom nooit zijn droef bruid vergeten ' !..	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.3	ik moer naderen wij .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.4	laten Ada nu aanschouwen Hoe veilig zien zij harden op het uw mogen betrouwen .	BodyPart_Trust
stee033adag01_01.TEI.2.text.body.div.div.stage.1075.s.1	Adelheide , Ada , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1085.s.1	Mevrouw , zien hier een blijk vinden waar dankbaarheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1085.s.2	Een minnaar , door u gul in al zijn hopen vleien , bij wieden ik bede meer dan liefde en heerszucht baat , doen afstand vinden ik ' echt , en vinden ik hoog staat ; zijn edelmoedig harden kiezen , deelende in ik ' druk , doen glorie vinden zijn bruid voor het zorgelijk echtgeluk : het zijn hij bekennen wat ramp uiten ons trouwen kunnen spruit .	Emotion_Happiness_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1089.s.1	Hoe weten u streng deugd ik lief drift te sluiten !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.1	zijn het mogelijk , Lodewyk , indien gei waarlijk minnen , die uw , niet laf vinden aard , een ijdel vrezen verblinden ?	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.2	scheppen moede ; ontvang een bruid , uw door ik gul beschoren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.3	uiten u ' besluiten echt worden al wij heil baren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.4	geloven ik , tot bewijs vinden uw erkentenis ; Of denken die Lodewyk gene Ada waardig zijn .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.2	zij ik moede , vorstin , uiten laf vrezen bezwijken ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.3	zijn moeten , tot Adaas heil , ik trouwen liefde blijk ?	Emotion_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.4	Hoe voeden u bits verwijten ik fel minnepyn !	Emotion_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.5	moeten ik door huwlyksdwang ik schoon onwaardig zijn ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.7	ik willen ik bruid op doen eelste wijze ' beminnen .	EmotionalAction_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1111.s.1	volharden , o Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1111.s.2	uzelven te overwinnen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.1	Misleide minnaar !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.2	vrezen doen gramschap vinden een vrouw , Die , schonen zij in het heimlyk treuren , in het openbaar de rouw In het prachtig feestgewaad uiten nooddwang moeten verbergen .	Emotion_EmotionalAction_Sadness_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.3	gei zullen ik zuchten harden niet langen door weigring tergen .	BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.4	Een ander bruidegom , bezielen mede eedler minnen , zullen het waardig voorwerp zijn ...	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1124.s.1	Wat zeggen gei ?..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1124.s.2	Ach , vorstin !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1126.s.1	Ada ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.1	uw Ada zullen zij ziel mede ontrouw nooit besmetten : ik plicht , mijn eer , u mui zullen het huwen ik beletten .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.2	Ontaarde moer , die ik hartewee vergroten , ik tot een misdrijf nopen , ik gewis verderf besluiten !	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.3	u wreedheid wettigen ik het verplichten ontzag te breken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.4	Ik willen in het vrijen gemoed geren strafbre liefde kweken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1128.s.1	tegen Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1139.s.1	vermetel !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1139.s.2	welk een talen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.1	vergeven ik die , mevrouw : ik ongelukkig harden zijn aan zijn ' plicht getrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.3	dwing ik lang niet mede weerzin uw te honen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.4	Ik willen , alles dochter , uw gehoorzaamheid betonen : mare weigeren ik niet meer u ' moederlijk troosten , En eisen gene enveldaad vinden u ellendig kroos .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.5	Vaarwel , ik bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.6	Ik zullen die naam uw geven , Zolang gei waardig zijn in echt mede ik te leven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.7	u droef bruid ontvlieden voor eeuwig u zichten .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1155.s.1	Voor eeuwig !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1155.s.2	Wreed besluiten !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1159.s.1	o Al te streng plicht !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1164.s.1	Hoe kunnen ik scheiden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1164.s.2	hoe mijn Ada eeuwig durven ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1168.s.1	gei moeten , o Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1168.s.2	deze op u harden verwerven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1172.s.1	o Weergaeloos verliezen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1176.s.1	o dodelijk ongeneugt ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1182.s.1	Vaarwel ; denken aan ik liefde .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1180.s.1	Ada ombelzende .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1186.s.1	Ik denken aan uw deugd .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1190.s.1	Adelheide , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1197.s.1	Betoon u schreijend kroos doen deernis vinden een moer ; horen Willems afgezant ; bevredigen Diedriks broeder .	Emotion_BodilyProcess_Compassion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1197.s.2	Beproef , mislukken hebben uw , beproef ik ' moede , vorstin ; En zien doen heldendaen de hopeloos minnen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.1	Verliefden !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.2	moeten gij om strijd , in weerwil uw hart , uiten haten tot u geluk , een teder moer tarten ?	Emotion_Happiness_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.3	Daar uw ik gul verenen , tot wanhopen overslaan ?	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.4	ik tergen mede verwijten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.5	ik nut zorgen vermaen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.6	gei nopen ik grimmigheid u wrevel drift te doemen ; En dwingen ik teffens uw , grootmoedig !	Emotion_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.7	te rome .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.8	beklagen , ik Hildegaard , beklagen zij ongeluk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.9	zagen gei die teder vaarwel ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.10	zagen gei hunn ' fel druk ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.11	En echter zieden wie heen , om smaad en schimp te weer , Op het hevig mingeweld doorluchtig triomferen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.12	zode hebben ik vruchteloos , op uw vreemd raden , de zwarte rouw verkeerd in het blinkend feestgewaad , Opdat ik het jeugdig harden de droevig Ada vleien .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.13	zij fierheid ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.14	mare die passen aan het kroos vinden Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.1	verbreken gei dan , mevrouw , u loffelijk staatsbesluit ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.2	verijdelen gei ik zorgen , die in doen jong bruid Een krachtig liefdevuur behendig hebben ontsteken ?	BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.3	zien , zien Oostvrieslands graven eerlang op het felst wreken Door uw vriend dood , en in u vorstelijk bloeden .	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.4	betonen gei Ada dus een moederlijk gemoed ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.5	Verraad wij al niet door ijdel mededogen ; geven nooit aan Willems haten een dodelijk staatsvermogen ; voltrekken doen nut trouwen : u afstand zijn te laten ; ik weten u ' toeleggen .	Emotion_Hatred_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1240.s.1	sparen u ' vruchteloos raden : Ik weten wat ik betamen , en zullen het besluiten niet breken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1240.s.2	mare helpen ik Lodewyk in fel liefde ontsteken ; bewegen doen droef bruid te stem in zij ' echt ; vertonen zij al het geluk die zij worden toegezegd .	Emotion_Happiness_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1245.s.1	zijde spreken de afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1245.s.2	ik moeten die gesprek niet stuiten : ik Verzelde zij ; hij hebben geheim kunne uiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.1	getrouw , helen ik niets .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.2	doen bisschop , in het paleis rijden aankomen , sterk ' ik ' moederlijk eisen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.3	het Hardnekkig paren ontzie die geestelijke vader !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.4	ik zullen ik mede hij beraden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.5	kennen Adelheide nader ; zien of ik afstand doen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.6	Niets vallen ik ' moede te zwaard : deze harden winden nieuw kracht in het wassen landgevaar .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1256.s.1	Einde vinden hebben tweede bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.head.1260.s.1	Derde bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.1	Hoe doen een wreed minnen ik harden wanhopend ' blaken !	Emotion_BodyPart
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.2	Ik moeten ( o streng bevel ! ) al ik geluk verzaken .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.3	o Akelig paleis , waarheen ik juichen ' tijgen !	Joy_EmotionalAction
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.4	u vorstelijk feestsieraad zijn hatelijk in ik ogen ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.5	ellendig erfgravin !	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.6	hoe kunnen ik uw verlaat ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.7	gei zijn in hogen node ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.8	zullen uw ik bijzijn baat ?..	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.9	Ik willen hier wak voor u wettig eigendom ; Ik willen beletten , die een ander bruidegom ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.10	verwoed minnenyd !	Emotion_Envy_Love
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.11	vlieden , viie uiten ik gedachte ; Ik buigen voor Adaas willen .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.12	o wanhopen !	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.13	geven ik kracht .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.1	Verwinnaar vinden u harden !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.2	uw edelmoedigheid , vrezen vinden Adelheide , en door u bruid verbreiden , zullen uw , die meer bedoelen dan talryke onderdaan , ontwijfelbaar de wegge te eeuwig achten baan .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.3	volharden ; behoeden uzelv ' en u dreigen bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.4	doen bloem de adel barsten in eedle gramschap uiten , En willen , eer Ada hu ' na Adelheides weten , doen blind tirannie door nut wellen beletten .	Emotion_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.5	Die raadslag zijn nog niet aan Diedriks weeuw gemeld .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.6	zijde , die u liefde kennen , en velen betrouwen stellen In bisschop en soldaat , willen het opzetten nog voltrekken , Eer Dordrechts morrend volk een oproer kunnen verwekken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.1	Neen , Amstel ; neen : ik die ik nimmer vinden zij ' dwang : ik glorie triomferen op liefde en staatsbelang .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.2	Die zege staan ik die .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.3	Hoe Ada goed beveiligen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.5	Utrechts bisschop zelf , de kerkdienst toegeheiligd , verbitterd Adaas voogd , uiten wrok , door snood list ; Ontvonkt , uiten zelfbelang , hebben moordvuur vinden de twisten ; verdrukken graven Diedriks wezen , verharden een teder moer .	Emotion_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.6	wij zullen doen onnozelheid beschermen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1310.s.1	Diedriks broeder .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1314.s.1	graven Willem ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1320.s.1	Ja , mijnheer : hij gruwen vinden tirannie , En doelen grootmoedig op doen wettig voogdij : zijn afgezant hebben lassen voor Adaas heil te wak .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1324.s.1	o Wonder !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1324.s.2	pogen ik uw geren logen diets te manen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.1	graven Willems groot ziel , ontlasten vinden al haten , zijn Diedriks wenen kroos een wis toeverlaat : gei zullen zijn hoog deugd niet langen in twijfel trek : hij minnen zijn droef nicht .	Emotion_Hatred_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.2	Ik mogen niets meer ontdekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.3	tonen zelf de afgezant uw edelmoedigheid ; plegen raden mede Hugo ; steunen op zijn getrouw beleggen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.1	Die talen verbaasd ik .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.2	zullen graven Willem zij behoeden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.3	En zij ik oorzaak zijn vinden all ' zij tegenspoed ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.4	het Voogdyrecht schenden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.5	hij verraden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.6	Neen , mijnheer : ik minnen , op uw rusten , mistrouwen die held niet meer .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1344.s.1	wachten Hugo , die terstond hier zullen gehoor verbeiden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.1	Ach , Ada !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.2	u belang vereisen een eeuwig scheiden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.3	Te zucht , ver ' vinden uw , in doodelyken druk , zijn al wat ik hopen ...	Emotion_Hope_BodilyProcess_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.4	Erbarmelyk geluk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1355.s.1	doen bisschop naderen wij .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1360.s.1	Ik kennen zijn leus treek ; Ik schuwen hij .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1364.s.1	Vander Are , Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1366.s.1	Vander Are .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.1	Blyf , mijnheer ; vergunnen ik uw te spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.2	gei weigeren Adaas hand , in weerwil uw minnen , Op doen onbedacht bede die wenen gravin ; gei zijn grootmoedig in u drift te overheeren , mare overwegen niet wat die schoon meest kunnen deren .	Emotion_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.3	verdolen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.4	zagen gei niet waaruit zij weerstand sproot ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.5	zijde smoren zij wederliefde uiten smarten om zijn vader dood .	Emotion_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.6	zij harden stemmen in zij ' echt : zyzelf zullen uw bevel mede zij te heersen , in zij huwlyksmin te deel .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1381.s.1	stemmen Ada het echtverbond ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1381.s.2	o Neen ! het zijn ik bewust Hoe Adelheides willen zij droef ziel ontrust .	Fear_Worry_Emotion_BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1386.s.1	zij harden , zij minnend harden vinden all ' zijn ' troosten in het uw , En Hollands hoog node verplichten zij die zijde huwe .	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1394.s.1	In tegendeel , mijnheer , vereisen hebben landgevaar , die Hollands erfgravin mede Lodewyk niet paren ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1394.s.2	vergeven ik die ik pleiten voor Adaas veeg staat , Nu rijden een talryk delen de graaflyke onderzaten durven spreken voor hebben rechte de landvoogdye .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.1	Ik weten Hoe Dordrechts morrend volk ontzag en plicht vergeten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.3	zullen ik het graaflyk huis , na zij vloeken bedragen , Aan Willems oude haten en dol staatzucht waag ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.4	schenden zelf geren recht , gei , die voor doen recht pleiten : u wettig leenheer spreken ; betoon gehoorzaamheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1408.s.1	ik plicht zijn ik bekennen ; u recht zijn ik heilige .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1410.s.1	Vander Are ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1414.s.1	denken ; zode gei Willem vrezen , die ik u ' echt beveilig .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1421.s.1	zode Ada het huwen stemmen , zijn het enkel uiten ontzag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1421.s.2	Ik weten hoeveel een hoofd vinden Utrechts kerk vermogen Op doen onbedreven jeugd , op lichtverleide vrouw , Die op doen geestelijkheid zien bundeling betrouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1425.s.1	Wat lastring !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.1	Ach , mijnheer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.2	doen wanhopen spreken in ik : Die drift verstoore uw niet !	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.3	bedenken wat smarten ik lijden .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.4	Ik denken in eigendom een erfgravin te ontvangen : o ijdel hopen !	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.5	ik moeten die schoon , om zij belang , Voor eeuwig vlijen , jeugd en liefde weerstaan , Al bieden een moer zelf die waard bruid ik aan , Al pogen u wreed gezag doen zege ik te ontrukken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.6	o Gruwel !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.7	moeten ik ook graven Diedriks kroos verdrukken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.8	Hoe beven ik teder harden in het groeijend staatsgevaar de kwijnen vorstin !	Fear_BodyPart_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.9	wij , wij verdedigen zij ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1442.s.1	Indien doen node zij treeft , hebben zijn aan uw te wijdte .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1446.s.1	Aan ik ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1452.s.1	Aan uw allee , die , wanen uw te kwijten Voor Adaas oog belang , door het weigeren vinden zij hand Aan Willem tij verlenen ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1452.s.2	wij storen wij ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1456.s.1	doen afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1461.s.1	Vander Are , Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.1	het zijn voor het gemeen belang , mijnheer , een gunstig teken , die Hugo het achtbaar hoofd vinden Utrechts kerk mogen spreken , terwijl uw eigen eer , zowel alles Willems rechte , Gevaar lopen door het besluiten vinden Adaas vreemd echt .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.2	ik mompelen ( zij die talen in ik geloven verwekken ? ) die gei door het geestelijk kleden een misdrijf pogen te dekken ; doen vorstelijk wezen , uiten eerloos eigenbaat , vinden Diedriks laatst willen , ja vinden zij ' plicht ontslaat ; En wanen een wrekend volk door u gezag te stuiten .	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.3	gei weten wat ongeval uiten Adaas echt kunnen spruit , die kerklyke achtbaarheid in oproer niets vermogen , graven Willems treffend stalen nooit zwichten uiten blind ontzag , En die u helpen niet passen bij die vermetel huwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.4	tonen Dordrechts burgerij hoe doen echtdwang uw doen gruwen ; beletten , door u gezag , een schaadlyk trouwverbond ; En sluiten de lasteraar op het glorierykst de mond .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1487.s.1	u ijver voor mijn eer zij mogelijk ik bedragen , Indien ik nodigen denken bij uw om raden te vlaag .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1487.s.2	het zijn ik genoeg bekennen wat ik betamen , mijnheer ; En het lusten ik buit uw te zorg voor mijn eer .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.1	gei zullen , indien gei weten wat daad uw betamen , En zorgen voor uw eer , die bits tal uw schamen .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.2	Ik zien hoe Dordrechts volk , in zijn verwoed spijt , u listig eigenbaat rechtvaardig uw verwijten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.3	zullen gij altoos Willems wraken , gelijk weleer , ontvluchten ?	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1499.s.1	Mynheeren , voeden geren ' twisten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1505.s.1	o Jammerlyke vrucht vinden het heilloos trouwbesluit !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1505.s.2	Vorstin , hoe groeien u node !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.1	gei honen mijn achtbaarheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.2	u roekeloosheid zijn groots .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.3	die Willems afgezant zode stout een talen durven voer , Bewyst hoe Willem zelf gans Holland zij beroeren , Ja luisteren na beklag , natuurpligt , eer nog weten , Indien zijn aanslag niet voorzichtig worden beletten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.4	gei durven een heldenstuk ( o smaad ! ) een misdrijf noemen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.5	ik dingen na Adaas erve ; ik helpen zijn niet te doemen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1509.s.1	tegen Willem .	None
