meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	doen verloofd koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4359.s.1	Alarik , Heddewigh ; Fastarad aan een zijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.1	Daar staan doen Koningin , ik ' ghrootste vijandin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.2	mare hoe verdwaald ik ' tong vinden het spoor !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.4	het zijn zijde , die ik mede hart , en ziel , en zin , Ja meerder , dan ik eighenzelf beminne , En voor ik opperghoedt verkiezen .	Emotion_BodyPart_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.5	mare het zijn ook zijde , wie trotse , en onverzetb're zin Niet , dan door euv'le vadermoordt , Zijn te verwillighen tot zoet weederminne : of welk barsten , om vader kroon te winden , mede deze klink , moeten zijn doorboordt .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.6	Hoe schoorvoet ik hebben harden , nu het werken staan aan te vang , besluiten flus , mede zulk een spoed ; ik ' weiffelende ziel , blijven half weg hangen , En overwegen op nieuw , wat zij zullen lang hebben klein kwaad , en het ghrootste ghoedt .	BodyPart_BodilyProcess_Disgust
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.7	slaan ik mijn oog op het ghenot de koningin , het harden , door die blaakend schonen bekoordt , Daar heen held : mare deinzen te rug , alles het ghaat bezinnen , die die hooghwaerde schatten niet staan te winden , Dan door vervloekt vadermoordt .	Fear_Joy_BodyPart_BodilyProcess_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.8	wenden ik daarteeghens hebben gezicht naar vader kroon , Die flikkerblinkt , zode hal vinden ghloor ; die zijde ik ' ziel verlokken : mare , alles ik zij vertonen , Voor welk een hoofd zijde zijn beloven te loone , zijde vlieden zij ' ghlans , en schrikken ' er voor , Ach Vader !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.9	ach Mathilde !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.10	ach kroon !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.11	ach weederminne !	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.12	Hoe pijnen gij all ' ghelijk deze harden !	BodyPart_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.14	wij vinden uw zullen de ander verwinnen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.15	of banne ik uw te zaam liefst uiten ik ' zin ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.16	mare die zijn noch ondraaghb'rer smarten .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.17	Neen , neen : Hier moeten vinden uw een d'overhandt behouden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.18	wij zeeghepraalt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.19	doen Koningin , of Vader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.20	mijn liefde , oft zijn kroon ?	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.21	doen vrouw - of vadermoordt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.23	wat staan ik te schouw , En wat te kies , in ik ' zijn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.24	Brittanjes kroon moeten voor Mathildes liefde wijk .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.25	het Ghenot vinden die verghoode beeld wegen op doen scepter vinden all ' zijn weereldts koninkryken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.26	het moeten al doen vlag voor haare schoonheidt strijken , Wat ziel trekken , wat zin stelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.27	mare ook zijn het euv'ler , en verfoeijelyker zaak , Die wij gheteeldt hebben , en voeden , Te moord , en zien zode te Vaderbeul te maken ; Dan een ' , die schoonze wij het bloed in minnen doen blaken , Nochtans wij niet bestaan in het bloed .	BodyPart_BodilyProcess_Love_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.28	Ja , nu ik het overleg , mede rijp raden , en zin , dunken ik , doen Vadermoordt , in het kwaad , doen doodslag een vrouw velen verder t'overwinnen ; Dan het lieff'lijk minghenot de koningin , In het ghoedt , de Koninklyken staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.29	Ghewis , op zijn vader stoel , door vrouwemoordt , te stijgen , zijn vrijen een wenselijk ghoedt ; Dan , door een Vadermoordt , zijn lief weerliefd te verkryghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.30	En doetme in het een doen minnen de moed ontzyghen : vinden het ander ghruwt , en ghrilt ik het bloed .	Emotion_BodyPart_BodilyProcess_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.31	deze zijn klaar rijden , die ik tasten kunnen , en voelen begin dan werken , en streven ' er door ik ' handen , hoe zeer ik harden daar teeghen wroete , en woelen : Eer die doen minnen deez ' blaakende ijver koelen , En brengen ' ik weer vinden het recht spoor .	Emotion_BodyPart_BodilyProcess_Love_Disgust
meij001verl01_01.TEI.2.text.body.div.div.stage.4441.s.1	Alarik , deze zeggen hebben , vliegen , mede uitghetooghen zwoord , naar Heddewigh , die , doen vluchten nemen , om helpen roepen : doch echter vinden Alarik achterhaaldt , en treffen woord , eer Fastarad tussen beide kunnen komen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4444.s.1	Ach helpen !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.1	Rampzalighe , houden stand .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.2	zijn zijn u ' zin ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.3	hebben zijn u ' zuster .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4451.s.1	Wat ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4451.s.2	hebben zijn doen koningin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4455.s.1	Ik zijn te dood ghewondt ; helaas !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4459.s.1	het uitheems ghewaadt Misleidt uw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4464.s.2	ik sterven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4464.s.3	ik Vergheef uw deze daad , ik ' Broeder ; hebben gheschach uiten onkunde ': dies te zacht vallen ik deze deerlijk einde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4469.s.1	Ontmenschte zusterslachter , En moordenaar ik lief , ik zullen ik wreken vinden zij ' dood .	Emotion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4472.s.1	En ik ik lijf beschermen , zode ik kunnen .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4474.s.1	VII .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4475.s.1	Fastarad , en Alarik vechten : Eduward , Velleede , rijden vinden Staatjoffers , en Trasimond , d'een naar de ander uitkomen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4476.s.1	Eduward vinden binden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4478.s.1	moorden , moorden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4478.s.2	Hofwachters , moorden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4479.s.1	Velleede vinden binden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4481.s.1	trawant helpen !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4482.s.1	Fastarad op hebben toneel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4486.s.1	Gheen wachter , Nocht hoftrouwant , zullen uw , vervloekt zusterslachter , Ontrukken aan ik ' wraken .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4487.s.1	Op deze zeggen raak doen vechter , vechtender handen , binden , en onderwylen komen Velleede en Eduward , schielijk en verbaasd , uitlopen .	Emotion_Wonder
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4488.s.1	Velleede Heddewigh zien liggen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.1	Daar liggen doen Koningin te neerghestort .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.3	de Dwinglandts dochter , in Mathildes kleed vermomdt , en wredelijk doorsteken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.4	Haare ademen ghaat ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4494.s.1	Fastarad Alarik op hebben toneel weer drijven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4496.s.1	houden stand , gij bloot , ik zullen ik wreken .	Emotion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4499.s.1	gij vechter , hout .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4502.s.1	houden daar , gij Moorder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.2	die treeft ik het harden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.4	ik ' kracht bezwijken !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.5	mijn arm verheffen te nauw nood ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.6	Ach het zijn ghedaan !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.7	Ik zijgh schier needer ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4508.s.1	Eduward	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4510.s.1	moorden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4510.s.2	moorden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4514.s.1	Wat moordtgheschreeuw treeft daar mijn oor weder ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4514.s.2	zijn zijn het te doel ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4517.s.2	onz ' broeder woord vermoorden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4521.s.1	staan af bloedtdorstighe , eer ik uw ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4525.s.1	mijn arm storen zien aan gheen dreighement , zijde kunnen zien noch verweren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4528.s.1	En wat doen mijn kunnen , die willen wij d'uitkomst lederen .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4529.s.1	Terwijl Fastarad en Trasimond vechten , zijgen Alarik , an d'andere kanten vinden hebben toneel , dan daar Heddewigh liggen , needer .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4531.s.1	VIII .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4532.s.1	Ghrimoald , Fastarad , Trasimond , Velleede , Eduward , Hofmeester , rijden vinden Staatjofferen , Hofknaapen , en Lijfwacht .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.1	hout op , gij vechter .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.2	Fluks , ik ' lijfwacht , scheidtze .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.3	Wel Wat woedigheidt verrukken uw , Prinssen ?	BodilyProcess_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.4	hoe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.5	dus fel , En wreed , elkander hebben hoofd , mede uitghetoogen Gheweer , te bieden ; en die in het Hof , ja voor mijn oog ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.6	Wat tweespalt porren uw tot zode overdwaalsch een strijd ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.1	Gheduchte Vorst , zode haasten , op het yss'lijk moordtghekrijt , Ik in doen hofzaal komen , vinden ik , mede ploot degen , Deez ' dol woeden op zijn broeder , die hij daarteeghen vasten afweren , en ontwijken .	EmotionalAction_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.2	u ' dochter , die ik , door hebben Kaledoonsch ghewaadt verbysterdt , aanzagh voor Mathilde , beezigh wassen doen broederstrijdt te scheiden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.3	Nu stondtze , gheen ghevaar ontzien , tussen beide , En ghaf zij boezem bloot aan het broederlijk gescherm .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.4	Nu ghreepze , en weederhiel deez ' raazenden zijn ' arm , En bidden hij , die hij togh , om haarentwil , wouw staken deze schrikk'lijk opzetten ; mare zijn ' woedigheidt , aan het blaken Op het felst , zien luttel kreunen an het zusterlijk gebed ; En speurende , die zijde zijn het eenighste verletten , Welk zijn ' bezitten ' drift zij oogwit deede mis , hebben hij , om zien ontslaan vinden zulk een hindernis , Knarstandende , en ontzindt door zieden overmoed , Zijn wreed klink gheverwdt in het zusterlijk bloed , En , mede die roken ' stalen , vinden staan aan , zijn ' broeder treffen , eer ik zode , op het schreeuwen zijn moer ......	EmotionalAction_BodilyProcess_Desire_Vindictiveness_Annoyance
meij001verl01_01.TEI.2.text.body.div.div.sp.4570.s.1	ik zode , en dochter , bei doorsteken ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4570.s.2	ras ik tonen ' heen ik terstond , die ik heen zien .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4574.s.1	Daar liggen u zode , En ghins u ' dochter .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4577.s.1	Ach , ik zode !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4577.s.2	hoe zijn het ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4581.s.1	Ach Vader !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4584.s.2	zijn ' stemmen bezwijken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4584.s.3	Hofmeester , ras , komen nader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4585.s.1	Hofmeester	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4587.s.1	Wat eisen doen Koning ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4596.s.1	die ik mijn zode terstond brengen ' naar zijn ' kamer , op zijn ' koets , en voorts zijn ' wond Bezichtighe , en verbinden , en al , wat helpen kunnen bieden tot zijn ' gheneezing , straks bezorghe .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4600.s.1	het zullen gheschieden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4600.s.2	Hofknaapen , houden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4601.s.1	rijden vinden Hofknaapen	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4603.s.1	ik Heer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.1	dragen gij hij kamerwaart .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.2	gij halen de Hofarts , en doen meester , mede de vaart .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.3	Ik volgh uw straks , om , door ik byzijn , goed t'ontsteeken Hunn ' ijver .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4610.s.1	Ghrimoald teeghen Heddewigh	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.1	Ach ik kind !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.2	helaas !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.3	daar zijn gheen teken vinden leven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.4	het harden weten vinden gheen slaan meer , en doen dood hebben reeds in deeluwbleek verwaaldt hebben purperroodt vinden lip , en wang .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.6	zij ' dag zijn te eend .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.7	Staatjoffers nemen zij weg , en wild u ' vlijen anwenden , die zijde bekomen mogen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4622.s.1	rijden vinden Staatjofferen	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4624.s.1	Ach deerelijke moorden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4627.s.1	deze klagen vorderen niet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4630.s.1	wie vliegen op u woord .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4631.s.1	Ghrimoald teeghen Velleede	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4639.s.1	wie wensen wel , Mevrouw , die gij uw laten bekoren , Om het Jofferdom , mede raad en daad , wat t'onderschooren , Die uw wijsheidt , voor d'oorbaarste , keur zullen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4643.s.1	ik willen uw Dochter , in deze jammerlijk gheval , bewijzen bijstand , en doen plicht vinden een moer .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4645.s.1	IX .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4646.s.1	Ghrimoald , Trasimond , Hofmeester , Lijfwacht .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.1	En gij , vervloekt beul vinden zuster , en vinden broeder , Wat razernij bevangen uw harden ?	BodyPart_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.2	wat dolheidt komen uw over , week uw drijven twee tak uw stam , Die gij te min waard verplichten , mede wreed hand , wedden op schennis , dus moordtdaadigh aan te rand ?	Emotion_BodilyProcess_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.3	Wat wassen u voornaam ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.4	wat hebben doelwit vinden u werken ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.5	denken gij , verwaatene , door broeder dood , uw sterk Te maken , om op ik ' rijkszeeteltroon te stijgen , En zode doen Koningin te ghemaalin te krijgen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.6	Wat wanen uw eerzucht , die deez ' broedermoordery zij nimmer breken aan de dag , oft schat zijde T'hemwaarts ik ' liefd ' zo koelen , en t'uwaarts weer zo vuurigh , die zijde een euveldaad , zode woedigh , en balsturig , allee niet zieden zij door doen ving'ren , zonder straffen : mare daarenboven , mede hebben errifrecht de staf , En het bedtghenootschap vinden zode trots een koningin , belonen ?	Emotion_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.7	Neen , nul neen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.8	verbannen vrijen , uiten u ' zin , Die yd'le wanen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.9	Ik zullen het bedreven onbescheidt Opweeghen , in doen schaal vinden doen Rechtvaerdigheidt , En toets , welk een straffen uw daar woord toebeschooren : En , zonder voorspraak vinden ik ' Vaderliefd ' te horen , zullen ik bevoorderen hebben vonnissen , die zijde vellen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.10	trawant , slepen hij fluks te kerker , en bestellen ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4681.s.1	Heer vader ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.1	Zwijgh die woord .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.2	Ik willen gheen vader heet vinden een , die zijn plegen , zode schandigh , hebben vergeten , En derde , uiten kroonzucht , en uiten min , in ar moed , Verghieten het zusterlijk , en broederlijk bloed , het Welk hij , te koste vinden hebben zijn ' , staan te verdaadighen .	Emotion_Greed_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.3	ik Erken uw voor gheen zode .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.4	weg , weg , mede de misdaadighen ; sluiten hij in boei , en bewaren zijn ' kerker wel ; Terwijl ik order , op wijs , en maat vinden straf , stel ' .	None
meij001verl01_01.TEI.2.text.body.div.div.p.4693.s.1	Einde de vierde Bedrijfs .	None
meij001verl01_01.TEI.2.text.body.div.head.4697.s.1	vieren bedrijf .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4699.s.1	Ghrimoald , Hofmeester .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4702.s.1	gij vuren de breidelen , Heer , te ruimen an u ' weemoedigheidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.1	het Gheval spuwen op ik uiten hebben bitterst zijn woedigheidt .	Emotion_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.2	bestralen doen ghulde zinnen , oft hebben hij ooit bestralen , vinden daar hij zijn morghens rijzen , tot daar hij zijn avendts daalt , Een vader , zode mede ramp , en kommer overghooten , alles ik , die , voor een uur , vinden drie doorluchtig loot vinden mijn aaloude stam , twee zoon , trots vinden moed , En een dochter , worden gheliefkoost , en beghroet ; En nu doen moorden vinden twee doen vierschaar de rechtvaerdigheidt gebied te span , om de derde , naar doen waerdigheidt vinden broeder - en zustermoordt , op t'off'ren an zij ghraf , Indien barmhartigheidt niet kreuken doen streng straffen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.3	Ach zode , en dochter , die begheeven hebben deze leven !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.4	Ach zode , die het noch gheniet ; mare ook haasten zullen begheeven !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.5	Hoe pijnen doen liefde , die ik uw toedraagh , weederzijdts , deze vader hart , en propt ik ' boezem zode vol strijdts Voor d'een , en d'andere , die elk staan naar doen zege ?	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.6	ik zijn het einde raadts ; en deze ghefolterdt harden , verleeghen mede liefde tegen liefd ' , scheiden onverricht zaak !	Emotion_BodyPart_Love_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.7	mare hoe , ik harden , zullen gij dan weigheren doen wraken , Die mijner kind'ren moorden afvordert vinden ik ' degen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.8	nul neen : doen liefde , die ik zij toedraagh , streven ' er teeghen , En willen , die zijde zij ' lusten , tot walghens toen , verzaad ' , En straffen de moordenaar naar waarde zijn daad .	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.9	mare mogen het uw ook vinden het harden , ik harden , u ' stemmen te gheeven , die vinden een telg , die zij vinden drie noch zijn ghebleeven , u ' stam gheknot , en zode ghesnoeidt waard ' vinden zij ' kroon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.10	nul neen ; ik ' vaderliefd ' pleiten ook voor deze zode , En branden zode vuurigh , om hij het leven te bewaren , alles heen te wreken .	Emotion_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.12	hoe prang , hoe bezwaren ik ' ziel doen levend , en doen dood , te ghelijk !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.13	Deez ' roep , die hebben rechte een billijk vonnissen strijken ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.14	Die , die ik plaatsen ook de barmhartigheidt willen gheeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.15	Deez ' eisschen lijfstraf , en de moordenaar zijn leven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.16	Die smeken , om lijfsghenade , en berghing vinden die pand .	EmotionalAction_Desire_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.17	Deez ' wringen het vinnig zwaard de wraakzucht in doen handen .	Emotion_BodyPart_BodilyProcess_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.18	Die weederhoudt zij ' arm , en doen zij ' gramschap minder .	Aquiescence_Emotion_BodyPart_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.19	Deez ' schreeuwen , Vader , wreken doen moorden vinden uw kind .	EmotionalAction_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.20	Die bidden daar teeghen aan , sparen , Vader , uw zode , de stutten uw ouderdom , en erver vinden u ' kroon .	EmotionalAction_Sadness_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.21	naar week zijden zullen ik , onghelukkigh vader , ik wonen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.22	wieden lid ik hebben oor ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.23	wie ramp treeft nader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.24	wie eisen volvoeren ik ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.25	Ach , hoe zijn ik het harden beklemdt !	BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.26	Hoe woord ik ' bang borst benepen , en dus vreemd Bestormdt vinden toghten , die elkander teeghenstreeven !	Fear_Emotion_BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.27	ik willen rechte , ik willen ghena ; ik willen wreken , ik willen vergheeven ; ik willen deez ' , en die zijn ' eisen voldoen , en niet voldoen .	Emotion_Compassion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.28	ai dol Gheluk , wat hebtghe op ik dus fel te woeden , En het bitter uw ghal , mede een ghulp , te braken !	BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.29	Wat hadtghe in deze gheding , balsturig , te maken ik tot de recht , en ik ' kind'ren tot partij ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.30	Waarom zijn doen vermoorde , oft doen vermoorder ik Niet vreemd ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.31	Hoe liggen zij het zijn , voor ik , doen moorden te wreken Op het streng , ofte uiten ghena de moorder vrijen te spreken ?	Emotion_Compassion
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.32	Nu kunnen ik tot hebben een ' , nocht het ander verstaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.33	mare hoe , zullen dan een zode doen schaal doel overslaan , En zwaar wegen , dan een zode , en dochter samen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.34	doen liefde tot een kind , wie zien ik ' ziel moeten schamen , zode meenighmaal zij schikken zijn ondaadt in het ghedacht ' , hebben die , op het vaderlijk gemoed , dan ghrooter kracht , alles tot twee kind'ren , die nooit dierghelijks bedreven ?	Emotion_Love_Shame
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.36	staan , voor doen dood de leevenden , hebben leven vinden een de dood slechts te koop , ik ' liefde ghaf de wreed moordenaar fluks over aan doen straffen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.37	Nu zij zijn ' dood heen niet allee doel niet herleeven ; mare ik noch roven hij , die over zijn ghebleeven ik ' ouderdom te steunen , hebben Britsche Koningdom te Erfprins , en Prinsses Mathild ' te bruideghom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.38	Ach kind , die in doen lente vinden u leven , Daar aan , zode deerelijk , lijden schipbreuk , wild vergheeven u ' Vader ; die hij uw doen wraken , welk ' hij u ' dood Afvordert , weighert ; die hij kreuken hebben rechte , uiten nood , En , daar u ' onghelijk hij manen tot scherp vergelden , u ' broeder , en zijn ' zode , doen misdaad kwijt willen schelden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4795.s.1	mare Vorst , hebben hij doen moord al beghaan ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4795.s.2	zijn zijn doen tuighen ?	None
