focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2623.s.3	Ik minnen uw in ik harden alles krabben en garnalen .	Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2629.s.1	En gei , doorluchtigste prinses vinden Mogol !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2629.s.2	Ik minnen uw in ik maag , alles vers zouten schol .	Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2633.s.1	 hij antwoord in ik talen : wij zullen die zotheid heten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2637.s.1	 Indien zijde zot zijn , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2637.s.2	zode zijn ik zelf bezitten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2642.s.1	ik zij gewis vinden uw velen meer beminnen zijn , en achten , zode gei ik afkomst weten , en ik beroemen slachten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2649.s.1	Wel , weten vinden u kanten ook , die , spijt deze zot kleed , Die het noodlot ik lest tot een Kermis komen vereren , die ik een Edelman , en zode rijk zijn vinden schatten , die ik , per overdaad , een hond houden mede een katten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2660.s.1	Een fielt , naar die hij ik hebben uiten ik landen nemen , En naar hij hier mede ik wassen t'Amsteldam komen , hebben ik verraden , en ontstelen ook mede een Al wat ik bij ik hebben ; doch laten ik het harden allee .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2660.s.2	En wild ik hier op straat ik ramp zitten te bewenen , En die ik , bij geval , deze volk daar horen steen , zode hebban zijde voor zot ik in deze slot brengen , te audientie vinden doen soeverein macht .	BodilyProcess_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.2671.s.1	En ik , door ongeluk , hebben zeker heer doorsteken , zijn door ik vluchten zijn in deze huis wijken , Om ik vervolger niet te val in doen hand ; Nu spelen ik hier voor zot , wild het mis vinden het verstaan ik nek en hals bewaren voor meest Hans zijn slag , Mits ik velen lief die vinden Joris-vaar willen dragen , Dan die een Intendant vinden het rechte de Graaflykheid ik , zonder compliment , het hoofd voor doen voeren liggen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2675.s.1	spreken gei mede ernst ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2679.s.1	Gewis : en gei , spreken mede rijden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2694.s.1	zijn het zijn , ik zinnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2694.s.2	cy wild die dan besteden In wat meedogentheid te toon om ik smarten , zien , hoe doen minnen allee bestieren ik ziel en harden ; wild ik , ( uw wanen beroven te zijn vinden zin ) zelf , spijt u zotheid , uw dwingen wassen te min , En denken , of door doen minnen ik geest niet zelf dwaald , wild ik uw in deze staan hebben ik geheim verhalen .	Emotion_BodyPart_Love_Compassion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.1	Om deze oprechtigheid mede mijn te vergelden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.2	zode weten ook die ik zijn , die ik terstond vertelden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.3	En niet doen gene daar gei ik hebben voor achten ; ik naam zijn Isabel , en het adellijk slachten , ( zode oud , en wijd beroemen , zijn uiten ik zijn spruiten ) zijn Gelders , en verwinnen aan het meest delen de Groten ; En vorders zijn ik die , die zien gelukkig vinden , vinden in deze zot staan vinden uw te zijn beminnen , gelijk ik uw naar deze getuigenis hopen te geven , ( wild die gei ik het geheim ontdekken hebben vinden u leven ) Hoe die ik minnend harden meer het uw zijn alles hebben ik ; Ja die ik tot ' er dood u Dienares zullen zijn .	BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.1	o groot Hemel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.2	wat geluk komen ik ontmoeten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.3	ik schoon ! ik werf vinden vreugde ik zelf voor u voeren ; wild ik uw eeuwiglyk voor ik Godin erken .	Joy_Emotion_EmotionalAction_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.2719.s.1	staan op , deze zijn een eer die ik niet waardig ben.	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.1	Al weder an bij malkaar ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.2	wel heide !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.3	zijn willen deze heen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.4	Ik zweren die ik jouw lieden zullen breken hals , en been : gaan voor zeggen ik in huis : zien zode , hoe smaakje die .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.1	jouw grijs Roffiaan !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.2	jouw bakkes alles een katten , jouw uw woudaap , mede jouw kamelotte kaak !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.3	Moogt gei niet lang zieden die goed lieden wreed manen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.1	geren woord zeggen ik , mare gaan straks schikken in huis , Of ander zweren ik uw , die gei niet een luis , Nog op jouw kop , of vlees , meer zullen in het leven houden , Mits ik zij mede een stikken te morzel zullen touw .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.2	houden markten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.3	Klaasje houden !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.4	zijn zijn mede jouw twee ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2748.s.1	het wassen tot wij ongeluk die hij wij komen te zieden .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.2752.s.1	markten , Klaasje , Joris-vaar , Ferdinand , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2756.s.1	Wat zijn hier nieuw te doel ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2756.s.2	wij zijn ' er doodsteken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2762.s.1	Op die deze koppeltje malkaar niet weder zij spreken , zode liggen ik deze Sinjeur zijn voeren in de band , En geven deze Juffrouw een een koord om ieder hand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2766.s.1	Die niet en hebben braden wat schuld hebben die te boete ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2771.s.1	boei ik doen hand met zode wel alles bei ik voeren , mare laten ik Zuster gaan , die hebben in het minst geren schuld .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2778.s.1	ik zweren gei u eerst bede wel haasten verkrijgen zullen , zode gei doen moeite nemen vinden nog wat praat te manen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2778.s.2	Sa jong , pakken zij aan , en lid voor al zaak , die gei zij hout vinden een , dies passen voor al op hij .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2785.s.1	o ouderwets model vinden Heer Methusalem !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2785.s.2	ik zweren zode hebben satum ik weder in ik rijk doen kern , die ik uw zullen tot straffen in pik doel fricasseren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2790.s.1	o Zotskap !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2790.s.2	weten gei dan het gebruiken vinden het huis nog niet , zeggen , wanneer zijn het die gei hier vrouw bij mennen zien ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2794.s.1	komen stappen ' er slechts met wegge .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2799.s.1	zijn wild gei heen stap ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2799.s.2	Of wild gei in doen kroeg een paartje laat tap ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2803.s.1	komen peetje , mars jij voor .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2807.s.1	voeren gei ik met dan heen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2811.s.1	Gaa voor mede allebei ; mare houdze wel vinden een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.2816.s.1	Joris-vaar , allee .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.1	ik Verwonder ik geensints te zieden die deze zottinne zich vinden een zot venten , alles deze , kunnen doel beminnen : Daar zijde zode grijs , en zode wijze uw manna , Schier door zij oog in temptatie brengen kunnen .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.2	Ik weten niet , die zottin die helpen ik brein aan het dwaal , het hoofd draaien ik of ' er zitten een meulen in te maal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.3	Wel liefde !	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.5	worden gei dan lang zot ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.6	En spelen gei bij doen god nog voor een eerlijk God ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.8	wij zullen aan voortaan op d'ouderdom vertrouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.9	wan gei , o klein fielt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.10	ontzien nog jong nog uw .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.11	En het zijde , hoe die hebben zijde , in het grijs , of blond haar , u drift spelen in de mens altijd voor koppelaar .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.2831.s.1	einde vinden hebben Derde bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.head.2835.s.1	vieren bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.2839.s.1	Isabella , allee , mede Handboeyens aan .	None
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.1	Hoewel die ik het gebruiken de hand zijn benemen , zode zijn ik echter nog ik wachter ogen ontkomen , wan nog een keten , nog een wachter achten of teen , kunnen een verliefd Ziel zijn heet drift verbien : wan waarom zij doen minnen zode groots niet vinden vermogen zijn , alles Mercurius ?	Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.2	die , spijt doen duizend oog vinden Argus , hij ontstelen zijn mensch-geweze koe ?	None
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.3	Gewisselyk doen minnen zijn al zode groots : wan hoe ik hij meer dwingen willen , beknellen en bevatten , Hoe meer ik deze band zullen buit band doel spat .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.4	wan passen alles hij hebben woerd slechts horen vinden tirannie , breken hij zijn boei lossen , en stellen zien zelf vrijen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.2	ik hebben uw dan boeien aan u hand !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.3	ik waard tweede ziel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.4	en gei , o ys're band !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.5	versmelten nog niet door het vuur daar ieder een vinden blaken , Die slechts doen minst straal vinden deze zinnen genaken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.6	Gelukkig ijzer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.7	o benyens-waarde keten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.8	Die tot gevangenis de hand worden verslijten ; zijn vinden doen Minne-God , doen groot scepter-staf , En het opperst gebied vinden al hart geven ; Gelukkig ijzer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.10	mogen ik u plaatsen bekleden , En boeien in u stede deze goddelijk lid , Ik zweren , op die deze hand te meer zij zijn vereren , die ik gewisselyk haasten wier in goud verkeerd : mare ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.11	boeien ik om ik deze schoon lidmaat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2878.s.1	deze ys're boei , in doen plaatsen vinden die te haten , zijn ik ( wild ik doen minnen om uw die overlaten , Tot kostelijk gesteente , en prachtig armcieraat .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2889.s.1	Indien het cieraden zijn , uw vinden doen minnen geven , zode schenk ik aan die band mede een ik ziel en leven , Nadien die blind God , door een en zelfde gloed , wij harten samen smelten , en die verenen doen : gelijk ( tot blijk die wie mare een zaak wees moet ) hij uw doen hand boeien , gelijk alles ik doen voeren , passen of een enkel band hij niet en kunnen volstaan , Om wij in eeuwigheid niet weder vinden een ontslaan .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.1	Die boei , zijn in ik u voeren zien slaan , Die zweren ik , die ik mede steeds om ik harden zullen dragen ; dewijl die ik in die , daar ik u minnen met binden , ik allergrootste vreugde , en al ik glorie vinden .	Joy_Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.2	allee bedroeven ik ik , die het boeien vinden ik hand , Die drift in ik beletten , die ik in ik veel brand , vinden uw te omhelzen : daar ik ziel nu , naar zij macht , uw zij omhelzing geven , alleenig in denken .	Emotion_EmotionalAction_BodilyProcess_Love_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.3	Wel aan , ik tweede ziel , omhelzen ik zonder schromen .	BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.stage.2905.s.1	Catryn , Ferdinand , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.1	helen tijdig vinden ik ik hier op hebben meten komen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.2	gei fielt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.3	laten gaan , laten lossen : wat doen gei deze zottin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2914.s.1	Verrader !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2914.s.2	wild gei ik verkrachten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2920.s.1	Hoe , vriendin , doen hij uw dan geweld ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2924.s.1	o Ja .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2928.s.1	wellen vinden Liefde .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2934.s.1	gei Heer Student , of droes ! het wassen goed zode het uw believen , die gei laten lopen deze ontzinde , en zot meid : Wat hebben zijde uw gedaan , die gei steeds bij zij zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2940.s.1	zijde hebben ik mede een peil in het ingewand treffen , Daar ik een Oliphant met zij te aard ploffen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2940.s.2	Wat dunken uw , hebben ik dan geren rijden tot ik wraken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2944.s.1	zij zot jalouzy die horen ik mede vermaken .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.2949.s.1	zullen gei uw eeuwig dan staan spiegelen in zij oog ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2949.s.2	zien ik toch met een aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2955.s.2	wat groots vermogen hebben gei in u gezicht , o platgeneusde maagt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2955.s.3	wild die gei door een lonk ik schier naar bed toen jagen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2960.s.1	schonen die gei ik verachten , nog zullen gei zode niet scheiden , Mits ik uw niet willen zieden vertrek mede uw beide .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.1	gans herfst , en winter , en gans zomer al drie : Wat zoet gratie die ik in deze Juffrouw zien !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.2	Och , och , wat moeten die sloof in beide zij long brand !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.3	Ik geloven voor vastelyk d ' hondsdagen zijn op hand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2971.s.1	Wel waarom zien gei ik niet met een vriendelijk aan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2977.s.1	ik zweren zonder juk , die hebben kwalijk zijn braden ; Doch gei Heer Mandricart !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2977.s.2	blyf hier , ik gade vertrek , Om hier ik jalouzy niet hoog op te wekken .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.2	zullen deze mest , op nieuw weder oorzaak zijn , die ik ontberen zij ik schoon zonneschijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.3	nul wreed Rodemond !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.4	ontschaakt gei Doralice ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.5	ik zweren die ik uw volgen zullen , of het leven zelf verlies .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.2990.s.1	Catryn allee .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.1	zijn het mog'lyk , hemel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.2	zijn ' er smarten Op aarde ' bij mijn te gelijk ?	Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.4	wat droefheid moeten niet wijken Voor het vreemd leiden vinden ik harden ?	Emotion_BodyPart_Love_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.5	moeten ik dan sterven door doen minnen ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.6	Om deze zot , die door het verachten ik klaar doen zieden in zijn gedachte die hij ik laten voor deze zottin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.7	nul neen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.8	ik zullen zij dolligheid zieden door ik dolheid om te zet , En zode zij samenkomst beletten , Eer die deze vuur zien verder spryt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.9	wan om deze huis te houwen in , En niet na Haarlem weder te karn , zode willen ik , om geren schijn t'ontbeeren , doen zotheid volgen vinden ik minnen .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.10	ik willen ik gaan veinzen zode ontzint , die ik ik hier zullen moet laat , wan zullen hebben min wij wat baat , zode moeten hij zot zijn die beminnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.11	Wel aan !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.12	wat lid ik die ik straks niet gaa beginnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.13	hola ik page !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.14	mede ik juffer en slavin , zijn zijn ik gans trein ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.15	zijn blijven hebben hofgezin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.16	Sa , maken ik koets reden , en spannen doen paard in , Vermits ik datelyk willen na doen Koning rijden : gei , Prins , geven ik u hand , om ik te hof te leiden ; En gei , ik dwerg brengen u waeijers voor de dagge ; Op die ik voor doen zinnen ik wat verkoelen mogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.17	deze zijn een god beginnen om tot hebben werken te tred .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3029.s.2	staan gei hier , Catryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3029.s.3	wat maken gei hier beneden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3033.s.2	noemen gei ik Catryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3033.s.3	noemen ik u Koningin .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3037.s.2	wat slecht tijding ontvang ik daar vriendin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3041.s.1	Hoe slechten tijding ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3041.s.2	wat tijding ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3045.s.1	Te droevig om te horen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3050.s.1	zijn ' er misschien een stuc vinden het koninkrijk verliezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3050.s.2	Of zijn doen gans vlieden vinden Indien vergaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3060.s.1	ik Vader doen terstond ik door een brief verstaan , die hebben zijn willen zijn , die wie straks naar Haarlem karn , Vermits die hij ik thuis niet lang kunnen ontberen , gelijk ' er ook mede een aan Joris-vaar een komen , zijn in hij worden verzoeken , die hij ik t'Amsterdam , ( Vermits het noodzak'lyk wassen ) niet lang op zij houden : mare eer hoe lief , wij weder zij naar huis toen stouwen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3064.s.1	Wel die hebben gans rijk dan straks victorie branden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3068.s.1	Wat rijk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3073.s.1	die koninkrijk , die ik mede deze ik hand alles Koningin regeren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3078.s.1	Hoe nu ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3078.s.2	zijn zijn u zin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3082.s.1	Ik zoeken ik moer vasten een schoonzoon aan te winden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3086.s.1	Gewislyk zijde zijn zot en al zij oordelen kwijt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3090.s.1	Daar door hebben ik ik ziel vinden meerder smarten bevryt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3094.s.1	Wat tover-kruid Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3094.s.2	hebben gei doch inzuigen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3098.s.1	Een tover-kruid het geren ik ontvangen door bij ik oog .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3102.s.1	Bedaar uw tocht Catryn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3106.s.1	vertrekken , gei vals prei !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3114.s.1	Gelukkig zijn gei gewis in deze u zotternij , Nadien die gei daar door hier nog zullen blijven mogen , En al dag zieden die wel beminnen oog , zijn vinden ik in ik ziel zode diep wond dragen , die ik allee om zij deze ik vertrekken beklagen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3118.s.1	zijn zijn ik slaaf , en ik zwart Japoneezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3122.s.2	die zode zot mogen zijn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3122.s.3	hoe lukkig zij hij wees !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3126.s.1	Sa !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3126.s.2	brengen ik water op die ik ik hand was .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.1	Hoe woelen zij malen brein in die ontstellen kast !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.3	wat of ik lid , die ik rijden zot te deel , zij voorbeeld niet en volgen , en puur voor zot gade spel , dewijl die ik daar in twee zaak schijn te zieden , zijn door ik minnend harden velen voordeel kunnen geschien : zijn vinden hebben eest ' zijn , die hebben mis vinden ik zin , Voorzeker in deze huis ik zullen een plaatsen doel winden , Daar ik haasten anderszins vinden hier zullen moet gaan : hebben tweede ' zijn die ik dus ik branden zullen doel verstaan Aan ik beminnen zot , die ik in al deel zode zullen gelijk in ik zot rol te spel , die alles ik ik om hij bespeuren zode dol en mal , ik Vader ik gewis mede kerel trouw zullen .	BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.4	Vermits hij , zien het kwaad allee uiten hij rijzen , gewis door deze huwelijk ik zotheid zullen genezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.5	Wel aan dan ; ik beginnen : varen wel dan ik verstaan , wan daar doen minnen regeren moeten wijsheid aan een kanten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3151.s.1	Hola ik kamer-maagt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3151.s.2	zijn zijn gei , komen vinden binden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3155.s.1	Wat zijn het gebieden vinden mevrouw doen koningin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3160.s.1	hebben zijn bijna een uur die ik hier hebben wachten , En niemand hebben ik nog een morgendrank brengen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3165.s.1	u kamer-jonker , zullen terstond u willen volvoeren : hij staan vasten aan de haard een potten mede brij te roer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.1	zeggen die hij zien wat spoeden , of die ik in de ijl zijn rug wat smeren zullen mede het hand-vat vinden een dwyl .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.2	mare hoe ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.3	wat willen deze zijn , die Juffrouw voor het bestraffen , ik in ik zotternij komen nieuw stof verschaffen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3177.s.1	Dus volgen ik vinden deze sloor allee doen zotheid in , Om die ik zelf volgen doen zotheid vinden ik minnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3182.s.1	ik geloven die zijde doen grond verspieden vinden ik gedachte , Dies zullen hebben nodig zijn ik wat voor zij te wacht ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3187.s.1	nul groot Koningin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3187.s.2	gints komen een page aan , Die uw een tijding brengen uiten het Eylandt vinden doen manen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3193.s.1	Wel liggen zullen hebben een Boo vinden Jonker kerel wees , zeggen die hij binden komen , en niet en hoeven te vrees .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.3197.s.2	spreken gei hier bij ik vinden deze vagebond ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3201.s.1	mogen ik ik Bruigoms naam niet nemen in ik mond ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3205.s.2	u bruidegom , daar hij aan een aer trouwen zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3209.s.1	trouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3209.s.2	ja tocht , mede wij ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3214.s.1	die zijn tijding die al oud zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3214.s.2	mede ik .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3218.s.1	mede uw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3218.s.2	en wij hebben uw tocht t'zaam verenen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3222.s.1	doen Paap .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3226.s.1	doen papegaai geloor ik die gei menen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3231.s.1	Wel wat mogen deze zottin doch in zij hersenen brouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3231.s.2	menen zijde ik echt manna dan op een nieuw te trouw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.2	rampzalig die !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.3	weten gei mede wij gei spreken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.4	En vrezen gei nog niet die u Koningin zien wreken Op u vermeten tong ?	Fear_Emotion
