vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.16	Men schonckze vry gelagh , en gafze gelt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.17	ick zocht , Geveinft den arrebeit om 't hooghtijt uit te stellen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.18	De tijt gehengt nu niet u alles te vertellen : Hoe zorghlijck het in 't schip en onder 't krijghsvolck stont , En elck verscheelde , en wat een yeder raetzaemst vont ; Hoe ickze menighmael met dreigen holp aen 't zwijgen , En konze , om 't leven zelf niet aen 't bedaeren krijgen : Hoe Arkel , heel verkoudt , zijn eigen ponjaert bloot Gezet had op den strot , en trooste zich de doot , Om al zijn mackers niet door 't hoesten te verklicken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.19	Nu schort'er dat wy elck ons werreck voort beschicken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.20	Het zeepaert , zwanger van gewapenden , zal gaen In arbeit , en van vracht , voor 't opgaen van de maen , Omtrent ter middernacht , verlossen , als de kercken Op 't hooghtijt zijn gepropt van menschen , die 't niet mercken : Dan zal de laegh in twee gedeelt , eer 't ymant hoort , Terstont vermeesteren de Haerelemmer poort , En rammenze met kracht : en ick , om u te lichten Van verr ' , zal daedlijck brant in 't holle zeepaert stichteu , Dat midden in de stadt by d'andre schepen leit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1268.s.1	De maerschalck wacht op u in 't klooster , al bereit Terstont met duizent man de muuren in te trecken , En 't leger leght niet verre : ick ga het hun ontdecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1272.s.1	En ick al weêr naer stadt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1272.s.2	nu veltheer , pas op 't stuck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1276.s.1	Godt geef dat u en my dees aenslagh wel geluck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1278.s.1	Rey van edelingen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.1	Wy edelingen , bly van geest , Ter kerke gaen op 't hooghste feest Den eerst geboren Heilant groeten , En knielen voor de kleene voeten Van 't kint , waer voor Herodes vreest : Het kint waer voor een star verrijst , Die Wijzen met haer stralen wijst De donkre plaets van zijn geboorte , En leitse in Davids oude poorte , Daer d'allerhooghste 't laeghste prijst .	Joy_Emotion_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.2	Het oosten offert wieroock , gout , En bittre myr .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.3	de gave ontvouwt 's Kints Godtheit , priesterdom , vol waerde , En zijne sterflijckheit op d'aerde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.4	Hier leght hy , die 't al heeft gebouwt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.5	't Gevogelt , dat op wiecken zweeft Zijn nest , de vos zijn holen heeft , En woont in bergen , en in bosschen : Een stal van ezelen en ossen Den Schepper naeulyx herbergh geeft .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.6	De kribbe hem een wiegh verstreckt , Die 't aerdtrijck met den hemel deckt , En elleck dier bestelt zijn voeder .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.7	O kint , gy zijt , gelijck uw moeder , Met pracht noch hoovaerdy bevleckt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.8	Hier voert de neêrgedaelde Godt De trotse weerelt om met spot In zijn triomf , ten smaet der hoven .	Emotion_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.9	Het nedrigh hart voert hy naer boven Met hem in 't hooghgeboude slot .	BodyPart_Awe
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.10	Hier schuilt dat Godlijck aengezicht , Waer uit de zonne schept haer licht , En alle starren glans , en luister .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.11	Hier leght hy zonder glans in 't duister , Die englen tot zijn ' dienst verplicht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.12	Des hemels reien wiegen hem In slaep met hunne zoete stem , Die noit van vaeck en was beschoten , En weckt het hooft van alle grooten , In 't koningklijck Jerusalem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.13	Augustus rijck verliest zijn eer : De Roomsche scepter reickt niet veer : Het oost versmaet Latijnsche naemen : Maer dees beheerscht het al te zaemen , Oock daer de zonne neemt haer ' keer .	Honor_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.14	De hemel 't aerdtrijck en de hel Scherp luisteren naer zijn bevel , En siddren voor de zuivre wetten , Die hy door visschers laet trompetten , En blasen over duin en del .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.15	De doecken , daer dit kint in leit Is 't purper van zijn majesteit , Waer in de herders hem aenschouwen , Dien Godt de zielen komt vertrouwen , Gelijck van outs was toegezeit : Dat Godt zijn kudde weiden zal , En hoên voor ramp en ongeval , En naer het afgedwaelde vraegen , Dat schaep op zijne schouders dragen Met vreught by 't overigh getal .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.16	Hier is de wijsheit ongeacht : Hier geld geen adel , staet , noch pracht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.17	De hemel heeft het kleen verkoren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.18	Al wie door ootmoet wort herboren , Is van het hemelsche geslacht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1351.s.19	Gy die der vorsten harten leit , Gelijck een beeck , en schift en scheit Het licht van dicke duisternissen ; Laet den tyran zijn ' aenslagh missen , Die den onnooslen laegen leit .	None
vond001gysb04_01.TEI.2.text.body.div.head.1353.s.1	Het derde bedryf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.1	Badeloch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.2	Gys breght van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.3	Heer Peter .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.4	Bontgenoten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1355.s.5	Arend van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1363.s.1	ICk trock zoo dra niet aen mijn beste en hooghtijts kleêren , Om in de kerck met al de stadt te triomfeeren Voor Godt , die 't leger dreef van d'aengevochte wal , En zich verneêren quam in Bethlems armen stal , Of raeckte in eenen stoel aen 't sluimeren en droomen , En ben benauwt en bang uit mijnen slaep gekomen ; Gelijck de dauw getuight , die op mijn kaecken leit .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.1	Mijn halve ziel , wat's dit ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.2	hoe zietge zoo beschreit ?	BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.3	Wat nevel van verdriet bezwalckt uw blinckende oogen , En heeft den hemel van uw aenschijn dus betogen ?	Emotion_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1370.s.4	Nu zijt gerust , en zegh , wat is het dat u smert ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1372.s.1	Ba .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.1	My leght , helaes , my leght een zwarigheit op 't hart .	HeavyHeartedness_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.2	Ick heb in mijnen slaep yet schrickelijx vernomen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1376.s.3	Een droom bezwaert mijn hart : gezichten doenme schromen .	HeavyHeartedness_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1380.s.1	De droomen zijn bedroch : gy vreest uit misverstant .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.1	Nicht Machtelt , dochtme , stont voor mijne ledekant Bedruckt , en in dien schijn , waer in zy by haer leven My dick haer hartewee te kennen plagh te geven , Toenze in haer traenen smolt , en , van gedult berooft , De handen deerlijck wrong , het hair trock uit heur hooft , De blancke borsten krabde , en scheurde 't kleet aen flarden , En zagh begruist van stof , zoo dat ick 't nau kon harden , Noch hooren al 't gekerm , en jammerlijck misbaer , Noch 't schelden op den graef , voor schelm , geweldenaer , Verkrachter van een vrouw , zoo kuisch , zoo welgeboren .	HeavyHeartedness_Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.2	Helaes !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.3	zy quam my niet in die gestalt te vooren , Gelijck haer zuivre ziel , van droefheit afgepijnt In 't leven , nu voor Godt en d'engelen verschijnt , Met eenen pallemtack in haer sneeuwitte handen , En in het sneeuwit kleet , en oogen , die nu branden In 't hemelsch paradijs , als starren aen de lucht .	Emotion_Happiness_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.4	Ick sprackze al schreiende aen , na eenen diepen zucht : O adelijcke spruit van 't hooge huis te Woerden , Om welcker ongelijck de helden oorlogh voerden , Dat oorlogh , 't welck , na dat gy in den heemel trockt , Zoo onverzoenelijck tot noch toe smoockt , en wrockt ; Wat oirzaeck drijft u hier op ongeruste paden ?	EmotionalAction_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.5	Of komtge om onzent wil , met zwarigheit beladen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.6	Om d'uwen by te staen , in 't kommerlijck belegh ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.7	Nicht Machtelt , 't is vergeefs : de vyanden zijn wegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.8	Wat treurtge ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.9	wy zijn vry van laegen , van bespringen : Dus help ons nu om hoogh by Godt triomfe zingen .	Joy_Emotion_EmotionalAction_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.10	Omring uw hooft met licht , in steê van lauwerkrans , En ley der englen rey met vrolijckheit ten dans .	Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.11	Zy schudde 't hooft , en scheen van gramschap te veranderen In 't aengezicht , en sloegh de handen van elkanderen , En steende , en zuchte zwaer , en borst in 't endt dus uit , Maer met een heesche keel en dof en schor geluit : Onnoosle , zijtge nu van vyanden ontslaegen ?	Emotion_EmotionalAction_BodyPart_BodilyProcess_Despair_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.12	En slaeptge zoo gerust ?	Aquiescence_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.13	en vreestge niemants laegen ?	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.14	Daer gy , om mijnent wil , op 't alleruiterst zijt , En naest aen uwen val ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.15	op op , het is geen tijt Van slaepen : het is tijt naer andere gewesten Te vlieden van dit huis .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.16	de vyant heeft de vesten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.17	De zeestadt staet in brant : het is met haer gedaen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.18	Oom Gijsbreght heeft vergeefs zijn burgers voorgestaen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.19	Geen tegenworstelen noch strijden magh u baeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.20	Godts Heilgen hebben kerck en outers lang verlaten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.21	Op op , bergh Gozewijn , voor al mijn eenigh pant , Klaris , mijn eigen hart , eer 't heiligh klooster brand ' , Eer eenigh booswicht haer mishandele en misbruicke , Naer zijn ' vervloeckten lust , en zy haer oogen luicke .	BodyPart_BodilyProcess_Shame
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.22	Al zjjn de straeten dicht bezet , en naeu bewaert ; 'k Zal Gijsbreght , ongequetst van spiets of eenigh zwaert , En , zonder eene nop van 't kleet door 't vier te zengen , Geleiden , en gezont op dezen drempel brengen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.23	Verlaet dan flux dit slot : steeck af , op Godts gena , En geef u zeewaert in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.24	voort , voort , eer 't wort te spa .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.25	Al d ' englen zullen u voor stormen en voor stranden Behoeden , dat de vloot behouden magh belanden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.26	Gedenck eens welck een schrick mijn slaeprigh hart beving .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.27	Mijn hair dat rees te bergh , en aen een yder hing Een droppel nats : het zweet begost my uit te breecken .	Fear_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.28	Mijn lijf wert kil , als ys : ick wou , en kost niet spreecken , En schoot uit mijnen droom , al bevende en bevreest , Greep toe , en zocht vergeefs t'omhelzen haeren geest , Die door mijn armen droop , en wechstoof uit mijn oogen , En lietme heel verbaest , en van het spoock bedrogen .	Fear_Emotion_EmotionalAction_BodyPart_BodilyProcess_Love
vond001gysb04_01.TEI.2.text.body.div.sp.1449.s.29	Dit is het datme steurt , en in de zinnen speelt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1453.s.1	't Is loutere ydelheit , die zich het brein verbeelt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1458.s.1	Och of het ydel waer !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1458.s.2	ick heb mijn uur verslaepen , Om naar de kerck te gaen . 't is spade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1460.s.1	Pe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1462.s.1	Wapen , wapen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.1	Bescherm ons , goede Godt : behoe ons voor gevaer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.2	'k Hoor onraet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1467.s.3	och ick zorgh mijn droom is al te waer :	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.1	Heer Peter , wel hoe dus ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.2	wat port u zoo te roepen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1472.s.3	Wat jaeght u hier by nacht ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1477.s.1	Godt lof , dat ick de troepen Des vyands ben ontvloôn , ter doot toe afgemat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.1	Wat vyant ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.2	hoe ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1481.s.3	ghy raest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.1	De vyant is in stadt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.2	Het is met Amsterdam en met zijn hooge wallen Gedaen : zy is de wraeck in 't endt te buit gevallen .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.3	De gruwelijcke Reus heeft eene poort vermant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.4	Het zeepaert lost zijn vracht , en Vosmeer sticht den brant , In 't barnen van 't gevecht , met schimpen en braveeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.5	De wachters vechten flaeu , en zien hen niet te keeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.6	Het leger treckt vast in met duizenden , een maght Zoo groot als Waterlant noch oit te velde braght , En Kennemer , en Vries , en Zeeu en Hollant t ' zaemen , Met allen die , op ons gebeeten , herwaert quamen .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.7	De Kersnacht heeft gedient tot dit verraeders werck , Bestaen voor maeneschijn , toen 't volleck in de kerck Met offren bezigh was , en zingen in de kooren ; Terwijl de stadt , volvreught , als Christus scheen herboren , Wy weder uit de muil der bleecke doot verlost .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1503.s.8	Vergeefs heeft dit belegh u zoo veel zweet gekost , En bloet en arrebeyt , nu alles loopt verlooren .	Fear_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.1508.s.1	Ick zal terstont om hoogh gaen zien van Schreiers toren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1508.s.2	Gy dienaers , brengt mijn ' helm en harnas by der hant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.1	Helaes wat gaet my aen , in dezen droeven stant !	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.2	Is dat triomf ?	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.3	heet dat zijn vyanden verjaegen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.4	Nu kent men Haerlem eerst : nu blijcken Egmonts laegen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.5	Nu lachenze om mijn stadt , zoo lang van hun benijt .	Emotion_Envy
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.6	Mijn goede vrome man gaet quijnen , en verbijt Zijn leet des daeghs , en brengt de nachten door met waecken .	Aquiescence_Emotion_EmotionalAction_BodilyProcess_Sadness_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.7	Ick vind hem menighmael met traenen op de kaecken : En vraegh ick wat hem deert : hy zucht , en antwoort niet , En kropt zijn hartewee , verdubbelt mijn verdriet .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.8	Hoe veel geluckiger zijn arme en slechte dorpen , En hutten laegh gebouwt , min stormen onderworpen Dan eenigh heerenhuis , dat door 't geboomte steeckt , En daer het bulderen des wints zijn kracht op breeckt .	Emotion_Happiness
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.9	Weet hier van eenigh mensch , ick weet'er van te spreecken : Als ick den ganschen tijt mijns levens overreken , Van mijne bruiloft af , van dat ick zat verlooft : Wat stormen waeiden my niet sedert over 't hooft ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.10	Wat toren is zoo hoogh , van waer mijn oogh de baren , De zee kan overzien van al mijn wedervaeren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.11	En wie ziet noch het endt van dien begonnen strijt ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1532.s.12	Hier meê ga ick mijn'man , naest Godt mijn toevlught , quijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1536.s.1	Gedult mevrouw , gedult ; Godt proeft zijn uitverkoren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.1	Ick kan bescheielijck en klaer 't geklicklack hooren En rammelen van 't stael : 't geluit koomt dichter by .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.2	De schepen branden al , en schitteren in 't Y , En in de Diemermeer en alle burreghwallen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.3	Ick zagh het groot gebou , Jan Witten gevels , vallen : Het naeste huis daer aen staet rede in lichten brant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.4	De klocken kleppen vast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.5	de heele waterkant Is al in rep en roer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.6	het bloedigh zwaert gaet weien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.7	Men steeckt'er de trompet : men hoort de menschen schreien .	BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.8	Brengt hier mijn harrenas .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.9	voort dienaers , schaft geweer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.10	Al wie in 't harnas sterft , die sterft met krijghsmans eer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.11	Waer vrienden in den noot ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1552.s.12	waer zijn ons bondgenooten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1561.s.1	Voor 't huis vergaderen de treflycksten , de grooten ; Heer Heemskerck , die vol viers om uwe zuster quam , Oudshoren , en Polaen , hoe grijs hy is en stram , Heer Zwieten , Teilingen , en Waermont , en uw broeder , En Kuick , en Kraienhorst .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1561.s.2	geen leeuwen zijn verwoeder , Om aen te gaen op roof .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1565.s.1	Men roep ' hen voor den dagh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1567.s.1	Bont .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1570.s.1	Mijn heer , 't is vechtens tijt , zoo vechten helpen magh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1570.s.2	Wy zijn getroost met u te leven en te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1579.s.1	Gy zult in eeuwigheit by Godt uw loon verwerven , Voor dezen trouwen dienst , in mijnen lesten noot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1579.s.2	Gy ziet hier anders niet voor oogen dan de doot : Doch zooge zijt gezint den vyant te verletten , Zoo veel ons mooghlijck zy , en 't leven op te zetten By stadt en burgery , zoo volghtme : dat 's u voor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1583.s.1	Wy volgen algelijck , en houden 't zelve spoor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1587.s.1	Beschermt mijn ' lieve man , dat bid ick , vroome heeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1591.s.1	Mevrouw , betroume vry , 'k zal zonder hem niet keeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1593.s.1	Rey van Klaerissen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.1	OKersnacht , schooner dan de dagen , Hoe kan Herodes 't licht verdragen , Dat in uw duisternisse blinckt , En wort geviert , en aengebeden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.2	Zijn hooghmoedt luistert naer geen reden , Hoe schel die in zijne ooren klinckt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.3	Hy pooght onnooslen te vernielen , Door 't moorden van onnoosle zielen , En weckt een stadt - en lantgeschrey , In Bethlehem , eu op den acker , En maeckt den geest van Rachel wacker , Die waeren gaet door beemt en wey : Dan naer het westen , dan naer 't oosten .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.4	Wie zal die droeve moeder troosten , Nu zy haer lieve kinders derf ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.5	Nu zy hun ziet in 't bloet versmooren , Vergaen , die naulijx zijn geboren , En zoo veel zwaerden root geverft ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.6	Zy ziet de melleck op de tippen Van die bestorve en bleecke lippen , Geruckt noch versch van moeders borst .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.7	Zy ziet de teêre traentjes hangen , Als dau , aen druppels op de wangen : Zy zietze vuil van bloet bemorst .	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.8	De winckbraeu deckt nu met zijn booghjes Gelokene en geen lachende ooghjes , Die straelden tot in 's moeders hart , Als starren , die met haer gewemel Het aenschijn schiepen tot een ' hemel , Eer 't met een mist betrocken wert .	Joy_Emotion_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.9	Wie kan d'elende en jammer noemen , En tellen zoo veel jonge bloemen , Die vroegh verwelckten , eerze noch Haer frissche bladeren ontloken , En lieffelijck voor yder roken , En 's morgens droncken 't eerste zogh ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.10	Zoo velt de zicht de korenairen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.11	Zoo schud een buy de groene blaeren , Wanneer het stormt in 't wilde wout .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.12	Wat kan de blinde staetzucht brouwen , Wanneerze raest uit misvertrouwen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.13	Wat luit zoo schendigh dat haer rout !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1644.s.14	Bedruckte Rachel , staeck dit waeren : Uw kinders sterven martelaeren , En eerstelingen van het zaet , Dat uit uw bloet begint te groeien , En heerlijck tot Godts eer zal bloeien , En door geen tiranny vergaet	None
vond001gysb04_01.TEI.2.text.body.div.head.1646.s.1	Het vierde bedryf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.1	Gozewijn van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.2	Klaeris van Velzen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1648.s.4	Gysbreght van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.1	HEt loopt met Amsterdam , gelijck gy hoort , ten ende , En wy verwachten deel aen d'algemeene elende , 't En zy dat elck van ons zich daetelijck verzie .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.2	Voor my , 'k ben out en traegh : my voeght niet dat ick vlie ; Zoo veele moeiten is dit leven my niet waerdigh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.3	Belieft het Godt , hy koom '; zijn dienaer staet al vaerdigh : Hy hael my in zijn ' troon en aengenaeme rust .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.4	Maer gy , mijn dochter , wien het leven beter lust , En in het bloeienst zijt van uwe jonge jaeren , Zet gy 't op vluchten aen , of Jesus u wou spaeren , En helpen in der noot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.5	Klaerisse , reine maeght , Die t ' onrecht noch den haet van vader Velzen draeght , Begeef u op de vlught : al d'andren zullen volgen .	Emotion_Hatred
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.6	De vyant , blint van wraeck , is bitter , en verbolgen , En allermeest op u , ô moeder , vlught voorheen .	Offended_Emotion_BodilyProcess_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.7	Ick help u in dien noot met traenen , en gebeên , En volge u met mijn hart , daer my geen voeten brengen .	BodyPart_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1668.s.8	Ga hene , Machtels kint , of Godt het wou gehengen Dat gy geborgen wert : 'k ben meest met u begaen .	Worry_Emotion_Compassion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1670.s.1	Kla .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.1	Och , vader Gozewijn !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.2	waer zietge my voor aen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.3	Zoo ick u dus begaf , hoe zou dat my betaemen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.4	Gy zijt mijn maeghschap toch , naer vleesch en geest te zaemen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.5	Zou ick u hier alleen verlaeten tot een ' roos , Die my een vader streckte , en 't Christelijck geloof In 't herte prente , vroegh van kints been af herbaerde , Den geest versterckte , en 't lijf in reinigheit bewaerde ?	None
