hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. Hoofts spel van ‘ Achilles en Polyxena ’	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.6	Staet op , bedroefde vorst , en wilt u selff verschonen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2458.s.1	O Pryamus , dient quaet , gelijck als u , behaecht , Wert van de goden dus rechtvaerdelijck geplaecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2458.s.2	In plaetse vant getruer sout u wel beeter voegen Te dencken , dat ghij ons eertijts wel mocht vernoegen , Maer op den huessen eijs gaeft spijtich antwoort gram , Wanneer ick als gesant aen u tot troijen quam .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2469.s.1	Ghij griecse Prinsen wijs , sijt gh ' oijt beleeft gebleecken , Helpt mij Achilles om mijn soons dood ' lichaem smeecken .	EmotionalAction_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2469.s.2	Een yder duncke dat hij mede sterfflijk sij , En sit hij nu wel hooch , het can hem gaen als mij .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2482.s.1	Troijaenschen Coninck out , Achilles heeft vernomen , Dat ghij om sijnent wil int leeger sijt gecomen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2482.s.2	Indien het u belieft met hem te spreecken ijet , Hij sal u horen , gaet daer ghij hem sitten siet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2484.s.1	Pryamus op sijn knieën	BodyPart_BodilyProcess_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.1	Ghij sijt de oorsaexk niet , Achilles , van mijn kermen , Maer iemant van de goôn , in plaets van hem t ' ontfermen Over mijn ouderdoom , laet mij dit leet geschien , Na dat ick heb met smert mijn kindren doot gesien , De welcke jong en dom haer op het rijck betrouden , En deeden dicwils t ' geen , daer s ' haer voor wachten souden , Volchden haer sotte lust door wulpshaijt onbedacht , 't Welck heeft haer beijd ' en mijn in dus een staet gebracht .	Emotion_BodilyProcess_Sadness_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.2	't Is niemant onbekent , al geeft het groote schade , Dat jongeluy altijt den ouderdoom versmaden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.3	Indien dat door mijn doot de crijch ophouden mach , Vrijwillich ick verwacht den dootelijcken slach .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.4	Ghij sult mij , hoepeloos van immer te verblijen , Van dees benaude geest en swaer elent bevrijen .	Joy_Emotion_BodyPart_Sadness_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.5	Doet met mij wat ghij wilt , k ' geeff mij in u gewelt , Off ghij mij ommebrengt , off in gevancknis stelt , Want al mijn leevens eijnt sal ick in trueren leijden .	Aquiescence_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.6	Laes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.7	niet dan tegenspoet en heb ick te verbeijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.8	Ach , Troyen staet niet meer !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.9	Wanneer als Hector viel , Doen viel het hoge slot daert trots sijn hoff op hiel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.10	Dan , na mijn kindren doot , en commerlijck beswaren , Naet moorden van mijn volck en crijch van negen iaren , Heb ick den griecken wel drievoudich straff betaelt Voor t ' geen , daer in mijn soon met onrecht heeft gedwaelt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.11	Gedenct eens aen de goôn , stelt trotse moedt besijen , Hebt met mijn ouderdom , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.12	doch medelijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.13	Soo ghij dit cleene kint de siel niet geven cunt , Ten minsten t ' lichaem hem van sijnen vader gunt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.14	Gedenct oft swaer sou sijn , en hoe ghijt sout betrueren , Dat diergelijck aen uwen vader sou gebueren .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.15	Die sorge voor u draecht , u welvaert staech betracht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2581.s.16	Dan , daer voor hoed ' hem godt , en alle sijn geslacht , Die jon hem alle t ' geene dat hij wenscht en geven , Dat hij een soeter ouderdoom dan ick beleve .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2582.s.1	Priamus valt in onmacht .	Emotion_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.1	Helaes , beleefde Prins !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.2	indient niet mach geschien , Dat men t ' begraeft , laet mij ten minsten t ' lichaem sien En dit onnosel kint , dat soo veel heeft verlooren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2595.s.3	Kleynen Astianax , waer toe sijt ghij geboren ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2602.s.1	Staet op , bedroefde vorst , van out beweechlijck bloet , Hebt hoop in ongeval , verstarckt u swack gemoet .	Emotion_Hope_BodyPart_Sadness_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.2	de beleeftheijt , waert bij menschen en bij goden , Daer griecken roem aff draecht , waer is die nu gevloden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.3	t ' Geen sonder onderscheijt ghij iont aen elcken een , Weijgert ghij dat , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2617.s.4	aen Pryamus alleen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.1	Ghij hadt ( ô Coning out ) de juecht behoort te dwingen Van uwe kindren sot , als s ' haer te buijten gingen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.2	Maer doen liet ghijt haer toe en hadt in 't quaet gedult .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.3	Dus sijdij selven me deelachtich aen de schult .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.4	En over negen iaer waert ghij soo niet belaeden Met ouderdoom , dat sij u ganselijck versmaeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.5	Sij deden om geen vrou dat schandelijck gewelt Tot Lacedemon , maer om Atreus schat en gelt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.6	Hierom dees uwen straff is niet alleen rechtvaerdich , Maer alsse groter waer , ghij waertse beter beeter waerdich .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.7	De griecken sijn altijt van outs so heus geweest , Dat , als haer vijandt hadt gegeven sijnen geest , Het lichaem wederom sij aen den vrinden gaeven , En lieten lichtlijck toe datmen het sou begraven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.8	Maer Patroclus mijn vrient , als Hector die versloech , Om t ' lichaem schant te doen wt het gevecht hijt droech .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.9	Dus heeft hij aldereerst de goede wijs gebroocken , Het welck is noodich dat op hem weert wert gewroocken , Op dat door sijnen wraeck de gantse werrelt leer d ' Oude beleefthaijts wet te breecken nimmermeer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.10	Om Heleen en om t ' gout , dat ghij luijd ' hebt genomen , En sijn wij griecken niet dus ver van huys gekomen , Maer om te toonen met de wapens in de hant , Hoe veel wij cloecker sijn als eenich ander lant , Hoe wel de vrou en schat rechtvaerdich oorsaeck waren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.11	Want ist u lust met rooff van andren wech te varen , Legt over dattet strect tot droefheyt en verdriet Der genen , die van u dit ongelijck geschiet .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.12	So mij de Parque spaert , en wilt Jupijn gedoogen , Dat ick eens troijens val mach sien met dees mijn oogen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.13	Ick sweer de valsche hoer , diet ons besueren doet , Dat sijt bekoopen sal met haer oncuijsche bloet , Dat ick mijn ouders en mijn vaderlant moet derven , En sien mijn troutste vrient , die k ' meest beclage , sterven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.14	Dan , Pryamus , blijft hier , ick sal een weijnich gaen En sien wat in de saeck mij dese princen raen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2730.s.15	Ghij Capiteijnen groot van macht , en wijse heeren , U is genoech bekent mijn hertelijck begeeren , Dats dat het u gelieft een ijder mij te raen , Het geen hem dunct dat best hier inne waer gedaen .	Emotion_BodyPart_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.1	Ghij , Nestor , hebt alree meer dan twee hondert jaeren , Sijt nevens u verstant in alle ding ervaeren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.2	U sijn t ' gebruyck en stem van vele volcken cunt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2753.s.3	En hadde Godt mij noch tien sulcke mans gegunt , Die so wel connen raen , die so veel dingen weeten , Ick achte , Troijen waer lang woest , en schier vergeeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.1	Het doode lichaem doet ons nergens in profijt : Ten swact ons vijant niet , maer doet hem grote spijt ; Spijt maect moedich , moedt maect willich om te vechten , Met dat te weijgren is dan gans niet wt te rechten .	Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.2	Dus neempt veel liever t ' goudt , dat brengt mede nutheijt in .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2776.s.3	Wat dunct , Ulysses , u ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2780.s.1	So ben ick oock van sin.	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2784.s.1	Wat segt ghij , Aiax ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2784.s.2	mij dunct , dattet niet kan schaeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2788.s.1	Ick seg , grootmoedich Prins , dat sij u wijslijck raeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2797.s.1	Blijft , Aiax , ghij bij mijn , ick danck u , Princen cloeck Van uwen wijsen raet , en u beleeft versoeck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2799.s.1	Polyxena te voet vallende	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.1	Helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.2	Achilles , een verwinner aller dinghen En can die sijn gemoet van gramschap niet bedwinghen ?	Emotion_BodyPart_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.3	Dan , so ghij so verhart nae wreede wrake taelt , U op het lichaem cout mijns broeders niet verhaelt .	Emotion_Desire_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.4	Grootmoedich sijnde , wilt met geen doot lichaem strijden , En oock heeft hij geen schult , Achilles , aen u lijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.6	van u gequel was hij de oorsaeck niet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.7	Siet hier , Achilles , hier , d ' oorsaeck van u verdriet .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.8	Coelt hier u wreet gemoedt , door 't winnen opgeblasen .	Emotion_BodyPart_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.9	Siet hier , Achilles , hier , een oorsaeck van u rasen .	Emotion_BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.10	So gh ' onverbidlijck sijt , en niet dan wraeck en dorst , Compt , dwt u moedich swaert in d ' onversaechde borst , En maeckt geen swaricheyt van t ' herte te duer kerven Der gener , die in danck sal nemen t ' droevich sterven .	Emotion_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.11	Off dunct u dese wraeck genadich en te cleen , Belast met ketens swaer mijn teder swacke leen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.12	Die ghij geleect corts bij d ' onsterfflijcke godinnen , Hout die voor d ' alderslechts , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.13	van u slavinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2846.s.14	En valt het lichaem van mijn broeder niet so straff , Dat ghij de selve bant wt sijn voorouders graff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.1	Ghodin , voorwaer godin , ghij blijft altoos ghodin , En stiert Achilles hert , schoon juffrou , naer u .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.2	Helaes Polyxena !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.3	als ghij u wang betraent , Verciert het off onciert het schreijen u gedaent ?	BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.4	Ick twijffel wat het doet , t ' mach cieren off ontcieren , Ick weet wel , t ' buijcht mijn hert op veelderleij manieren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.5	Staet op , godin !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.6	Hoe nu ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.7	moet dan Achilles sien t ' Uutroijen vant blont haer en t ' buijgen van de knien , Daer hij sijn knien voor buijcht ; wat knien ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.8	sijn herte moedich , Dat nocht het vreesselijxst van de slachorden bloedich , Noch vant verwinnent heijr de wrede rasernij , Noch bleecke doot ontsach , met schrick en angts daer bij .	Fear_Emotion_BodilyProcess_Awe_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.9	Autumedon , wilt hier terstond wat spijs beschicken Om desen ouden Vorst een weijnich te verquicken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2886.s.10	Nu , Pryamus , staet op , stelt aen een sij u leedt , Droocht aff u tranen , en u droeffheijt wat vergeet .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2893.s.1	Grootmoedich Prins , ken sal , t is tegen het behooren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2902.s.1	Verwacht dan niet , dat ick laet vallen mijnen tooren .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2902.s.2	Wilt ghij mij te geval u niet tot eten spoen , Ick sal op geen manier aen u begeert voldoen .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.1	Liefts had ick , dat ghij mij mijn ongh'luck liet betrueren .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.2	Dan , mach mij anders niet t ' dode lichaem gebueren , Ick sal ontveijnsen met het aensicht mijn verdriet .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2915.s.3	Dan , t ' hert en laet daerom t ' gewoonlijck trueren niet .	Emotion_BodyPart_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.1	Ghij hebt nu negen iaer , ô Pryamus , geleden Een oorloch , tot bederff van al u landt en steden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.2	De volcken , die u eerst bijstonden in de plaech , Die vallen van u aff , dit siet men alle daech .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.3	Ghij sent niet wederom nochtans de griecse vrouwe .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.4	Wat oorsaeck hebdij doch , dat ghijse noch gaet houwen , Die haer so schandelijck te buijten heeft gegaen ; Haer Vaderlant , en al dees crijsluy heeft verraen ; Haer eijgen broeders mee ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.5	die doch so heijlich waren , Want sij en wilden niet met ons nae Troijen varen Om dees vuijl hoere weer te brengen in haer lant , Wiens doot haer liever was , tot wraecke van de schant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.6	Wanneer ghij dagelijxs saecht u quaet daerdoor vergroten , Waerom hebt ghij se niet ter poorten wtgestooten ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.7	Hoe valt dit draechlijck voor u oude edel lien , D ' ier soonen alle daech deerlijck vermoorden sien ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.8	Heeft godt u altemael berooft van uwe sinnen , Dat in alsulcken stat niemant en is te vinnen , Die door sijn vaderlants verdriet beweecht met rouw , Een wreede straffe neem van dese valse vrouw ?	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.9	Ten aensien ws ghebedts en van u oude leeven , Sal ick u t ' lichaem van u sone weder geeven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2993.s.10	Daer in ick houde dat mijn vijant heeft misdaen , Dat selve sal ick nu noch nummermeer beghaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.1	Wie can der goden schick , grootmoedich Prins , ontvlieden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.2	Sonder der goden wil dees dingen niet geschieden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.3	Op verna was eertijts gheen Coninck mijns gelijck In grootheijt van geslacht off machticheijt van rijck Van al de geenen , die t ' rijck Asien bewonen , Want tot verscheijden dracht gewan ick vijftich sonen , Waer van elck een mijn hiet geluckich .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.4	Maer opt pas , Dat Hecuba , mijn vrou , van Paris swanger was , Soo droomtse , dats in plaets vant kint een toerse baerde , Die Troijen stack in brandt , twelck ons altsaem vervaerde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.5	Want de Waerseggers wijs songen met droeff geluijt , Dat hier door wart den val van onse stad beduijt , Waer door dat ick beval het kint flux om te brengen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.6	De moeder veijnsden , dat sijt gaern soud ' gehengen , Maer vrouwelijck beweecht over haer eijgen bloet , Gaft seeker herders en die hebbent opgevoet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.7	En groot geworden wast so schoen in elx behagen , Dat sijnen doot ons scheen onmogh'lijck te verdragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.8	Dus quam hij in mijn hoff wt het Jidaesche wout , En heeft Oenonen voorts tot sijnen vrou getrout .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.9	Maer weijnich tijts daer nae began sijn hert te branden Met luste om te sien de vreempt en verre landen , De welcke lust mij niet mishaechde noch verdroot .	Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.10	Des van geselschap en een welgeruste vloot Ick hem versach , en so trock hij van deese steede Na griecken , daer hij u , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.11	dit ongh'lijck dede , Door dien hij tot sijn wil de griecse vrouwe vont , Die elck hier welcoom was , en niemant tegen stont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.12	Een ijder was sij lieff door haer manier hoochvaerdich , Een ijder achten haer een oorloch bloedich waerdich .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.13	Ick houde , dat een godt ons tot dees sotheijt dwanck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.14	t ' Geschieden tegens mij noch tegens niemants danck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.15	Antenor had sijn soon gaen op de schepen voegen , Maer op de wedercoompts toonden een quaet genoegen , En sant hem buijtenslants .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.16	Dees man , seer rijp van raet , De saecken van het rijck en t ' oorloch wel verstaet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.17	Soo veel als mijn belangt , ick sie mijn eijnde comen , En tis mijn aengenaem , k ' en derff daer voor niet schromen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.18	Maer voor mijn kindren , laes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.19	en d ' oude Coningin Ick mij op dese tijt in sware vreese vin , Die naet verlies mijns rijxs , helaes !	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.20	in slavernien k ' En weet niet van wat heer de trotsheijt sullen lijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.21	Dan , neempt , beleefde Prins , dees cledren en dit gout .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3119.s.22	Ick danck u voor mijn soon sijn dode lichaem cout .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.1	Draecht wech , Automedon , des ouden Conings gaven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.2	Daer is u dode soon om eerlijck te begraven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3130.s.3	Daer is u dochter ; neempt , alst u blieft , u keer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3140.s.2	beleefde Prins , geeft ghij mij die noch weer ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3140.s.3	Behoutse tot u dienst , en wiltse niet versteecken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3148.s.1	Den tijt is niet bequaem om nu daer aff te spreecken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3148.s.2	Wij sullent stellen wt tot op een ander dach .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3155.s.1	Ick danck u , hoghe Prins , ghodt hoed ' u voor geclach .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3157.s.1	3e Handelinghe .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3157.s.2	3e Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.2	Hoe schoen , hoe trots , hoe spijtich datse schijnt , De werrelt doch niet anders is als wijnt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.3	Haer staet verkeert gestadelijck en ras : Nu isse niet het geen sij gistren was .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.5	Die gister trots op rijcdom swaer en schadt Weygerden t ' broot aen die hem daer om badt , Werden te nacht berooft van schat en lant , Heden gevoet van iemandts milde hant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.7	Die gister met sijn adel groot van pracht Betrouden op sijn rijck en out geslacht , Op gunst vant volck en capiteijnen braeff , Dient heden aen sijn vijant voor een slaeff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.9	Een hooftman van veel cloecke oorlochs lien , Die door sijn naem en daden was ontsien En menich rijck vervaerden doort gewelt , Wert van de doot op dese nacht gevelt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.11	Die gister lach door armoedt swaer geparst , Van staet en wijt beroemtheijt aldervarst , Wanhoopten niet maer wart boven sijn wins Heden misschien een rijck beroemde Prins .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.13	Die stadich wel op dit verandren oocht , Door voorspoet sijn gemoet hij niet verhoocht , Noch oock verlaecht , alst ongeluck hem stoort ; Geen hoverdij noch wanhoop hem becoort .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.15	Die doort geluck sijn moet verhoegen laet En sich betrout op rijckdoom , macht , off staet , Al dwanck hij gans de werrelt met sijn iuck , Hij is een slaeff vant wanckelbaer geluck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.16	8 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.17	Een die door ongeval of tegenspoet Wert moedeloos oft vallen laet sijn moet , De wanhoop weecht hem swaerder als de druck , Die hem compt wt lichaemlijck ongeluck .	Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.18	9 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.19	Maer diet gemoet in tegenspoet off noot Gestadich heeft en altoos even groot , Al heeft hij goet noch staet , nochtans is hij Gheboren tot des werrelts heerschappij .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.20	10 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.21	Als sulcken man een coninckrijck aenvaert , Met slavernij sijn volck hij niet beswaert , Maer gaet hem tot de lantbestiering spoen , Om aen sijn volck doort heerschen dienst te doen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.22	11 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.23	Als sulcken Prins , rechtvaerdich waerdich hooft , Wart van sijn staet en coninckrijck berooft , t En deert hem niet , dat hij sich siet verlaecht , Maer t ' ongeluck sijns volxs hij beclaecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.24	12 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.25	Als sulcken Prins alleene tracht nae d ' eer Van t ' goet te doen aen t ' vollick tallen keer , En te besteen sijn leven en sijn doot Tot welvaert van sijn volck in den noot , 13 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.26	Dits t ' hoochste dat de sterffelijcken mens Vercrijgen can , en dit was Hectors wens , Van te besteen tot scha van sijn vijant Sijn leven en sijn doot voort vaderlant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.27	14 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.28	Hector vercreech sijn wens , en voor gewis Geensins dees Prins hier te beclagen is , Maer wij , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3337.s.29	beclagen t ' oude rijck , Dat door sijn val viel neder te gelijck .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3340.s.1	[ 4e. Handelinghe . ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3341.s.1	4e. Handelinghe .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3341.s.2	1e Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3342.s.1	Achilles , Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.1	Vervloecte handen , en wel waerdich wt te roijen , Die u besmetten met d ' edelste bloet van Troijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.2	Vervloecte voeten , die de stoute borst betradt Des vroomsten capiteijns , die Asien heeft gèhadt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.3	En ghij sijt me vervloect , ô overwreede ooghen , Die sulcke moorderij t ' aenschouwen cont gedoogen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.4	En noch vervloecter sijt ghij , overwreet gemoet , Diet moorden van mijn lieff haer aldernaeste bloet Verdragen cunt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.5	Van wat geslacht sijt ghij geboren , Achilles ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.6	dat de geen , die ghij hadt wtvercoren Tot een schoonbroeder waert , ghij selve die vermoort !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.7	Van meerder wreetheyt is int oorloch noijt gehoort .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.8	Helaes , Polyxena !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.9	den moort heb ick bedreven .	None
