stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of De verovering van het Mogolsche ryk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.6	ô Schrandre Nadir , die , om achterdocht te weeren , Staatkundig , door een ' glimp van edelmoedigheid , My bits bejegent , dus myn ' meêgezant misleid , My ophoud in uw heir , om my alléén te spreken !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.7	'k Zal toonen dat my klaar uw doelwit is gebleken ; 'k Zal my bedienen van dit gunstig oogenblik .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.8	Doch , schoon ik vol van hoop , vervreemd van dwazen schrik , In u myn ' toeverlaat blymoedig durf aanschouwen , 'k Zal echter op uw gunst my niet te veel betrouwen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.9	ô Triomferend held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.10	vrees , vrees , misleid ge my , Dat Alikans verderf tot Nadirs val gedy ' .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.stage.1088.s.1	Einde des Tweeden Bedryfs .	None
stee033tham01_01.TEI.2.text.body.div.head.1092.s.1	Derde bedryf .	None
stee033tham01_01.TEI.2.text.body.div.stage.1095.s.1	Nadir , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.1098.s.1	Nadir , tegen Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.1101.s.1	Gy zult , van wacht verzeld , des keizers komst verbeiden , En hem eerbiedig in myn legertent geleiden .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.1104.s.1	Alikan , terwyl Malek vertrekt .	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.1	Vorst Nadir , niet vernoegd dat ieder heldendaad Van zyn gevreesde kling 't geloof te boven gaat , En dat zyn strydbare arm 't heeläl houd opgetogen , Begeert de glorie van grootmoedig mededoogen !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.2	Gy spaart een ' vyand , die , van alle hoop ontbloot , Elendig zou vergaan van zwaren hongersnood , 't En ware 't u behaagde ons ongeval te stuiten !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.3	Zelfs bied ge ons gunstig aan een vreêverdrag te sluiten !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.4	Uw weldaad , ons beloofd , uw deugd is ongemeen : Die edelmoedigheid , ô held !	None
stee033tham01_01.TEI.2.text.body.div.sp.1115.s.5	voegt u alleen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.1	Gy , Alikan , gy kunt , door deze gunst te roemen , Uw ware meening , uit bevreesdheid , loos verbloemen !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.2	Die taal verbaast my niet : een hoveling , als gy , Doorslepen , uitgeleerd in list , in veinzery , Zal zyn gedachten steeds uit achterdocht bedekken , Zo hem de oprechtheid zou tot nadeel kunnen strekken .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.3	Maar deze loosheid is onnoodig : spreek oprecht .	None
stee033tham01_01.TEI.2.text.body.div.sp.1126.s.4	Verwacht ge , van myn gunst , niets anders dan gy zegt ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.1	Indien een andre held , in staat te triomferen , Beloofde van ons ryk den ondergang te weeren , En zelf de vreê begeerde ; ik zou , op wissen grond , Vermoeden dat zyn hart , in weêrwil van zyn ' mond , Een ' loozen toeleg smeedde , om , zonder krygsgevaren , Een kroon te winnen , door een ' vyands heir te sparen ; Dat hy den keizer , als uit yver voor de vreê , Door kunstig staatsbeleid lokte in zyn legersteê , Om , als vorst Mahomet behendig waar ' gevangen , Het magtig ryksgebied van Indostan te erlangen ; Dat hy , door bystand , uit ons ryk hem aangeboôn , Door onzer grooten hulp verwinnaar van den troon , ( Men kan met reden van dien toeleg hen verdenken , ) Aan één ' dier grooten 't ryk ten leengebied zou schenken , Verzekerd dat ons volk , bevredigd , hem getrouw , Door één ' uit ons bestierd , zyn zege staven zou .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.2	Zo zou een ander zich ontwyfelbaar gedragen , Zich vleijende op die wys zyn glorie niet te wagen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.3	Ervaren staatzucht denkt dat de opperheerschappy Met recht verkregen word door list , door veinzery : Zy zal een loos bedrog , 't geen tedre zielen doemen , Een loffelyke daad van ware helden noemen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1154.s.4	Licht wraakt gy die gedachte : onzeker , weet ik niet Of Nadirs eerzucht doemt wat staatzucht hem gebied .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.1	Gy , aan den toeleg van uw grooten medepligtig , Zyt , in 't ontveinzen van uw stout bestaan , voorzigtig : Gy vreesde dat ik u , uit eerzucht , mogt versmaên ; En bood door andren my uw ' vreemden bystand aan : Nu toetst ge my ; en poogt , zolang u myn gepeinzen Noch niet gebleken zyn , uw ' aanslag my te ontveinzen : In twyfel wat myn hart van uw besluit gevoelt , Bewyst ge , door uw list , wat oogmerk gy bedoelt ; Opdat ikzelf , bewust van 't geen gy poogt te smooren En tevens my ontdekt , u myn besluit doe hooren .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.2	Gy vleit u met de hoop dat Thamas Koelikan , Die Thamas troon bekleed in 't vorstlyk Ispahan , Den naam van dwingland , van verrader , niet zal vlieden , Indien hy Indostan als keizer kan gebieden : Maar 't schynt u onbekend , dat , sints ik Nadir wierd , Ik 't Persiaansche volk rechtvaardig heb bestierd ; Dat , toen my 't gantsche ryk tot koning heeft verkoren , De alöude luister van myn staten wierd herboren ; Dat Thamas , my ter wraak , rechtmatig wierd onttroond ; Ik , voor myn diensten , uit erkentenis gekroond : Ik pleegde geen geweld ; men schonk my 't ryk vrywillig .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.3	Myn zucht tot heerschen en uw staatzucht zyn verschillig : Ik wenschte om 't heil des volks ; gy wenscht uit eigenbaat : Myn oogmerk was oprecht ; het uwe is kroonverraad .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.4	Die taal behaagt u niet : gy denkt licht , uit myn rede , Dat ik , uit deernis , ben genegen tot de vrede : Maar schort uw oordeel op , totdat ge onfeilbaar ziet Of Nadirs eerzucht doemt wat staatzucht hem gebied .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.5	Een vyand zal niet licht een keizerryk versmaden .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.6	Misschien bereikt gy 't wit van uw geheime daden .	None
stee033tham01_01.TEI.2.text.body.div.sp.1190.s.7	't Is recht , nu Alikan voor my behendig veinst , Dat hem verholen zy wat Nadir waarlyk peinst .	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.1	't Is vruchtloos dat ik poog door veinzery te ontdekken , Of ons de hongersnood tot schade of heil zal strekken .	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.2	Ik durf my van uw deugd beloven dat misschien ...	None
stee033tham01_01.TEI.2.text.body.div.sp.1197.s.3	De keizer nadert ons ; 'k zal haast uw doelwit zien .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1202.s.1	Mahomet , Nadir , Nasser , Nizamëlmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.1	ô Vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.2	uw ongeluk , uw komst , uw vast betrouwen Op myn gegeven woord , verpligt my u te aanschouwen Als mynen bondgenoot , ja als myn ' waarden vrind .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1209.s.3	Door deze omhelzing blyk ' hoe Nadir u bemint .	Emotion_Dedication_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1211.s.1	Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.1	Uwe edelmoedigheid , in ons gevaar te weeren , Doet my , ô koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.2	u als myn ' verlosser eeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.3	Gy hebt , door dapperheid , myn groote legermagt Met weinig oorlogsvolk bykans ten val gebragt : Nochtans verwerft ge , ô held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.4	door 't al vernielend stryden Zo groot een ' luister niet als door uw medelyden .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1229.s.5	Ik zal den ryken troon van grooten Tamerlan , En 't Persiaansche land , gehecht aan Indostan , Naar inhoud van den eisch , met recht my voorgeschreven , Aan uw zeeghaftig ryk vrywillig wedergeven : Ik zal de schuld , welëer aan Abas niet voldaan , En myn verbond , van u in oorlog by te staan , Waarin ik schuldig bleef , u t'eenemaal vergoeden : 'k Zal juichend u voldoen , opdat het yslyk woeden Van kryg , van hongersnood , van tweedragt , tot uwe eer In vrede , in overvloed , in waar geluk verkeer ' !	Emotion_Happiness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.1	Het woedend oorlogswee van all ' uw legerscharen , Door onverhoopte gunst , door vreê , te doen bedaren , Verwekt meer blydschap in myn mededoogend hart , Dan u 't verrassend eind ' van uwe onlydbre smart : Ik , die myn ' lust nooit stelde in moorden , in vernielen , Smaak thans een ware vreugd ; ik red ontelbre zielen ; 'k Verwerf , door 's vyands heir te ontheffen van elend ' , Een gadeloos geluk , voorheen my onbekend .	Joy_Emotion_Happiness_BodyPart_Compassion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.2	De magt tot weldaên is een voorrecht van de grooten ; Een voorrecht , meest , verzuimd , van weinigen genoten ; Een heil , waardoor men zich der grootheid waardig maakt , Waardoor eene eedle ziel de zoetste weelde smaakt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.3	'k Heb dus , al spaarde ik u het keizerryk , ja 't leven , Veel min voor uw geluk , dan zelfs voor 't myn ' bedreven .	Emotion_Happiness
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.4	Laat ons , tot sterking van ons weêrzydsch ryksgezag , Ons naauw veréénen door een eeuwig vreêverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.5	Een dierbaar echtverbond zal ons 't vermogen geven , Waardoor we , aanéén verknocht , de koningen doen beven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1259.s.6	De schoone Milko , die , door edelmoedigheid , Voor uw ' gedreigden staat eene uitkomst heeft bereid ; Die , door haar vaderland meer dan zichzelf te minnen , Het waardig voorwerp is van myn verbaasde zinnen ; Zy , die ik hooger dan uw kroon en scepter acht , Van wie ik neven wensch uit Tamerlans geslacht , En wier uitmuntendheên myn ' zoon in liefde ontvonken , Zy tot eene echtgenoote aan dezen prins geschonken .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1262.s.1	Alikan , ter zyde .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1264.s.1	ô Felle spyt !	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1267.s.1	Nasser , tegen Nadir .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.1	Myn vorst , uw dierbre gunst , gewoon My niets te ontzeggen , toont uw liefde voor uw ' zoon .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.2	Vergun my , daar gy eischt als koning , als verwinnaar , Dat ik myn bede doe als onderdaan , als minnaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.3	Maak my , doorluchte vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.4	my , zuchtende om uw ' druk , Een ' blyden deelgenoot van uw aanstaand geluk ; Sta toe dat Nasser zich aan schoone Milko huwe , Opdat myn jeugdig bloed , veréénigd met het uwe , En dus verëdeld door 't aloude heldenbloed Van grooten Tamerlan , uw nederlaag vergoed ' !	Joy_Emotion_Happiness_BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.6	ik zal voor u , als de yvrigste uwer magen , Dit bloed , uit Nadir zelv ' gesproten , moedig wagen , Daar gy , gedreigd , ontrust door 't Zuidlandsch muitgespan , Geen ware keizer zyt van 't magtig Indostan ; Ik zal , verzekerd van den goeden wil myns vaders , Uw wraak gestreng voldoen op deze ryksverraders .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1288.s.7	Bedenk , opdat uw gunst een ' vyands zoon verpligt ' , Hoeveel die vyand eerst voor uw geluk verricht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1273.s.1	Tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.1	My is genoeg bekend , ô edelmoedig koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.2	Hoeveel ik schuldig ben voor uwe gunstbetooning .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.3	Hoe wenschte ik dat myn magt , om u een waardig blyk Van dank te geven , aan uw weldaên waar ' gelyk !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.4	Maar dat uw goedheid niet in grimmigheid verkeere !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.5	Dat Nadir voor zyn ' zoon eene andre gift begeere !	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.6	Een keizer is altoos verbonden aan zyn woord .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1299.s.7	Gy eischt van my een bruid die Alikan behoort .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.1	Ik had , als koning , als verwinnaar , uw beschermer , Uw ryksbehoeder , uw verpligter , uw ontfermer , Verhindert dat myn zoon u smeekte , zo het niet Om 't weêrgaêloos bezit van Milko waar ' geschied : Dat voorwerp is alleen dier onderwerping waardig .	EmotionalAction_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.2	Gy zyt , in 't schenken van uw gunsten , onrechtvaardig : Uw stoute weigering , waardoor ge my versmaad , Geschied , misleide vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1311.s.3	voor één ' die u verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1315.s.1	Hy , onlangs valsch betigt , heeft , door zich vry te spreken , ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1319.s.1	Zyn schuld is , vóór uw komst , onfeilbaar my gebleken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1324.s.1	Myn trouw voor 't keizerryk is aan myn ' vorst bekend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1327.s.1	Nadir , tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1331.s.1	Zyn heimlyk vloekgespan veroorzaakte uwe elend ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1331.s.2	Ja , vorst , men heeft voorlang , uit staatzucht van dien snooden , My schandlyk , op zyn ' naam , uw ' scepter aangeboden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1336.s.1	Men heeft op myn bederf arglistig toegelegt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.1	Weet uw behoudnis dank aan 't heilig gast vryrecht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.2	Uw krygswee , my voorzegd , toont dat zyn vloekgenooten , My vleijende op zyn ' naam , voor hem uw ' val besloten : Hun snoode raad alleen , door u te veel betracht , Heeft uw verwaarloosd heir tot hongersnood gebragt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1351.s.3	Gy zult , opdat ik u voorzigtiger doe wezen , Hun trouweloos geschrift ter overtuiging lezen , Zodra ons vreêverdrag , en de echtverbindtenis Van Milko met myn ' zoon , door u bevestigd is .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.1	Hoe kan ik Alikan , myn ' gunsteling , verdenken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.2	Men durft , door nyd bezield , by u zyn glorie krenken .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1359.s.4	vergun my , dat , in 't wenschlyk vreêbesluit , Ik myn belofte houde aan hem en aan zyn bruid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.2	kan myn woord by u dan geen geloof verkrygen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.3	Vermoed ge , dat ik hem onschuldig zou betygen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.4	Een ' listig ' hoveling , door schandelyke kunst , Door laffe vleijery gedrongen in uw gunst ; Een lage ziel , betigt , bekwaam toe gruwelstukken , Gewoon uit eigenbaat uw volken te onderdrukken ; Dien snooden acht ge ( ô smaad ! ) meer uw betrouwen waard ' , Dan Nadir , die uw heir , uw ryk , uw leven spaart !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.5	Gy , die niet vreesde uw woord , uw dier verbond te breken , Durft , tot eene uitvlucht , my van uw belofte spreken , Terwyl uw rampspoed , tot behoudnis van den staat , U , by een ' onderdaan , van die belofte ontslaat !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.6	Is dit erkentenis voor myn genade toonen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.7	Vermeetle !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.8	moest ge my , uw ' overwinnaar , hoonen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.9	Myn mededoogendheid misbruiken in uw ' druk ?	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.10	Gy vleit u reeds te veel met uw aanstaand geluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.11	'k Zal , eer myn grimmigheid aan u ten val mogt strekken , Tot vordring van uw heil , uit uw gezigt vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.12	Pleeg raad , terwyl ikzelf myn ' fellen spyt bedwing ' , Met Nizamëlmoluk , of met uw ' gunsteling .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.13	Rampzalig keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1384.s.14	beef , zo myn getergde goedheid Verkeert in haat , in wraak , in wreedheid , in verwoedheid .	Fear_Emotion_Hatred_BodilyProcess_Anger_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.stage.1389.s.1	Mahomet , Nasser , Nizamëlmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1403.s.1	Ik zal , nadien uw hart , onbuigzaam voor myn beê , Geen acht slaat op uw heil , op de aangeboden vreê , Voor uw behoudenis een ' dierbren bystand kiezen , Eer Nadir u de hoop van uitkomst doe verliezen ; 'k Zal toonen , schoon myn wraak , myn ' bitschen smaad ten zoen , Onfeilbaar door uw ' val myn liefde kan voldoen , Dat ik , zelfs meer dan gy , uw deerniswaarde elenden , Uw ' wissen ondergang van u poog af te wenden .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1403.s.2	't Is noodig , daar gyzelf u stort in 't grootst gevaar , Dat ik , uws ondanks , u de kroon en 't leven spaar ' .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1408.s.1	Mahomet , Nizamëlmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.1	Wat yslyke overmaat van wee staat my te duchten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.2	Ik , die myn ' val beween , myn stervend volk hoor zuchten , Myn ' vyand nedrig vlei , zie myn beroemd geslacht , Myne eedle afkomst door dien vyand trots verächt .	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.3	Zou ik , ( ô bittre spyt ! ) om lyfsgenaê te vinden , Myn oud doorluchtig huis aan 't laag geslacht verbinden Van Thamas Koelikan , eens kleenen hoofdmans zoon , Door schandlyke overmagt bezitter van een ' troon ?	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.4	ô Groote Tamerlan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1421.s.5	wat smaad ware u beschoren , Indien 't my lustte naar dit vreêverdrag te hooren !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.1	Ach , vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.2	terg Nadir niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1427.s.3	Wat kan , in dezen nood , Verhindren dat zyn magt u dwinge ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1431.s.1	Milkoos dood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1436.s.1	Wilt gy , die 't moorden haat , de onschuldige doen sterven ?	Emotion_Hatred
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.1	Haar hand voldoe myn ' wil : 'k zal 't van haar ' moed verwerven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.2	Ik stem veelëer haar dood , waarvan ik zuchtend gruw , Dan dat ze ons bloed besmette , ik haar aan Nasser huw ' .	Emotion_BodilyProcess_Disgust
stee033tham01_01.TEI.2.text.body.div.div.sp.1444.s.3	Myn wanhoop ga haar voor : 'k wil , om myn ' ramp te weeren , Op Nadir door myn dood kloekmoedig triomferen .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.1	Gy word door felle smart , door wanhoop , wreed misleid : Uw sterven waar ' geen moed ; het waar ' lafhartigheid .	Emotion_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.2	Vergeef my deze taal : uw heillooze offerhande , Geschikt tot weering van eene ingebeelde schande , Waar ' doodlyk voor uw heir , verderflyk voor den staat , En voor uw oud geslacht een onvergeetbre smaad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.3	Voorkom dat ongeval ; ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1459.s.4	duld niet dat men melde : ‘ Vorst Mahomet , die dwaas tot wanhoop overhelde , ‘ Ja om een harsenschim zich angstig heeft ontzielt , ‘ Heeft , door zyn laffe dood , zyn talryk heir vernielt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.1	Uw weigring is gegrond , myn vorst ; maar ze is gevaarlyk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.2	Uw dreigend doodsgevaar te weeren , valt bezwaarlyk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.3	Mislei den vyand ; veins te stemmen in den prys Van uw behoudenis , opdat hy 't leger spyz ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1467.s.4	Men mag een vreêverbond , uit dwang gestemd , verbreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.1	ô Neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.2	behelp u niet met eerelooze treken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.3	Indien ge ( ô gruweldaad ! ) die veinzery bestond , Zoud ge , om 't verbreken van een heilig vreêverbond , Daar Nadir blyken geeft van edel mededoogen , Verdienen dat gyzelf arglistig wierd bedrogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.4	De vyand , die uw heil en wissen ondergang In zyn vermogen heeft , bestaat geen ' snooden dwang , Wanneer zyn yver , verr ' van door het staal te woeden , Door onverhoopte vrede u gunstig poogt te hoeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.5	Voldoe hem ongeveinsd ; verlaat u op myn trouw .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.7	dat myn raad uw heir , uw ryk , uzelv ' behou ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1483.s.8	Dat Nadirs dierbre gunst ..!	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1487.s.1	Die gunst gaat u ter harte .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.1	Gy zoud ze niet versmaên , 't en waar ' ze u hevig smartte .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.2	Herstel ons ryksgeluk , myn keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.3	hoor naar my .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.4	Gy wierd te lang misleid door laffe vleijery .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1499.s.5	Dit echtverbond , dat u geen onheil kan verwekken , Zal u ontwyfelbaar tot ware glorie strekken ; Ja , in 't volmaakt geluk van 't juichend Indostan , Uw ' stam doen roemen op een ' tweeden Tamerlan .	Joy_Emotion_EmotionalAction_Happiness
stee033tham01_01.TEI.2.text.body.div.div.stage.1504.s.1	Mahomet , Milko , Nasser , Nizamëlmoluk , Alikan , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1509.s.1	Prinses , voldoe uw ' wensch ; tracht 's keizers val te stuiten : 't Gevaar eischt kort beraad : doe hem tot vreê besluiten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.2	duld dat ik smeek ' voor 't angstig vaderland , Erbarmelyk gedreigd , in hopeloozen stand , Voor 't stervend talloos heir , voor uw geliefde vrouwen , Voor onderdanen die hun welzyn u betrouwen , En voor uw dierbaar kroost , dat om meêdoogendheid , Om uitkomst in de elende , erbarmlyk met my schreit : Betoon uw liefde als vorst , als echtgenoot , als vader : Uw goedheid zy voor ons !	Fear_Emotion_EmotionalAction_BodilyProcess_Love_Dedication_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.3	niet voor een ' staatsverrader , Die , waar ' zyn trouw oprecht , aan 't ryk my af zou staan , Zyn min beteuglen , u van uw belofte ontslaan .	Emotion_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1535.s.4	Uw milde gunst , beducht een vryë ziel te dwingen , Een vrouw uit uw geslacht eene echtkeur op te dringen , Genadig deelende in myn blydschap , in myn smart , Beloofde aan Alikan myn hand , indien myn hart Volkomen waar ' geneigd zich by die gift te voegen : Ik toonde u tegen hem nooit eenig ongenoegen : 'k Waar ' met dien bruîgom reeds , nadien 't myn ' vorst behaagt , Veréénigd , zo de kryg myn ' echt niet had vertraagt : Maar thans bedien ik my van 't recht , aan my gegeven ; Ik red uw legermagt , myn vaderland , uw leven , Ten koste eens minnaars die myn liefde onwaardig is : Myn weigring maakt u vry van uw beloftenis .	Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.1	Mevrouw , dit gaat te verr ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.2	My tegen recht te hoonen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1542.s.3	Ik , vaardig in myn trouw voor 't vaderland te toonen , Wensch yvrig dat myn vorst met Nadir zich verzoen ': 'k Verzaak myn ' minnegloed .	Emotion_BodilyProcess_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1547.s.1	'k Zal 's konings eisch voldoen : Ik ben tot weigering der vreê niet meer verbonden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1551.s.1	Gy hebt , ô Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1551.s.2	uw ' keizer weêrgevonden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1555.s.1	Nizamëlmoluk , tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1558.s.1	Men geve in aller yl , opdat men 't onheil stuit ' , Aan Nadir kennis van dit heugchlyk vreêbesluit .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1561.s.1	Nasser , tegen Mahomet .	None
