weye002holl01_01.TEI.2.text.body.div.head.158.s.1	De Hollandsche zinnelykheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1180.s.1	Ik ben zoo droog niet lam , al schyn ik hoog in jaaren , En zou de Huiwlyk-zee , het als Alfons bevaaren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.1	Gy d'Huiwlyks - zee !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.2	je blaakt ( 'k moet lagchen by myn ziel ) Als doode schelvis in een schevelingsche kriel ; Gy bent komkommer-heet , verwarmend als aardbeijen , Zo blank als 't goude leer , of oude turkse spreijen .	BodyPart_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.3	Myn Juffers koets schrikt voor een meerzwyn of een kalf , Met pooten olyvet van populiere zalf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.4	Wat drommel zouje doen , als 't schaap by nagt te quellen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.5	Een Juffer wil geen klok by ronkers toonen tellen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1192.s.6	Want ofje slaapt of waakt , ( 't zy opentlyk gezeit ) Je bent een kegel , die of zwikt of nederleit .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.1	Ik ben geen kegel , kind , geen meerzwyn , ligte Juffer , Komkommer of tapyt , nog een bekruiden suffer .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.2	Wat meer beleeftheid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1198.s.3	Wat de duiker , ja en neen , Zo zeker als ik leef ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.1	De duivel , dat zyn Eén !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.2	d'Apteker vloekt zoo zoet als fransche confituuren ; Nu , 't geen niet hevig is , kan eeuw en tyd verduuren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.3	Maar voor uw eigen eer ( volg eens een meisjes raad ) Zo vloekt by rottekruid , de dood , of sublimaat , By maankop , helsche quik , purgaatsjen en klisteeren , En zulke Recipees , die menschen ruïneeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1210.s.4	Laat voor een fyne zus , en mennoos effe doek Die protestaatjen van banket en peperkoek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.1	Ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.2	Antonette lief , ey wilt ons niet begeeven !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.3	Ik zal gelyk een musch aan Venus lymtak kleeven , Ik zal my slingren als groen veil om uwe leen ; Kom doet uw deurtjen op , en loop zo ras niet heen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1219.s.4	Laat Herbamuf de piek van egte liefde planten Op uw fortresse , laat my klautren langs de kanten Van 't snee-wit Bastion , tot op het zoet gebergt .	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1222.s.1	Weg kleine Ciampion , dat was de mond getergt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1227.s.1	Het spreekwoord is , lang stroo geeft dikmaals weinig kooren , Een hoogen berg kort gras ; indien ik kon deurbooren Uw wreedheid kind , je schold me voor geen endje worst .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.1230.s.2	dat zou wis een vlieg zyn op een kallifs borst .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1231.s.1	SPAD .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1233.s.1	Zie daar , 'k vereerje een prent van Ceuta , Stad der mooren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1238.s.1	Al gaafje het Koningryk , nog was de moeit verlooren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1238.s.3	schrandren Spadulaan , blyft dog by d'Apotheek , De Juffer past u als een preekstoel aan een leek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1242.s.1	Wel Kamenier der maan , uw tong is vreeslyk vaardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1243.s.1	ATNONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1245.s.1	Gezalfden substituit , myn is ruim d'uwe waardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1246.s.1	HERBAM .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1248.s.1	Ik had beleefder taal voor ons muzyk verwagt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1251.s.1	Doodbidders komen daags , maar nimmermeer by nagt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1252.s.1	HERB .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1257.s.1	Wel sletvink , kamerkat , gevleugelde bodinne , Beplaastert popje , faktores van duistre minne , Geplukte koolmees , half-gezengde winterhes , 'k Lagch met uw stoute tong , geraffineerde tes .	Joy_Emotion_EmotionalAction_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1263.s.1	Decoktje-ketel , zalf , klisteer en pleisterkruijer , Besmeerde traanton , moordklok , schelmsche vyzel-luijer , Die kopre doodbus , door quaatspreekentheid bewoont , Is waardig datze word met deze krans bekroont .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1265.s.1	Zy werpt de waterpot op zyn hoofd .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.stage.1265.s.2	Spadulaan en de Muzikanten vlugten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1278.s.1	Wie dat de zoete rust verlaat om geile poppen , Of als een uil , de nagt kiest voor het zonneligt , Word dikmaals overstulpt met diergelyke soppen , Van pispot , bezemstok , of krabben in 't gezigt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1278.s.2	Zie jongens wat een loon 't nagtraven en rinkinken Ons geeft in deze serenaad , My walgt die saus , 'k bespuw 't gebraad , En slyt voortaan met vrolyk drinken Den dag en nagt , en laat dat vinken , Waar van 't berouw volgt na de daad .	Emotion_Disgust_Remorse
weye002holl01_01.TEI.2.text.body.div.head.1281.s.1	Derde bedryf .	None
weye002holl01_01.TEI.2.text.body.div.stage.1284.s.1	MEVROUW KEIZERS-THEE , ZUSJE PHENIX , SPADULAAN .	None
weye002holl01_01.TEI.2.text.body.div.stage.1284.s.2	Het Toneel vertoont een Salet .	None
weye002holl01_01.TEI.2.text.body.div.sp.1287.s.2	hoe verdrietig is 't , na 't geen men wenst te wagten .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.sp.1291.s.1	Dat's waar Mevrouw , en zo zyn alle Minnaars klagten , Al myn verlangen is naar uw beminde Nigt .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.sp.speaker.1292.s.1	ZUSJE FENIX .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.1	Tut tut , daar's niet het geen voor 't huis cieraad niet zwigt .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.2	Een Juffer is voor 't bed , maar al die raarigheden Zyn schatten die de ziel van onze sex bekleeden .	None
weye002holl01_01.TEI.2.text.body.div.sp.1297.s.3	Daar komt de Dame zelf !	None
weye002holl01_01.TEI.2.text.body.div.sp.1301.s.1	Zo komt d'Amandel - vogt En laaft een sterveling !	None
weye002holl01_01.TEI.2.text.body.div.sp.1306.s.1	Zo word de zee bezogt Van Phoebus flonkrend ligt !	None
weye002holl01_01.TEI.2.text.body.div.sp.1310.s.1	Zo ziet m'een roos verwikken .	None
weye002holl01_01.TEI.2.text.body.div.sp.1310.s.2	Door dauw en 't zilvre nat .	None
weye002holl01_01.TEI.2.text.body.div.sp.1314.s.1	Zo komt na 't doodlyk hikken Een Apoteekers kroes met hyacinth Siroop !	None
weye002holl01_01.TEI.2.text.body.div.sp.1320.s.2	nader zonneligt , myn kind , myn zoetste hoop .	Emotion_Hope
weye002holl01_01.TEI.2.text.body.div.sp.1320.s.3	Kom wand'lend Kabinet , vervult met dierbre schatten , Ah ! 'k ben onmagtig om 't genoegen te bevatten Van dees u blyde komst .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.stage.1322.s.1	ANTONET , JAN in vrouwe klederen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1327.s.2	wat ik zie is glans , En zo naauwkeurig of het met een goud balans Verdeeld was .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1330.s.1	Ja , Juffrou gelieft dat zo te zeggen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1334.s.1	'k Moet bersten zo m ' een zier of vezeltje ziet leggen , Ja niet een stofje zelfs van d'alderminste soort .	BodilyProcess_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1341.s.1	d'Ondeelbre vezeltjes die ruimen straks de poort , Wanneer Mevrouw dees plaats bezoekt met kurke muilen En een vergroot-glas , op dat niets zig zou verschuilen Voor hand of oogen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.1	ey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.2	myn Heer ik kryg een kleur Als conchenylje : myn Salet !	BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.3	foey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1348.s.4	wat een leur , Een Garderob-kantoor by 't uw te vergelyken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.stage.1344.s.1	Jan spreekt terwyl stil met Zusje Fenix .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1352.s.1	Mevrouw die zou gewis met 't vonnis heen gaan stryken , Zo Zusje Fenix daar ontrent zig uiten wil .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1354.s.1	ZUSJE FENIX , heel opgetogen .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.1	Is 't waar ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.2	ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1356.s.3	porcelein gestoelte .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1360.s.1	Zoetjes stil , 't Is my alleen bewust .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.1	Neen Juffer , geen secreeten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.2	Mevrouw , Mevrouw , dit nieuws dat moetje vliegens weeten , Gestoelt van porcelein , ah !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1366.s.3	dat de staat dog let Op dees inventie !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.1	Ah is 't mogelyk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.2	ik wil net Myn Groote zaal met twee dozynen flux zien pronken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.4	Met wat liefde en drift zal ik die dan belonken !	Emotion_Love_Dedication
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.5	Weg nu met zilvre stof , gestoelt van porcelein !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.6	Weg zyd damast , fluweel , gestaag door 't stof onrein , En die ik in een dag vyf zesmaal af moet stoffen , Want meisjes zyn te leuy , die zouden dat versloffen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1378.s.8	porcelein gestoelt , ja alles komt tans myn Voor 't oog als porcelein .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.1	Nog zou 't wat anders zyn Zaagt gy eens tafeltjes van 't fynst Japanse linnen , Met maagde-parkement gevoert , uw ziel en zinnen Die zouden voor gewis onrustig zyn tot dat UE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.2	in eigendom een half dozyn bezat .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1389.s.3	Die splyten door geen zon , die kan men altoos wassen , Zo blank als maagde-was ; die schaaren nogte krassen , Al hebje meisjes uit de Meijery of Twent , Maar buiten my Mevrouw zo zyn die onbekent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1395.s.1	Mejuffer 'k zal dees dag van vreugden , eeuwig vieren , En flus myn Kamenier naar u verblyf toe stieren , ô !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1395.s.2	Lieve Koopvrouw van scribaan en porcelein Gestoelte !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1400.s.1	Ik heb nog iets , dat zou u gading zyn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1400.s.2	Die matten zyn kurieus , en glimmen als sucade Dog vreeslyk ouwerwets .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1411.s.2	doet my de genade , Juffrouw is ergens iets van 't nieuwste , schoon vry duur ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1411.s.3	Ik heb nooit geld gespaart , ja dat me een Garnituur Van goud of zilver lind , gebruikte in plaats van matten , Ik volgden flux die trant , spyt al het tegenspatten Der mans op modes ; z ' is een slegthoofd , die haar stoort Aan dwarse Grieken , want het nieuws altoos bekoort De zinnen van een vrouw .	EmotionalAction_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1417.s.1	Gewis dat is waaragtig , Mans woorden gelden niet , wanneer maar ietwets pragtig Van Oost of West , of Fransche of Engelsche aardigheen Ons sex bevalt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1421.s.2	stoort ons niet in deze reen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1421.s.3	Juffrouw die mode ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1424.s.1	Die is tans point de Marselje .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1427.s.1	Ay my !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1427.s.2	is 't mooglyk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.1	Zoetjes nu Mevrouw ontstelje Zo heevig niet .	Emotion_Awe_Wonder
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.2	Ik heb nog andre rarigheen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1432.s.3	By voorbeeld ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.2	Juffrou , hoe sidderen al myn leen .	Fear_BodyPart_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.3	Ik zie geen oogenblik dees matten voor myn oogen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.4	Foey , foey , ik zinnelyk , oh neen , ik ben bedroogen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.5	Ik ben een morsebel , een Domheers kamenier Van 't Mofs Westphaalen , foey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.6	ik brand van spyt als vier .	Emotion_BodilyProcess_Remorse
weye002holl01_01.TEI.2.text.body.div.div.sp.1442.s.7	Ik zal myn zuivre vloer met deze matten spreijen , Al zoud een brief van Ces my binnen 't jaar geleijen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.2	Dat is niet met al , ik heb tapissery Van zuiver berg-kristal , klaar-blinkend als kandy ; De Lyst is staal verguld , een konstwerk van Milaanen , De lambrisseering is vol goude en zilvre zwaanen , Festoenen van agaat , en 't Ormus paarlemoer Verdeelen 't stuk voor stuk .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.3	Wat denkje , dat de vloer Is plankwerk , spiegelglad als deze ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.4	bagatelle !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.5	Neen , 't is een pronkstuk 't geen uw magtig zoude onstellen .	Emotion_Moved_Wonder
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.6	Myn vloeren zyn verlakt , verzilvert of verstaalt , De keuken wanden zelfs zyn om ende om bemaalt Met Fresco , Schilderkonst van Italiaansche Meesters , Bataaljes , bloemgewas , bosschaadjen vol van Heesters , Valeijen , Meermans , Amasonen , tovery ; Ja duizend dingen meer , maar zet die aan een zy .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.7	Ik heb een porceleine grot vol Hagedissen , Van jaspis , zee-koraal , met goude en zilvre lissen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.8	Prins Robberts stoofjes , die met atlas zyn bekleet , Met voorloop-lampjes , want die blyven altoos heet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.9	Ik brand nooit turf nog hout , nog koolvier , neen Madame , Myn huis is my te waard , 'k zou my dees botheid schamen : Een steentjen uit een pers , olyf of melkoton , Dat is een heldre vlam , zo zuiver als een zon .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.10	'k Heb Kabinetten met uitheemsche rariteiten , Medaaljes , Mineraal , veel Peerlen , Crysolyten , Turkois en Esmaraud , Saphier en Hyacinth : 'k Heb een Japansche Pop , veel grooter als een kind , Uit paarlemoer gesneen , de oogjes zyn granaten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1473.s.11	Ik heb ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1474.s.1	M. KEIZERS TH.	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.2	ah ik stik , wat kan het my nu baaten Dat Zusje Fenix , Marmelade en Spadulaan , Ja Delft en 's Gravenhaag my roemen als een zwaan Van zinlyk huis çieraad : ah my !	BodilyProcess_Shame_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.3	ik zal gaan sterven .	BodilyProcess_Shame_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.4	Wyk Spadulaan , die bromd , dat niemand ooit zou derven In punt van nettigheid , zig voegen nevens uw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.5	Hier is een diamant .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.6	Vlugt als de nagt-uil , schuw Voor 't heldre zonneligt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1486.s.7	Ik zal vergulde Altaaren Opbouwen t'uwer eer : ja nimmer reukwerk spaaren , Juffrou , maar daaglyks met gebooge en bloote knien Uw offren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1492.s.2	Juffrou , gy zult my nooit verbien Dat ik uw schoenen kus , of boord van uwe kleeren .	EmotionalAction_Awe_Dedication
weye002holl01_01.TEI.2.text.body.div.div.sp.1492.s.3	Ik ben een poddegroes , een quab-aal ; 'k zou graag leeren Het minste en slegtste deel van al u zinnelykheen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1504.s.1	Zo immer een Doctoor wierd in uw huis geleen , Om met een slagboom van purgatien , kruiden , dranken , Te stutten 't woedend heir van quaalen , die de kranken Bestormen dag en nagt : zo immer een klisteer Door d'Apothekers hand gezet ( ter tyd wanneer Natuur verbolgen was ) u hinderst kon behagen : Gun dat ik door uw hulp , d ' uit spoor geholde wagen Van 't superfyne net , herstel op d ' egte baan : Ey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1504.s.2	Juffrouw , neemt myn dienst met mededoogen aan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1507.s.1	Mevrouw ik heb	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.2	laat ons niets van hebben hooren , ô !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.3	Al dat hebben priemt my als een scherpe dooren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.4	Ik heb nog geld Juffrouw , indien het maar een reis Op prys gestelt word : lam , ey lieve doet een eis .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1515.s.5	Eist , vraagt , ik heb nog geld , eischt halve Republyken , Ik ben een Dame díe geen mensch behoeft te wyken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1518.s.1	'k Heb waterpotjes die ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1521.s.1	't Gedult dat word gestoort .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1527.s.2	droef geheb .	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.1530.s.1	Ik word hier schelms vermoort .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1533.s.1	Die waterpotjes zyn	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1537.s.1	Juffrou ik bid genade .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1540.s.1	Fluweel ,	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1543.s.2	hebd niet meer , u hebben is ons schade .	Emotion_Greed
weye002holl01_01.TEI.2.text.body.div.div.sp.1549.s.1	Ik kan niet meer .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1552.s.1	Ik heb .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1555.s.1	Helaes !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1555.s.2	ik sterf .	HeavyHeartedness_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1556.s.1	IAN .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1559.s.1	M. KEISERS-THEE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1561.s.1	Geen leeven meer , ten zy ik iets verwerf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1572.s.1	Zo ooit een bee verhoord wierd by een Koning , Verzoek ik hebt gedaan .. eischt huizen , land en woning ; Eist 't geen ik niet en heb , of nimmermeer bezat , Ik zal het geeven voor die dierbre netheids schat Eischt al myn huis-çieraan , juweelen , wissel-brieven , Karos en paarden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1578.s.1	Eischt Juffrou met uw believen Zeemonsters , Armodils , een Walvis vyf a zes , Pisdiefjes , Kaimans ... een gebalsemde Princes , Rynosters ....	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1585.s.1	Hoord my beed , al ben ik van de lesten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1585.s.2	Ik geef de zuiverheid myns maagdoms graag ten besten Zo die tapissery van blinkend bergkristal Daar veil voor is .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1591.s.3	neen Juffer 'k ben niet mal . 'K zal geen spiauter voor ducate-goud ontfangen ; Men word te dikwils in die koopmanschap gevangen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1591.s.4	Mevrouw met uw verlof .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.2	Met authoriteit , Princes , Godinne van de fynste nettigheid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.3	Gebied , eist alles , vraagt , ik ben tot uw kommanden , Myn leeven of myn dood staan in uw lieve handen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1598.s.4	Dog haastig , schielyk ; want ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1602.s.1	Heeft ook Mevrouw een man ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1602.s.2	Want koopmanschap ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1607.s.1	Daar 's niets dat ons beletten kan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1607.s.2	Myn man is tot uw dienst : ik zal me doen onttrouwen , Indien ik 't tiendepart mag van uw schat behouwen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1615.s.1	Dat is 't niet , maar een man is meester naar ik gis , En vrouwe koop is nul , voor 't minste ongewis ; Schoon dat ik met Mevrouw mogt komen t'accordeeren , Myn Heer , als meester , mogt daar tegen protesteeren , En dan was 't falikant .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1639.s.1	Myn man , ja wel 'k word dul , Die protesteeren , die 't accoort verklaaren nul !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1639.s.2	Neen , neen , d ' authoriteit der mannen is hier veilig , Als zynde onbekent : een vrouw haar woord is heilig En bondig hier te Land , De man .. de man zwygt stil , Is onderdanig en gehoorzaam aan de wil Van zyne huisvrouw , kind .. myn man .. zie par exempel , Zo ras zyn voeten maar genaaken onzen drempel , Doet flux zyn schoenen uit , en trekt zyn muile naan Van leer of vilt , die digt ontrent den ingang staan ; Legt stok en degen af , als of hy een gevangen Bezogt , dan moet de meit zyn oude nagt-rok langen , En fulpe nagt-muts , dus gebakert , stil en tam Sluipt 't Heerschap na 't Cantoor , heel zedig als een lam , En zit gedoken in papier en oude boeken , Gelyk een huisrat ; komt hem iemand eens bezoeken , Die gaat nooit verder als de grenspaal van 't kantoor : De rest van 't huis is ons , van agteren tot voor Somtyds gebeurt het , dog 't is raar en by gedogen , Dat vrienden , dees of geen , een glaasjen drinken mogen Op 't blaauwe plaatje , of wel ten hoogste in 't klein Salet , Maar dat is by gena , en 't beurt maar altemet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1648.s.1	Men zegt dat Engeland is 't Paradys der vrouwen , Dog zo dat deurgaat , moet men 't wis met Holland houwen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1648.s.2	Wel aan , 'k weet raad Mevrouw , dat die tapissery , Gestoelte en Kabinet , ja alles datter by Behoort , in eigendom met ap - en dependentie U kost en schadeloos geworde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1652.s.1	Wat sententie !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1652.s.3	Juffer ga niet voort , maar laat my ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1653.s.1	SUSJE FENIX	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1656.s.1	Laat my d'eer Om eerst te spreeken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1660.s.1	Zoet , ey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1660.s.2	doetje dog geen zeer , Ik ben hier Heer en Voogd , en zal het vonnis stryken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1664.s.2	Dat is tyranny , die nooit in Republyken Geleeden is Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1665.s.1	M. KEISERS THEE	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1669.s.1	Ja 'k lagch met tyranny : Het geen my niet behaagt , dat stel ik aan een zy .	Joy_Emotion_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1669.s.2	Laat dog d'Apteeker daar , en Zusje Fenix teemen	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1673.s.1	Ah ! 't geen onmoog'lyk is , dat zal ik onderneemen , Ik bid en smeek , myn pols slaat onbeweeglyk stil !	EmotionalAction_BodyPart_BodilyProcess_Desire_Despair
weye002holl01_01.TEI.2.text.body.div.div.sp.1677.s.1	Ik sterf !	BodilyProcess_Desire_Despair
weye002holl01_01.TEI.2.text.body.div.div.sp.1677.s.2	het is gedaan ; ik voel zelfs dat de spil Waar op het leevens rat snel omdraait , is aan 't zakken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1681.s.1	Ik neem myn afscheid , want de dood zit m ' op de hakken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1685.s.1	De vlugge deeltjes in dees aarden alembek Zyn al geconstipeert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1688.s.1	Myn Geest is zelver ziek .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1693.s.2	wilt die doodgalm voor uw Apotheek bewaaren Heer Spadulano .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1693.s.3	Zusje Fenix stelt de snaaren Wat laager , of aanstonts ruimt beide myn Salet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1696.s.1	Mevrouw 'k gehoorzaam uw beveelen als een wet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1699.s.1	Ik was de eerste niet die bersten door het zwygen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.1	Ha , ha !	None
