huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.4	Of heeft de vrees ook plaats Gekreegen in het hart des moedigsten soldaats ?	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.5	Vergeef 't my ; 'k zeg het niet , om u hier door te hoonen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.6	Gy wist uw ' dapperheid wel eer zo klaar te toonen , Dat niemand daar aan oit getwyffeld heeft .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.7	maar ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.8	Al uwe roem versterft op deez rampzaalgen dag .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.9	'k Weet , wat men u voorlang te Phthie dorst voorspellen , Dat gy den trotsen wal van Ilium zoudt vellen , De bloem der Troische magt doen sneuvlen door uw ' hand , Maar nimmer keeren , na die zege , in Griekenland .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.10	Zyt gy hier voor beducht ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.11	wil my ten stryde zenden , Met uwe wapenen , met uw ' Thessaalsche benden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.12	Ik zal , zo moedig als Achilles niet , maar , met Zyn slagzwaard in de hand , zyn helm op 't hoofd gezet , Veel moediger , als oit , den vyand tegen treeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.13	De Trojer , lang verschrikt door uwe dapperheden , Zal beevend zich ter vlucht begeeven , als hy waant , Dat gy ons zelf den weg ter overwinning baant .	Fear_Emotion_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.14	Zo heeft de Griek weer tyd , om zich in staat te stellen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.1	Neen , neen , myn waarde vriend , ik lach met dat voorspellen : Want als ik Troje eens mag zien vallen door myn zwaard , Zo heb ik lang genoeg gezworven hier op aard .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.2	Maar zeg my eens , voor wien zoude ik myn leeven waagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.3	Om Agamemnon , dien ontmenschten , te behaagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.4	Om weer een ' schoone maagd te winnen , die hy my Dan weer ontrooven kon door zyne dwinglandy ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.5	Neen , neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.6	Brizeïs , my op 't smaadelykste ontnomen , Weet myn strydzieken arm en eerzucht in te toomen .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2028.s.7	De Griek moet zyn gestraft .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2035.s.1	Straf Agamemnon dan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2035.s.2	Hy is de dwingeland , hy is alleen de man , Die u misdaan heeft , maar dat gy het volk doet sneeven Om zyne schuld , is iets , dat 'k u niet kan vergeeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2040.s.1	Dit is het noodlot van den droeven onderdaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2040.s.2	Zy lyden om het kwaad dat de oversten begaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2044.s.1	Staa my myn ' beê dan toe , en laat ik voor u stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2052.s.1	Of schoon uw ' dapperheid , myn vriend , my kan verblyden , Ik kan niet toestaan , dat ge uw leeven waagen zoudt .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2052.s.2	Wanneer myn oog u , naast myn ' zyde , in 't veld aanschouwt , Ben ik gerust ; dan kan ik u myn bystand bieden , Indien gy , by geval , voor sterker magt moest vlieden .	Fear_EmotionalAction
huyd001achi01_01.TEI.2.text.body.div.div.sp.2060.s.1	Zo is 't besluit dan vast genomen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2060.s.2	Griekenland Wordt , door uw bittren toorn , op 't Frigiaansche strand Veroordeeld tot zyn val !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.1	Ja dat de Grieken sterven , Eer ik , om hunnentwil , zo waarden vriend zou derven !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.2	Neen , myn Patroclus , neen : gy zyt my al te waard .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.3	't Is beter u alleen , als al het volk , gespaard .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2069.s.4	Tot zulk een prys wil ik geen Ilium verwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.1	Dan staat me uw ' gunst te duur !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.3	denk eens in uw ' zinnen , Hoe gy dus zelve uw roem en eer met voeten treedt .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2080.s.4	Die heerlyke oorlogsdaên , die gy voor deezen deedt , Verdwynen allen , door deez schadelyken tooren .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2086.s.1	Laat my dien wreeden naam van eer niet meerder hooren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2086.s.2	Ik heb geene eer meer te verliezen , na dien dag , Dat 'k door den dwingland my zo fel beledigd zag .	Offended_Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2090.s.1	Hy heeft u immers weer voldoening aangeboden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2096.s.1	Hy zelve zal my tot zyn ' vriendschap komen nooden , En vallen my te voet , en smeeken om genaê , Eer 'k my beweegen laate , en weer ten stryde gaa .	EmotionalAction_BodilyProcess_Compassion_Awe_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.1	Moet myne dapperheid in 't veld voor de uwe zwichten , Gun my dat 'k in deez ' zaak u weer mooge onderrichten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.2	Rampzalig is het volk , wiens Vorst en Opperheer Zyn eigen zelfsbelang , zyn eigen wellust , meer Als 's lands welvaaren acht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.3	Gaa heen , bestorm de wallen Van 't haatlyk Ilium ; doe zyne toorens vallen ; Verf uwe kling in 't bloed van Hector ; bied de vloot Uw bystand weder aan in deezen jongsten nood : Zo hebt ge u in uw pligt voor 't Vaderland gekweeten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.4	Kunt gy dien bittren hoon daar na noch niet vergeeten , Wreek , wreek u dan op hem , niet op 't onschuldig volk , En wisch die smaad uit met den punt van uwen dolk .	Offended_Emotion_EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2116.s.5	Zo kunt ge uw Vaderland verlosschen , en met eenen Den Dwingland stervende zyn ' misdaad doen beweenen .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2121.s.1	achilles , patroclus , alcimus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.2123.s.1	automedon	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.1	MYn Heer , vertoeft gy noch de vloot uw ' hulp te biên , Gy zult den vyand haast zelfs in uw ' schepen zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.2	Wy zyn in 't uitersten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.3	Ik zelve kwam te aanschouwen , Hoe Ajax , die tot noch den vyand kon weerhouwen , Vermoeid en afgemat door 't stryden zonder end , Verzwakt door wond op wond , zich heeft te rug gewend , Den vyand meester van zyn ' schepen heeft gelaaten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.4	De dolle Hector , trots en moedig boven maaten Door zulk een ' voorspoed , steekt terstond met eige hand Het vuur in de eerste kiel , die lichter laagen brandt .	Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.5	Het volk , vol wanhoop , smyt de wapens uit de handen .	Emotion_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.6	Hun droefheid groeit op 't zien der schepen , die reeds branden .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.7	Uw ' troepen willen , in uw weerwil , gaan ten stryd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2146.s.8	't Is tyd , geduchte Held , dat gy de vloot bevrydt , Ten minsten dat geen , dat noch over is gebleeven : Daar , daar van hangt alleen onze uitkomst , en ons leeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.1	Het is genoeg .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.2	Laat ons gaan zien , hoe dat het staat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.3	Indien ik zelf het vuur aanschouwen kan , ik laat U gaan , myn waarde vriend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.4	Daar wilde ik slechts naar wachten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2157.s.5	Weerhoud den vyand , die te ver komt , door uw ' krachten , En myne wapenen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2162.s.1	Ik zal hem wederstaan , Of sterven op het bed van eere .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2166.s.1	Laat ons gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.p.2168.s.1	Einde van het tweede Bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.head.2171.s.1	Derde bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2175.s.1	achilles , patroclus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2184.s.1	IK heb het Troische vuur de Grieksche vloot zien blaaken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2184.s.2	Terwyl myn ' benden zich ten stryde vaardig maaken , Moet ik u , waarde vriend , tot vordring van myn ' wraak , Recht leeren , hoe ge u zult gedraagen in deez ' zaak .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.1	Uw wil strekt my een ' wet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.2	Wie kan my beter leeren , Als gy , myn vriend , gewoon alom te triompheeren ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.3	Uwe onderwyzing geeft een kind ervaarenheid , En zal myn hart voorzien met kennis en beleid .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.4	Uw ' scherpe kling , gewoon den vyand te doen beeven , Uw ' wapens zullen my meer kracht en sterkte geeven : Daar by zal de iever voor de glorie van ons Land , En 't naar gezigt der vloot , die reeds aan een ' zy brandt , Myn moed verdubbelen .	Fear_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.5	Uw ' dappere soldaaten , Die gy zo lang den stryd in stilligheid hebt laaten Aanschouwen , thans verhit op moordlust en op wraak , Die zullen my , in deez ' gewigte en groote zaak , Oprechte blyken van hun moed en krachten geeven .	Emotion_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.6	De vyand , reeds vermoeid , doch blindelings gedreeven Door zyne voorspoed , en 't geluk , dat hem verzelt , Zal aanstonds vlieden , op 't gezigt van zulk een held , Schoon door inbeeldinge , en een valschen schyn bedroogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.7	My dunkt , ik zie hem reeds 't veld ruimen voor myne oogen , Wanordelyk de vloot verlaaten , en met haast De poorten winnen van de Stad , die zy voor 't laatst Begeeven hebben .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.8	Zyn de troepen noch niet vaardig ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2225.s.9	Myn ' ziel haakt naar den stryd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.1	Gy zyt myn ' vriendschap waardig , O edelmoedige !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.2	als men u in 't slagveld ziet , Is 't Grieken even , of Achilles strydt , of niet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.4	uw ' dapperheid kan myne ziel ontroeren .	Emotion_BodyPart_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.5	Verlosch de bange vloot , maar laat u niet vervoeren Door hoop van grooter winst .	Fear_Emotion_Hope
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.7	dat ik u drukk ' In bei myne armen ! 'k vrees , ik vrees voor ongeluk .	Fear_Worry_Emotion_EmotionalAction_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.8	Myn hart , benaauwd , beklemd , ten uitersten verlegen , Voorspelt my niet veel goeds , schoon ik my van den zegen Verzekerd houden durve .	Fear_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.9	Uw ' jongheid , niet gewoon , Met paarden , zo gezwind , met wapenen , zo schoon , Te treeden in het veld , zal mogelyk verblind , en Te roekeloos , haar graf in haare zege vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.10	Keert , Goden , keert dien slag !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.11	of is dit uw besluit , Zo roeit met mynen vriend vry al de Grieken uit !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.12	Gy ziet , myn waarde vriend , de traanen langs myn ' wangen Neervloeien , door de rouw , die 'k myne ziel voel prangen .	Emotion_Loss_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.13	Dit is de tweedemaal myns leevens .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.14	Toen ik my Door Agamemnon , en zyn ' trotse dwinglandy Zo bits beledigd zag , heeft my uw oog zien schreien .	Offended_Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.15	Nu wy , helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.16	misschien voor eeuwig , moeten scheien , Ziet gy zulks wederom .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.17	Dit beide was uit rouw .	Emotion_Loss_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.18	Maar als ik na den stryd u leevend weer aanschouw , Zult gy ten derdemaal myn oog zien nat van traanen .	Joy_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.2265.s.19	Dan zal 't van blyschap zyn .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2275.s.1	Uw vriendelyk vermaanen Strekt myne ziele een spoor , om myne hevigheid En moed te paaren met verstand en goed beleid .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.1	Het zy u niet genoeg den vyand te overwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.2	Bewaar 't gedenken aan myn ' wraak in uwe zinnen .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.3	De Grieken hebben my van doen in deezen staat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.4	Zo gy 't geluk dan hebt , dat gy den vyand slaat , En weer te rugge dryft , zo laat u niet verleiden Door ydle zucht , om in het Troische bloed te weiden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.5	'k Zend u niet derwaarts , om den juichenden Trojaan Te dryven in de Stad , of ganschlyk te verslaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.6	Kunt gy de schepen van zyn ' woede slechts bevryden , Zo kom my wederzien , en vaar niet voort met stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.7	Niet , dat ik u benyd den roem , dien gy verdient .	Emotion_Envy
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.8	Ik min u , als my zelf .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.9	Gy moet my ook als vriend Uw bystand bieden in dit uiterste der zaaken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2305.s.10	Want zo gy 't Grieksche heir der stad kost meester maaken , Hoe zou men schimpen met myn ' gramschap , als men zag , Dat Troje , zonder my , in puin en assche lag !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2314.s.1	Zo groot een werk , waarom wy meer als negen jaaren Gestreeden hebben , zal het lot voor u bewaaren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2314.s.2	Maar stel my zelve een perk , hoe ver dat ik mag gaan : 'k Zal u gehoorzaam zyn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.1	Tast eerst de troepen aan , Die 't vyandlyke vuur in Ajax schip ontstaken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.2	Straks zal u Hector , die hun overste is , genaaken ; 'k Weet , dat hy u terstond zal zoeken , als hy ziet , Dat gy , ô braave , myn ' Thessaliers gebiedt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.3	Hy heeft my steeds gezocht : wy hebben dik gestreeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.4	Moet gy dan met hem slaan , zo doe het , als uw ' leden Noch onvermoeid zyn : want ik ken zyn ' sterkte en kracht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.5	Gy zyt , om Hector te weerstaan , niet opgebragt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.6	Gy zyt Achilles niet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.7	Doch , kan het mooglyk weezen , Ontvlied zyn oog ; maar geef geen blyk , dat gy zoudt vreezen .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.8	Jaag dan den vyand door den muur , en door de gracht : Maar gaa daar zelve meê niet over .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.9	Uwe magt Heeft uitgediend , als gy hen zo ver hebt verdreeven , Dat zy zich wederom voorby de gracht begeeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.10	Dan is de vloot genoeg beveiligd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.11	Want zo gy , Verlokt door uw geluk , en door de vleiery Der weiflende fortuin , hen volgde tot de vesten Der vyandlyke stad , zo zoudt gy u ten lesten Bedroogen vinden , door uwe alte kleine magt : Wanneer het heir , dat voor u vluchtte , nieuwe kracht Zou krygen uit de stad , en u , met frissche leden , U , die vermoeid zoudt zyn , zou komen tegentreeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2356.s.12	Denk ook , voor 't laatste , aan 't geen ik reeds gezeid heb , dat Myne eer u streng verbiedt te nadren aan de stad .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2360.s.1	achilles , patroclus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2367.s.1	MYn Heer , uw ' troepen staan reeds vaardig , en verlangen , Voor 't laatste uwe orde tot den stryd door my te ontvangen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.1	Op 't nadren van den tyd , voel ik myn ' vrees in 't hart Aangroeien .	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.3	myn vriend , gy ziet met welk een ' smart Ik u zie heene gaan .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.4	Gedenk aan myne reden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.5	Als gy met voordeel hebt een korten tyd gestreeden , Den vyand door den muur en over onze gracht Gedreeven hebt , zo keer , en maatig uwe magt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.6	En gy , Automedon , die , aan Patroclus zyde , Myn ' paarden mennen zult , en voeren hem ten stryde , Beteugel 't moedig paar ; gy moet alleen de vloot , En 't overschot van 't heir beschermen in dees nood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.7	'k Verbied u , schoon hy vlucht , den vyand naar te jaagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.9	dat myne oogen u reeds weer verwinnaar zagen , Van welk een ' bittre zorg waar myne ziel bevryd !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.10	Gun dat ik u voor 't laatste omhelzen mag ! 't wordt tyd .	EmotionalAction_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.11	Vaar wel , vaar wel , myn vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.12	myn harte schynt te breeken Van droefheid .	Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.13	Hemel keer , ai keer dit droevig teken !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.14	Vaar wel , myn halsvriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.15	maak , dat gy myn dank verdient .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.16	Vaar wel , Automedon !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2395.s.17	draag zorg voor mynen vriend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.1	Gy staat my eindlyk toe voor 't Vaderland te stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.2	Ik vrees de dood niet van een ' Troische hand te lyden : Maar wil het noodlot zulks , 'k beveel u myne wraak ; En strekt zulks 't land tot heil , zo sterf ik met vermaak .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2407.s.3	Vaar wel !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.1	WAt zegt hy ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.3	hoe snyden deeze woorden My door het hart !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.4	helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.5	wilt gy u laaten moorden , Uw leeven offeren , op dat door uwen val De Griek zich meester maak ' van Trojes hoogen wal !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.6	Patroclus !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.7	ach myn vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.8	mogt uw Achilles kiezen ; Hy wil de zege niet , zo hy u moet verliezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.10	een doodsche schrik bekruipt myn angstig hart .	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.11	Zoude ik weer gaan ten stryde , ô doodelyke smart !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.12	Na Hectors woende hand myn halsvriend hadt doorsteeken !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.13	Zoude ik my waap'nen , om Patroclus dood te wreeken !	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.14	Neen ; uwe dood , myn vriend , sleept , tot ons aller straf , Achilles te gelyk met u in 't naare graf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.16	laat uw bystand hem beteuglen in zyn woeden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.17	Maar kan ik zelf niet noch dat ongeluk verhoeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.18	Ja .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2434.s.19	'k Zal hem volgen ; doch van verre , op dat myn ' hand Hem bystand biede , indien de nood hem overmant .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.2439.s.1	achilles , brizeïs , cephize .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.1	WAt zien myne oogen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.3	is 't mooglyk ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.5	Is 't waarheid ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.6	of een spook ten afgrond uitgereezen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2445.s.7	Zyt gy het zelve ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.2447.s.1	brizeïs	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2449.s.1	Ik ben 't , en val voor u te voet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.1	Rys op , Mevrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.2	Maar zeg , hoe komt gy hier ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.3	wat doet , Wat zoekt gy ? 'k staa verbaasd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.4	Wie heeft u aangedreeven My hier te zoeken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.5	wie heeft u dien last gegeeven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.6	Heeft Agamemnon u deez ' vryheid toegestaan ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2462.s.7	Wil hy my tegens dank bevredigen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.1	Welaan , Wy zyn hier nu alleen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.2	laat ons vrymoedig spreeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.3	De wyze Ulysses kon uw steenig hart niet breeken , Noch Ajax uwen trots vermurwen .	Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.2471.s.4	'k Weet , ik waag Zeer veel , dat ik kom zien , of ik u noch behaag , Als eertyds .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.1	Hoe , Mevrouw ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.2	kunt gy my zelf zulks vraagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.3	Dit is 't alleen , dat my in u niet kan behaagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.4	Hebt gy noch geen bewys genoeg van myne min ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2481.s.5	Om u blyf ik steeds onveranderlyk van zin : En om den bitsen hoon , u aangedaan , te wreeken , Laat ik myn zwaard met ruste , en in de schede steeken .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2489.s.1	Gy mint my alte zeer ; of , zo ik 't zeggen mag , Gy mint my recht verkeerd .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.1	Sint u myn oog eerst zag , Toen ik , gezonden door de Grieken , om de wallen Van uw Lyrnessus met myn ' troepen te overvallen , De Stad vermeesterde , heb ik van uw gezigt Het leevendige beeld in myne ziel gesticht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.2	De dwingland dorst u my weer met geweld ontrooven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.3	Straks heb ik alle zorg van mynen hals geschooven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2507.s.4	Ik gaa niet meer ten stryde , ik laat den vyand woên ; Hoe zeer hy bidt , dat ik my weer met hem verzoen .	None
