vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes Oft Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.6	mijn ' dienaers flucx gaet heen , Behalven Palameed , roept al den raed by een .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1423.s.4	NESTOR .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1423.s.5	AIAX .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.1	GHy die voor kroonengoud , en vorstelijcke banden , Nu voert den kopren helm , en met uw ' dappere handen Van 't Asiaensche stael de voncken stuyven doet , En Simoïs vermengt , en verwt met breyn en bloed : Ick zal u voorts de reên , en oorsaeck gaen verklaeren , Waerom men t'ontyds dus den krijghsraed deê vergaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.2	De Phrygiaen , die 't heyr verspiedende by nacht , Van Diomedes hand zoo versch is omgebracht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.3	( Als hy de ronde doende hem quam verbaest ontmoeten , En sleepte hem dood en warm voor uwer aller voeten : Daer ghy hem liggen siet ) was met een ' brief belaen , Dieme ' uyt zyn boesem trock en yemand schijnt te raen Tot grouwelijck verraed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.4	ick zal u laten hooren Het inhoud van dit blad , 't welck vremd klinct in mijn ooren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.5	Neptunus waerde zoon , die uw grootvaders stad Begunstight waer ghy mooght : de letters van dit blad Betuygen myne jonst , waer door ick ben genegen Te strecken over u mijn ' koninglijcken zegen , Dat ghy ontfangen hebt 't jongst toegesonden goud Ick uyt den spie verstond : wiens mond ghy toevertrout 't Geheymnis van u hart .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.6	ick heb alree genooten De vruchten van 't bestand voor luttel tyds beslooten , En wacht op 't uyterst vast .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.7	is ergens gunst te koop Om goud , zoo spaer geen ' munt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.8	ick Priam leve op hoop ' Daer is 't geheym des briefs .	Emotion_Hope
vond001pala01_01.TEI.2.text.body.div.sp.1450.s.9	wat dunckt u Griecxsche vorstẽ ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1453.s.1	Verdelgse o luno doch !	None
vond001pala01_01.TEI.2.text.body.div.sp.1453.s.2	die naer ons leven dorsten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1457.s.1	Ontdeckse o Hecate !	None
vond001pala01_01.TEI.2.text.body.div.sp.1457.s.2	die naer den ondergang Van onze tenten staen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1459.s.1	NES .	None
vond001pala01_01.TEI.2.text.body.div.sp.1462.s.1	Ontdeck de waterslang Die schuylt in 't groene gras .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1464.s.1	AI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1467.s.1	Saturnus breng de waerheyd Ten lesten eens in 't licht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1472.s.1	Wie twijfelt aen de klaerheyd Van 't goddeloos verraed ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1476.s.1	Ick twijfel met verlof , Die alle trecken ken , en saussen van het hof .	None
vond001pala01_01.TEI.2.text.body.div.sp.1479.s.1	Nu Ajax geef gehoor , en wees niet ongeregelt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1482.s.1	Is 't koning Priams merck ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.1	De brief was toegezegelt Met 's konings eygen ring : doch 't wapen is misluckt In 't zeeglen , en zyne hand in 't schrijven wat gedruckt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.2	Mistrout ghy aen mijn woord , geloof uwe eygene oogen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1490.s.3	Daer vader lees den brief .	None
vond001pala01_01.TEI.2.text.body.div.sp.1495.s.1	Een ' dochter van de logen , Een vondeling van 't hof , een basterd van den nyd ' En overjaerden wrock , 't uytbraecxsel van de spyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1498.s.1	't Schrift swijmt na Priams hand , zoo doet de druck van 't waepen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1499.s.1	AJAX .	None
vond001pala01_01.TEI.2.text.body.div.sp.1502.s.1	So paeytme 't slechte volck : zoo leydmen kinders slapen , Maer Ajax nimmermeer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1506.s.1	't Sy hoemen 't stuk verschoon , De koning Nauplius is God Neptunus zoon .	None
vond001pala01_01.TEI.2.text.body.div.sp.1509.s.1	Ia Palamedes is 't ick houd ' et u ten besten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1513.s.1	Neptunus eyge stad zyn Trojens hooge vesten : Die draeght d'Eubeër gunst , zoo doet zyn heyloos zaed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1517.s.1	Ia Palamedes is 't , die brout ons dit verraed , Die booswicht moet van kan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1520.s.1	Beschut ons goede goden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1524.s.1	Dat tref Laomedon .	None
vond001pala01_01.TEI.2.text.body.div.sp.1528.s.1	Of eer in tyds gevloden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1532.s.1	Dat ongeluck en zy ons nimmermeer bescheert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1538.s.1	Hier geld geen lochenen , 't zy hoemen 't wend of keert , 't Is Priams teeckening .	None
vond001pala01_01.TEI.2.text.body.div.sp.1538.s.2	wy twyfflen nu niet langer , Of Palamedes gaet van dese boosheyd swanger .	None
vond001pala01_01.TEI.2.text.body.div.sp.1542.s.1	Dat heeftmen lang gefocht , en onder 't volck gestroyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1542.s.2	En nu met desen brief het schelmstuck opgetoyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1549.s.1	Ghy heeren siet wel toe , 't sijn sorgelijcke saecken , Hy vang wat wightigs aen , die tot een ' schelm sal maecken , Een ' wel geboren vorst , een ' man van groot bewint : Dies wensch ick dat geen ' wraeck uwe oogen en verblind ' .	Emotion_BodyPart_BodilyProcess_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1549.s.2	Het stuck met reden wickt , en velt geen onrijp oordeel .	None
vond001pala01_01.TEI.2.text.body.div.sp.1552.s.1	Daer d'hoogheyd word gequetst , heeft niemand eenigh voordeel .	None
vond001pala01_01.TEI.2.text.body.div.sp.1556.s.1	Of d'hoogheyd is gequetst dat hangt hier in geschil .	None
vond001pala01_01.TEI.2.text.body.div.sp.1559.s.1	Hy merckt de misdaed licht , diese anders mercken wil .	None
vond001pala01_01.TEI.2.text.body.div.sp.1562.s.1	Die yemand hatigh is seer licht een ' brief kan dichten .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.1565.s.1	Nabootsen hant en merck , d'onnooselheyd betighten ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1568.s.1	Dat is wel eer gebeurt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1574.s.1	Alwaer het noyt geschied ' Soo derfmen 't nu bestaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1578.s.1	Die 't leger heeft verspied , Met brieven afgerecht , hier voor u leyd verslagen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1581.s.1	Indien hy levend waer men mocht hem ondervragen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1584.s.1	De doode meld de saeck , het is een Phrygiaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1587.s.1	Een slaef , die korteling in 't oorloogh werd gevaen ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1591.s.1	So soumen alles wel in twyffel konnen trecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1594.s.1	Zo soumen altijd wel des vroomen naem bevlecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1597.s.1	Die mensch was lang verdacht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1601.s.1	Zo was de valsche tong Des grooten logenaers .	None
vond001pala01_01.TEI.2.text.body.div.sp.1607.s.1	Ghy Ajax zyt te jong , Om Agamemnons mond soo kort te heeten liegen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1607.s.2	Of lust ' et u , zo wilt u selven niet bedrieghen : Maer dat uw degen passe op 't koninglijcke stael ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1610.s.1	Zoo doet hy .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.1	Houd gemack ghy heeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.2	laet de schael Van waere billickheyd beslechten d'ongelijcken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.3	Hoe kan uw hevigh swaert een wettigh vonnis strijcken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.4	Die 't recht heeft op zyn ' sy vaeck sneuvelt door het spits .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.5	Besadight breyn u schey ': die rechter is te bits .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.6	Het mes zy op Dardans meyneedigh zaed verbittert : Dryf Hector op de vlucht , als 't blixemende schittert In d'appel zijner oogh , veel eer dan 't God geheng ' Dat d'eene bondgenoot het bloed des anders pleng ' , En 't Dorisch leger ryt zyns zellefs ingewanden , Syn wapenen vermeng , verwarr ' zyn rechterhanden .	Fear_Emotion_EmotionalAction_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.7	Wat had de vyand stof te lachen in ons ' dood .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.8	Hoe zou hy vier en torts in ons gedeelde vloot Dan slingeren met maght , en met bebloede sabels 't Gedraeyde kennep gaen doorhouwen van ons kabels , En zenden brandende de kielen zeewaert in : In 't aensien van de stad , en Priaems hofgesin .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.9	't Geschil aen my verblijft .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.10	vertrout mijn ' silverhayren , En grauwen ouderdom .	None
vond001pala01_01.TEI.2.text.body.div.sp.1633.s.11	die veel is wedervaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1637.s.1	Al waer 't mijn eygen bloed zoo wil ick datmen straf De stichters van 't verraed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1642.s.1	Ick dat een open graf Hen levendigh verswelgh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1647.s.1	Wy stemmen 't all ' te saemen ; Maer waer de boosheyd schuylt schijnt doncker om te ramen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1650.s.1	De goddeloos die neemt de scheemring tot zyn wyck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1653.s.1	Men stell'dan 't oordeel uyt tot dat het yeder blijck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1656.s.1	Ontbeert dit schijn en blijck ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1660.s.1	Het is te twyffelachtigh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.1	Wat eyscht ghy voor bewijs ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.2	hoe bondig ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1663.s.3	of hoe krachtig ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1666.s.1	Dat klaer en helder licht gelijck de middagh doet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1669.s.1	Hy quetst 't gemeene best die booze feyten voed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1672.s.1	Ick voe niet quaeds , maer vrees ontschuldig bloed te storten	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1675.s.1	Ghy vreest niet eens den staet door slapheyd te verkorten .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1679.s.1	De rechter handelt wijs , die veel quaeddoenders spaert , Om eene onnoosle ziel te vryen van het swaerd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1683.s.1	So kan geen rijk bestaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.1	So kan het eeuwigh duuren Gerechtigheyd die bout de koninglijcke muuren ; Daer onrecht en geweld palaysen ommeruckt ; Van elcken druppel bloeds des geens dieme ' onderdruckt , En doemt door 't schendigh stael , ontspruytẽ duysend wrockẽ , Die barsten uyt tot wraeck ; wiens sweerd eens uytgetrocken Keert langzaem in zyn ' schee .	Emotion_BodilyProcess_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.2	die hayligh bloed vergiet Terght Nemesis .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.3	sie toe , en roer deze Hydra niet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1696.s.4	't Is licht een hoofd gevelt in reuckeloozen tooren ; Maer konst is 't , let hier op , den wortel gants te smooren , Wanneer den hals in plaets van een veele hoofden teelt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.1	Mijn oordeel van het uw hier inne niet verscheelt , Ick kniel voor Themis throon , mijn ' daeden dat betuygen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.2	't Waer dolligheyd het recht uyt haet en nyd te buygen .	Emotion_Hatred_Anger
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.3	Ick zal niet wetteloos bestaen door onbescheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1705.s.4	Wie tegens 't algemeen , en d'oppermajesteyt Sich zelven schandelijck , nocht eerloos heeft vergrepen , Die loopt geen lijfs gevaer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1709.s.1	Och waren noyt mijn schepen Verzeylt van Salamin in d'haven Tenedos .	None
vond001pala01_01.TEI.2.text.body.div.sp.1713.s.1	Gevaltet u zoo maeck uwe anckertouwen los .	None
vond001pala01_01.TEI.2.text.body.div.sp.1713.s.2	Ten steeckt den Grajen niet op tien of twalef kielen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.1	Maer doen twee Ajaxen 't gants leger tegenhielen , En redden uwe vloot : daer 't al scheen overmant , Daer Hectors fackel ree de zeylen stack aen brand ; Doen stackter nau genoegh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.2	hoe of dit uyt wil vallen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1731.s.3	Mijn vader Telamon was d'eerste die de wallen Van Trojen eer beklom , en Hercles steef met kracht : Een van de vyftigh oock , die om de gulde vacht , Door 't klinckende gedruys der Cyaneesche rotzen , Na Colchos togen , en den zeevooghd gingen trotzen ; Ick volgende den aerd van een ' zoo braven held , Heb Helles vloed gekruyst , en hier in 't vlacke veld Gespannen myne tent , en nam het leet ter harten Van Menelaus , en 't verongelijckte Sparten ; Dits mijn besolding nu , dits Ajax al uwe eer ; Wat drael ick , 'k heb verlof , men guntme dat ick keer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.1	Vw vader Telamon , de terger der Trojaenen ; Was oorzaeck van veel bloeds , en veeler Griecken traenen , Was oorzaeck dat de vloot der Phrygen overwoey ; Dat Alexander in vergoeding zyner moey , Mijn broeders bedgenoot , en dierbaer pand vervoerde , En door zijn ' roof Europe , en Asien beroerde .	BodyPart_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.2	Wat uwe reys belangt , ghy stoft al t'onbedocht , Als of aen u alleen hing d'overzeesche toght .	None
vond001pala01_01.TEI.2.text.body.div.sp.1743.s.3	Neen , Ajax , staeck dien roem , en wiltet my vergeven , Om eenen Ajax waer de toght niet nagebleven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.1	Ghy Heeren waer toe dient dit onderling verwijt ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.2	Het baert afkeerigheyd als d'een den andren bijt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.3	Ick bid den oppervorst hy wil zyn ' gramschap sussen , En niet den oorlooghsmoed van dezen kryghsheld ' blussen : Wiens braeve daeden volght onsterffelijcke naem .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.4	De mond eens yegelijcx gaet swanger van zijn ' faem .	None
vond001pala01_01.TEI.2.text.body.div.sp.1753.s.5	Een veldheer die met hoon zyne hoplien loont na'et stryen , Sijn eygen heyrkracht gaet de seenwen stucken snyen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.1	Daer leyd 't vervloeckt geweer , de Goden straffen my Indien ick immer gord den degen op myn zy ' .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.2	Geen held behaelt hier lof , hoe dapper , hoe rechtschapen , Hoe vroom hy sit te paert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.3	dat sich een ander wapen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1761.s.4	Ick dien geen dwingeland , nocht geen vermetel hoofd : Dat niets prijswaerdigh acht als 't geen sijne harssen looft .	None
vond001pala01_01.TEI.2.text.body.div.sp.1764.s.1	Nu Ajax toom den moed , beweer uw ' zaeck met reden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1768.s.1	Wy zyn dit lang gewent , 't zyn d'oude korselheden , Best dat hy eerst bedaer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1775.s.1	't Is heftigh gekrackeelt , Het drucktme de gemoên te zien aldus verdeelt , En wenschte dat die twist beslecht waer en bevredight .	None
vond001pala01_01.TEI.2.text.body.div.sp.1778.s.1	Ick wensch het desgelijcx .	None
vond001pala01_01.TEI.2.text.body.div.sp.1783.s.1	Als elck het zyn verdedight , En treckt zyn streng na maght , is 't wilt en ongesien .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1784.s.1	AAG .	None
vond001pala01_01.TEI.2.text.body.div.sp.1787.s.1	Wat Agamemnon drijft dat moet voor al geschien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1787.s.2	't Betaemt den minderen voor meerdre macht te duycken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1790.s.1	Een Koning kan zeer licht d'ontfange maght misbruycken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1793.s.1	Dat oordeel staet aen hem .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.1	En oock aen zyn ' gemeent , Van wie hy zyne maght , en heerlijckheyd ontleent .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.2	De Koning is om 't volck wijs die sigh weet te voegen Na 's tyds gelegentheyd , en yeder kan vernoegen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.3	Insonderheyd die zyn van zyn ' geheymen raed , En leden van het rijck , en pylers van den staet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1803.s.4	Vwe hooogheyd alle ramp , en ongeluck verhoede .	None
vond001pala01_01.TEI.2.text.body.div.sp.1810.s.1	Ick spreker zoo veel in , men houd ' et my te goede : Dat elck den vorst verschoone , en quaed vermoeden schort , Soo lang na luyd des briefs geen goud gevonden word Ontrent de legerplaets van Palamedes tenten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1810.s.2	Men ondersoecke het stuck , en staeck ' dees dreygementen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1813.s.1	Die raed my wel gevalt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1816.s.1	Wat zeydter Nestor van ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1820.s.1	Oprechte munt de proef gewilligh lyden kan , Soo sal 't navorschen oock geen eerlijck man beschaemen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1823.s.1	Wie neemt dien last op sigh ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1826.s.1	V beyde sal 't betamen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1829.s.1	Het waer ons aengenaemst , indien het andre deên ,	None
vond001pala01_01.TEI.2.text.body.div.sp.1832.s.1	Volbrengt ghy mijn bevel : Verricht dit met u tween .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1837.s.1	CALCHES .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.1	ONsterffelijcke Goôn , wier overgroot vermogen Uw ' priesterschap beschermt , als d'appel uwer oogen : Die uyt uw ' stoelen daelt , beweven met een ' wolck , En handhaeft uw ' gemeent , uw eer ophoudend volck , En waerde speelgenoots : die over hunne waeyen De soomen van hun kleed , en mantels laten sweyen : Wier langgebaerde kin van hayren hangt vermast Wier winckbrau en gebaer niet lochent , hoe hun past Een wetteloose maght : die prat op vorstenbanden , En keyfers kroonen treed : wier hoeden breed van randen , Gebogen van ter sy ' , voor spits en achter spits , Beschaduwen 't gelaet , daer 't lieffelijck , en bits Sich in het staetigh menght , tot styving van geboden , En sielentuchtiging : ontsterffelijcke Goden , Die onse demoed hebt geheven uyt het stof Op uwen tempeltroon : o Goden , u sy lof , Dat ghy uwe eere wreeckt , en straftse dievermetel Opdraegen 't kerckenrecht den weereldlijcken setel : Die al te seker staen op 't slibberigh en steyl , En schroeven 't heylighdom ten dienst van burgerheyl .	Honor_Emotion_EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.2	Dat Palamedes ons nu muylbande , en tot spot maeck 't Gesagh der tempeliers , de sekerheyd der Godspraeck : Dat hy op 't outer nu sijn ' nieuwe grouwelen set , En wuft , en onbesuyst onse outerkleên besmet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.3	Nu sal hy leeren wat het in heeft dus t'ontyde Sijn ' vingeren te slaen aen 't priesterlijck gewyde .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.4	Wy staen met Goden in ontbreeckelijck verbond .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.5	Al wie ons wederspreeckt , die wederspreeckt Gods mond .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.6	Wy sijn afdrucksels Gods , onsterflijckheyds gesanten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.7	Wy sijn gehult , gesalft tot Iupiters trawanten , En voeren sijn ' levrey , en maecken sijnen stoet , En door onse hayligheyd men Godheyd spreecken moet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.8	Wat weereltlijcke macht ons stout derf tegenwroeten , Diens setel sijght , en staet op waggelende voeten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.9	Ons' wencken blicxems sijn , en donders yeder woort .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.10	Wy sijn een muur om 't rijck , de sleutels van stadspoort , De fackels om een land in lichten brand te stellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.11	Gezart wy geven aen d'uytbraecxselen der Hellen , En vloecken vryen toom : en geen Monarch soo gaeu Sijn heyr brengt op de been , als wy het woeste graeu .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.12	Daer komt Eurypilus .	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.13	wel soon , mijn ' sinnen hangen In twyfiel tusschen vrees , en hartelijck verlangen .	Fear_Emotion_BodyPart_Desire
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.14	Hoe is het spel vergaen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1883.s.15	is 't boschswijn eens gejaegt ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1889.s.1	O eer des priesterdoms , men heeft te recht gedaeght , Den vyand onses naems : na datmen opgegraven Hadde in sijn ' legertent d'ontfange Troische gaeven .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1891.s.1	CAL .	None
vond001pala01_01.TEI.2.text.body.div.sp.1896.s.1	Mijn hart van blyschap swelt , en geeft den geest meer bots : Mijn ingewand ontspringt nu eens die vyand Gods Ten lesten is betrapt door d'Ithakoische stricken .	Joy_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1896.s.2	Het noodlot dit bestuurt , geen menschelijck beschicken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1901.s.1	Maer of die schalcke noch dit lijfsgevaer ontsprong , Door sijn ervaeren breyn , en slibbergladde tong ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.1	De saeck en lyd geen ' last .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.2	wy sullen 't soo bestellen Dat sijn dood vyanden , en haeters 't oordeel vellen : Na datmen 't oude , en langvergeten uyt den hoeck Gehaelt heeft , en doorsocht wel naeu sijns levens boeck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.3	Van dingen die hem sijn ontschoten door de jaeren : En waer de logen geld , daer salmen waerheyd spaeren : En geven 't valscheen schijn van oprecht , en een ' verf Van bloedbad , van verraed , van lien en landbederf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.4	Sijn vonnis boven aen sal in het voorhoofd voeren : Hoe dat hy driest bestond het haylige aen te roeren , En brack met eenen band 's rijcx banden altemael : Het heyr verwarrende met een ' gedeelde tael : Beswangrende een gedroght , en Hydra van geschillen , Van nood , gebeurlijckheyd , van moeten , en van willen : En eyschte in dit geschrey , dat slechts sijn bovensang Alleen sou sijn gehoort , door kerck , en priester dwang : Ia wetten gevende , waer na dat d'outerknechten , Een hemelsch Godvryvolck , sich souden moeten rechten : En steef het onderscheyd van noodigh , en van nut : En streckte door gesagh der nieuwigheden stut : Afslaende een wettige versameling van Paepen : En brengende om sijn ' tent vreemd krijgsvolck in de wapen , Self buyten 's veldheers last : en duysent dingen meer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1933.s.5	Maer gaenwe binnen , want de raed vergadert weêr .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.1	O Nacht , wiens doncker kleed beschaduwt alle menschen , Soo wel die heerlijck sijn , als die om noodruft wenschen : Wat boosheyt decktghe doch met dicke duysternis , Wiens laegen of bedrogh uw ' naerheyd gunstigh is ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.2	Men vordertme in den raed , hoe derf ick my vertrouwen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.3	Het is op my gemunt , daer is wat quaeds gebrouwen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.4	Men mompelt allerleyds : men stroyt een valsch gerucht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.5	Mijn ' vrienden sijn besorght , men raedme dat ick vlught .	Fear_Worry_Emotion_EmotionalAction
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.6	Hoe kan een vroom gemoed , ghy kentet Hemellieden , Dat niets en is bewust , verstaen tot eerloos vlieden !	Fear_EmotionalAction_Shame
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.7	Hoe kan een edel hart verswelgen , datmen segg ': Die droop voor schellem door voor Trojen in 't belegh , Noch ' dorst gedaghvaert niet sijn ' saeck voor recht bepleyten : Vermits hy was berucht van schandelijcke feyten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.8	Neen Palamedes , blijf , en hou noch liever stal : Al schietmen pylen uyt gedoopt in bittre gal , Soo brandmerck door uw ' vlucht , uyt ydele vervaernis , De glori niet uws naems , u selven tot beswaernis , Uw ' magen tot verwijt , uw ' vyanden tot vreughd ': Maer beur uw voorhoofd op , en toon dat waere deughd ' , Als d'eedle pallemboom , geen ' last te draegen weygert , En tegens 't swaer gewight der lasteringen steygert .	Joy_Emotion
