vond001jose05_01.TEI.2.text.body.div.head.163.s.1	Joseph in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1250.s.1	wel heerschap over moeders , En vader , en al 't huis .	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.1	bezoeckt ghy weêr de broedets ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.2	Komt ghy ons weer bespiên ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.3	verklicker , wellekoom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.1	Wat of de droomer nu weêr voorquam in den droom ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.2	Vertel ons uw gezicht , uw ' droom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1260.s.3	zing op , laet hooren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1264.s.1	Wat of hem schort ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1264.s.2	hy zwijght , hy heeft zijn tong verloren .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1266.s.1	Jo .	None
vond001jose05_01.TEI.2.text.body.div.sp.1269.s.1	Mijn broeders , och ick val voor uwe voeten neêr .	None
vond001jose05_01.TEI.2.text.body.div.sp.1269.s.2	Vergeeftme mijn vergrijp , noch eens , en dan niet meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1274.s.1	Rijs op , het is geen wijs , dat koningklijcke zielen , Zich buigende in het stof , voor onderdanen knielen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.1	Was vader niet de zon ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.2	was moeder niet de maen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.3	Wy starren , schooven ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1279.s.4	he !	None
vond001jose05_01.TEI.2.text.body.div.sp.1285.s.1	och broeders , laet my gaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1285.s.2	Och broeders , laet my gaen . 'k wil gaerne voor u bucken , Gelijck den jongste past	None
vond001jose05_01.TEI.2.text.body.div.sp.1289.s.1	rijs op : hoe zal 't hier lucken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.1	Nu koningk Joseph , zegh , wie zal uw stalknecht zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.2	Wie schrijver ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.3	wie poortier ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.4	wie schencker , om met wijn Te kroonen 's konings disch ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.5	wie kamerlingk verstrecken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.6	Wie muilpaert ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.7	wie kameel ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.8	wie uw karrossen trecken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.9	Koom herwaert Naphtali : koom herwaert Zabulon : Komt Asser , Isaschar , Gad , Judas , Simeon , En Dan : dit is de schoof : vernedert uwe schoven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1300.s.10	Duickt starren , zon en maen , dit licht zal 't al verdoven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1304.s.1	Ontweldight hem dien staf , en drijft hem naer den put .	None
vond001jose05_01.TEI.2.text.body.div.sp.1308.s.1	Och broeders .	None
vond001jose05_01.TEI.2.text.body.div.sp.1312.s.1	voort , ga voort : dit jancken is onnut .	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.1	DIt 's d'oude en drooge put : 'k wil hier ontrent vertoeven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.2	Maer 't zou wel noodigh zijn met eenen steen te proeven , Of oock de duistre gront met water sta bedeckt , 't Welck van dees heuvelen by wylen herwaert leckt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.3	Hier leyt een kay , zoo zwaer als eenigh man kan heffen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.4	Nu mannekracht , hef op : die steen wil lydigh treffen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.5	Laet vallen , dat het kraeck : laet rollen zonder schrick .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.6	Hy plomt niet eens , maer ploft : droog is 't er : klaer ben ick .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.7	Weest wellekom , ô put weest wellekom , behoeder Van Jakobs waertsten zoon , van mijn ' verlegen broeder .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.8	Verdien een ' naem , wanneer ghy , voor een wisse doot , Dien heldren jongen berght , in uwen naeren schoot ; Zoo veel barmhartiger dan negen broêrs te gader , Al broederslachtigen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.9	ô put , 'k zal u by vader , Dien afgeleefden stock , haest loven voor dees deught : Terwijl hy Joseph kust al bevende , en van vreught De tranen biggelen langs 't aengezicht vol rimpelen .	Joy_Emotion_EmotionalAction_BodyPart_BodilyProcess_Love
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.10	Hoe komtge my te pas !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.11	hoe helptge my bewimpelen Mijn heimelijcken raet , tot redding van die spruit , Waer in de dorre boom en schorre schors besluit Zoo luttel saps , als die noch hoeft om wat te leven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.12	Hoe zal de versche mont aen schraele lippen kleven !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.13	Met welck een hartlijckheit de vader welgezint Zijn siddrende armen staen , om zijn herboren kint , Om dien beschutten hals !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.14	met welcke danckbre klancken , Met hoe veel zegens wil hy Ruben dan bedancken , Voor broêr en vaderplicht , voor zijn godtvruchtigheit !	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.15	Dan zweef ick op zijn tong zoo hoogh , als 't onbescheit Der broedren , root van schaemt , het hooft moet onder halen , Noch dieper dan de put , daer Joseph in moet daelen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.16	Maer zwijgh , och zwijgh , my dunckt zy komen ginder aen , 't Verwezen kint voor uit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.17	Och broeders , laet hem gaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.18	O d'arme jongen wischt zijn uitgekretene oogen .	BodyPart_BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.19	O tigers , hebt ghy nu de menscheit uitgetogen , En voert ghy van den mensch slechts uiterlijcken schijn , Zoo veel gevaerlijcker als woeste dieren zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.20	Die kent men aen gebit , aen gruwelijcke klaeuwen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.21	Helaes , wat gaet my aen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.22	de jongen zal verflaeuwen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.23	Waer best mijn lijf geberght hier ergens in een hegh ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1359.s.24	Zy naecken : och . 't is tijdt , dat ick my nederlegh : Want hoorenze mijn stem of 't ritslen van de doren , Zoo is 't met ons gedaen , zoo gaenwe bey verloren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1364.s.1	NU grijn hier na : treck uit dien kakelbonten rock .	None
vond001jose05_01.TEI.2.text.body.div.sp.1364.s.2	Treck uit , eer ick 't u leer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1368.s.1	ja leer hem met dien stock .	None
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.1	Och broeders , kan ick u vermurwen met mijn karmen ?	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.2	Och heb ick 't zoo gemaeckt ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1373.s.3	och is ' er geen ontfarmen ?	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1377.s.1	Schud uit de py , schud uit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1381.s.1	hoe heb ick 't zoo gemaeckt ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1385.s.1	Hy sammelt noch .	None
vond001jose05_01.TEI.2.text.body.div.sp.1389.s.1	helaes !	None
vond001jose05_01.TEI.2.text.body.div.sp.1389.s.2	waer ben ick nu geraeckt ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1394.s.1	Daer ghy zult d'uit komst zien van uwe neske droomen , In eenen donckren put .	None
vond001jose05_01.TEI.2.text.body.div.sp.1400.s.1	waer ben ick nu gekomen , Daer God woont noch goe mens , die my voor 't lest beschut !	None
vond001jose05_01.TEI.2.text.body.div.sp.1400.s.2	Helaes , wat hebt ghy voor ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1404.s.1	ghy moet in dezen put .	None
vond001jose05_01.TEI.2.text.body.div.sp.1408.s.1	Verdrincken in dien put ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1413.s.1	om van geen drank te sterven , Zult ghy van dorst vergaen , en wijn en water derven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1418.s.1	Van honger en van dorst in dezen put vergaen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1418.s.2	O put , ick zie geen ' gront : hier schijnt noch zon noch maen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1422.s.1	Die zult ghy in uw ' droom zien schijnen , oock die starren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1426.s.1	't Was mijn gulhartigheit : noit dacht ick u te sarren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1430.s.1	't Was uw gulhartigheit , nu 't zoo te passe koomt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1434.s.1	Wie kan gebeteren , dat hy van starren droomt ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.1	Hoe ghy het betren kunt , dat zal die put u leeren , Een rechte school van tucht .	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.2	men moet zijne oudere eeren , De broeders allermeest , en d'ouders boven al .	None
vond001jose05_01.TEI.2.text.body.div.sp.1441.s.3	Wie zich te plomp verheft , raeckt plotseling ten val .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1444.s.1	Io .	None
vond001jose05_01.TEI.2.text.body.div.sp.1451.s.1	'k Roep zelfs de hemelen en Englen tot getuigen , Hoe mijn gehoorzaem hart genegen was te buigen Voor vader , moedren , u en al het huisgezin Misduit mijn droomen niet : daer steeckt niet arreghs in .	None
vond001jose05_01.TEI.2.text.body.div.sp.1451.s.2	Och , zaeght ghy in mijn hart : och , lagh mijn boezem open : Daer is noit list bedrogh noch arghwaen ingeslopen .	Suspicion_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.1	Hoe zingt hy nu zoo kleen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.2	wat was dat voor een nuck , Toen ghy by vader ons betighte met dat stuck ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.3	Wat was dat , simpelheit ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.4	of waren 't groene padden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1459.s.5	Most ghy de broeders noch zoo schendigh gaen bekladden , Tot schande van 't geslacht , en rockenen dien twist ?	EmotionalAction_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.1463.s.1	Wat mensch leeft zoo volmaeckt , die zich niet eens vergist ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1467.s.1	Het komt op eens niet aen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1471.s.1	och , ziet dit door de vingeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1475.s.1	Ja zoo : hoe zou hy ons hier meê om d'ooren slingeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1479.s.1	Het slimst quam achteraen : het grontsop drincktmen lest .	None
vond001jose05_01.TEI.2.text.body.div.sp.1483.s.1	Neen , beter 't huis geveeght van deze lucht , en pest .	None
vond001jose05_01.TEI.2.text.body.div.sp.1487.s.1	Trek uit dien rok , trek uit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1491.s.1	mag ick mijn rok niet houden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1495.s.1	De rock is u niet nut .	None
vond001jose05_01.TEI.2.text.body.div.sp.1499.s.1	hy moght te nacht verkouden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1503.s.1	Och , moght ick Benjamin eens kussen voor mijn endt .	EmotionalAction_Love
vond001jose05_01.TEI.2.text.body.div.sp.1507.s.1	Een jarigh kint ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1507.s.2	het heeft zijn ' broeder noit gekent .	None
vond001jose05_01.TEI.2.text.body.div.sp.1511.s.1	Ick most , voor mijn vertreck , hem noch een ' kus afprachen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1515.s.1	Wel kende u 't kint ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.1	mijn broêr , gy hebt my aengelachen , Maer och , voor 't allerlest .	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.2	hoe luttel docht ick toen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1521.s.3	Daer is mijn rock : helaes !	None
vond001jose05_01.TEI.2.text.body.div.sp.1526.s.1	wy dienen werck te spoen , Eer iemant onvoorziens ons koom op 't stuck betrappen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1530.s.1	Ay broeders , laet my gaen , ick zal u niet beklappen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1534.s.1	Wy hebben in dat stuck met zinnen al verzien .	None
vond001jose05_01.TEI.2.text.body.div.sp.1538.s.1	Koom , lang het laddertouw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1542.s.1	nu kan ick niet ontvlien .	None
vond001jose05_01.TEI.2.text.body.div.sp.1546.s.1	Twee vleugels schorten u : ghy zijt een lichte veugel .	None
vond001jose05_01.TEI.2.text.body.div.sp.1551.s.1	Sta vast : ick zal dit touw gaen knoopen aen den beugel , Of 't half gebroken rat .	None
vond001jose05_01.TEI.2.text.body.div.sp.1557.s.1	zie voor u , eer ghy stort , Of uitglijt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1557.s.2	valt het touw een vaem of drie te kort , Zoo blijft hy in den put licht hangen , als een bengel .	None
vond001jose05_01.TEI.2.text.body.div.sp.1561.s.1	Zo spring hy voort om laeg .	None
vond001jose05_01.TEI.2.text.body.div.sp.1567.s.1	maer neen , hy heeft den Engel Van vader op zijn hant , die draegh hem in den dreck .	None
vond001jose05_01.TEI.2.text.body.div.sp.1571.s.1	En feilt en mist hem dat ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.1	zoo breeck hy voort den neck .	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.2	Hoe harder smack , hoe nutst : 't fatsoen is maer verloren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1577.s.3	Nu wacker , stijgh te paert : de lijn is al geschoren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1581.s.1	Zoo doet het : op , klim op , en stijgh gewilligh neer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1585.s.1	O God , vergeef hun dit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1589.s.1	voort voort , geen woorden meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.1593.s.1	Verveelt het u , dat wy voor 't lest ons hart uitspreecken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1597.s.1	Ghy mooght in dezen put vry zeven dagen preecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1601.s.1	Och schenckt my eens voor 't lest : mijn hart verstickt van dorst .	None
vond001jose05_01.TEI.2.text.body.div.sp.1606.s.1	Schep water met uw hant , al ziet het wat bemorst , Het kan den dorst verslaen : de slijm is meest gezoncken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1610.s.1	O Godt , dat laeft mijn hart : noch eens voor 't lest gedronken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1614.s.1	Nu klim , daer is mijn knie : nu zet den voet in 't touw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1618.s.1	Stijgh af .	None
vond001jose05_01.TEI.2.text.body.div.sp.1622.s.1	leeft lang mijn broêrs : troost vader in zijn rouw .	None
vond001jose05_01.TEI.2.text.body.div.sp.1626.s.1	Die rouw is al gemaeckt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1630.s.1	hy daelt met flaeuwe treden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1634.s.1	Zijt ghy om laegh ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1638.s.1	noch niet .	None
vond001jose05_01.TEI.2.text.body.div.sp.1643.s.1	hael op hy is beneden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1643.s.2	Maeck los het laddertouw : 't wil tijdt zijn dat wy gaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1648.s.1	Ons werck is nu beschickt : hier moet een dronck op staen , Met een ontbijt : de zon begint alree te steecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1653.s.1	Komt gaenwe , daer ons loof noch schaduwen ontbreecken , Hy heft een klaeghliedt aen : hoe galmt die naere klanck .	None
vond001jose05_01.TEI.2.text.body.div.sp.1657.s.1	Ay , luister wat hy zingt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1661.s.1	de tijdt valt my te langk .	None
vond001jose05_01.TEI.2.text.body.div.sp.1665.s.1	Hoort iemant dat geluidt , zijn stem magh ons verraden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1671.s.1	't Geluit reickt niet zoo wijt : oock loopen hier geen paden : De heirbaen leit te veer : het kreupelbosch zwijght stil : En wie genaeckt dien put , als die ' er wezen wil ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.1	MYn Godt , mijn Godt , magh mijn geklagh niet baeten , En gaet uw glans en aenschijn voor my schuil , Voor my , helaes , van u en elck verlaeten , In dees speloock , en onverlichten kuil ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.2	Ick zie 't gewelf des blaeuwen hemels blincken , Door eenen bril van damp en dicke lucht ; Al schijnt de zon , zy schroomt zoo diep te zincken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.3	Ick hoor den windt , maer wie hoort mijn gezucht !	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.4	De putgalm baeuwt mijn kermen na , mijn smeecken , En kaetst te rugh den allerlesten tarm .	EmotionalAction_Despair
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.5	De steenen zelf uit medelijden spreecken .	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.6	Ick roep , ocharm : de putgalm roept , ocharm .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.7	Bedanck ick hem , die noch uit mededoogen Mijn ziel vertroost , hy danckt my wederom .	Emotion_BodyPart_Compassion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.8	En schrey ick : wee mijn oogen ; hy schreit , oogen .	BodyPart_BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.9	Zit Joseph stom , de putgalm zit oock stom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.10	Och haetooft , och hoe bitter zijn uw korlen , In mijne keel , schier stickende van smart : Maer nu ontbey , daer komt wat zoets op borlen .	Emotion_Hatred_BodyPart_BodilyProcess_Relief_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.11	Wat magh dit zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1695.s.12	wat troost verfrischt mijn hart ?	Emotion_BodyPart_BodilyProcess_Relief
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.1	ZYn dat gebroeders ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.2	och , zy hebben 't lam gedolven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.3	Daer gaenze heen , in schijn ' van harders , ô die wolven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.4	Zy lieten allerlest hun wreede stappen hier .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.5	't Was goet dat ick my kon verbijten . 'k had me schier ( Mijn krop wert vol ) ontdeckt met bulderen en krijten .	EmotionalAction_BodyPart_Despair_Anger
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.6	Ja had ghy 't maer gedaen : zy moghten u vry smijten In eenen zelven poel ; zoo waert ghy door dien raet Niet schuldiger als zy , aen zoo vervloeckt een daet ; Om wie de vader nu misschien al leit te bedde .	None
vond001jose05_01.TEI.2.text.body.div.sp.1708.s.7	Maer neen , 't was beter dus . 'k wil zien of ick hem redde .	None
vond001jose05_01.TEI.2.text.body.div.sp.1712.s.1	Och , help my , wie ghy zijt : och , help my , uit den noodt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.1	Hy roept , Godt lof , dat 's noch geen teken van zijn doodt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.2	Hoe is het Josephbroêr ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1717.s.3	ick koom uw wonden stelpen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1721.s.1	Och , Ruben , help my uit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1726.s.1	Ick koom , om u te helpen : Mijn kint , mijn hart , mijn zoon , bedaer wat : schrey niet meer .	EmotionalAction_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1730.s.1	Och , help my uit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.1	mijn broer , hier is geen tou , noch leer : Noch wist ick raet om touw ; ick zou mijn kleeren scheuren , En strengelen een koort : maer matigh u in 't treuren : 't Is om een korte wijl , een korte stoot gedaen .	EmotionalAction_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.2	'k Beloof u , eer de zon op 't hooftpunt komt te staen , Te redden met dees hant : de tijdt kan 't nu niet draegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.3	Zy zien noch t'elkens om , uit achterdocht voor laegen .	Suspicion_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.4	'k Onschuil hun vast .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.5	mijn trouw heeft Joseph niet verzaeckt .	Emotion_Loyalty
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.6	Ghy zijt door mijn bestel in dit verdriet geraeckt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.7	'k Bestemde 't quaet , op dat ' er goet uit wert geboren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.8	Vergeef my toch dien treck , die anders waert verloren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1746.s.9	't Gevaer jaeght my van hier : leer harden : ick moet voort .	None
vond001jose05_01.TEI.2.text.body.div.sp.1750.s.1	Och , Ruben Ruben , hoor : ay , broeder , noch een woort .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.1	HEt lust ons , om dees duisternissen Des puts , al 't hemelsch licht te missen : Want zulcke duisternissen zijn Ons schooner dan de zonneschijn .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.2	Wy willen hier een hemel stichten , Verzien met aengenamer lichten Dan aen dat blaeuw gewelfsel staen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.3	Zijn mont verstrecke een nieuwe maen : Zijn oogen , op den gront gezoncken , Twee starren , die den nacht ontvoncken : Het voorhooft , daer de lock om zweit , Een zon , gekrult met majesteit Van zyzacht hair en blonde stralen : Wat schemering kan 't hier by haelen , Des morgens vroegh , of 's avonts laet ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.4	Wat avontstont , wat dageraet Beschaemt die winckbraeuw , deze wangen , Nu met een ' dunnen mist behangen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.5	Als met een ' sluier fijn van draet , En bruin van verf , daer vier door slaet , En speelt , en schijnt op 't zwart te zweven , Te zoet gedommelt en verdreven .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1780.s.6	Laet d'oogen weiden in die kunst : Dees schaduw geeft dit licht een gunst .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.1	Het zal strax ryzen , om te reizen ; Om koningklijcke en aertspalleizen , Daer aller wyzen wijsheit zuft , Met zijn van Godt verlicht vernuft Te proppen : maer in 't eerst zijn banden En noch een droeve dagh voorhanden ; Eer 't begenadight van een kroon , In 't wit beschijn den gouden troon , Tot heil en troost van veele volcken .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.2	Het moet , vermomt met donckre wolcken Van ballingschap , veel jaeren langk , Nae een ' bedruckten ondergangk , In arbeit gaende , aen 't baeren raecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.3	Dees langkzaemheit past groote zaecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1807.s.4	Een eick , die met zijn hooft vol blaên En bladige armen zal beslaen Veel gronts , veel luchts , en winterbuien Van oosten westen noorden zuien , En blixemstrael en donderkloot Verduuren , wort allengskens groot : Om tegens dat gewelt te sportelen , Verzekert hy zijn ' voet met wortelen ; Zijn ' rugh met pit , en hout , en bast : Gelijck zoo stout een ' boschreus past .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.1	'k Zie Jacobs kinderen en knaepen Te weide gaen , en koey en schaepen , In schaduw van dien hoogen boom , By eenen wijdt vermaerden stroom , Vast bloemen gras en klaver scheeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.2	'k Hoor beemden harderlieden leeren ; De fluit , aen 's harders dartlen mont .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1823.s.3	'k Zie huppelen den vetten gront , Op het getippel dezer vingeren , Die toonen door malkandren slingeren , Tot roem van Abrams Godt , wiens hant Hem voerde in zulck een gastvry lant .	None
vond001jose05_01.TEI.2.text.body.div.head.1826.s.1	Het vierde bedryf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.1	NU op den heuveltop eendrachtigh neergezeten , En al 't geleden leedt met eenen dronck vergeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.2	Komt broeders , zet u aen : hier staet de disch gereet , Langs dit vervallen slot , met klim op groen bekleet , En met een veldtapijt natuurelijck behangen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1838.s.3	De breede lindeboom ( de zon gae vry haer gangen , In 't Oosten ) noodight u in 't grazige gestoelt , Met bruine schaduwen , en aengename koelt , En koelt den leckren wijn , om 't hart eens te verquicken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1842.s.1	Verquick uw hart met wijn , en laet uw ' broeder sticken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1846.s.1	Wat zegt ghy , Judas ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1850.s.1	niet : ick spreeck geen enkel woort .	None
vond001jose05_01.TEI.2.text.body.div.sp.1854.s.1	Ghy zit niet zacht .	None
vond001jose05_01.TEI.2.text.body.div.sp.1858.s.1	my dunckt ick zit niet zo 't behoort .	None
vond001jose05_01.TEI.2.text.body.div.sp.1862.s.1	Koom zet u hier : gemack is nimmer te versmaden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1866.s.1	't Is meer dan 't halve mael .	None
vond001jose05_01.TEI.2.text.body.div.sp.1870.s.1	dat hebt ghy net geraden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1874.s.1	Nu , zit ghy wel ?	None
