stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin van Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.1	Gy mint , en voert die taal !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.2	Dat glorieryk besluit , Waardoor myn liefde groeit , terwyl 't ons huwlyk stuit , Heeft Amstels wyze raad gewis u ingegeven .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.4	uw hooge deugd is moeilyk na te streven , En stort myn blakend hart in eindeloozen druk , Na 't vleijend denkbeeld van myn ingebeeld geluk .	Emotion_Happiness_BodyPart_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.5	Ik zie , mevrouw , ik zie wat deugden ons betamen : Uw min tot Lodewyk behoeft ge u nooit te schamen : Ik wil , terwyl uw pligt het huwen ons ontzegt , Uw liefde waardig zyn ; ik staaf een wettig recht ; 'k Verzaak myn hoogst geluk , eer 't u gedy ' tot schande , En doe voor Adaas heil de erbarmlykste offerhande .	Emotion_Happiness_Love_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.6	Vaarwel in eeuwigheid ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1061.s.7	Wy zien elkaêr nooit weêr ; Gy zult uw ' bruidegom vergeten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.1	Neen , mynheer : Myn afgematte geest , hoeveel 't myn rust zal krenken , Wil onophoudelyk uwe eedle min herdenken .	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.2	't Is noodig , tot myn ' troost , dat gy myn zwakheid weet , Opdat myn bruîgom nooit zyn droeve bruid vergeet ' !..	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.3	Myn moeder nadert ons .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1071.s.4	Laat Ada nu aanschouwen Hoe veilig zich haar hart op 't uwe mag betrouwen .	BodyPart_Trust
stee033adag01_01.TEI.2.text.body.div.div.stage.1075.s.1	Adelheide , Ada , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1085.s.1	Mevrouw , zie hier een blyk van ware dankbaarheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1085.s.2	Een minnaar , door uw gunst in al zyn hoop gevleid , By wien myn beden meer dan liefde en heerszucht baten , Doet afstand van myn ' echt , en van myn hooge staten ; Zyn edelmoedig hart kiest , deelende in myn ' druk , De glorie van zyn bruid voor 't zorglyk echtgeluk : 't Is hem bekend wat ramp uit onze trouw kan spruiten .	Emotion_Happiness_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1089.s.1	Hoe weet uw strenge deugd myn liefste drift te sluiten !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.1	Is 't mooglyk , Lodewyk , indien gy waarlyk mint , Dat u , niet laf van aart , eene ydle vrees verblind ?	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.2	Schep moed ; ontfang een bruid , u door myn gunst beschoren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.3	Uit uw ' besloten echt word al ons heil geboren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1098.s.4	Geloof my , tot bewys van uwe erkentenis ; Of denk dat Lodewyk geene Ada waardig is .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.2	zou myn moed , vorstin , uit laffe vrees bezwyken ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.3	Waar moet , tot Adaas heil , myn trouwe liefde blyken ?	Emotion_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.4	Hoe voed uw bits verwyt myn felle minnepyn !	Emotion_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.5	Moet ik door huwlyksdwang myn schoone onwaardig zyn ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1107.s.7	ik wil myn bruid op de eêlste wyz ' beminnen .	EmotionalAction_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1111.s.1	Volhard , ô Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1111.s.2	uzelven te overwinnen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.1	Misleide minnaar !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.2	vrees de gramschap van een vrouw , Die , schoon ze in 't heimlyk treurt , in 't openbaar den rouw In 't prachtig feestgewaad uit nooddwang moet verbergen .	Emotion_EmotionalAction_Sadness_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.3	Gy zult myn zuchtend hart niet lang door weigring tergen .	BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1120.s.4	Een ander bruidegom , bezield met eedler min , Zal 't waardig voorwerp zyn ...	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1124.s.1	Wat zegt gy ?..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1124.s.2	Ach , vorstin !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1126.s.1	Ada ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.1	Uwe Ada zal haar ziel met ontrouw nooit besmetten : Myn pligt , myne eer , uw mui zal 't huwen my beletten .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.2	Ontäarde moeder , die myn hartewee vergroot , My tot een misdryf noopt , myn wis verderf besloot !	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.3	Uw wreedheid wettigt my 't verpligt ontzag te breken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1135.s.4	Ik wil in 't vry gemoed geen strafbre liefde kweeken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1128.s.1	tegen Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1139.s.1	Vermeetle !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1139.s.2	welk een taal !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.1	Vergeef my die , mevrouw : Myn ongelukkig hart is aan zyn ' pligt getrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.3	dwing my langer niet met weerzin u te hoonen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.4	Ik wil , als dochter , u gehoorzaamheid betoonen : Maar weiger my niet meer uw ' moederlyken troost , En eisch geene enveldaad van uw elendig kroost .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.5	Vaarwel , myn bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.6	Ik zal dien naam u geven , Zolang gy waardig zyt in echt met my te leven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1151.s.7	Uw droeve bruid ontvlied voor eeuwig uw gezigt .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1155.s.1	Voor eeuwig !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1155.s.2	Wreed besluit !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1159.s.1	ô Al te strenge pligt !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1164.s.1	Hoe kan ik scheiden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1164.s.2	hoe myne Ada eeuwig derven ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1168.s.1	Gy moet , ô Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1168.s.2	dit op uw hart verwerven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1172.s.1	ô Weêrgaêloos verlies !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1176.s.1	ô Doodlyke ongeneugt ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1182.s.1	Vaarwel ; denk aan myn liefde .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1180.s.1	Ada ombelzende .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1186.s.1	Ik denk aan uwe deugd .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1190.s.1	Adelheide , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1197.s.1	Betoon uw schreijend kroost de deernis van een moeder ; Hoor Willems afgezant ; bevredig Diedriks broeder .	Emotion_BodilyProcess_Compassion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1197.s.2	Beproef , mislukt het u , beproef myn ' moed , vorstin ; En zie de heldendaên der hopelooze min .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.1	Verliefden !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.2	moet ge om stryd , in weêrwil uwer harten , Uit haat tot uw geluk , een tedre moeder tarten ?	Emotion_Happiness_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.3	Daar u myn gunst vereent , tot wanhoop overslaan ?	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.4	My tergen met verwyt ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.5	myn nutte zorg vermaên ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.6	Gy noopt myn grimmigheid uw wrevle drift te doemen ; En dwingt my teffens u , grootmoedigen !	Emotion_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.7	te roemen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.8	Beklaag , myn Hildegaard , beklaag hun ongeluk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.9	Zaagt gy dat teêr vaarwel ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.10	zaagt gy hunn ' fellen druk ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.11	En echter zien wy hen , om smaad en schimp te weeren , Op 't hevig mingeweld doorluchtig triomferen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.12	Zo heb ik vruchteloos , op uwen vreemden raad , Den zwarten rouw verkeert in 't blinkend feestgewaad , Opdat men 't jeugdig hart der droevige Ada vleide .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.13	Haar fierheid ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1219.s.14	Maar die past aan 't kroost van Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.1	Verbreekt gy dan , mevrouw , uw loflyk staatsbesluit ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.2	Verydelt gy myn zorg , die in de jonge bruid Een krachtig liefdevuur behendig heeft ontstoken ?	BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.3	Zie , zie Oostvrieslands graaf eerlang op 't felst gewroken Door uwer vrienden dood , en in uw vorstlyk bloed .	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.4	Betoont gy Ada dus een moederlyk gemoed ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1232.s.5	Verraad ons allen niet door ydel mededoogen ; Geef nooit aan Willems haat een doodlyk staatsvermogen ; Voltrek de nutte trouw : uw afstand is te laat ; Men weet uw ' toeleg .	Emotion_Hatred_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1240.s.1	Spaar uw ' vruchteloozen raad : Ik weet wat my betaamt , en zal 't besluit niet breken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1240.s.2	Maar help my Lodewyk in feller liefde ontsteken ; Beweeg de droeve bruid te stemmen in haar ' echt ; Vertoon haar al 't geluk dat haar word toegezegd .	Emotion_Happiness_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1245.s.1	Zy sprak den afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1245.s.2	'k Moest dat gesprek niet stuiten : 'k Verzelde haar ; hy had geheimen kunnen uiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.1	Getrouwe , heel my niets .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.2	De bisschop , in 't paleis Reeds aangekomen , sterk ' myn ' moederlyken eisch !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.3	't Hardnekkig paar ontzie dien geestelyken vader !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.4	'k Zal my met hem beraên .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.5	Ken Adelheide nader ; Zie of ik afstand doe .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1254.s.6	Niets valt myn ' moed te zwaar : Dit hart wint nieuwe kracht in 't wassend landgevaar .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1256.s.1	Einde van het tweede bedryf .	None
stee033adag01_01.TEI.2.text.body.div.head.1260.s.1	Derde bedryf .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.1	Hoe doet een wreede min myn hart wanhopend ' blaken !	Emotion_BodyPart
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.2	Ik moet ( ô streng bevel ! ) al myn geluk verzaken .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.3	ô Akelig paleis , waarheen ik juichend ' toog !	Joy_EmotionalAction
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.4	Uw vorstlyk feestsieraad is haatlyk in myn oog ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.5	Elendige erfgravin !	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.6	hoe kan ik u verlaten ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.7	Gy zyt in hoogen nood ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.8	Zal u myn byzyn baten ?..	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.9	Ik wil hier waken voor uw wettig eigendom ; Ik wil beletten , dat een ander bruidegom ...	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.10	Verwoede minnenyd !	Emotion_Envy_Love
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.11	vlie , viie uit myn gedachten ; Ik buig voor Adaas wil .	None
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.12	ô Wanhoop !	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.sp.1276.s.13	geef my krachten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.1	Verwinnaar van uw hart !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.2	uwe edelmoedigheid , Gevreesd van Adelheide , en door uw bruid verbreid , Zal u , die meer bedoelt dan talryke onderdanen , Ontwyfelbaar den weg ter eeuwige achting banen .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.3	Volhard ; behoed uzelv ' en uw gedreigde bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.4	De bloem des adels barst in eedle gramschap uit , En wil , eer Ada huw ' naar Adelheides wetten , De blinde tyranny door nut geweld beletten .	Emotion_Anger
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.5	Die raadslag is noch niet aan Diedriks weeûw gemeld .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1294.s.6	Zy , die uw liefde kent , en veel betrouwen stelt In bisschop en soldaat , wil 't opzet noch voltrekken , Eer Dordrechts morrend volk een oproer kan verwekken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.1	Neen , Amstel ; neen : ik dien my nimmer van haar ' dwang : Myn glorie triomfeert op liefde en staatsbelang .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.2	Die zege staat my dier .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.3	Hoe Ada best beveiligd ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.5	Utrechts bisschop zelf , den kerkdienst toegeheiligd , Verbittert Adaas voogd , uit wrok , door snoode list ; Ontvonkt , uit zelfbelang , het moordvuur van den twist ; Verdrukt graaf Diedriks wees , verhard een tedre moeder .	Emotion_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1306.s.6	Wie zal de onnoozelheid beschermen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1310.s.1	Diedriks broeder .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1314.s.1	Graaf Willem ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1320.s.1	Ja , mynheer : hy gruwt van tyranny , En doelt grootmoedig op de wettige voogdy : Zyn afgezant heeft last voor Adaas heil te waken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1324.s.1	ô Wonder !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1324.s.2	Poogt men u geen logens diets te maken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.1	Graaf Willems groote ziel , ontlast van allen haat , Is Diedriks weenend kroost een wisse toeverlaat : Gy zult zyn hooge deugd niet lang in twyfel trekken : Hy mint zyn droeve nicht .	Emotion_Hatred_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.2	Ik mag niets meer ontdekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1333.s.3	Toon zelf den afgezant uwe edelmoedigheid ; Pleeg raad met Hugo ; steun op zyn getrouw beleid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.1	Die taal verbaast my .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.2	Zal graaf Willem haar behoeden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.3	En zou ik oorzaak zyn van all ' haar tegenspoeden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.4	't Voogdyrecht schenden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.5	hem verraden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1340.s.6	Neen , mynheer : Myn min , op u gerust , mistrouwt dien held niet meer .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1344.s.1	Wacht Hugo , die terstond hier zal gehoor verbeiden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.1	Ach , Ada !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.2	uw belang vereischt een eeuwig scheiden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.3	Te zuchten , verr ' van u , in doodelyken druk , Is alles wat ik hoop ...	Emotion_Hope_BodilyProcess_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1350.s.4	Erbarmelyk geluk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1355.s.1	De bisschop nadert ons .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1360.s.1	Ik ken zyn looze treken ; Ik schuw hem .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1364.s.1	Vander Are , Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1366.s.1	Vander Are .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.1	Blyf , mynheer ; vergun my u te spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.2	Gy weigert Adaas hand , in weêrwil uwer min , Op de onbedachte beê dier weenende gravin ; Gy zyt grootmoedig in uw driften te overheeren , Maar overweegt niet wat die schoone meest kan deeren .	Emotion_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.3	Verdoolde !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.4	zaagt gy niet waaruit haar weêrstand sproot ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.5	Zy smoort haar wederliefde uit smart om 's vaders dood .	Emotion_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1376.s.6	Haar hart stemt in haar ' echt : zyzelf zal u bevelen Met haar te heerschen , in haar huwlyksmin te deelen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1381.s.1	Stemt Ada 't echtverbond ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1381.s.2	ô Neen ! 't is my bewust Hoe Adelheides wil haar droeve ziel ontrust .	Fear_Worry_Emotion_BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1386.s.1	Haar hart , haar minnend hart vind all ' zyn ' troost in 't uwe , En Hollands hooge nood verpligt haar dat zy huwe .	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1394.s.1	In tegendeel , mynheer , vereischt het landgevaar , Dat Hollands erfgravin met Lodewyk niet paar ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1394.s.2	Vergeef my dat ik pleit voor Adaas veege staten , Nu reeds een talryk deel der graaflyke onderzaten Durft spreken voor het recht der landvoogdye .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.1	Ik weet Hoe Dordrechts morrend volk ontzag en pligt vergeet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.3	zal men 't graaflyk huis , naar hun gevloekt behagen , Aan Willems ouden haat en dolle staatzucht wagen ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1404.s.4	Schend zelf geen rechten , gy , die voor de rechten pleit : Uw wettig leenheer spreekt ; betoon gehoorzaamheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1408.s.1	Myn pligt is my bekend ; uw rechten zyn my heilig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1410.s.1	Vander Are ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1414.s.1	Denk ; zo gy Willem vreest , dat ik uw ' echt beveilig .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1421.s.1	Zo Ada 't huwen stemt , is 't enkel uit ontzag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1421.s.2	Ik weet hoeveel een hoofd van Utrechts kerk vermag Op de onbedreven jeugd , op lichtverleide vrouwen , Die op de geestlykheid zich bundeling betrouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1425.s.1	Wat lastring !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.1	Ach , mynheer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.2	de wanhoop spreekt in my : Die drift verstoore u niet !	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.3	bedenk wat smart ik ly .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.4	Ik dacht in eigendom eene erfgravin te ontfangen : ô Ydle hoop !	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.5	ik moet die schoone , om haar belangen , Voor eeuwig vlieden , jeugd en liefde wederstaan , Al bied een moeder zelf die waarde bruid my aan , Al poogt uw wreed gezag de zege my te ontrukken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.6	ô Gruwel !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.7	moet ik ook graaf Diedriks kroost verdrukken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.8	Hoe beeft myn teder hart in 't groeijend staatsgevaar Der kwynende vorstin !	Fear_BodyPart_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.div.sp.1438.s.9	Wie , wie verdedigt haar ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1442.s.1	Indien de nood haar treft , het is aan u te wyten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1446.s.1	Aan my ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1452.s.1	Aan u alleen , die , wanende u te kwyten Voor Adaas hoog belang , door 't weigren van haar hand Aan Willem tyd verleent ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1452.s.2	Wie stoort ons ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1456.s.1	De afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1461.s.1	Vander Are , Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.1	't Is voor 't gemeen belang , mynheer , een gunstig teeken , Dat Hugo 't achtbaar hoofd van Utrechts kerk mag spreken , Terwyl uwe eigen eer , zowel als Willems recht , Gevaar loopt door 't besluit van Adaas vreemden echt .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.2	Men mompelt ( zou die taal in my geloof verwekken ? ) Dat gy door 't geestlyk kleed een misdryf poogt te dekken ; De vorstelyke wees , uit eerlooze eigenbaat , Van Diedriks laatsten wil , ja van haar ' pligt ontslaat ; En waant een wrekend volk door uw gezag te stuiten .	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.3	Gy weet wat ongeval uit Adaas echt kan spruiten , Dat kerklyke achtbaarheid in oproer niets vermag , Graaf Willems treffend staal nooit zwicht uit blind ontzag , En dat uw hulp niet past by dat vermetel huwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1480.s.4	Toon Dordrechts burgery hoe de echtdwang u doet gruwen ; Belet , door uw gezag , een schaadlyk trouwverbond ; En sluit den lasteraar op 't glorierykst den mond .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1487.s.1	Uw yver voor myne eer zou mooglyk my behagen , Indien ik noodig dacht by u om raad te vragen .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1487.s.2	't Is my genoeg bekend wat my betaamt , mynheer ; En 't lust my buiten u te zorgen voor myne eer .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.1	Gy zoud , indien gy wist wat daden u betamen , En zorgde voor uwe eer , dier bitse tale u schamen .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.2	Ik zie hoe Dordrechts volk , in zyn verwoede spyt , Uw listige eigenbaat rechtvaardig u verwyt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1495.s.3	Zult ge altoos Willems wraak , gelyk weleer , ontvluchten ?	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1499.s.1	Mynheeren , voed geen ' twist .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1505.s.1	ô Jammerlyke vruchten Van 't heilloos trouwbesluit !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1505.s.2	Vorstin , hoe groeit uw nood !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.1	Gy hoont myne achtbaarheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.2	Uw roekloosheid is groot .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.3	Dat Willems afgezant zo stout een taal durft voeren , Bewyst hoe Willem zelf gantsch Holland zou beroeren , Ja luistren naar beklag , natuurpligt , eer noch wet , Indien zyn aanslag niet voorzigtig wierd belet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.4	Gy durft een heldenstuk ( ô smaad ! ) een misdryf noemen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1517.s.5	Men dingt naar Adaas erf ; myn hulp is niet te doemen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1509.s.1	tegen Willem .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.1	Mag Hollands graaflyk huis , om schyngevaar te ontgaan , Van Diedriks laatsten wil vermetel zich ontslaan , Weêrspannig 't hoog gezag der achtbre voogden schenden , En storten 't vaderland in eindelooze elenden ?	Emotion_Pride
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.2	Neen , looze bisschop !	None
