noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz de Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.2	Vermomd in myn gewaad hebt gy geen wacht te duchten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.3	Hou , als gy uit dit hol voorby de wachten trekt , ( Alsöf gy bitter weende , ) uw aangezigt bedekt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.4	Win onze woning straks , en laat uw vlugste flaven , En zy , die van hun trouw de sterkste proeven gaven , U vergezellen door de bosschen , of langs 't strand , Tot by 't Fantynsche volk dat diep zich houd in 't land .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.5	Gy wist voor lang hoe trouw die negers u beminden : Gy zult dat dapper volk licht tot uw hulp verbinden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.6	Ik geef , zo ge uw gewaad my voor myn kleedren gunt , U tyds genoeg dat gy dit vlek ontvlieden kunt : Ik zal , om 't hoofd der wacht alle achterdocht te onttrekken , Op deze tafel 't hoofd met mynen arm bedekken , Alsöf de hevigheid van 't pynlyk harteleed My 't spreken moeilyk maakte , en 't daglicht schuwen deed ; En , om des hoofdmans oog zolang 't kan zyn te blinden , Zal hy , wat hy ook zegg ' , volstrekt my spraakloos vinden ; Dus eer hy merken kan hoe loos hy wierd misleid , En hy u volgen doe , zyt gy in veiligheid .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.7	Verwerp myn ' voorslag niet ; gy moet dien niet weêrspreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.8	't Lot heeft u lang vervolgd , gy kunt op 't lot u wreken : Daar 't u tot op deez ' dag zo hoogst ongunstig is , Schonk 't nochtans ons één gunst : één lyfsgestaltenis !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.9	Bedien u van die gunst om 't lot met roem te straffen Voor al zyne ongunst : 't zal niet licht my kans verschaffen U weêr alleen te zien ; want word uw dood bestemd , Dan is de toegang tot dit kerkerhol gestremd .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.10	Kom , gryp het middel aan dat ik u aan durf bieden , Om strengen Valkenburg , den raad , de dood te ontvlieden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.11	't Is loflyk met geduld te lyden 't geen men moet ; 't Is pligtlyk , als men kan , 't gevaar te ontgaan met spoed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.1	All ' wat ik hoor ontroert me !	BodilyProcess_Moved
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.2	Ik ben naauw ' tot myzelven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.3	Moet gy , myn gemalin !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.4	myne eer dien afgrond delven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.5	Tot welk een ' prys stelt gy myn leven in myn hand ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.6	Gy wilt slechts dat ik leve , al leve ik in de schand ' ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.7	'k Heb u getoond uwe eer meer te achten dan myn leven , En gy , gy wilt myne eer een ' wissen doodsteek geven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.8	Had ik min waarde aan de eer dan 't levenslicht gehecht , Ik stond nu niet ten doel aan 't strenge wraakgerecht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.9	Ik , vlugtende , u ter prooi der trotse rechtbank laten !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.10	Ik zou myn vrinden , myn trouwhartige soldaten , Myn broeders , die ik steeds naar waarde heb geächt , Wier trouw my lichtnis in myn boei heeft toegebragt , Bedriegen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.11	en daardoor gelegenheid verschaffen Aan stuggen Valkenburg om hen op 't strengst te straffen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.12	Gy zoud de gunst eens mans bewogen met uw ' rouw , Eens vrinds , die , hoogst gerust op onze goede trouw , Bewerkt dat ge uw ' gemaal in 't kerkerhol moogt spreken , Misbruiken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.13	en op 't snoodst de goede trouw verbreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.14	'k Zou leven met de blaam dat ik u hulploos liet !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.15	Verwacht van uw ' gemaal zo groot een lafheid niet !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.16	De ladder en de strop zyn min voor my te duchten , Dan 't denkbeeld is der schand ' van op die wyz ' te vlugten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.17	De dood my toegedacht is wreed voor 't oog alleen ; Maar ze is niets voor den man die haar durft tegentreên : De pyn word uit gevoel , uit anders niets !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.18	geboren ; 't Gevoel word door de straf , in 't vonnis , my beschoren , Byna niet aangedaan : ten ladder afgestort Is ons gevoel straks weg ; dus is ons lyden kort .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.19	Maar op een laffe wyz ' de goede trouw te schenden , Ten koste van onze eer gevaren af te wenden , Te leven met de blaam , dat ons het leven meer Behaaglyk is dan 't hoogst van 's menschen goed , onze eer ; Dit alles baart den man , die heeft geleerd te sterven , En denkbeeld heeft van de eer , meer smart dan 't licht te derven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1166.s.20	Laat uw ' gemaal , wiens pligt eischt dat hy 't middel doem ' Dat ons ontëert , vergaan ; en gy ... bewaar uw ' roem .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.1	Gy wyst myn ' voorslag af ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.2	Gyzelf , gy eischt te sneven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.3	Gy wilt dat ik u derv ' ?...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.4	'k Zal u voldoening geven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.5	Maar waan niet dat ik laf in deez ' gehaten wal By die barbaren , die u dreigen , leven zal .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.6	Toen ik u de eerst ; maal naar 't moordschavot zag rukken , Liet my de krankte , ontstaan uit drang van ongelukken , Niets dan een asscheid toe , dat my het hart doorsneed ; Dit hart , door tyd gewoon aan 't onverdraaglykst leed , Kan thans het groot besluit , waarvan 't hier all ' zal beven , Volvoeren , tot bederf van wie u wil doen sneven .	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.7	Ik zeide u ééns vaarwel , ik denk daaraan , en yz ' !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.8	'k Zeg u thans weêr vaarwel , maar op eene andre wyz ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.9	Ik , door uw reên met schrik om uw gevaar bevangen , Wil van De Ruiters gunst uw hoofd niet af doen hangen ; Ik stel , uit liefde , uw lot trouwhartig in uw magt , Dewyl ge uit zucht voor my zyt in 't verderf gebragt ; Gy vind het minder wreed door een ontëerend sterven Uw gade , tot haar dood , uw ' bystand te doen derven , Dan , met haar bitter wee , dat ze om u lyd !	Fear_Emotion_BodilyProcess_Love_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.10	begaan , Haar liefde één pooging u ter redding toe te staan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.11	Een kieschheid zo barbaarsch aal schaars naar tranen hooren !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.13	daar ik , nevens u , u aanmerk als verloren , Schiet my niets over dan dat ik dees plaats begeev ' , U redde door geweld ... of voor deez ' kerker sneev ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.14	'k Zal voor 't Fantynsche volk in 't rouwgewaad verschynen : Min wreed dan gy , naardien 't zal deelen in myn pynen , Zal 't op den strengen aart des landvoogds reeds verstoord , Daar 't u bemint , door my ten opstand aangespoord , Zich , voegende aan de zy ' van Englands waterbenden , Ter breking van uw boei naar deze muren wenden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.15	De neger zal my grootsch de dood trotseren zien , En , moedig uit den aart , myn pooging bystand biên .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1206.s.16	Het bloed des raads , die wreed uw bloed wil doen vergieten , Zal , zo men ons weêrstaat , in deze muren vlieten ; Of 't volk door my geleid zal my , in 't oorlogswoên , Verdelgen zien door 't rot dat u wil sneuvlen doen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1209.s.1	la borde , haar wederboudende .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1211.s.1	Vertoef , wanhopige !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1211.s.3	myn bloed verstyft in de adren !	Fear_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.1	Besluit dan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.2	't Is , te laat !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1215.s.3	'k Zie Valkenburg ons nadren .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1221.s.1	mevrouw la borde , valkenburg , la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1224.s.1	valkenburg , met levendigheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.1	Myn vrinden !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.2	komt , schept moed , en weest verheugd met my : Wy zien de gantsche vloot : De Ruiter is naby .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.3	Hy , die ons harteleed voorzeker zal genezen , Die held , alom bemind , zal binnen 't uur hier wezen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1230.s.5	van waar die schrik , geprent op 't aangezigt !	Fear_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.1	Myn vader , ach !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.2	uw deugd heeft reeds genoeg verricht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.3	Gy hebt ons klaar doen zien hoe sterk onze ongelukken , Die zonder voorbeeld zyn , u op het harte drukken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.4	Reeds hebt gy van uw ' zoon een weigring ondergaan ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.5	Wat by De Ruiter u de vrindschap doe bestaan , Om een ' gemaal die zich de dood niet wil onttrekken , In 't uiterst van den nood , met kracht ten steun te strekken , Ons oog voorziet daarin geenszins die zekerheid Waarmede uw goedheid ons zo gunstig heeft gevleid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.6	Dus , niet voorziende om wis La Bordes boei te slaken ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1248.s.7	'k Zal , door ééne enkle daad , de waereld kenbaar maken , Dat liefde , ééns aangespoord tot wanhoop , in den nood Onëindig sterker is dan de yzing voor de dood .	Emotion_Love_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1244.s.1	Wanbopig .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1250.s.1	Zy vertrekt , met de uiterste drift .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1255.s.1	valkenburg , la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.1	La Borde , welk een schrik mag haar den geest ontroeren ?	Fear_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.2	Wat mag haar opzet zyn ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.3	wat tracht zy uit te voeren ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.4	Wat spoort haar , daar myn hulp haar trouw ten dienst wil staan , Dat haar verheugen moest , tot zulk een wanhoop aan ?	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.5	't Bericht der komst van 't hoofd van Neêrlands watermagten , De Ruiter , van wiens aart men niets dan goeds kan wachten , Op wiens meêdoogendheid zy straks noch heeft gehoopt , Is de oorzaak dat zy nu wanhopig my ontloopt !	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.6	Van waar die omkeer toch ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.7	Wat doet haar alles vreezen , Daar ze alles hopen mag ?	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1270.s.8	Kan ik haar smart genezen , Het word op 't oogenblik door my in 't werk gesteld .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.1	Geen smart hield ooit myn ziel meer dan dit uur bekneld !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.2	Zo gy uw hulp , mynheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.3	my gunstig wilt doen blyken , Volg straks myn echtgenoot '; laat zy u niet ontwyken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.4	Haar hart is teêr en fier , en zulk een hart kan licht , Door wanhoop overheerd , niet hooren naar den pligt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.5	In 's Hemels naam , vlieg heen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1280.s.6	'k Heb verder niets te smeeken , Dan dat ge my vergunt myn reden af te breken .	None
noms001mich01_01.TEI.2.text.body.div.div.head.1283.s.1	Zesde tooneel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1286.s.1	valkenburg , alleen .	None
noms001mich01_01.TEI.2.text.body.div.head.1299.s.1	Derde bedryf .	None
noms001mich01_01.TEI.2.text.body.div.stage.1301.s.1	Het Tooneel is in de groote zaal van het kasteel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1306.s.1	valkenburg , mevrouw la borde , een soldaat .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.1	'k Zeg andermaal , myn kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.2	gy hebt geen leed te vreezen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.3	'k Moet jegens uw ' gemaal altyd erkentlyk wezen : 't Is op zyn ' sterken drang dat ik u hier bewaar ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.4	Ik vrees uw wanhoop meer dan uw ' gemaals gevaar .	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.5	Daar hy my weigren blyft 't geen gy ontwerpt te ontdekken , En 't my niet mooglyk is u uw geheim te onttrekken , Ja ik door langer drang daartoe geen pooging doe , Is 't billyk dat myn zorg u voor uzelf behoê .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.6	Doch zwygen wy hiervan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.7	De Ruiter is gekomen : 'k Heb van zyn ' schout by nacht , op 't oogenblik , vernomen Dat Neêrlands admiraal myn ' zoon verzoeken doet , Dat niemant , wie 't ook zy , hem aan zyn boord begroet ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.8	Dit 's anders de eerste pligt van opperhoofd en raden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.9	Zo nedrig is de held , beroemd door groote daden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1325.s.10	Geloof toch dat ik nooit met waan u heb gevleid : De grond van myne hoop is zyn menschlievendheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.1	Hoe zeker u de grond van uwe hoop moog ' schynen , Uw hoop kan uit myn hart myn ' angst niet doen verdwynen .	Fear_Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.2	't Begrip ééns enklen mans beslist La Bordes lot : Het brengt hem in myn ' arm , of 't brengt hem op 't schavot : Men heeft van 't kloekst vernuft een wanbegrip te vreezen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.3	De gunst des admiraals moet niet onzeker wezen ; En evenwel wie staat , tot lichtnis van myn pyn , My in dat deze gunst niet zal onzeker zyn ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.4	De Ruiter is een mensch , dus vatbaar voor verblinding .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.5	Ik heb van 't menschlyk hart slechts weinig ondervinding , Dus word een ydle schrik my mooglyk ingeprent ; Maar myn gemaal , mynheer , die 't menschdom beter kent , Den aart der grooten hart heeft weten na te sporen , Weet dat zy meer 't belang dan 't mededoogen hooren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1344.s.6	Een oog door tyd verlicht bedriegt zich zelden ; maar ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.1	Een oog door ramp verblind ziet doorgaans veel gevaar .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.2	Is uw gemaal , myn kind , schaars vatbaar voor verblinding , Ik heb van 't menschlyk hart een langer ondervinding , Myn oog is niet bedwelmd door walm van tegenspoed , 'k Ben in myne eerste jeugd by grooten opgevoed ; Besef dus wien van ons gy meer geloof moet geven , My , of een ' driftig ' man , door doodsangst aangedreven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.3	Ik ken den admiraal ; ik kende hem toen hy In uyvren Lampsins dienst noch voer ter koopvaardy ; En heb tot op dit uur geen reden om te vreezen , Dat hy niet heden noch de zelfde man zou wezen , Die hy in lagen staat , voordezen , is geweest , Dat is , meêdoogend ' , groot , en nederig van geest .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.4	Ik zelf heb Van Der Zaan , zyn ' schout by nacht , gesproken ; En dees heeft in myn hart noch meer de hoop ontstoken Waarmede ik met vermaak , in uwe omstandigheid , Uw droefheid , my ten troost , gedurig heb gevleid .	Joy_Emotion_Hope_BodyPart_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.5	De brave vlootvoogd komt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.6	Ik wacht hem met verlangen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.7	Tree , daar myn pligt verëischt hem in dees zaal te ontfangen , In 't gindsche zyvertrek .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1374.s.8	Bedwing u ; nader niet , Voor dat gy , op myn ' last , 't bestemde teeken ziet .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1373.s.1	Zy vertrekt , en de soldaat plaatst zich , op den wenk van valkenburg , voor de deur van haar vertrek .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1386.s.1	de ruiter , valkenburg , de jonge valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1386.s.2	Hoofden der vloot , scheepskapiteinen , raadsheeren , hoofdlieden ; en soldaten , aan den ingang .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1388.s.1	de ruiter .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.1	Men stake een eerbewys dat ik geenszins verwachtte , Dat ik altyd ontweek , en altyd weinig achtte .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.2	De staatkunde , eigenbaats en heerschzuchts booze spruit , Vond al die ydle praal voor hare dienaars uit , Om hunnen rang by 't volk , dat licht zich laat verblinden , Ten steun der dwinglandy meer aanzien te doen vinden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.3	Hy , die zyn broosheid kent , zoek ' , doende all ' 't geen hem Voldoening in zyn hart : al 't ovrige is een last .	Aquiescence_Emotion_BodyPart_Trust
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.4	Laat ons , door kryg gedreigd , den dierbren tyd besteden past , Aan 's lands verdediging , en niet aan kleinigheden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.5	De zucht voor 't land alleen verdient den eerenprys ; Uw yver tot 's lands dienst strekk ' my voor eerbewys .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.6	Men doe de vloot voorzien : dit 's de eerste myner zorgen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.7	Gy voert de lichtste kiel : vertrek van hier op morgen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.8	Uw togt zy Westlyk heen langs deze kust gericht , Doch hou , zo veel gy kunt , het land in uw gezigt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.9	Gy , steven zuidlyk aan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.10	En zo gy langs de vloeden Een kiel of vloot verneemt die her waarts schynt te spoeden , Doet , door uw zwaarst geschut , die straks ons volk verstaan ; Wykt , schietende , achterwaarts , en houd dus op ons aan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.11	U voegt het boven all ' het zeevolk in te toomen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.12	Vergunt geen groot getal gelyk aan land te komen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.14	van wier trouw ik allen dienst verwacht , Gy weet hoe hoog myn hart de tucht by 't zeevolk acht ; Men kan niet zonder haar een vloot met vrucht bestieren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1428.s.15	Maar wacht u , straffende , ooit die drift den toom te vieren Die , ééns aan 't woên , den mensch een ' mensch doet zyn in schyn : Bestiert uw benden zagt ; denkt dat zy menschen zyn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1403.s.1	Tegen één ' der kapiteinen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1408.s.1	Tegen één ' anderen kapitein .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1411.s.1	Tegen heiden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1418.s.1	Tegen de hoofden der vloot , en verdere kapiteinen .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.1435.s.2	Soldaten , aan den ingang .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.1	Mynheer , die dezen dag aan dees gedreigde stranden Het zorglyk hoog bewint u ziet gesteld in handen , Aan wien ik op dit strand my van myn pligten kweet , Uw vlyt zy met myn vlyt ten dienst des lands besteed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.2	Onze eerste zorg in 't wee , dat wy met reden vreezen , Is meester van het hart van 't volk des lands te wezen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.3	Is 't min beschaafd dan wy , het heeft geen ' minder ' moed , En 't waagt voor wien 't bemint , met blydschap zelfs , zyn bloed ; Vooral 't Fantynsche volk .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1448.s.4	Vertrouwt gy dat die benden , Ten val van 't Britsche volk , zich veldwaarts zullen wenden ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.2	Uwe edelheid hou ' zich verzekerd van Een volk waarvan men niets dan goeds verwachten kan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.3	't Was eerst , door list des Brits , tot Englands dienst gewonnen , 't Had zelfs reeds tegen ons de vyandschap begonnen ; Maar van hun dwaling , door den Brit hen ingestort , Genezen door ons volk , was deze kryg slechts kort .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1458.s.4	Zy hebben van hun trouw ons blyk op blyk gegeven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1468.s.1	Eén krygsman deed dit volk met ons in vrindschap leven , Mynheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1468.s.2	Het achtte hem , zo om zyn ' stouten aart , Als om zyn minzaamheid ; en hy is achting waard ': Zyn vuist bestreed hun magt , zyn tong bestreed hun dwaling ; En by den roem , verdiend door deze zegepraling , Voegt hy noch de eer dat hy me ontrukt heeft aan de dood .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1482.s.1	Wie is die oorlogsman ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1482.s.2	Zie hier zyne echtgenoot ' !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1480.s.1	valkenburg wenkt den soldaat , die terstond de deur ontsluit , waaruit mevrouw la borde schielyk ten voorschyn treed , en zich aan de voeten des admiraals werpt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1480.s.2	Terwyl vervolgt de gryzaart , tegen den admiraal .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1485.s.1	mevrouw la borde , de kniën des admiraals ombelzende .	EmotionalAction_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.1488.s.2	ik ben 't , mynheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1488.s.3	Zie hier de droeve gade Eens oorlogsmans hoogst waard ' uw edelheids genade .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1492.s.1	de ruiter , met verwondering , haar opheffende .	Emotion_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.1	Wat 's dit !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.2	De gade eens mans , die zo veel heeft bestaan , Smeekt my genaê voor hem !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1495.s.3	Wat heeft hy dan misdaan ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1500.s.1	Zyn misdryf sproot uit de eer , myne eer ter wraak , te hooren .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1500.s.2	Hierom is myn ' gemaal 't afgryslykst lot beschoren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1504.s.1	Die taal verwekt my smart , en veel verwondering !	Emotion_Sadness_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1512.s.1	't Geval haars echtgenoots is waarlyk zonderling .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1512.s.2	Indien 't uwe edelheid op 't gunstigst mogt behagen Dit wonderbaar geval zich voor te hooren dragen , Ik stel voorzeker dat , by 't hooren van de schuld , Gy 't vonnis van den raad niet wederspreken zult .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1517.s.1	Of 't my behaagt ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1517.s.2	Ik eisch 't uit uwen mond te hooren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1520.s.1	Tegen mevrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1522.s.1	Draag zorg 's lands opperhoofd niet in zyn reên te stooren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1525.s.1	Tegen den jongen valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1527.s.1	Spreek vry .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1579.s.1	Haar echtgenoot was hier gemeen soldaat , En kreeg , ten loon zyns moeds , van ons een ' hooger staat .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1579.s.2	Toen noch 't Fantynsche volk , door Englands list bedrogen , Besloot met Neêrlands volk stoutmoedig te oorelogen , Besloot myn vader , ( door een valsch gerucht misleid , Alsöf slechts weinig volk zich had door 't bosch verspreid , ) Van weinig volk verzeld , den vyand weg te dryven , Het bosch te zuivren , niets daarin te laten blyven , En 't all ' met schrik te slaan voor Neêrlands wapenkracht , Wanneer hy onverhoeds zich zag in nood gebragt .	None
