hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. Hooft GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.14	Maen , starren , 's nachts cieraet , D'eerwaerde Sonnestraelen , 'T Aertrijck met vloedt doorwaedt , Daer cruidt , en boom beblaedt , Bij blije bloemkens staet , 'T schoon menschelijcke saedt Met lust u 't ooch onthaelen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.15	Het braef of soet gespeel Van windt , of tedre snaeren , Het lieffelijck gequeel Van mensch of vogels keel , Spel en sang-menging eel Door 't oor , met lust , geheel Ter sielen innevaeren .	Joy_EmotionalAction_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.16	De Wieroock , diemen met De Mirrhe plach te veugen , Musc , Ambre , scharp Civet , Groen cruidt , en bloemkens net , Roos , Lelij , Violet Met reuken onbesmet Verstercken , en verheugen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.17	Een vollen overvloedt Van veele dranck , en spijsen , Des menschen lichaem voedt Als hij met lusten soet Sijn gragen honger boet ; Maer bruickt hij 's meer , daer moet Gebreck , en last uit rijsen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.18	Van alle 's werelts lust Is soete brandt van Minne Voor d'heftichste bewust , Wanneer sij wort geblust Als lief bij lieve rust ; Daer aertsche mondt gekust Voldoet voor een Godinne .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.19	Dees lusten allegaer , En duisent van gelijcken , Als oefnen , aesmen maer , En d'ongetelde schaer Van al ons handtgebaer , Voor Liefd ' oprecht , en waer , Nochtans in vreuchde wijcken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.20	Sij doet dat vreuchd ' ontspring , In twee verbonden harten ; En maeckt dat yder ding Dubbele lust in bring , Door haer vereeniging ; Jae 't dragen onderling Treckt soetheit uit de smarten .	Joy_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.21	Dees saligende deucht Op Aerden can doen smaken Een goddelijcke vreucht , Die luttel liên verheucht , Want meest een yder veucht Sich omme sijn geneucht Van leur , of niet te maken .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.22	Och hoe swaer ist te raken Aen vrientschap onbevleckt , Daer vrienden keur ontbreckt !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.23	Dien lust tot staet en eeren Boven de maet verheft , Moet deze lust ontberen Die 't alles overtreft .	Emotion_BodilyProcess_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.24	Want onder luttel lieden Daer hij uit kiesen gaet , Can 't swaerelijck geschieden , Dat een hem annestaet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.25	vs. 793 -796 Wat vrientschap vol van trouwen En van geneuchten blij Can Liefd ' en Minne bouwen , Daer geen behagen sij ?	Emotion_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.26	De nacht comt opter Aerden Gevallen met haer schim , En met haer bruine paerden Berijden onse kim .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.27	Morgen 't gevecht sal maken Mijns vrouwen huwlijck claer , En in soo grooten sake Kiest het geluck voor haer .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3069.s.1	granida , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.1	Ach wat becommeringen Comen mijn siel bespringen !	Worry_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.2	De nacht , die 't al ontlast , Maeckt dat mijn sorghe wast .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.3	De swaricheit genakende Houdt mijn gedachten wakende : Villicht dat hier voorbij Coom sang of spel , om mij Wat uit den sin te stellen De sorgen die mij quellen .	Worry_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.4	Maer wie comt gins gegaen Bij 't schijnen van de maen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.5	Wat !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3090.s.6	Soudt Daifilo sijn , ick sal de venster sluiten , Van binnen can ick sien door 't glas , hij niet van buiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.1	Kond 't lichaem als de siel vervolgen daer 't nae staet , 'T was nu bij mijn Godin , en niet hier op straet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.2	Maer 't soeckt , nae sijn vermeugen , Sich , volgende te veugen Daer 't van sijn leitsman 't hart Henen getrocken wert .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.3	Ayme , Granida !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.4	Doel van mijn genegentheiden , Hoe nood ' is Liefde van haer lieve lief verscheiden ?	Emotion_Love_Dedication
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.5	Maer wat vertoeve ' ick lang ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.6	Best ist , dat ick vertreck , Eer yemandt , mij gewaer hier wordende , begeck Mijn lieven als verwaent , en sonder grondt verheven Castelen inde lucht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.7	Dan , ick ben niet gedreven Door een begeerte van besit gelijck als sij , Nae dienst is dat ick tracht , en niet naer heerschappij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3124.s.8	Juppijn , Princesse waerdich , Sij voor u sorrechvaerdich , En 't hayr van 's hemels Goôn De wacht van uw Persoon .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.1	Hoe menich claecht van Liefd ' een onbeproefde smarte ?	Emotion_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.2	Dees openbaertse niet daer hijse voedt in 't harte : Maer sij ontdeckt haer selfs , en ongeveinsde vlam Wierd noyt verbogen dat sij niet te voorschijn quam .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.3	O rechten sonder reên !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.4	O wetten sonder weten !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.5	Met recht macht 't opperst recht wel 't opperst onrecht heten : Besit van staet , van landt , van gelts ontelbre som , Dat deilt ghij nae 't geluck , niet nae de reden om , Des vaeck , de slechtste crijcht hier van de grootste winste , En die het meeste waert is lijdt hem met het minste : Van d'erfgoên die Natuir ons achterliet gemeen , Deyldij den eenen veel , den andren ganslijck geen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.7	Verkeerder menschen lust , en snoode schelmerijen Hebben u voortgebracht ; want in de gulden tijen , Doen ' swerelts kintsheit soet niet deed , dan sliep , of loech , Doe niemandt vorder als voor noodruft sorge droech , En hadder niemandt veel , maer yder had genoech .	Emotion_Unhappiness_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.8	Doe waerdij onbekent , maer nu , door boosheits woeden , Sijdij een noodich quaet , om quaeder te verhoeden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.9	Doe koosmen Lief nae lust , nu dwingt het onderscheydt Van staten , vaken ons te maken Lief van leydt : En d'overvloedt die maeckt den aldermeest van machten Behoeftich van het geen dat aldermeest is t'achten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.10	Twee eischen mij tot lief , de strijdt sal rechter sijn , En wie dat wint , helas ! 't verlies is altoos mijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.11	Want wien mij 't blindt geluck van beyden toe sal leggen Het cost mijns leven rust .	Aquiescence_Emotion_Happiness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.12	Soo luttel heeft te seggen Een Coningin , in saeck , die haer soo seer betreft .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3193.s.13	De spits is hooch , maer eng , daer 't Luck ons op verheft .	None
hoof001gran01_01.TEI.2.text.body.div.div.head.3199.s.1	Darde deel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3207.s.1	Ghij lieft Granida ' en hebt ten hove dienst genomen Om haer te dienen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3222.s.1	Jae , mijn heer , en ben gecomen In uwen dienst , op hoop , dat sij uw echte vrouw , En door dat middel ick haer dienaer worden souw , Om te besteden , in alsulcken dienst , mijn jaeren , Daer alle menschen toe , docht mij , geschapen waeren ; Dat mij de reden wijst , can ick niet laten nae , Versuimen 't anderliên haer eygen schuilt en schae ; Dies dat ick voor haer strij , jae sterve , dats mijn leven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3230.s.1	Voorwaer , van edel Godt is uw gemoedt gedreven : Dan dat ghij voor mij vecht , mijn eere niet en lijdt .	BodyPart_BodilyProcess_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.3235.s.1	Maer wie sal weten , heer , dat ghij het niet en sijdt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3235.s.2	Uit een besloten helm sal 't niemandt kunnen ramen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3239.s.1	Ick selfs soudt weten , en mij in mijn harte schamen .	Emotion_BodyPart_Shame
hoof001gran01_01.TEI.2.text.body.div.div.sp.3244.s.1	Men vecht hier om uw Lief , en 't rijck , en niet om eer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3248.s.1	Dats waer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3252.s.1	Kiest , wijslijck , dan het sekerste , mijn heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3256.s.1	Maer of hij u versloech ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3261.s.1	Dat hij dan u verbeyde , Soo 't u belieft .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3268.s.1	Jae , want gans Persen hij ontseyde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3268.s.2	Maer proev ' ick het soo goedt dan niet ten eersten ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.1	Neen , Want hij lijdt meer gevaers van tweeliên , als van een .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.2	En of de wreede Parth niet en was te vernielen , Als met den onderganck van bey de vechters sielen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.3	Wat cond 't u baten dat ghij hem ter hellen sondt , Indien ghij ( God behoedts ) bleef dootelijck gewondt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.4	Maer soo dat mij gebeurt , wat isser aen gelegen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3293.s.5	De vruchten van de winst door mijne doodt vercregen En sullen niet met mij verrotten in het graf , Maer erven ghij , mijn heer , sult het genot daer af , En de Princesse , dien 't veel saliger sal wesen Te leven met een Prins der Persen uitgelesen , Als met een walscher raeu , en overdwaels tyran .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3300.s.1	Daifilo ' , uw reên sijn groot , doet dese wapens an .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3300.s.2	De Goden willen u en mijn het best verleenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3308.s.1	'T is hooge tijt , mijn heer , vaert wel , ick spoey mijn heenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3308.s.2	Op dat mij niemandt ken van die ons vechten sien , Soo sal ick sonder spraeck 't geselschap eere biên .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3311.s.1	ostrobas , daifilo , coning	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.1	Waer blijft mijn vijandt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.2	Leyt hem 't hart in ijle reden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.3	Heeft hij berouw ?	Emotion_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.4	Of is het harnas noch te smeden , Om datter geen gemaeckt in 't hele Persen sij Daer hij sich in gerust vertrouwe tegens mij ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.5	Maer al beswoer 't Vulcaen met dubbel hardichede , Soo sal het wederstaen mijn punte , noch mijn snede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.6	Die sorch verlet hem niet , dacht hij soo ver , ick acht Veel eer dat hij sich bet sint gister heeft bedacht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.7	Dan , soud ' hij daer wel sijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3328.s.8	Soo wilt tot bloedich teecken Van den aengaenden strijdt flux de trompette steecken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3341.s.1	Eeuwighe Goden groot , verstreckt mij nu de cracht , Waermede , doen ick noch was harder , ommebracht De vreesselijckste van de wrede wilde dieren ; Voor al Granida ghij , die mij gaet herwaerts stieren , Verdubbelt mij den moedt , en crachten onder 't slaen : Mijn vijandt wacht op mij ; daer gaet het teecken aen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.1	Persen , uw Prinsse wint !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.2	Verheucht , mijn ondersaten , Den Hemel vecht voor u .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.3	Ontslaeghen sijn mijn staten Van d'ijsselijcke vrees : daer leyt de Parth gevelt .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.4	Dat Tisiphernes leef ' !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.5	Geluck , grootmoedich helt !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.6	Den groten scepter ghij sult voeren nae mijn leven , En uw gewenschte lief ick u ten echt sal geven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.7	Ontwapent u terstont en nae de ruste tracht , Op dat uw wonden , of vermoeitheit sij versacht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.8	Laet ons de Goden gaen met danckbaerheit vereeren , Die op des vijants hooft sijn dreygementen keeren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.9	Opperste Goden , en ghij opperste Godin Granida , die uw throon in 't diepst hebt van mijn sin , U comt de zege toe , oock sult gh'er 't nót af erven , En mij ist nóts genoech om uw nót , nót te derven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.10	Wat naeckt u blijde maer , o Tisiphernes , sal Uw siele cunnen wel de blijschap draeghen al ?	Joy_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.11	Het sal schier sijn van nood dat ick u die verberge , Op dat haer hefticheit niet al te veel en verge Uw ingenomen hart met overige feest , En haer omhelsen streng verdelgh ' uw swacke geest .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.12	Lof , goedertieren Goden , waert te vieren , Die , doen wij weenden , Cracht , en moed verleenden Over ons sije , In het bitter strijen Om d'heerschappie .	BodilyProcess_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.13	vs. 947 -953 Doen 's werelts jaeren Jong , en onervaeren In boosheits listen , Van geen eigen wisten , Kenden de lieden Dienen , noch gebieden , Wat het bedieden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.14	Yder behoefden Luttel ; d'Aerde proefden Ploegen noch delven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.15	Willich , uit haer selven , Droechse de goeden , Die de menschen voeden In overvloeden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.16	Maer 't overtreden Van nootdrufticheden , Dat dompt ' een ijder Inde sorghen wijder , Doende , met pijnen 'T veele luttel schijnen , Hen quam het mijnen .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.17	Want , doen het vechten Daer s'haer eerst nae rechten , Haerlie beswaerde , Sij verdeelden d'Aerde : Graften en staeken Sachmen doen eerst maeken , Muiren en daeken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.18	Voorts met elckandren , Om met crijch den andren Niet meer te stooren , Sij een coning kooren , Die haere twisten Met sijn oordeel sliste Dats' oprecht gisten ; Die haer oock tegen Volcken bij gelegen , Die'r overvielen Om haer te vernielen , Leyde ten strijde , Daer hij t'geenen tijde , Sich selven mijde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.19	Dese rechtvaerdich Waeren 't rijcke waerdich , Maer haer naesaten , Hebbende verlaten D'oprechte wegen , Lust in 't heerschen cregen , En 't ontucht plegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.20	Soo dat ( daer d'ouden Liever dienen souden ) Een coning heden Nau en is te vreden Met sijne plecken , Om 't gebiedt te recken Haer sinnen strecken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.21	D'oude niet gaeren Heerschten , daerse waeren Daer toe gebeden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.22	Dese , niet te vreden Met die 't haer bieden , Dwingen oock de lieden Die voor haer vlieden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.23	Wat ongelucken Comen 't landt verdrucken 'T welleck moet lijen Vreemde tyrannyen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.24	Nevens het plagen Des tyrans , 't moet dragen Sijns vollix knagen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.25	Lof , goedertieren Goden , waert te vieren , Die , doen wij weenden , Cracht en moet verleenden Over ons sije , In het bitter strijen Om d'heerschappie .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.26	Al peinsend ' op sijn bed ick leggen vandt mijn Heer , Gemat van hoop , en vrees , door 't trecken heen en weer .	Fear_Emotion_Hope_BodilyProcess
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.27	Mits hij mij wiert gewaer , vlooch op met heftich vraeghen , Wats d'uitgang van den strijdt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.28	Uw vijandt is verslaeghen , Seyd ' ick ; waerop hij mij omhelsend ' heeft geseydt , Geen eeuw sou wisschen uit sijn heete danckbaerheit ; Noch mijn getrouwe dienst uit sijn gedachten vlieden , Soo lang als in sijn siel Granida sou gebieden , Dewelcke morgen hij te gaen besoecken dacht Indien sijn blijschap hem liet leven desen nacht .	Joy_Emotion_EmotionalAction_Relief_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.29	Morgen , dat waer te lang , indien sijn ingeboren Geneichtheit t'haerwaerts hem met aenhoudende spooren Prickeld ' als doet de mijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.30	De naere nacht verspreydt Haer schaduw over 't cruidt , en d'eedel Sonne weydt Sijn afgeronnen jaght achter de steyle bergen ; De sorgen , die des daechs het woelich vollick tergen , Die slapen met den mensch ; 't gevogelt en het vee Sijn stom , de maene slaept , en licht Granida mee : Maer altijt leeft mijn liefd .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.31	Een treck om te vereenen Drijft mij nae mijn Godin .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.32	Sij drijft mij herwaerts heenen Soo naer als 't lichaem can .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.33	Dit sijn de vensters dees , Daer , als de Son opging , de tegen-Son verrees , En joech hem schaemten aen .	Emotion_Shame
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.34	Uit dese vensters plach Te togen mijn Godin haer aenschijn op den dach : Als op 't onwaerde volck haer jonste sij laet reghenen , En 't haer belieft daermeed ' Hemel en Aerd te seghenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.35	Ach , salich ick die 't sie !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.36	Soo salich niet misschien Is die 't genieten sal , en niet soo wel sal sien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.37	Aymij !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.38	Ick vocht , ick wan , een ander sal braveeren !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3611.s.39	Dats niet ; maer die 't sal sijn can u niet vol waarderen !	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.3613.s.1	granida , voedster , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.1	Hoe nu , Granida ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.2	Cloeck , en vaerdichlijck besluit .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3620.s.3	Voedster .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3624.s.1	Mijn vrouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3630.s.1	Daer gaet Daifilo , treedt eens uit , Om hem te roepen , ras , want ick uit sijnen monde , Gaeren , de staet , waerin sijn heer mach sijn verstonde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3634.s.1	Dochter , ick vlie .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.1	Nu dan , dat swackheit van gemoe U niet het minst gegrondt in reden kiesen doe , Siet dapperlijcken toe .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.2	Dat ingesoghen waen , die 't merch en 't hart soo naer , , leyt , Door dien van kintsheit af sij ons wort ingeplant , Niet met haer nevel deck de claere naeckte waerheit , Die de Natuire prent in 't redelijck verstandt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.3	Voorgangen overleg met reden van gewicht , En d'ondervinding selfs heeft mij wel onderricht Dat soeter lust en rust gemeenlijck wort genoten In hutten , als ten hoof , oft op beveste sloten .	Aquiescence_Emotion_BodilyProcess_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3670.s.4	Als dat al niet en waer , maer dat een harders staet Was vol van arbeyt , moeyt , vol sorchs en commers quaet , En ick daerinne mocht soo trouwe liefd bejagen , Wat vreuchde soud 't mij sijn daeromme smart te dragen !	Joy_Emotion_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3674.s.1	Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3674.s.2	Hij keert .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.2	Aym ' !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.4	Wat beswaer Cond mij quetsen bij u , ten waer 't het uwe waer ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.5	Granida , dese tijt is jonst van Godt vercregen , Dient ' er u van .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.6	Hij naert .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.7	Ick gae beneên hem tegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3684.s.8	Het swaerste meest moet wegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3689.s.1	Mijn vrouwe , siet mijn hier tot uwen dienst bereyt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3689.s.2	Belieft u yet van mijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3700.s.1	Niet anders als bescheit , Daifilo , van de wel of qualijckvaert uws heeren , Mijn vrouw comt sellefs of , en seit dat sij begeeren Heeft , om uit uwen mondt het selve te verstaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3706.s.1	Voedster , 't believ ' u aen een sijde wat te gaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3714.s.1	Hooghe Prinsses , ick bid den hooghen Prins der Goden Dat hij u wenschen geev ' de cracht van sijn geboden , En danck hem dat mijn dienst u yet wat comt te stae .	EmotionalAction_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3719.s.1	Ach , Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3724.s.1	Hoe mijn vrouw ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.1	Neen laet dat nae .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.2	Daifilo en hadt ghij mij niet verre boven allen , Doen ick u eerstmael sach , verheucht en welbevallen , En uw te passe dienst mijn hart geneicht tot dij , Soo soud ' uw heusheit trouw gepleecht ten hoof , bij mij De jonst hebben verweckt die ick u droech te vooren .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.3742.s.3	Nu heeftse die vermeert ; maer in mij is gebooren Een lust om weten wat het sijn mach , dat u hier Dus in de naere nacht ontrent mijn vensters stier ; Ontdeckt het vrijelijck en antwoordt op mijn vraeghen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.1	Een oprecht hart , mijn Vrouw , darf van sijn grondt gewaeghen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.2	Princesse ' , als mij verscheen dit heilsaem aenschijn schóón , Dit seltsaem wesen , dat soo rijcklijk stelt ten tóón De grootheden uws siels , haer hooghe ' en heussche goedicheit , Haer ernst , oprechticheit , bescheidenheit , cloeckmoedicheit ; Had een vierigen Godt mijn hart doe niet geleert , Dat u den hemel aen de werelt had vereert Op voorwaerde , dat al , die kenden uw waerdije , Souden voor 't hoochste goedt kiesen uw slavernije , Soo moest ick van 't geslacht der eyckenboomen hardt , Of wel een rootse sijn die niet beweecht en werdt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.3	Grootachting uws persoons is voocht van al mijn sinnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.4	Die dreef mij van het veldt , en deed mij 't hof beminnen , Om de genegenheit mijns siels te uitren ; want Die soeckt haer aen het schoonst te geven dat sij vandt , En met dat een te sijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.5	Maer waerdste der Godinnen , Hoe wel ick daer nae wensch , ick hoop het niet te winnen ; Soo waerdt en acht ick niet bij een Godin een mensch : Om mijn ootmoedige ' hoop , verschoont mijn trotse wensch .	Emotion_Hope_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.6	Ick wensch het niet , maar sou daer wenschen aen te raeken , Mocht ick door wenschen eerst mij self dies waerdich maeken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3787.s.7	Dit doet , mijn vrouw , dat ick op 't naest uw bij sijn soeck , En ver van u te sijn mij valt de swaerste vloeck .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.1	Ach Daifilo !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.2	Door 't glas verstond ick de geruchten Van uw verliefde clacht , en ongeveinsde suchten : Noch 't is nu d'eerste mael dat ick die heb verstaen , Noch 't is nu d'eerste mael dat ick bespeurdt heb aen Uw uiterlijcke jonst , uw innerlijcke vlammen . 'K en acht geen beuseling van onderscheidt der stammen , De deucht maeckt eedel ; u en overtreffet dan Ter werelt , dat ick weet , geen Prins noch edelman .	BodilyProcess_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.3	Daifilo ' , ick heb u lief en sal uw liefd betaelen Het dierste dat ick can .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.4	De tijdt verbiedt te draelen In 't openbaeren van mijn ongemeten vier .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3816.s.5	Daifilo , dits mijn raedt , leydt mij terstondt van hier , Een harderinnen cleedt , in plaets van goudt , en sijde Ben ick vrolijck getroost .	Aquiescence_Joy_Emotion
