meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	De verloofde koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4356.s.2	Maar luister .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4356.s.3	Hoor ik daar niet iemandt herwaarts treeden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4356.s.4	Misschien is hy 't , mijn Heer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4356.s.5	Voegh u ter zyde , al stil , En strek my weêr een schildt , indien 't ' er hap'ren wil .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4359.s.1	Alarik , Heddewigh ; Fastarad aan een zijde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.1	Daar staat de Koningin , mijn ' ghrootste vyandinne .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.2	Maar hoe verdwaalt mijn ' tong van 't spoor !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.4	't Is zy , die ik met harte , en ziele , en zinnen , Ja meerder , dan mijn eighenzelf beminne , En voor mijn opperghoedt verkoor .	Emotion_BodyPart_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.5	Maar 't is ook zy , wiens trótse , en onverzetb're zinnen Niet , dan door euv'le vadermoordt , Zijn te verwillighen tót zoete weederminne : Oft welkers borst , om vaders kroon te winnen , Met deeze kling , moet zijn doorboordt .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.6	Hoe schoorvoet my het hart , nu 't werk staat aan te vangen , Beslooten flus , met zulk een spoedt ; Mijn ' weiffelende ziel , blijft halver weeghe hangen , En overweeght op nieuws , wat haar zal langen Het kleenste quaadt , en 't ghrootste ghoedt .	BodyPart_BodilyProcess_Disgust
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.7	Sla ik mijne ooghen op 't ghenót der Koninginne , 't Hart , door dat blaakend schoon bekoordt , Daar heenen helt : maar deist te rugghe , als 't ghaat bezinnen , Dat die hooghwaerde schat niet staat te winnen , Dan door vervloekte vadermoordt .	Fear_Joy_BodyPart_BodilyProcess_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.8	Wend ik daarteeghens het ghezicht na vaders kroone , Die flikkerblinkt , zo hel van ghloor ; Dat zy mijn ' ziel verlókt : Maar , als ik haar vertoone , Voor welk een hoofdt zy is belooft ten loone , Zy vliedt haar ' ghlans , en schrikt ' er voor , Ach Vader !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.9	ach Mathilde !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.10	ach kroone !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.11	ach weederminne !	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.12	Hoe pijnt ghy all ' ghelijk dit hart !	BodyPart_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.14	wie van u zal den anderen verwinnen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.15	Oft banne ik u te zaam liefst uit mijn ' zinnen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.16	Maar dat waar nóch ondraaghb'rer smart .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.17	Neen , neen : Hier moet van u een d'overhandt behouwen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.18	Wie zeeghepraalt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.19	de Koningin , Oft Vader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.20	Mijne liefde , óft zyne kroon ?	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.21	De vrouwen - Oft vadermoordt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.23	wat staat my te schouwen , En wat te kiezen , in mijn ' zin ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.24	Brittanjes kroon moet voor Mathildes liefde wijken .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.25	't Ghenót van dat verghoode beeldt Weeght op de Scepters van all ' 's weereldts koninkryken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.26	't Moet al de vlagh voor haare schoonheidt stryken , Wat zielen trekt , wat zinnen steelt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.27	Maar ook zijn 't euv'ler , en verfoeijelyker zaaken , Die ons gheteeldt heeft , en ghevoedt , Te moorden , en zich zo ten Vaderbeul te maaken ; Dan een ' , die schoonze ons 't bloedt in min doet blaaken , Nóchtans ons niet bestaat in 't bloedt .	BodyPart_BodilyProcess_Love_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.28	Ja , nu ik 't overlegh , met rypen raade , en zinnen , Dunkt my , de Vadermoordt , in 't quaadt , De doodtslagh eener vrouw veel verder t'overwinnen ; Dan 't lieff'lijk minghenót der Koninginne , In 't ghoedt , den Koninklyken staat .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.29	Ghewis , op 's Vaders stoel , door vrouwemoordt , te styghen , Is vry een wenschelijker ghoedt ; Dan , door een Vadermoordt , 's liefs weêrliefd te verkryghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.30	En doetme in 't een de min den moedt ontzyghen : Van 't ander ghruwt , en ghrilt my 't bloedt .	Emotion_BodyPart_BodilyProcess_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4440.s.31	Dit 's klaare reeden , die men tasten kan , en voelen Beghin dan werk , en streef ' er door Mijn ' handt , hoe zeer mijn hart daar teeghen wroete , en woele : Eêr dat de min deez ' blaakende yver koele , En breng ' my weêr van 't rechte spoor .	Emotion_BodyPart_BodilyProcess_Love_Disgust
meij001verl01_01.TEI.2.text.body.div.div.stage.4441.s.1	Alarik , dit ghezeght hebbende , vlieght , met uitghetooghen zwaarde , na Heddewigh , die , de vlucht neemende , om hulp roept : dóch echter van Alarik achterhaaldt , en ghetroffen wordt , eêr Fastarad tusschen beiden kan koomen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4444.s.1	Ach help !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.1	Rampzalighe , hou standt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.2	Waar zijn uw ' zinnen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4448.s.3	Het is uw ' zuster .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4451.s.1	Wat ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4451.s.2	het is de Koninginne .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4455.s.1	Ik ben ter doodt ghewondt ; helaas !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4459.s.1	't Uitheemsch ghewaadt Misleidt u .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4464.s.2	ik sterf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4464.s.3	'k Vergheef u deeze daadt , Mijn ' Broeder ; het gheschach uit onkund ': dies te zachter Valt my dit deerlijk eindt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4469.s.1	Ontmenschte zusterslachter , En moordenaar mijns liefs , ik zal my wreeken van Haar ' doodt .	Emotion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4472.s.1	En ik mijn lijf beschermen , zo ik kan .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4474.s.1	VII .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4475.s.1	Fastarad , en Alarik vechtende : Eduward , Velleede , Rey van Staatjoffers , en Trasimond , d'een na den anderen uitkomende .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4476.s.1	Eduward van binnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4478.s.1	Moordt , moordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4478.s.2	Hófwachters , moordt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4479.s.1	Velleede van binnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4481.s.1	Trouwanten helpt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4482.s.1	Fastarad op het tooneel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4486.s.1	Gheen wachter , Nócht hóftrouwant , zal u , vervloekte zusterslachter , Ontrukken aan mijn ' wraak .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4487.s.1	Op dit zeggen raaken de Vechters , vechtender handt , binnen , en onderwylen koomen Velleede en Eduward , schielijk en verbaast , uitloopen .	Emotion_Wonder
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4488.s.1	Velleede Heddewigh ziende ligghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.1	Daar light de Koningin Ter neêrghestort .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.3	Des Dwinglandts dóchter , in Mathildes kleedt vermomdt , en wreedelijk doorsteeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4493.s.4	Haare adem ghaat ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4494.s.1	Fastarad Alarik op het Tooneel weêr dryvende .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4496.s.1	Hou standt , ghy bloode , ik zal my wreeken .	Emotion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4499.s.1	Ghy vechters , houdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4502.s.1	Hou daar , ghy Moorder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.2	dat treft My 't hart .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.4	mijn ' kracht bezwijkt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.5	mijne arm verheft Ter naauwer noodt ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.6	Ach 't is ghedaan !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4507.s.7	Ik zijgh schier needer ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4508.s.1	Eduward	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4510.s.1	Moordt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4510.s.2	moordt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4514.s.1	Wat moordtgheschreeuw treft daar myne ooren weeder ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4514.s.2	Waar is 't te doen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4517.s.2	onz ' broeder wordt vermoordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4521.s.1	Staat af bloedtdorstighe , eêr ik u ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4525.s.1	Mijne arrem stoort Zich aan gheen dreighement , zy kan zich nóch verweeren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4528.s.1	En wat de myne kan , dat wil ons d'uitkomst leeren .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4529.s.1	Terwijl Fastarad en Trasimond vechten , zijght Alarik , an d'andere kant van het Tooneel , dan daar Heddewigh light , needer .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4531.s.1	VIII .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4532.s.1	Ghrimoald , Fastarad , Trasimond , Velleede , Eduward , Hófmeester , Rey van Staatjofferen , Hófknaapen , en Lijfwacht .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.1	Houdt op , ghy vechters .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.2	Fluks , mijn ' lijfwacht , scheidtze .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.3	Wel Wat woedigheidt verrukt u , Prinssen ?	BodilyProcess_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.4	hoe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.5	dus fel , En wreedt , elkanderen het hoofdt , met uitghetoogen Gheweer , te biên ; en dat in 't Hóf , ja voor mijne ooghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4539.s.6	Wat tweespalt porde u tót zo overdwaalsch een strijdt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.1	Gheduchte Vórst , zo haast , op 't yss'lijk moordtghekrijt , Ik in de hófzaal quam , vond ik , met blooten deeghen , Deez ' dollen woeden op zijn broêr , die hem daarteeghen Vast afweerde , en ontweek .	EmotionalAction_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.2	Uw ' dóchter , die ik , door Het Kaledoonsch ghewaadt verbysterdt , aanzagh voor Mathilde , beezigh was de broederstrijdt te scheiden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.3	Nu stondtze , gheen ghevaar ontziende , tusschen beiden , En ghaf haar boezem bloot aan 't broederlijk gescherm .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4566.s.4	Nu ghreepze , en weederhiel deez ' raazenden zijn ' arm , En badt hem , dat hy tógh , om haarentwil , wou staaken Dit schrikk'lijk opzet ; maar zijn ' woedigheidt , aan 't blaaken Op 't felst , zich luttel kreunde an 't zusterlijk ghebedt ; En speurende , dat zy waar 't eenighste verlet , Welk zijn ' bezeeten ' drift haar ooghwit deede missen , Heeft hy , om zich t'ontslaan van zulk een hindernisse , Knarstandende , en ontzindt door ziedende overmoedt , Zijn wreede kling gheverwdt in 't zusterlijke bloedt , En , met dat rookend ' staal , van stonden aan , zijn ' broeder Ghetroffen , eêr mijn zoon , op 't schreeuwen zyner moeder ......	EmotionalAction_BodilyProcess_Desire_Vindictiveness_Annoyance
meij001verl01_01.TEI.2.text.body.div.div.sp.4570.s.1	Mijn zoon , en dóchter , bey doorsteeken ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4570.s.2	ras men toon ' Hen my terstondt , dat ik hen zie .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4574.s.1	Daar light uw zoon , En ghins uw ' dóchter .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4577.s.1	Ach , mijn zoon !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4577.s.2	hoe is 't ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4581.s.1	Ach Vader !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4584.s.2	zijn ' stem bezwijkt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4584.s.3	Hófmeester , ras , koom nader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4585.s.1	Hófmeester	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4587.s.1	Wat eischt de Koning ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4596.s.1	Dat men mijnen zoon terstondt Breng ' na zijn ' kamer , op zijn ' koets , en voorts zijn ' wondt Bezichtighe , en verbinde , en al , wat hulp kan bieden Tót zijn ' gheneezing , straks bezórghe .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4600.s.1	't Zal gheschieden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4600.s.2	Hófknaapen , hou !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4601.s.1	Rey van Hófknaapen	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4603.s.1	Mijn Heer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.1	Draaght ghy hem kamerwaart .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.2	Ghy haalt den Hófarts , en de Meesters , met der vaert .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4609.s.3	Ik vólgh u straks , om , door mijn byzijn , bet t'ontsteeken Hunn ' yver .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4610.s.1	Ghrimoald teeghen Heddewigh	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.1	Ach mijn kindt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.2	helaas !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.3	daar is gheen teeken Van leeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.4	't Hart weet van gheen slaan meer , en de doodt Heeft reets in deeluwbleek verwaaldt het purperroodt Van lip , en wangen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.6	haar ' daghen zijn ten ende .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4621.s.7	Staatjoffers neemt haar wegh , en wilt uw ' vlijt anwenden , Dat zy bekoomen magh .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4622.s.1	Rey van Staatjofferen	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4624.s.1	Ach deerelijke moordt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4627.s.1	Dit klaaghen voordert niet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4630.s.1	Wy vlieghen op uw woordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.4631.s.1	Ghrimoald teeghen Velleede	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4639.s.1	Wy wenschten wel , Mêvrouw , dat ghy u liet bekooren , Om 't Jofferdom , met raadt en daadt , wat t'onderschooren , Die uwe wijsheidt , voor d'oorbaarste , keuren zal .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4643.s.1	'k Wil uwer Dóchter , in dit jammerlijk gheval , Bewyzen bystandt , en de plichten van een moeder .	None
meij001verl01_01.TEI.2.text.body.div.div.head.4645.s.1	IX .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4646.s.1	Ghrimoald , Trasimond , Hófmeester , Lijfwacht .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.1	En ghy , vervloekte beul van zuster , en van broeder , Wat razerny beving u hart ?	BodyPart_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.2	wat dolheidt quam U over , welke u dreef twee takken uwer stam , Die ghy te minnen waart verplicht , met wreede handen , Ghewet op schennis , dus moordtdaadigh aan te randen ?	Emotion_BodilyProcess_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.3	Wat was uw voorneem ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.4	wat het doelwit van uw werk ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.5	Dacht ghy , verwaatene , door broeders doodt , u sterk Te maaken , om op mijn ' rijkszeeteltroon te styghen , En zo de Koningin ter ghemaalin te kryghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.6	Wat waande uwe eerzucht , dat deez ' broedermoordery Zou nimmer breeken aan den dagh , óft schatte zy T'hemwaarts mijn ' liefd ' zó koel , en t'uwaarts weêr zoo vuurigh , Dat zy een euveldaadt , zo woedigh , en balstuurigh , Alleen niet zien zou door de ving'ren , zonder straf : Maar daarenboven , met het errifrecht der staf , En 't bedtghenootschap van zo tróts een Koninginne , Beloonen ?	Emotion_Love_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.7	Neen , o neen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.8	Verban vry , uit uw ' zinnen , Die yd'le waan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.9	Ik zal 't bedreeven onbescheidt Opweeghen , in de schaal van de Rechtvaerdigheidt , En toetsen , welk een straf u daar wordt toebeschooren : En , zonder voorspraak van mijn ' Vaderliefd ' te hooren , Zal ik bevoorderen het vonnis , dat zy velt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4678.s.10	Trouwanten , sleept hem fluks ter kerker , en bestelt ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4681.s.1	Heer vader ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.1	Zwijgh dat woordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.2	Ik wil gheen vader heeten Van een , die zijne plicht , zo schandigh , heeft vergheeten , En darde , uit kroonzucht , en uit minne , in arren moedt , Verghieten 't zusterlijke , en broederlyke bloedt , 't Welk hem , ten kóste van het zijn ' , stondt te verdaadighen .	Emotion_Greed_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.3	'k Erken u voor gheen zoon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4691.s.4	Wegh , wegh , met den misdaadighen ; Sluit hem in boeijens , en bewaart zijn ' kerker wel ; Terwijl ik orde , op wijze , en maat van straffen , stell ' .	None
meij001verl01_01.TEI.2.text.body.div.div.p.4693.s.1	Einde des vierden Bedrijfs .	None
meij001verl01_01.TEI.2.text.body.div.head.4697.s.1	Vierde bedryf .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.4699.s.1	Ghrimoald , Hófmeester .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4702.s.1	Ghy viert den breidel , Heer , te ruim an uw ' weemoedigheidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.1	't Gheval spuwt op my uit het bitterst zyner woedigheidt .	Emotion_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.2	Bestraalt de ghulde zon , óft heeft hy ooit bestraalt , Van daar hy 's mórghens rijst , tót daar hy 's avendts daalt , Een vader , zo met ramp , en kommer overghooten , Als my , die , voor een uur , van dry doorluchte looten Van mijne aaloude stam , twee zoonen , tróts van moedt , En eene dóchter , wierdt gheliefkoost , en beghroet ; En nu de moordt van twee de vuurschaar der rechtvaerdigheidt Ghebiedt te spannen , om den derden , na de waerdigheidt Van broêr - en zustermoordt , op t'óff'ren an hun ghraf , Indien barmhartigheidt niet kreukt de strenge straf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.3	Ach zoon , en dóchter , die begheeven hebt dit leeven !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.4	Ach zoon , die 't nóch gheniet ; maar ook haast zult begheeven !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.5	Hoe pijnt de liefde , die 'k u toedraagh , weederzijdts , Dit vaders harte , en própt mijn ' boezem zo vol strijdts Voor d'een , en d'andere , die elk staan na de zeeghe ?	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.6	'k Ben 't einde raadts ; en dit ghefólterdt hart , verleeghen Met liefde teeghens liefd ' , scheidt onverrichter zaak !	Emotion_BodyPart_Love_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.7	Maar hoe , mijn hart , zult ghy dan weigheren de wraak , Die mijner kind'ren moordt afvordert van mijn ' deeghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.8	O neen : de liefde , die 'k hun toedraagh , streeft ' er teeghen , En wil , dat zy haar ' lust , tót walghens toe , verzaad ' , En straf den moordenaar na waerde zyner daadt .	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.9	Maar magh 't u ook van 't hart , mijn hart , uw ' stem te gheeven , Dat van een telgh , die haar van dry nóch is ghebleeven , Uw ' stam gheknót , en zo ghesnoeidt werd ' van haar ' kroon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.10	O neen ; mijn ' vaderliefd ' pleit ook voor deezen zoon , En brandt zo vuurigh , om hem 't leeven te bewaaren , Als hen te wreeken .	Emotion_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.12	hoe prangen , hoe bezwaaren Mijn ' ziel de leevende , en de doode , te ghelijk !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.13	Deez ' roepen , dat het Recht een billijk vonnis strijk ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.14	Die , dat men plaats ook der barmhartigheidt wil gheeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.15	Deez ' eisschen lijfstraf , en den moordenaar zijn leeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.16	Die smeekt , om lijfsghenade , en berghing van dat pandt .	EmotionalAction_Desire_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.17	Deez ' wringen 't vinnigh zwaerdt der wraakzucht in de handt .	Emotion_BodyPart_BodilyProcess_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.18	Die weederhoudt haar ' arm , en doet haar ' gramschap minderen .	Aquiescence_Emotion_BodyPart_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.19	Deez ' schreeuwen , Vader , wreek de moordt van uwe kinderen .	EmotionalAction_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.20	Die bidt daar teeghen aan , spaar , Vader , uwen zoon , Den stut uws ouderdoms , en erver van uw ' kroon .	EmotionalAction_Sadness_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.21	Na welke zyde zal ik , onghelukkigh vader , My wenden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.22	Wien leen ik het oor ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.23	wiens ramp treft nader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.24	Wiens eisch volvoer ik ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.25	Ach , hoe is my 't hart beklemdt !	BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.26	Hoe wordt mijn ' bange bórst beneepen , en dus vremdt Bestórmdt van tóghten , die elkander teeghenstreeven !	Fear_Emotion_BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.27	'k Wil recht , ik wil ghenâ ; 'k wil wreeken , 'k wil vergheeven ; 'k Wil deez ' , en dien zijn ' eisch voldoen , en niet voldoen .	Emotion_Compassion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.28	Ay dul Gheluk , wat hebtghe op my dus fel te woên , En 't bitterste uwer ghal , met eene ghulp , te braaken !	BodyPart_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.29	Wat hadtghe in dit gheding , balstuurighe , te maaken My tót den Rechter , en mijn ' kind'ren tót party ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.30	Waarom zijn de vermoorde , óft de vermoorder my Niet vreemdt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.31	Hoe licht zou 't zijn , voor my , de moordt te wreeken Op 't strengste , ófte uit ghenâ den moorder vry te spreeken ?	Emotion_Compassion
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.32	Nu kan ik tót het een ' , nócht 't andere verstaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.33	Maar hoe , zal dan een zoon de schaal doen overslaan , En zwaarer weeghen , dan een zoon , en dóchter samen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.34	De liefde tót een kindt , wiens zich mijn ' ziel moet schaamen , Zo meenighmaal haar schiet zijne ondaadt in 't ghedacht ' , Heeft die , op 't vaderlijk ghemoedt , dan ghrooter kracht , Als tót twee kind'ren , die nooit dierghelijks bedreeven ?	Emotion_Love_Shame
meij001verl01_01.TEI.2.text.body.div.div.sp.4787.s.36	stondt , voor de doodt des leevenden , het leeven Van een der doode slechts te koop , mijn ' liefde ghaf Den wreeden moordenaar fluks over aan de straf .	None
