ross006zing01_01.TEI.2.text.body.div.head.278.s.1	De zingende kraamer , kaamer spel .	None
ross006zing01_01.TEI.2.text.body.div.sp.1786.s.1	Voor weynig geld daar vinje , d ' Alder kostelykste Thee .	None
ross006zing01_01.TEI.2.text.body.div.sp.1793.s.1	't Waar beter op zyn voeten daar na toe gewandelt , als te swerve by de Zee , En in Oostinje zynde , vond ik myn Maat daar ik zo even van heb gesprooken , Die zat buyten de nupoort , by twee Mustise , een pyp Vaderlandse Tabak te rooken , Ook hoorden ik dat eene van die Matresjes dit vaarsje zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1809.s.1	Buyten Batavia , Ging ik me eens vermeyden , Buyten Batavia , Niet ver van Iakketra ; Daar vond ik , ô wat vreugt !	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1809.s.2	Een Mustiesje wel besneeden .	None
ross006zing01_01.TEI.2.text.body.div.sp.1816.s.1	Dog zo als zy myn zag , zo sloot zy haaren reeden , En ik ging zoetjes verby , en hiel me als of ik myn Maat niet en kon , Want hy waar zeer verandert , en verbrand van de Son , Dog ik begon deze deun op myn Lier te drayen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1823.s.1	Hoe ruyst'er de Zee , hoe zal het nog wayen , Viva Victoory , nou ben ik te vreen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.1	Mit begon myn Maat te spreeken , en ik luysterden na zyn reên , En hoorden dat hy vroeg , hoe beginnen hier ook al Savoyaare met Liere te loopen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.2	Ik antwoorden op zyn Waals , a ja .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.3	datte moest my oopen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.4	Wel Waaltje riep hy doen weder , speel eens van 't Varken zonder Sog , Ik antwoorden als het jou blieven is Jilles zonderbedrog , Hoe sprak hy wederom , Waal kent gy me naam , ik riep dat is zeeker , Ik ben Krispyn , die te Amsterveen woonden in de vergulde Bleeker .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.5	Ha doen was 't voort bestemaat Krispyn , welkom hier , Maar zyn alder eerste vraag waar , hoe henker komje aan die Lier ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.6	Hoe dat ik aan die Lier kom , sprak ik , die heb ik in Savoye laaten maaken , Om dat ik anders geen kans zag om eerelyk aan de kost te raaken , Wel vroeg hy doen weder , benje dan van Savoye tot hier aan Batavia overland gegaan ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.7	Ik antwoorden , ja in negen dagen , dog ik heb weynig stil gestaan , En daar meê nam hy zyn afscheyd van die twee lieve Susjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.1846.s.8	Gut wat wierd ik groen , want het waar niet als kusjes , kusjes , Dat dit jonge goet aan elkander gaf , En daar op zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1867.s.1	Laat af , laat af , Dit dommineeren , En smeeren , Brengt ons in 't naren Graf , Schoon gy de Min , pleegt naar u zin , Gy zult het in het ynd bezuuren , De Min , de Min , Heeft raaren kuuren , stookt vuuren , En stort veel rampen in	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1870.s.1	hy spreekt	None
ross006zing01_01.TEI.2.text.body.div.sp.1874.s.1	Zo dat niet waar is Musjeurs , zeg vry dat ik een loogenaar bin , Want een die in Oostinje te veel met de Vrouwluy in de Bogt wil springen , Die mag of zal wel haast dit lietje zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1885.s.1	Ik heb myn Geltje door gebragt , Met Meysjes van plyzier , Maar nu zo word ik uytgelagt , Dat komt al van de swier .	None
ross006zing01_01.TEI.2.text.body.div.sp.1895.s.1	Ik en myn Maat dronken op elkanders gezontheyt een vles Zuyker Bier , Want Wyn , mogt'er by me zoolen niet op over schieten , En wie zou zes Schellingen geven , voor een Bottelje die niet beter waard is , als om in de Goot te gieten , En zo leefden ik op myn Maats genaden , wel een week of tien , Maar doen most ik arme Krispyn op een goet heen komen zien , Want myn Maat ging op een Togt om Nooten , en Naag'len te haalen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1902.s.1	Ag !	None
ross006zing01_01.TEI.2.text.body.div.sp.1902.s.2	doen raakten ik aan 't dwaalen , Zonder Gelt myn Rys Kompas .	None
ross006zing01_01.TEI.2.text.body.div.sp.1923.s.1	Ja myn buyk meende altemet , dat myn keel gehangen was , Door dien ik veel honger leet , want myn Lier had ik gaan verkoopen , Aan een Schaapharder , die zou'er me agter zyn Schaapen loopen , Dog evenwel bonkouragie , ik nam de Post waagen waar , Die van Oostinje na Muscovie reed , met Neteldo ek tot Dassen voor den grooten Zaar , Ook Sits tot nagt Japonnen , voor hem , en al zyn vrinden , Maar onderweeg waar een Tolhek , daar was de drommel te binden , Want den Waagen Reed door , en myn hieldese vast , Geef Gelt riep de Vent , zo niet ik ik legje deze stok omje hals en bast , Of ik stuurje myn Bulhond op 't Lyf en laatje vernielen , Ik begon te schreyen , en ging in 't Wagenspoor neder knielen , En riep , ô !	BodilyProcess_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1923.s.2	myn lieve Mannetje , ik heb geen eenen duyt , Ja ik schudden ook voor zyn Oogen al myn zakken uyt , Loop dan heen sprak de vent , en ik meenden de Waagen weer te kreygen , Maar die was al uyt me gezigt , schoon ik liep dat ik wel een uur na myn aam stond te heygen , Dog al heygende begon ik deze dreun .	None
ross006zing01_01.TEI.2.text.body.div.sp.1939.s.1	Of ik zugt of ik kreun , Het is om niet , Want de Waagen is op een hond , En de Voerman voor den drommel , Snelder , Rebelder , van Iirre , Iirre , Iut , En de Voerman voor den drommel .	None
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.1	Ik dagt wel duyzendmaal , ag !	None
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.2	zat ik nog in 't Leger en speelden op myn Trommel , Want ik waar heel droevig ; gelyk een yder wel denken kan , Dog ik zag een hoogen Tooren , daar liep ik regelregt op an , Ja ik dagt dat zal gewis dien Koop'ren Tooren weezen , Daar Danaë van haar Vader opgeslooten was voor deezen , En daar Jupyn als een Goude reegen , heel listig in kwam , Dan dagt ik weer dat het de Wester Tooren was hier te Amsterdam , En zo liep ik al pynzende , dat ik niet wist waar ik zou geraaken , Maar s'avonds vond ik een hout huysje , waar in een ouder Vent , by een Lantaarentje klompen zat te maaken , Goon !	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1958.s.3	wat wierd ik bang want ik meenden dat ik aan het Tooverhol van Circe waar , Of voor 't minst dagt ik , hier kom ik by een oude Moordenaar , Want zyn knevels groeyde elk wel een span verby zyn Ooren , En zyn Baard geloof ik waar in geen vyftig Jaar geschooren , Dog ik hiel me zo stoutmoedig als ik maar kon , En begon te zingen .	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1965.s.1	Zat Diogenes in een Ton , Als een Munnik in zyn Kluysje .	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.1	Maar zo als ik dit gezongen had , kwam den oude uyt zyn huysje , En ligten met zyn Lantaarentje voor uyt , want het was'er heel donker , en naar , En al wat hy riep , dat was : anders niet als wie daar , wie daar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.2	Ik trok myn stoute Schoenen aan , en trad een weynig nader , En riep : ik ben een Man die verdoold is goeye Vader , Wel vroeg hy doen weder , waar leyt de Reys naar toe ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1983.s.3	Ik antwoorden , daar 't geval my stuurd al waar 't na Boxtehoe Loop dan al regt uyt riep de Pay , en sloot zyn deur als of ik een Schavuyt was , Zo dat ik geloof , dat dien oude knevel met den kop gebruyt was , Want hy moest ten minsten gezyd hebben , als ik regtuyt liep , waar ik dan te Landen kwam , Ik vloegten , en scholt hem lustig , want ik waar drommels gram , Dog al myn tieren , en raazen , kon zeer weynig baaten , Zo dat ik heen ging , en heb dien oude Klompe maker verlaaten , En daar op zong ik .	Emotion_EmotionalAction_Anger
ross006zing01_01.TEI.2.text.body.div.sp.2002.s.2	Knorre pot , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.2002.s.3	Greyze zot , Die in dat schot , U leven zo versleyten wil , Ik lag , ik lag , om zulk een gril , Blyf vrey alleen , Ik kuyer been , Maak klompen weest te vreen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2018.s.1	Ik gooyden tegen zyn Wooning met een grooten steen , Om te hooren of hy niet iets tegen myn zou snakken , Maar hy hield hem stil , zo dat ik zoetjes af ging zakken , En liep wel twee etmaal eer ik mens , of mens gelyken zag , En de alder eersten die ik vond , was een Boer die op het Land te slaapen lag , Ik waar niet luy , maar voelden of zyn zak wel gelardeerd was , Dog ik vond niet als elf duyten , en een neusdoek die braaf met snot besmeert was , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.2018.s.2	Dagt ik , laat dat den Armen duyvel maar houden hy heeft het wel van doen , En daar meê zo trapten ik hem eens heenen weer op zyn Smoel met de pollevy van me Schoen , En ik begon te zingen , als een blinden vink zonder treuren , Want ik dagt van dezen Man zal myn wis onderregting gebeuren , Waar ik ben , want al dat dwaalen stond me veels te dier ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2037.s.1	Al heeft een Ruyter groot plysier , By Trommelen , en Trompet , En draagt een sluyer na de swier , Op 't hooft een Hellemet , Nog liever waar ik eenen Boer , En lag gerust op 't Land , Als steets te leven in Rumoer , By Rooven , Moort en Brand .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.1	Mit ontwaakten hy , en sloeg twee blikken op als een Olyfant , En vroeg wat myn begeren was ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.2	ik antwoorden met beleefden reeden , Dat ik graag weeten wou , als ik oostwaard aan ging waar ik dan na toe ging treeden !	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.3	Ik kreeg tot antwoord , daar gaat gy na Konstantinopelen , daar den Grooten Turk zyn Hof is .	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.4	Ik bedankten hem , want die reeden maakten my een weynig fris , Ook zo had die zoeten , lieven Boer , niet geloogen , Want ik liep omtrent een uur , doen had ik die Plaats al voor myn oogen , Gut !	None
ross006zing01_01.TEI.2.text.body.div.sp.2051.s.5	wat waar ik bly , doen ik daar de Poort in trad , En wat zag ik daar Venten , met Sabels op haar gad , Van anderhalf el lang , en eens zo breet als hier de Beschuytbakkers Messen .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.speaker.2054.s.1	hy Zingt	None
ross006zing01_01.TEI.2.text.body.div.sp.2059.s.1	En ik boorden haar wel swetzen , Maar ik kon het niet verstaan ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2064.s.1	Ik dagt ô wee !	None
ross006zing01_01.TEI.2.text.body.div.sp.2064.s.2	hoe zal 't met myn nog gaan , Zo ik geen Kristen Menschen ontmoet die Duyts kunnen spreeken .	None
ross006zing01_01.TEI.2.text.body.div.sp.2071.s.1	Hy !	None
ross006zing01_01.TEI.2.text.body.div.sp.2071.s.2	wat valt hier meer te preeken , Ik liep zonder Kruys , of Munt .	None
ross006zing01_01.TEI.2.text.body.div.sp.2087.s.1	Dog t'savonds wierd my evenwel Herberg vergund , By een Rynegaard , dien ik al myn avontuur vertelden , Die maakten myn zyn Lyf-knegt , zo dat ik hem overal verzelden , Maar na verloop van vier weeken , speelden ik een aardigen rol , Wand hy had een Jong Paart op stal , daar ging ik meê aan de hol , En bruyden van Konstantinopelen , na Roomen , als of me de Nikker agter 't gat waar , En daar veylden ik het Paart uyt , door dien ik het reyen al zat waar , Nou ik raakten 't nog al wel kwyd , want ik verkoft het aan een Frans Capiteyn , Voor honderd Hollandse Guldens , en twee kan Rinssew yu , Ha , doen waar ik een Man , trots Cresus , trots Alexander , Ik at , ik dronk , en zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.2098.s.1	Ik Hollander , Trots Brabander , s'Nagts op straat , Zeer Laat .	None
ross006zing01_01.TEI.2.text.body.div.sp.2109.s.1	Ik leefden van die honderd Gulden , niet als een gedisserteerden Soldaat ; Maar als een banjer Heer , dog het begon heel ras te mind'ren , Want hier verteerden ik een Ducaat , daar een Ducaton , en smulden als de Wittebroots Kind'ren , Hoewel ik bleef niet lang te Roomen , maar trok heel ras , Na Parys , daar hoorden ik dat Konink Lodewyk overleeden was ; ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.2109.s.2	Riep ik wel driemaal , is Konink Lodewyk de veertiende overleeden , Dan zal hy niet meer met zyn Fulpe Muylen , op het geborduurden Tapyt treeden , En daar op zong ik de spreuk van Solon .	None
ross006zing01_01.TEI.2.text.body.div.sp.2116.s.1	Hy , wat Mensch hoe Ryk , of groot , Niemand gelukkig voor zyn doot .	None
ross006zing01_01.TEI.2.text.body.div.sp.2128.s.1	Want men schilderd het geluk , met zyn eene been op een ronde kloot , En 't is ook wel de waarheid , want een die heden zit te praalen , Leit morgen neer geveld , die hoog vliegt raakt aan 't daalen , Gelyk Ikaris , die met zyn wasse vleugels zo hoog , Dorst vliegen , dat Febus gram wierd , en hem wel Drommels bedroog , Vermits zyn vlerken los gingen , en hy viel plomp verlooren , Over hals over kop in Zee , dog om niet in myn reden te smooren , So weet dat ik tot Parys ook niet lang bleef ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2135.s.1	Maar ik beef , maar ik beef , Maar ik beef , maar ik beef ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2147.s.1	Nu moogen de Heeren vraagen , hoe Krispyn beeft gy ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2147.s.2	Ja Mesjeurs , en 't heeft ook zyn reeden , Mits ik niet zonder beeven verhaalen kan wat ik doen heb geleeden , Want voor eerst gink ik een Bosscagie door , van ruim twintig mylen lang , Daar dansten de Wolven en Tygers , poot aan poot , dog elk op zyn rang , Wat verder sat een Leeu , die kraude aan een tak die van den boom gewaayt was , Ja 't was ' er zo vol , als of 't ' er met dieren gezaaid was , Ook ontmoeten ik een Draak , die was van kleur als een Pappegay , en keek als of hy me vreeten wouw , En ik sag een Slang , die wel zo lang waar , als van Ouwerkerk tot Abkouw , Dog , doen ik hallef weegen waar , schootme deze deun te binnen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2155.s.1	Onlangs geleen , ging ik bedroeft van zinnen , Al door een Bosje , daar 't zo eenzaam was .	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.1	Ik bad menigmaal aan Diana de Jagt Godin om een vryen pas , En zo stelden ik myn cours naar Engeland , maar 'k verviel in handen van de Schotse Rebellen , Ben je een van de Wigse , riep den Graaf van der Mar , dan sal ik je dryvend ter neder vellen , Neen , Heer Graaf antwoorden ik heel beleeft , ik ben een man , Die Jacob voor wettig Koning van Engeland , Schotland , en Yrland kan .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.2	Goet riep hy wederom , wilt dan met ons voor Jacob u leeven waagen , Ag dagt ik !	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.3	nu zien ik voor my een droeve Zon opdaagen , Ook vroegen zy my nog wel honderd maal of ik een Torris was , ik riep al : Jis , Jis , Door dien ik wel wist dat dit woord op zyn Engels Ja gezeid is .	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.4	Ook hoorden ik een van deeze drollige knevels zingen , Wy sullen hem dwingen , Met Snaphaans , en klingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.5	Ja dagt ik gy bent ' er een vent na , want hy waar zo styf , dat hy pas over een strootje kon springen , Dog de eerste nagt de beste , nam ik myn Gat in myn arm , en ik bruide voort , Als of ik gewed had , in een uur te loopen van de Wyk na Santpoort ; En zo quam ik in Engeland , en zag de Graven Kentmorre en Derwntwater , den kop af bruijen , Ook zag ik den Pretendent zyn beelt op een kruiwagen , door de Stat kruyen , Maar het stond my daar weinig aan , door dien ik myn lyf niet zeker waar .	None
ross006zing01_01.TEI.2.text.body.div.sp.2183.s.6	Want alle avonden saten de Wigse en de Torris , elkander in 't haar , Den een die riep : Lang leeft Koning George , den ander riep : Lang moet Jacob leeven , En dat klopte elkander met stokken en knuppels , dat ' er al meenig doot bleven , En lagen op de straat , half verzoopen in het bloet , So dat ik begon te zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2194.s.1	Karon bouw maar goeje moet , Hier werd uwe vragt heel goet , Kyk , hoe dat men in het honderd , Hakt en steekt en kerft en slaat .	None
ross006zing01_01.TEI.2.text.body.div.sp.2218.s.1	Ja , daar men zo hout klooft , weet men dat het op een spaander raapen gaat , En zo bleef ik daar tot van de Winter , en zag al veel aardige klugten speelen , Maar doen quam ' er een Noortse Boer met een Narre-slee vol Eeke deelen , Dien hy daar verkoft , dog wyl hy zyn gelt ontfing , So maakten ik de Nar los , en rende als of ik om de Vroemoer ging ; En bruide de Noott Zee over , zonder dat ik bang was om met myn gat in 't Ys te raaken , En ik quam weer tot Scheveling , by Heyn de Waard die zyn verbrande Stal weer op liet maaken , Daar bleef ik twee dagen , en verplakten de Nar , maar met het Paart brusten ik heen , Van Schevelingen naar den Haag , en daar van na Leyden , en van Leyden na Amsterveen , Gut !	None
ross006zing01_01.TEI.2.text.body.div.sp.2218.s.2	wat keek myn Vaar , ja ; hy sloeg twee blikken , Gelyk Prometus , wanneer den Arend bezig was om hem zyn Lever te pikken , Dog hy onthaalden myn beter als doen ik de eersten reys thuys quam , En ik had ook geen lust om weer te Reyzen , want ik waar al een weynig tam Geworden , door al de ongemakken dien ik had geleden , Ik ging by me Buurman , en verhaalden hem met reype reeden , Als dat ik zyn Zoon Jilles zonderbedrog in Oostinje gesprooken had , Bloet daar wierd ik s'avonds onthaald met een Wilde Kat , Zoet ik wil zeggen , op een gebraaden Haas in de Veenen gevangen , En den Man waar zeer verblyd , dat ik hem na veel verlangen , Deze aangenamen tyding brogt .	Joy_Emotion_Desire
ross006zing01_01.TEI.2.text.body.div.sp.2227.s.1	Maar ik zogt , En ik Kogt , Deze Kraamery .	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.1	Om eerlyk aan de kost te geraaken , en daarom heb ik van de Mey , Hier een Huys gehuurd , daar de Heeren myn of me hond altyd kunnen vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.2	Maar nu myn Kraamery eens opgenoemt , zou dat wel quaat zyn vrinden !	None
ross006zing01_01.TEI.2.text.body.div.sp.2238.s.3	Ik geloof van neen , want wyl ik myn avontuur heb verhaald , Zo heb ik met myn Mars maar wat in 't hondert gemaalt , Zie daar nu begin ik , en staak alle and're grillen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.1	Hy , koopt'er niemand , Kristalyne brillen , Voor blinde kippen die niet kunnen zien , Kom by me Kraam , Want de faam , Heeft myn naam , Nog nimmer uyt geblaazen no dat ik beraam .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.2	Balletjes om de baarden meê te vreyven , Oly de Sassemyn by Vlesjes vol , Ook Gespis trant , Rond , vierkant , Abondant , Haaken , oogen , en kurejeuze kousse band .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.3	Zantloopers om den tyd te opzerveeren , Kurketrekkers van het fynste staal , Snuyfdoozen schrik , Tin , en blik , Even dik , Koeragie , dan Liefhebbers want ik wagt goetschik .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.4	Pennen , die heel wel versneeden bennen , Poeyer al zo wit , en syn als poppe stront , Ook Naaysters schaar , Hy zie daar , Kyk het maar , Gesleepen van een Waal te haarelem op het Spaar .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.5	Ook heb ik dompertjes , en kaarse snuyters , Koopere profytjes voor de zuynigheyt , Ook Naalden goet , ô Gants bloet !	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.6	Alsje Moet , U koussen stoppen tot verwarming van je voet .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.7	Ook heb ik spiegeltjes zoeten lieven Meyskens , Daar gy u krulletjes in ciere kan , Ook Muskeljaaat , Dillekaat , Als gy praat , Met u beminde , dan ruykt gy als een privaat .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.8	Ook heb ik balletjes , voor de witte muylen , En vlakballen om een duyt het stuk , Ook potloot pen , Ik beken , Dat Ian hen , Zal zeggen dat , ik een verhruyden Kraamer ben. A , B , Bortjes om verstant te kreygen , Mallemoorie boekjes voor een domme droes , Ook pypedoos , Voor Mattroos , Word gy boos ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.9	Dan zal ik eens wat anders zingen voor een poos .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.10	Blikke Veerekykers , om te zienen , Van Amsterdam zo regtuyt tot Iapan , Ook spelden fyn , Glad , en ryn , Groot , en kleyn , Pennemessen , veeters die met blik beslagen zyn , Naaldekookers , houten , en luvooren , Tinne knoopjes naar de alder nieuste swier , 'k Heb ook lynjas , Net van pas .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.11	Hy den , den bras , Speetsje boekjes die nooyt eenig koopman las Fluytjes , Trompjes , en houten Rammelaaren , Hoede schuyertjes van 't fynste Tryp , Ook Grinse net , Van potret , Vrinden let , Om kinderen bang te maaken , en te jaagen na het Bed .	None
ross006zing01_01.TEI.2.text.body.div.sp.2398.s.12	Ook heb ik halsbanden , voor alderhande bonden , Slootjes om die te hangen aan 't Tresoor , Dat knegt , nog Meyt , Buytens tyd Niet ontbyt , Van uwe kost , die daar dan in verborgen leyt .	None
ross006zing01_01.TEI.2.text.body.div.sp.2407.s.1	Sie Zo Musjeurs daar heb ik nu al me Kraamery op gezeyt ; Uytgenoomen de Lietjes , en al de Liedeboeken Daar heb ik een nette Register van zo dat ik niet lang hoef te zoeken , Als voor eerst , zo heb ik dat vermakelyke deuntje te koop , Van .	None
ross006zing01_01.TEI.2.text.body.div.sp.2416.s.1	Knoop Meysjes knoop , Die 't knoope willen leeren , Die moeten by myn verkeeren .	None
ross006zing01_01.TEI.2.text.body.div.sp.2421.s.1	Ik heb het loven van Bregje met eeren , Ook heb ik van ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2428.s.1	Scheele Frans verzoop zyn kleeren , Was hy doe niet wel gebruyd ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.1	Ook heb ik de ontmantelde Apotheker , rotkeel zonder kuyt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.2	Ook Aran en Titus , boertig bereymd door ROSSEAU dat gekke Poëeetje , Ook heb ik een Treur gedigt , van een kalen Jonker die op den Amstel in 't Ys viel , met zyn Narre Sleetje , Ook van een Boer , die aan vier valse speelders zyn Gelt verloor .	None
ross006zing01_01.TEI.2.text.body.div.sp.2440.s.3	Ook van een Fransse Barbier , die voor vier duyten den Baard schoor , Ook van een Hengelaar , die zo lang hengelden , tot hy om zyn heng'len wier gevangen ; Ook heb ik van boezelaars Jaap , die zig zelven op de kleeren Solder , aan zyn dasje ging verhangen , Ook heb ik van .	None
ross006zing01_01.TEI.2.text.body.div.sp.2455.s.1	Ionge Meysjes luyster toe , Die het werken nu is Moe ; Laat het voor sunt Velte vaaren ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2455.s.2	Ik weet een Ambagt van plyzier ; Daar gy sebatten meê kunt gaaren , En gekleet zyn na de swier .	None
ross006zing01_01.TEI.2.text.body.div.sp.2460.s.1	Ook heb ik een deuntje dat ik zelf gedigt heb t's wyl ik agterlant liep met de Lier , En dar is .	None
ross006zing01_01.TEI.2.text.body.div.sp.2473.s.1	Daar is een Meyd gebooren , t'savonds al by de kaars , Zy bad geen Neus , geen ooren ; Geen oogen , noch geen Naars , En wat dunkje , is 't niet raars ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2481.s.1	Ja ik ben een wakker Poëet , als ik agter een Ham zit , of agter een schoote !	None
ross006zing01_01.TEI.2.text.body.div.sp.2481.s.2	met Baars , Dog het mag geen kwaat wand ik zal met Rymen de kost niet winnen , Hier heb ik een boekje , om uyt de Tas te leeren Speelen , en ook een boekje voor die Minnen ; Om te leeren , wat men al doen en laaten moet , aan de geen die me bemind , Ook heb ik van .	None
ross006zing01_01.TEI.2.text.body.div.sp.2495.s.1	Blind , blind , blind , Riep Klaartje , is het Kind , Die met zyn boog en pylën , Springt , en vliegt , En ons bedriegt .	None
ross006zing01_01.TEI.2.text.body.div.sp.2505.s.1	Ik geloof dat de Mesjeurs wel denken , dat Krispyn haar wat te vooren liegt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2505.s.2	Want niemand maakt eenige beweeging om wat te koopen , Dog ik heb evenwel handgift , en zal niet zonder geld na huys loopen , So toont dan dat je leesen kan , en koop wat , zo niet , yder doet zyn zin , Ik heb veel Historien ook , van Jan de Plug en Kaat de Brakkin , Ook van .	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.1	Wat 's een Koopman zonder waaren , Als een Bakker sonder Meel .	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.2	Wat 's een Speelman zonder snaaren , Als een Zanger sonder keel , Wat 's een Harder zonder schaapen : Als een Visscher zonder want , Wat 's een groen Boer zonder raapen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2524.s.3	Als een Huisman zonder land .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.1	Bloet wat wert my de keel droog .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.2	Ja het is als of men daar victorie brand .	None
ross006zing01_01.TEI.2.text.body.div.sp.2533.s.3	Ook rommeld my den buik van honger , als of'er Beeren danssen en springen , Maar ik heb hier nog een vermakelyke deun , die moet ik eens voor de Heeren op zingen , Ja een zeer pleizierig vaars onder het plengen van den Wyn , Ook zullen de Mesjeurs bekennen dat het wel wil op zulk een tyt gezongen zyn .	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.1	Wyn en Bier , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.2	pleizier , By een Vetten disch , ö Vermaak !	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.3	voor een snaak , Zo als ik , Hei gezwind .	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.4	tap een pint , Want het smaakt zo fris , Kyk , hoe eel , smeer de keel , Veeg , en lik , Voor de Man , voor de Man , voor de Man , Vry een kan , vry een kan , vry een kan , Vry een kan , kan , kan , Voor de Man , vry een kan , Of een mingelens kroes , Klink en drink , avoes , avoes .	None
ross006zing01_01.TEI.2.text.body.div.sp.2581.s.1	Dat is eerst een deun , het mo t zyn zelven pryzen , Wie wil een loogenagtige Nacourant of een Mercuur van Jan van Gysen , Ook heb ik Catalogus van Boeken ; die men morgen zal verkoopen op Katenburg in een stal , Ook heb ik Dominees briefjes , nieuwe Winterbeurt , om te zien wie die , en die tyd preeken zal , Ook heb ik het Rottenest der Poeëten , of de byeenkomst , van veel waanwyze Snaaken , Die alle daagen by een Boekebinder koomen , om een ander Digter zyn werk te laaken , Ook heb ik een nette beschryvenis van al myn avontuur op rym gezet , Ook heb ik de Batalje voorgevallen buiten de Leidse poort in 't Paarde wet , Van een jonge Waterhond , die vogt tegen twintig vliegen , Ook heb ik van Louw , die noyt de waarheid sprak , maar was altyt geneegen om te liegen , Ha !	None
ross006zing01_01.TEI.2.text.body.div.sp.2581.s.2	dat is een boekje , dat by niemant te krygen is , als by myn , Ook heb ik van Julfes Puistneus , die nooit met mosselen liep als in de Maaneschyn , Ook heb ik van .	None
