focq001mini02_01.TEI.2.text.body.div.head.227.s.1	De min in 't Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.1	Om dees oprechtigheid met myne te vergelden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.2	Zo weet ook dat ik ben , die ik terstond vertelden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2709.s.3	En niet de gene daar gy my hebt voor geacht ; Myn naam is Isabel , en 't Adelyk geslacht , ( Zo oud , en wyd beroemt , waar uit ik ben gesproten ) Is Gelders , en verwant aan 't meeste deel der Groten ; En vorders ben ik die , die zich gelukkig vind , Van in dees zotte staat van u te zyn bemind , Gelyk ik u na dees getuignis hoop te geven , ( Wyl dat gy my 't geheim ontdekt hebt van uw leven ) Hoe dat myn minnend hart meer 't uwe is als het myn ; Ja dat ik tot ' er dood uw Dienares zal zyn .	BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.1	ô Groote Hemel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.2	wat geluk komt my ontmoeten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2715.s.3	Myn schoone ! 'k werp van vreugt my zelve voor uw voeten ; Wyl ik u eeuwiglyk voor myn Godin erken .	Joy_Emotion_EmotionalAction_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.2719.s.1	Staa op , dit is een eer die ik niet waardig ben.	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.1	Al weer an by malkaar ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.2	wel hei !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.3	waar wil dit henen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2730.s.4	Ik zweer dat ik jou luy zal breken hals , en benen : Gaat voort zeg ik in huis : ziet zo , hoe smaakje dat .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.1	Jou gryze Roffiaan !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.2	jou bakhuis als een kat , Jou ouwe woud-aap , met je kamelotte kaken !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2736.s.3	Moogt gy niet langer zien dat goe luy vrede maken !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.1	Geen woorden zeg ik , maar gaat straks geschikt in huis , Of anders zweer ik u , dat gy niet eenen luis , Nog op je kop , of vleys , meer zult in 't leven houwen , Mits ik ze met een stok te morselen zal touwen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.2	Hou Marten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.3	Klaasje hou !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2744.s.4	waar benje met je twien ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2748.s.1	't Was tot ons ongeluk dat hy ons quam te zien .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.2752.s.1	Marten , Klaasje , Joris-vaar , Ferdinand , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2756.s.1	Wat is hier nieus te doen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2756.s.2	wie is ' er dootgesteken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2762.s.1	Op dat dit koppeltje malkaar niet weer zou spreken , Zo legt my dees Sinjeur zyn voeten in den band , En geeft dees Juffrouw eens een koord om ieder hand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2766.s.1	Die niet en heeft gedaan wat schult heeft die te boeten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2771.s.1	Boey my de handen meê zo wel als bey myn voeten , Maar laat myn Zuster gaan , die heeft in 't minst geen schult .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2778.s.1	'k Zweer gy uw eerste beê wel haast verkrygen zult , Zo gy de moeite neemt van noch wat praats te maken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2778.s.2	Sa jongens , pak haar aan , en let voor alle zaken , Dat gy haar houd van een , dies past voor al op hem .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2785.s.1	ô Ouwerwets model van Heer Methusalem !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2785.s.2	'k Zweer zo het satum my weer in myn ryk doet keren , Dat ik u zal tot straf in pik doen fricasseren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2790.s.1	ô Zotskap !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2790.s.2	weet gy dan 't gebruik van 't huis noch niet , Zeg , wanneer is 't dat gy hier vrouws by mannen ziet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2794.s.1	Kom stapt ' er slechts meê weg .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2799.s.1	Waar wilt gy henen stappen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2799.s.2	Of wilt gy in de kroeg een paartje laten tappen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2803.s.1	Kom peetje , marsch jy voort .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2807.s.1	Voert gy my meê dan heen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2811.s.1	Gaa voort met allebei ; maar houdze wel van een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.2816.s.1	Joris-vaar , alleen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.1	'k Verwonder my geensints te zien dat dees zottinne Zig van een zotte vent , als dees , kan doen beminnen : Daar zy zo gryzen , en zo wyzen ouwen man , Schier door haar oogen in temtatie brengen kan .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.2	Ik weet niet , die zottin die helpt myn brein aan 't dwalen , 't Hooft draait my of ' er zat een meulen in te malen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.3	Wel liefde !	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.5	word gy dan langer zot ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.6	En speelt gy by de Goôn noch voor een eerlyk God ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.8	wie zal aan voortaan op d'ouderdom vertrouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.9	Want gy , ô kleine Fiel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.10	ontziet nog jong nog ouwen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2829.s.11	En 't zy , hoe dat het zy , in 't grys , of blonde hair , Uw drift speelt in den mensch altyd voor koppelaar .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.2831.s.1	Eindt van het Derde Bedryf .	None
focq001mini02_01.TEI.2.text.body.div.head.2835.s.1	Vierde bedryf .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.2839.s.1	Isabella , alleen , met Handboeyens aan .	None
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.1	Hoewel dat my 't gebruik der handen is benomen , Zo ben ik echter noch myn wachters oog ontkomen , Want noch een keten , noch een wachter acht of tien , Kan een verliefde Ziel zyn heete drift verbiên : Want waarom zou de min zo groot niet van vermogen Zyn , als Mercurius ?	Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.2	die , spyt de duizent oogen Van Argus , hem ontstal zyn mensch-geweze koe ?	None
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.3	Gewisselyk de min is al zo groot : want hoe Men hem meer dwingen wil , beknellen en bevatten , Hoe meer men deze band zal buiten band doen spatten .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.2852.s.4	Want pas als hy het woord slechts hoort van Tiranny , Breekt hy zyn boeyens los , en stelt zich zelver vry .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.2	men heeft u dan geboeyent aan uw handen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.3	Myn waarde tweede ziel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.4	en gy , ô ys're banden !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.5	Versmelt noch niet door 't vuur daar ieder een van blaakt , Die slechts de minste straal van deze zon genaakt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.6	Gelukkig yzer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.7	ô benyens-waarde keten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.8	Die tot gevangenis der handen word versleten ; Waar van de Minne-God , de groote scepter-staf , En 't opperste gebied van alle harten gaf ; Gelukkig yzer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.10	mocht ik uw plaats bekleden , En boeyen in uw steê dees goddelyke leden , Ik zweer , op dat dees hand te meer zou zyn vereert , Dat ik gewisselyk haast wiert in gout verkeert : Maar ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2872.s.11	boeit men om my dees schoone Ledematen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2878.s.1	Dees ys're boeyens , in de plaats van die te haten , Zyn my ( wyl my de min om u die overlaat , Tot kostelyk gesteent , en prachtig armçieraat .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2889.s.1	Indien 't çieraden zyn , u van de min gegeven , Zo schenk ik aan die band met een myn ziel en leven , Nadien die blinde God , door een en zelfde gloet , Ons herten samen smelt , en die vereenen doet : Gelyk ( tot blyk dat wy maar een zaak wezen moeten ) Hy u de handen boeit , gelyk als my de voeten , Pas of een enk'le band hem niet en kan volstaan , Om ons in eeuwigheit niet weer van een t'ontslaan .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.1	Die boejens , waar in ik uw voeten zie geslagen , Die zweer ik , dat ik mee steets om myn hart zal dragen ; Dewyl dat ik in die , daar my uw min meê bind , Myn allergrootste vreugt , en al myn glorie vind .	Joy_Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.2	Alleen bedroef ik my , dat 't boeijen van myn handen , Die drift in my belet , die ik in my voel branden , Van u te omhelzen : daar myn ziel nu , na haar macht , U haar omhelzing geeft , alleenig in gedacht .	Emotion_EmotionalAction_BodilyProcess_Love_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.2901.s.3	Wel aan , myn tweede ziel , omhels my zonder schromen .	BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.stage.2905.s.1	Catryn , Ferdinand , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.1	Heel tydig vind ik my hier op het mat gekomen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.2	Gy fiel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2910.s.3	laat gaan , laat los : wat doet gy dees zottin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2914.s.1	Verrader !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2914.s.2	wilt gy my verkrachten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2920.s.1	Hoe , vrindin , Deed hy u dan gewelt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2924.s.1	ô Ja .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2928.s.1	Geweld van Liefde .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.2934.s.1	Gy Heer Student , of droes ! 't was best zo 't u beliefde , Dat gy liet loopen dees ontzinde , en zotte meyt : Wat heeft zy u gedaen , dat gy steeds by haar zyt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2940.s.1	Zy heeft my met een pyl in 't ingewant getroffen , Daar men een Oliphant meê zou ter aarden ploffen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2940.s.2	Wat dunkt u , heb ik dan geen reden tot myn wraak ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2944.s.1	Haar zotte jalouzy die hoor ik met vermaak .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.2949.s.1	Zult gy u eeuwig dan staan spieglen in haar oogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2949.s.2	Ziet my tog meê eens aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2955.s.2	wat groot vermogen Hebt gy in uw gezicht , ô platgeneusde maagt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2955.s.3	Wyl dat gy door een lonk my schier na bed toe jaagt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2960.s.1	Schoon dat gy my veracht , nog zult gy zo niet scheiden , Mits ik u niet wil zien vertrekken met u beiden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.1	Gansch herfst , en winter , en gansch zomer alle drie : Wat zoeter gratie dat ik in dees Juffrouw zie !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.2	Och , och , wat moet die sloof in bei haar longen branden !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2967.s.3	Ik loof voor vastelyk d ' hondsdagen zyn op handen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2971.s.1	Wel waarom ziet gy my niet meê eens vriend'lyk aan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2977.s.1	'k Zweer zonder jokken , dat het kwalyk is gedaan ; Doch gy Heer Mandricart !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2977.s.2	blyf hier , ik ga vertrekken , Om hier myn jalouzy niet hooger op te wekken .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.2	zal deze mist , op nieuws weer oorzaak zyn , Dat ik ontbeeren zou myn schoone zonneschyn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.3	O wreede Rodemond !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.4	ontschaakt gy Doralice ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2985.s.5	'k Zweer dat 'k u volgen zal , of 't leven zelfs verliezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.2990.s.1	Catryn alleen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.1	Is 't mog'lyk , hemel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.2	is ' er smart Op aard ' by myne te gelyken ?	Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.4	wat droefheit moet niet wyken Voor 't vreemde lyden van myn hart ?	Emotion_BodyPart_Love_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.5	Moet ik dan sterven door de min ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.6	Om deze zot , die door 't verachten My klaar doet zien in zyn gedachten Dat hy my laat voor dees zottin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.7	O neen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.8	ik zal haar dolligheid Zien door myn dolheid om te zetten , En zo haar samenkomst beletten , Eer dat dit vuur zich verder spryt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.9	Want om dit huis te houden in , En niet naar Haarlem weer te keeren , Zo wil ik , om geen schyn t'ontbeeren , De zotheid volgen van myn min .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.10	'k Wil my gaan veinzen zo ontzint , Dat men my hier zal moeten laten , Want zal het minnen ons wat baten , Zo moet hy zot zyn die bemint .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.11	Wel aan !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.12	wat let my dat ik straks niet gaa beginnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.13	Holla myn Pagies !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.14	met myn Juffers en slavinnen , Waar is myn gansche trein ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.15	waar blyft het hofgezin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.16	Sa , maak myn koets gereed , en spand de paarden in , Vermits ik datelyk wil naar de Koning ryden : Gy , Prins , geef my uw hand , om my ten hoof te leyden ; En gy , myn dwergen brengt uw waeijers voor den dag ; Op dat ik voor de zon my wat verkoelen mag .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3021.s.17	Dit is een goet begin om tot het werk te treden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3029.s.2	staat gy hier , Catryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3029.s.3	wat maakt gy hier beneden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3033.s.2	noemt gy my Catryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3033.s.3	noemt my uw Koningin .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3037.s.2	wat slechter tyng ontfang ik daar vrindin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3041.s.1	Hoe slechte tyng ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3041.s.2	wat tyng ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3045.s.1	Te droevig om te hooren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3050.s.1	Is ' er misschien een stuk van 't Koningryk verlooren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3050.s.2	Of is de gansche vloot van Indiën vergaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3060.s.1	Myn Vader doet terstont my door een brief verstaan , Dat het zyn wil is , dat wy straks na Haarlem keeren , Vermits dat hy my t'huis niet langer kan ontbeeren , Gelyk ' er ook met een aan Joris-vaar een quam , Waar in hy wierd verzocht , dat hy my t'Amsterdam , ( Vermits 't noodzak'lyk was ) niet langer op zou houwen : Maar eer hoe liever , ons weer zou na huis toe stouwen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3064.s.1	Wel dat het gansche ryk dan straks victorie brand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3068.s.1	Wat ryk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3073.s.1	Dat Koningryk , dat ik met dees myn hand Als Koningin regeer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3078.s.1	Hoe nu ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3078.s.2	waar zyn uw zinnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3082.s.1	Ik zoek myn moeder vast een schoonzoon aan te winnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3086.s.1	Gewislyk zy is zot en al haar oordeel quyt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3090.s.1	Daar door heb ik myn ziel van meerder smart bevryt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3094.s.1	Wat tover-kruid Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3094.s.2	hebt gy doch ingezogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3098.s.1	Een tover-kruid 't geen ik ontfing door by myn oogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3102.s.1	Bedaar u toch Catryn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3106.s.1	Vertrek , gy valsche pry !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3114.s.1	Gelukkig zyt gy wis in dees uw zotterny , Nadien dat gy daar door hier noch zult blyven mogen , En alle dagen zien die wel beminde oogen , Waar van ik in myn ziel zo diepe wonden draag , Dat ik alleen om haar dit myn vertrek beklaag .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3118.s.1	Waar zyn myn slaven , en myn zwarte Japoneezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3122.s.2	die zo zot mocht zyn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3122.s.3	hoe lukkig zou hy wezen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3126.s.1	Sa !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3126.s.2	breng my water op dat ik myn handen wasch .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.1	Hoe woeld haar malend brein in die ontstelde kas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.3	wat of my let , dat ik reeds zot ten delen , Haar voorbeeld niet en volg , en puur voor zot ga spelen , Dewyl dat ik daar in twee zaken schyn te zien , Waar door myn minnend hart veel voordeel kan geschiên : Waar van het eerst ' is , dat het missen van myn zinnen , Voorzeker in dit huis my zal een plaats doen winnen , Daar ik haast andersints van hier zal moeten gaan : Het tweed ' is dat ik dus myn brand zal doen verstaan Aan myn beminde zot , die ik in alle deelen Zo zal gelyken in myn zotte rol te speelen , Dat als men my om hem bespeurt zo dol en mal , Myn Vader my gewis met Karel trouwen zal .	BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.4	Vermits hy , ziende 't quaat alleen uit hem gerezen , Wis door dit huwelyk myn zotheid zal genezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3147.s.5	Wel aan dan ; ik begin : Vaar wel dan myn verstand , Want daar de min regeert moet wysheid aan een kant .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3151.s.1	Hola myn kamer-maagt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3151.s.2	Waar zyt gy , kom van binnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3155.s.1	Wat is 't gebieden van mevrouw de Koninginne ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3160.s.1	Het is byna een uur dat ik hier heb gewacht , En niemant heeft my noch een morgendrank gebracht .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3165.s.1	Uw kamer-jonker , zal terstont uw wil volvoeren : Hy staat vast aan den haard een pot met bry te roeren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.1	Zeg dat hy zich wat spoeyt , of dat men in der yl Zyn rug wat smeeren zal met 't hand-vat van een dwyl .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.2	Maar hoe ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3172.s.3	wat wil dit zyn , dat Juffrouw voor 't bestraffen , My in myn zotterny komt nieuwe stof verschaffen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3177.s.1	Dus volg ik van dees sloor alleen de zotheid in , Om dat ik zelver volg de zotheid van myn min .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3182.s.1	'k Geloof dat zy de grond verspied van myn gedachten , Dies zal het nodig zyn my wat voor haar te wachten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3187.s.1	O groote Koningin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3187.s.2	gints komt een pagie aan , Die u een tyding brengt uit 't Eylandt van de maan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3193.s.1	Wel licht zal het een Boo van Jonker Karel wezen , Zegt dat hy binnen komt , en niet en hoeft te vrezen .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.3197.s.2	spreekt gy hier by my van deze vagebond ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3201.s.1	Mag ik myn Bruigoms naam niet nemen in myn mont ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3205.s.2	uw Bruigom , daar hy aan een aêr getrouwt is ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3209.s.1	Getrouwt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3209.s.2	ja toch , met wie ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3214.s.1	Dat 's tyding die al out is .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3214.s.2	Met my .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3218.s.1	Met u ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3218.s.2	en wie heeft u toch t'zaam vereent ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3222.s.1	De Paap .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3226.s.1	De Papegaay geloor ik dat gy meent .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3231.s.1	Wel wat mag dees zottin dog in haar harsens brouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3231.s.2	Meend zy myn echte man dan op een nieu te trouwen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.2	rampzalig dier !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.3	weet gy met wie gy spreekt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.4	En vreest gy noch niet dat uw Koningin zich wreekt Op uw vermeete tong ?	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.5	sa , waar zyn myn Soldaten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.6	Ik wil dat men de trom terstont zal roeren laten , En dat men 't gansche heir zo daadlyk breng te veld .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3240.s.7	Mits ik my wreeken wil van dit uitheemsch geweld .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3244.s.1	En ik wil u terstont de kroonen gaan verpletten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3252.s.2	zal myn slavin zich tegen my verzetten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3252.s.3	Een bastaart die de schand maakt van haar gansch geslagt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3252.s.4	Za Pagie !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3252.s.5	haal my straks drie Switsers van de wagt , Op dat ik haar terstond doe slepen uit myn oogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3256.s.1	Gy hebt , ô Koningin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3256.s.2	dwars door uw strot gelogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3260.s.1	Gelogen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3260.s.2	sa wel aan ontfang dan dees sufflet .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3264.s.1	ô Varken !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3264.s.2	wacht , ik zweer dat ik u dat belet .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.3266.s.1	Zy vechten .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.3270.s.1	Joris-vaar , Valerius , Anna , Catryn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3277.s.1	Kom heer Valerius zo lang eens met my buyten , Op dat ik zie waar uit dit plaatsgerucht mag spruyten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3277.s.2	En daar na zullen wy verhand'len met gemak De zaak daar gy om komt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3282.s.1	Wel aan dan , haast u strak , Want gints zie ik uw Nicht met een zottin aan 't vechten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3291.s.1	Hoe Anna ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3291.s.3	laat los malkanders vlechten : Laat los , en blyf van een : kom hier , waar benje Klaas ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3291.s.4	Sa sleept my dees zottin terstond eens van de plaats , Die hier myn goeje Nicht schend neus , en mond , en lokken , Wyl zy onzinnig is , en meer als dol , wat pokken Beweegt u dat gy haar niet opgesloten laat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3295.s.1	Kend gy my langer niet , gy gryze Potentaat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3299.s.1	Wel hoe !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3299.s.2	bent gy 't Catryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3303.s.1	Ik bent .	None
